Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,DIRMINA-403,12374038,Performance degradation when socket receive buffer is big.,trustin,trustin,Minor,Closed,Fixed,18/Jul/07 03:28,18/Jul/07 03:30,
Bug,DIRMINA-313,12356242,LoggingFilter logs exceptionCaught events on error level but uses isInfoEnabled in the if-statement,niklas@trillian.se,niklas@trillian.se,Minor,Closed,Fixed,21/Nov/06 08:16,17/Jul/07 01:27,
New Feature,DIRMINA-399,12373648,Add getter/putter methods for medium ints (24-bit ints),mheath,mheath,Minor,Closed,Fixed,12/Jul/07 16:09,12/Jul/07 16:09,
Improvement,DIRMINA-392,12373022,Change the default Map implementation of session attributes to synchronized HashMap for less memory consumption,trustin,trustin,Minor,Closed,Fixed,05/Jul/07 05:05,12/Jul/07 02:42,
Improvement,DIRMINA-396,12373304,Add Convenience constructor for specifying linedelimiter in TextLineCodecFactory,,greywulf,Minor,Closed,Duplicate,09/Jul/07 12:36,09/Jul/07 12:54,
Improvement,DIRMINA-377,12369455,Reduce memory consumption of DefaultIoFuture,trustin,trustin,Minor,Closed,Fixed,16/May/07 02:26,07/Jun/07 10:02,
Improvement,DIRMINA-365,12366445,Make use of covariant return types,trustin,trustin,Minor,Closed,Fixed,03/Apr/07 05:26,05/Apr/07 09:48,
Bug,DIRMINA-342,12361411,TCP service not shutting down cleanly,trustin,trustin,Minor,Closed,Duplicate,28/Jan/07 04:56,05/Apr/07 08:37,
Bug,DIRMINA-340,12361409,Proxy example doesn't work.,trustin,trustin,Minor,Closed,Cannot Reproduce,28/Jan/07 03:47,30/Jan/07 02:05,
Bug,DIRMINA-287,12353359,DatagramConnector.getRecycledSession() is inefficient.,trustin,trustin,Minor,Closed,Fixed,17/Oct/06 06:40,22/Jan/07 06:58,
New Feature,DIRMINA-335,12360729,Pre-configured session attributes,trustin,trustin,Minor,Closed,Fixed,18/Jan/07 06:04,18/Jan/07 06:19,
Improvement,DIRMINA-327,12359168,sanity-check for MessageEncoder in DemuxingProtocolCodecFactory,trustin,trustin,Minor,Closed,Fixed,21/Dec/06 01:27,21/Dec/06 01:48,
Improvement,DIRMINA-323,12358493,Remove ByteBuffer pooling / acquire() / release(),trustin,trustin,Minor,Closed,Fixed,13/Dec/06 07:56,13/Dec/06 08:37,
Improvement,DIRMINA-322,12358492,Remove ThreadModel,trustin,trustin,Minor,Closed,Fixed,13/Dec/06 07:49,13/Dec/06 07:52,
Bug,DIRMINA-319,12357316,DatagramConnector doesn't need IoSessionRecycler at all.,trustin,trustin,Minor,Closed,Fixed,30/Nov/06 03:39,05/Dec/06 03:37,
New Feature,DIRMINA-311,12356229,ByteBuffer.hasArray(),trustin,trustin,Minor,Closed,Fixed,21/Nov/06 02:40,21/Nov/06 02:42,
Wish,DIRMINA-295,12353985,Avoid loops in tests,,elecharny,Minor,Closed,Invalid,25/Oct/06 22:06,26/Oct/06 10:29,
New Feature,DIRMINA-277,12352289,Various tests block with JDK5 concurrent used in place of backport,trustin,rocketraman,Minor,Closed,Fixed,03/Oct/06 12:47,11/Oct/06 06:59,
Improvement,DIRMINA-271,12350612,Configuration enhancement of the TrustManagerFactory in SSLContextFactoryBean,niklas@trillian.se,woltere,Minor,Closed,Fixed,24/Sep/06 21:17,25/Sep/06 19:09,
Bug,DIRMINA-199,12331552,CumulativeProtocolDecoder javadoc example,niklas@trillian.se,zohar.amir,Minor,Closed,Fixed,04/Apr/06 16:07,17/Sep/06 06:16,
Improvement,DIRMINA-260,12349448,Utilize backport-util-concurrent Executor,trustin,trustin,Minor,Closed,Fixed,08/Sep/06 03:34,08/Sep/06 03:36,
Improvement,DIRMINA-239,12347228,Allow multiple Callbacks per IoFuture,trustin,trustin,Minor,Closed,Fixed,03/Aug/06 08:35,05/Sep/06 05:00,
Task,DIRMINA-230,12346940,Change the Path to Maven Repository,trustin,trustin,Minor,Closed,Fixed,31/Jul/06 08:47,05/Sep/06 02:40,
Improvement,DIRMINA-114,12325281,All session log messages should be logged via SessionLog,trustin,trustin,Minor,Closed,Fixed,03/Nov/05 11:42,02/Jul/06 14:15,
Bug,DIRMINA-46,32798,"ProtocolProvider has been deleted, but MINA tutorial still references it",trustin,elecharny,Minor,Closed,Invalid,22/May/05 19:26,24/Jun/06 21:20,
Improvement,DIRMINA-193,12330414,Logger improvment,trustin,elecharny,Minor,Closed,Fixed,19/Mar/06 02:54,24/Jun/06 21:18,
Improvement,DIRMINA-217,12343140,Make IoFuture and its subclasses interfaces,trustin,trustin,Minor,Closed,Fixed,17/May/06 10:03,17/May/06 10:40,
Improvement,DIRMINA-185,12329795,Refactor IoFilter life cycle management,,niklas@trillian.se,Minor,Closed,Fixed,05/Mar/06 19:02,04/May/06 15:31,
New Feature,DIRMINA-191,12330237,IoSession.getScheduledWriteBytes,trustin,trustin,Minor,Closed,Fixed,14/Mar/06 09:53,23/Mar/06 15:43,
New Feature,DIRMINA-190,12330191,ThreadModel interface which encapsulates ThreadPoolFilter composition.,trustin,trustin,Minor,Closed,Fixed,12/Mar/06 17:24,12/Mar/06 17:45,
New Feature,DIRMINA-174,12329236,IoAcceptor.isBound(SocketAddress) and IoAcceptor.unbindAll(),trustin,trustin,Minor,Closed,Fixed,21/Feb/06 11:23,21/Feb/06 14:11,
New Feature,DIRMINA-172,12329199,IoSession.getServiceAddress(),trustin,trustin,Minor,Closed,Fixed,20/Feb/06 23:29,20/Feb/06 23:29,
Improvement,DIRMINA-158,12327168,Provide better way to specify parameters to IoSessionManagers,trustin,trustin,Minor,Closed,Fixed,03/Jan/06 22:28,20/Feb/06 23:25,
New Feature,DIRMINA-80,12313335,Make core support JDK 1.3,,trustin,Minor,Closed,Won't Fix,12/Aug/05 11:11,23/Jan/06 12:12,
New Feature,DIRMINA-142,12326425,Codec for text protocols,trustin,trustin,Minor,Closed,Fixed,07/Dec/05 22:25,08/Dec/05 01:51,
Improvement,DIRMINA-38,32563,Adding a flush method to ProtocolEncoderOutput,trustin,elecharny,Minor,Closed,Fixed,13/May/05 16:00,07/Dec/05 18:13,
Improvement,DIRMINA-119,12325484,Multiple selector loops,trustin,irvingd,Minor,Closed,Fixed,09/Nov/05 18:42,07/Dec/05 18:03,
Bug,DIRMINA-129,12326023,"""Pipe broken"" IOExceptions countered on non-active stream connections",trustin,irvingd,Minor,Closed,Fixed,25/Nov/05 17:25,07/Dec/05 18:03,
New Feature,DIRMINA-139,12326416,ByteBuffer.expand() for explicit expansion,trustin,trustin,Minor,Closed,Fixed,07/Dec/05 13:04,07/Dec/05 13:06,
Bug,DIRMINA-135,12326202,exception during a connector.connect() aren't caught by filters,trustin,vrm,Minor,Closed,Duplicate,30/Nov/05 23:23,05/Dec/05 16:52,
New Feature,DIRMINA-127,12325881,ByteBuffer.get/putPrefixedString(),niklas@trillian.se,trustin,Minor,Closed,Fixed,21/Nov/05 21:16,05/Dec/05 06:44,
New Feature,DIRMINA-136,12326304,ByteBuffer.sweep(),niklas@trillian.se,trustin,Minor,Closed,Fixed,03/Dec/05 10:08,04/Dec/05 20:22,
