Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,DOXIATOOLS-40,12801964,Eclipse Doxia Edit update site nolonger available,,dantran,Blocker,Closed,Fixed,10/Sep/12 12:18,22/Jul/17 15:08,
Dependency upgrade,DOXIATOOLS-67,13328404,log4j 1.2 is unsupported,elharo,elharo,Critical,Closed,Fixed,20/Sep/20 11:59,03/Jun/21 09:21,
Bug,DOXIATOOLS-45,12801933,An incomplete fix for the resource leak bugs in LatexBookRenderer.java,,guangtai,Critical,Closed,Auto Closed,22/Feb/12 06:40,16/Mar/18 22:40,
Bug,DOXIATOOLS-29,12801926,Another incomplete fix for the resource leak bugs in XHtmlBookRenderer.java,,guangtai,Critical,Closed,Auto Closed,22/Feb/12 06:58,06/Sep/15 20:45,
Bug,DOXIATOOLS-31,12801957,An incomplete fix for the resource leak bugs in XdocBookRenderer.java,,guangtai,Critical,Closed,Auto Closed,22/Feb/12 07:31,06/Sep/15 20:44,
Bug,DOXIATOOLS-30,12801967,An incomplete fix for the resource leak bugs in XdocBookRenderer.java,,guangtai,Critical,Closed,Auto Closed,22/Feb/12 07:13,06/Sep/15 20:44,
Bug,DOXIATOOLS-5,12801943,Linkcheck broken,siveton,ltheussl,Critical,Closed,Fixed,16/Feb/08 08:37,07/Apr/15 18:12,
Dependency upgrade,DOXIATOOLS-68,13328405,Update HttpComponents HttpClient 5.1,,elharo,Major,Closed,Fixed,20/Sep/20 12:03,30/Dec/22 14:23,
Improvement,DOXIATOOLS-74,13502712,Support Markdown as target format,,kwin,Major,Open,,15/Nov/22 14:32,20/Nov/22 17:39,
New Feature,DOXIATOOLS-72,13441976,acheter kit champignon magique,,ricomoore,Major,Closed,Invalid,27/Apr/22 06:13,27/Apr/22 06:28,
Improvement,DOXIATOOLS-71,13396575,Require Java 8,slachiewicz,slachiewicz,Major,Closed,Fixed,22/Aug/21 19:33,22/Aug/21 20:03,
Improvement,DOXIATOOLS-61,13238184,Require Java 7,rfscholte,rfscholte,Major,Closed,Fixed,07/Jun/19 12:27,22/Aug/21 19:33,
Improvement,DOXIATOOLS-70,13374505,Require Java  8,rfscholte,rfscholte,Major,Closed,Fixed,22/Apr/21 21:14,03/Jun/21 12:20,
New Feature,DOXIATOOLS-9,12801934,Linkcheck: ability to run more than one Validator,,ltheussl,Major,Closed,Auto Closed,30/Jan/08 03:20,03/Jun/21 09:38,
Improvement,DOXIATOOLS-39,12801963,Support multiple sections in a BookFile. ,,emetsger,Major,Closed,Auto Closed,20/Aug/12 12:08,03/Jun/21 09:37,
Bug,DOXIATOOLS-57,13092750,Figure not displayed in doxia-editor if relative path used,,axel3rd,Major,Closed,Auto Closed,06/Aug/17 21:10,03/Jun/21 09:37,
Bug,DOXIATOOLS-46,12801929,Workspace indisposed after file rename,,axel3rd,Major,Closed,Auto Closed,21/May/14 04:19,03/Jun/21 09:36,
Bug,DOXIATOOLS-43,12801951,fails when opening directly from svn ,,bokken,Major,Closed,Auto Closed,25/Jun/13 09:10,03/Jun/21 09:35,
Bug,DOXIATOOLS-18,12801940,Doxia Maven Plugin should copy resources,,ltheussl,Major,Closed,Auto Closed,30/Jul/09 02:55,03/Jun/21 09:35,
Dependency upgrade,DOXIATOOLS-55,13055946,Drop httpclient,,trajano,Major,Closed,Not A Problem,14/Mar/17 14:08,23/Dec/20 09:01,
Bug,DOXIATOOLS-56,13056798,doxia-book-renderer has unit test errors,,trajano,Major,Closed,Duplicate,16/Mar/17 21:26,23/Dec/20 09:01,
Bug,DOXIATOOLS-54,12997587,LinkMatcher uses a singleton set,elharo,dwegener,Major,Closed,Fixed,16/Aug/16 13:52,20/Sep/20 11:58,
Improvement,DOXIATOOLS-66,13297179,make build Reproducible,hboutemy,hboutemy,Major,Open,,08/Apr/20 18:26,08/Apr/20 18:58,
Improvement,DOXIATOOLS-60,13238173,Require Java 7,rfscholte,rfscholte,Major,Closed,Fixed,07/Jun/19 11:33,07/Jun/19 12:17,
Bug,DOXIATOOLS-20,12801969,APT anchors are parsed to invalid XML in xdoc book,,david_syer,Major,Closed,Auto Closed,19/Nov/09 02:42,06/Sep/15 20:45,
Bug,DOXIATOOLS-26,12801931,Locales and Encoding params are ignored by plugin,,cleverson.sacramento,Major,Closed,Auto Closed,28/Dec/09 08:08,06/Sep/15 20:45,
New Feature,DOXIATOOLS-10,12801973,publish actual code,,hboutemy,Major,Closed,Auto Closed,03/Sep/11 06:18,06/Sep/15 20:44,
New Feature,DOXIATOOLS-23,12801950,Nested APT file directories and PDF generation,,nsowatsk@cisco.com,Major,Closed,Auto Closed,10/Jul/09 08:35,06/Sep/15 20:44,
Bug,DOXIATOOLS-17,12801936,validation message is lost for the end user,,iloncar,Major,Closed,Auto Closed,12/Jun/10 13:44,06/Sep/15 20:44,
Improvement,DOXIATOOLS-25,12801953,Make BookRenderers configurable from pom in site generation,,david_syer,Major,Closed,Auto Closed,18/Nov/07 06:20,06/Sep/15 20:44,
Improvement,DOXIATOOLS-24,12801966,Add images to example-book,,sworisbreathing,Major,Closed,Auto Closed,29/Jul/09 14:16,06/Sep/15 20:44,
Bug,DOXIATOOLS-22,12801930,Local links are not resolved in book (between source documents),,david_syer,Major,Closed,Auto Closed,19/Nov/09 02:50,06/Sep/15 20:44,
Bug,DOXIATOOLS-27,12801935,problems with book and vm template for apt,,gpablo,Major,Closed,Auto Closed,25/Jan/10 23:11,06/Sep/15 20:44,
Bug,DOXIATOOLS-19,12801941,totally no rich formatting in generated PDFs/RTFs,,lazy.coder,Major,Closed,Auto Closed,17/Jan/11 10:13,06/Sep/15 20:44,
Bug,DOXIATOOLS-28,12801972,Book- and/or Site-Tile missing on all pages,,contact@wennysoft.de,Major,Closed,Auto Closed,29/Sep/10 04:29,06/Sep/15 20:44,
Bug,DOXIATOOLS-21,12801927,Problem to create a book with Maven 3,,angoca,Major,Closed,Auto Closed,23/Jul/11 23:20,06/Sep/15 20:44,
Improvement,DOXIATOOLS-2,12801942,Linkcheck: Add support for wildcards in excludedPages,ltheussl,ltheussl,Major,Closed,Fixed,29/Sep/10 04:55,07/Apr/15 18:16,
Bug,DOXIATOOLS-4,12801939,does not build with current plexus-util,ltheussl,bollin,Major,Closed,Cannot Reproduce,17/Dec/08 14:22,07/Apr/15 18:16,
Bug,DOXIATOOLS-1,12801946,Linkcheck: wrong pattern matching if excludedLink is a relative link,ltheussl,ltheussl,Major,Closed,Fixed,05/Oct/10 09:06,07/Apr/15 18:15,
Improvement,DOXIATOOLS-3,12801956,"Link checker not handling anchors very well (e.g. ignores id attribute when linking to any HTML element, too sensitive on whitespace and quotes) plus no anchor support in OnlineHTTPLinkValidator at all",ltheussl,jstrachan,Major,Closed,Fixed,23/Sep/10 08:22,07/Apr/15 18:15,
Bug,DOXIATOOLS-6,12801949,Review Doxia generation for Apt and Docbook,ltheussl,siveton,Major,Closed,Fixed,11/Mar/08 19:38,07/Apr/15 18:15,
Bug,DOXIATOOLS-36,12801958,doxia-maven-plugin:1.2 fails with NoClassDefFoundError,ltheussl,khmarbaise,Major,Closed,Fixed,29/May/11 12:16,07/Apr/15 18:15,
Task,DOXIATOOLS-38,12801961,use plugin java 5 annotations instead of old-style javadoc annotations,hboutemy,hboutemy,Major,Closed,Fixed,03/Jun/12 15:37,06/Apr/15 00:41,
New Feature,DOXIATOOLS-8,12801937,Create an Eclipse plugin to edit Doxia files,siveton,siveton,Major,Closed,Won't Fix,31/Mar/08 05:33,25/Nov/14 15:38,
Improvement,DOXIATOOLS-14,12801955,remove doxia-converter-1.2-jar-with-dependencies.jar from svn,siveton,hboutemy,Major,Closed,Fixed,10/Sep/11 14:08,17/Aug/14 12:14,
New Feature,DOXIATOOLS-11,12801959,add Doxia Eclipse Editor to Apache CI server,hboutemy,hboutemy,Major,Closed,Fixed,04/Sep/11 15:46,17/Aug/14 12:14,
Task,DOXIATOOLS-37,12801952,use plexus java 5 annotations instead of old-style javadoc annotations,hboutemy,hboutemy,Major,Closed,Fixed,02/Jun/12 16:59,02/Jun/12 17:11,
New Feature,DOXIATOOLS-7,12801938,Create a new tool to handle module conversion,siveton,siveton,Major,Closed,Fixed,03/Mar/08 07:43,28/Apr/11 15:42,
Task,DOXIATOOLS-73,13477769,Drop not supported Doxia converters,slachiewicz,slachiewicz,Minor,Closed,Won't Fix,20/Aug/22 18:51,30/Dec/22 09:28,
Dependency upgrade,DOXIATOOLS-62,13238475,Upgrade Doxia to 1.10,slachiewicz,slachiewicz,Minor,Closed,Fixed,10/Jun/19 08:56,22/Aug/21 20:00,
Bug,DOXIATOOLS-64,13275605,Flaky test DocBookBookSinkTest,elharo,elharo,Minor,Closed,Fixed,19/Dec/19 22:13,23/Dec/20 09:01,
Bug,DOXIATOOLS-69,13328406,IO Errors not handled by DefaultLinkCheck,elharo,elharo,Minor,Closed,Fixed,20/Sep/20 12:11,22/Sep/20 03:28,
Improvement,DOXIATOOLS-65,13291753,Make Doxia Converter build Reproducible,slachiewicz,slachiewicz,Minor,Closed,Fixed,14/Mar/20 22:37,14/Mar/20 22:53,
Bug,DOXIATOOLS-59,13177690,Link checker not handling anchors of fluido skin topbar very well,,axel3rd,Minor,Open,,08/Aug/18 14:40,23/Jan/20 15:52,
Improvement,DOXIATOOLS-13,12801944,preview of boxed verbatim text doesn't show the box,,hboutemy,Minor,Closed,Auto Closed,10/Sep/11 13:49,06/Sep/15 20:44,
Bug,DOXIATOOLS-12,12801948,"button images don't appear at document opening, but appear after using them, then the text disappears",,hboutemy,Minor,Closed,Won't Fix,10/Sep/11 13:01,25/Nov/14 14:49,
Bug,DOXIATOOLS-15,12801954,snippet macro with file reference cause editor failure,siveton,hboutemy,Minor,Closed,Fixed,12/Sep/11 16:21,17/Aug/14 12:24,
Dependency upgrade,DOXIATOOLS-63,13261959,Upgrade project dependencies,slachiewicz,slachiewicz,Trivial,Closed,Fixed,12/Oct/19 16:50,14/Mar/20 22:53,
Task,DOXIATOOLS-58,13116149,switch to Git,hboutemy,hboutemy,Trivial,Closed,Fixed,04/Nov/17 12:48,04/Nov/17 13:29,
