Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,KAFKA-7244,13176817,,Add note about memory map kernel limits to documentation,rchiang,rchiang,Minor,Resolved,Duplicate,03/Aug/18 20:28,28/Jan/19 06:03,
Improvement,KAFKA-5692,13091870,,Refactor PreferredReplicaLeaderElectionCommand to use AdminClient,tombentley,tombentley,Minor,Resolved,Fixed,02/Aug/17 12:28,25/Jan/19 22:09,
Improvement,KAFKA-7868,13211602,,Move __consumer_offsets schema to the clients,,cmolter,Minor,Open,,24/Jan/19 16:00,24/Jan/19 16:00,
Bug,KAFKA-6833,13155747,,"KafkaProducer throws ""Invalid partition given with record"" exception",bob-barrett,wicknicks,Minor,Resolved,Fixed,27/Apr/18 17:34,24/Jan/19 02:27,
Bug,KAFKA-4968,13059798,,The NetworkClient should rate-limit its log messages about protocol downgrades,cmccabe,cmccabe,Minor,Open,,28/Mar/17 17:28,23/Jan/19 18:09,
Improvement,KAFKA-2111,12819552,,Command Line Standardization - Add Help Arguments & List Required Fields,,mwarhaftig,Minor,Patch Available,,09/Apr/15 03:19,23/Jan/19 08:50,
Improvement,KAFKA-7775,13206997,,[KStream] remove topic prefix from consumer configuration to resolve unnecessary warning,,tchiotludo,Minor,Open,,30/Dec/18 20:48,22/Jan/19 22:38,
Improvement,KAFKA-7846,13210655,,KIP-421: Support resolving externalized secrets in AbstractConfig,,tejal,Minor,Open,,21/Jan/19 02:19,21/Jan/19 02:19,
Improvement,KAFKA-7024,13164910,,Rocksdb state directory should be created before opening the DB,Yohan123,abhishek.agarwal,Minor,Resolved,Fixed,08/Jun/18 12:38,18/Jan/19 17:35,
Improvement,KAFKA-7738,13204538,,Track partition leader epochs in client metadata,mumrah,mumrah,Minor,Resolved,Fixed,14/Dec/18 17:23,17/Jan/19 18:15,
Improvement,KAFKA-7520,13192782,,Adding possibility to configure versions in Mirror Maker ducktape test,akatona,akatona,Minor,Resolved,Won't Fix,19/Oct/18 09:08,17/Jan/19 10:16,
Task,KAFKA-7503,13191423,,Integration Test Framework for Connect,wicknicks,wicknicks,Minor,Resolved,Fixed,14/Oct/18 02:38,17/Jan/19 07:00,
New Feature,KAFKA-7820,13209484,,distinct count kafka streams api,,vinubarro,Minor,Open,,14/Jan/19 19:56,17/Jan/19 03:50,
Bug,KAFKA-7822,13209588,,Kafka Log Implementation picture in the documentation is wrong,,larsfrancke,Minor,Open,,15/Jan/19 09:29,15/Jan/19 09:49,
Improvement,KAFKA-7823,13209593,,Missing release notes pages,,viktorsomogyi,Minor,Open,,15/Jan/19 09:40,15/Jan/19 09:40,
Bug,KAFKA-7789,13208000,,SSL-related unit tests hang when run on Fedora 29,tombentley,tombentley,Minor,Resolved,Fixed,07/Jan/19 11:42,14/Jan/19 22:00,
Bug,KAFKA-6627,13143630,,Console producer default config values override explicitly provided properties,likan,hachikuji,Minor,Resolved,Fixed,08/Mar/18 18:03,14/Jan/19 20:53,
Bug,KAFKA-7807,13208586,,Special Characters in Topic Name Appear to Break Replication,,josephxsxn,Minor,Open,,09/Jan/19 17:37,14/Jan/19 17:08,
Improvement,KAFKA-4325,13014008,,Improve processing of late records for window operations,,mjsax,Minor,Resolved,Fixed,20/Oct/16 18:34,14/Jan/19 13:42,
Improvement,KAFKA-7402,13184481,,Kafka Streams should implement AutoCloseable where appropriate,shung,vvcephei,Minor,Resolved,Fixed,11/Sep/18 22:04,13/Jan/19 05:59,
