Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Dependency upgrade,KARAF-5957,13188824,,Upgrade to equinox 3.13.200,jbonofre,jbonofre,Major,Resolved,Fixed,02/Oct/18 10:57,12/Feb/19 20:42,
Test,KARAF-5875,13179785,,JpaExampleTest is flacky,jbonofre,jbonofre,Major,Resolved,Cannot Reproduce,19/Aug/18 04:31,11/Feb/19 05:23,
Test,KARAF-5874,13179743,,ConfigManagedServiceFactoryTest is flaky,jbonofre,jbonofre,Major,Resolved,Cannot Reproduce,18/Aug/18 10:19,11/Feb/19 05:22,
Bug,KARAF-6144,13214580,,Some bundle:* commands doesn't output on System.out,jbonofre,jbonofre,Major,Resolved,Fixed,08/Feb/19 10:58,10/Feb/19 05:56,
New Feature,KARAF-5873,13179250,,Add spring-security 5.0.7.RELEASE feature,jbonofre,jbonofre,Major,Resolved,Fixed,16/Aug/18 04:29,07/Feb/19 09:28,
Dependency upgrade,KARAF-6134,13214014,,Upgrade to Spring 5.1.4.RELEASE,jbonofre,jbonofre,Major,Resolved,Fixed,05/Feb/19 20:57,06/Feb/19 20:41,
Dependency upgrade,KARAF-6135,13214018,,Upgrade to Spring 5.0.12.RELEASE,jbonofre,jbonofre,Major,Resolved,Fixed,05/Feb/19 21:03,06/Feb/19 20:38,
Dependency upgrade,KARAF-6132,13214007,,Upgrade to Pax CDI 1.1.1,jbonofre,jbonofre,Major,Resolved,Fixed,05/Feb/19 20:33,06/Feb/19 20:37,
Dependency upgrade,KARAF-6137,13214073,,Upgrade to eclipselink 2.7.4,jbonofre,jbonofre,Major,Resolved,Fixed,06/Feb/19 05:32,06/Feb/19 20:36,
Dependency upgrade,KARAF-6133,13214008,,Upgrade to Pax Web 7.2.8,jbonofre,jbonofre,Major,Resolved,Fixed,05/Feb/19 20:35,06/Feb/19 20:36,
Dependency upgrade,KARAF-6131,13213962,,Upgrade to Pax JDBC 1.3.4,jbonofre,jbonofre,Major,Resolved,Fixed,05/Feb/19 16:19,06/Feb/19 19:43,
Dependency upgrade,KARAF-6138,13214074,,Upgrade to hibernate-validator 6.0.14.Final,jbonofre,jbonofre,Major,Resolved,Fixed,06/Feb/19 05:34,06/Feb/19 19:29,
Test,KARAF-6139,13214127,,JmsTest is failing,jbonofre,jbonofre,Major,Resolved,Fixed,06/Feb/19 10:24,06/Feb/19 17:09,
Dependency upgrade,KARAF-6127,13213292,,Upgrade to Felix Framework 5.6.12,jbonofre,jbonofre,Major,Resolved,Fixed,01/Feb/19 11:32,04/Feb/19 19:44,
Dependency upgrade,KARAF-6128,13213368,,Upgrade to javax.annotation 1.3,jbonofre,jbonofre,Major,Resolved,Fixed,01/Feb/19 17:42,04/Feb/19 14:48,
