Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,LENS-1336,13007167,,lens/contrib is not included in modules ,prongs,puneet884,Blocker,Closed,Fixed,23/Sep/16 14:36,17/Aug/17 12:00,
Bug,LENS-1331,13006137,,Remove protobuf dependency from lens,archana.h,puneet884,Blocker,Resolved,Fixed,20/Sep/16 08:07,25/Oct/16 12:17,
Bug,LENS-1272,12996216,,Checkstyle is failing after LENS-1265,lavkesh,lavkesh,Blocker,Closed,Fixed,10/Aug/16 09:35,25/Oct/16 12:15,
Task,LENS-1244,12993778,,Mark 2.6.x release as GA and remove beta ,puneet884,puneet884,Blocker,Closed,Fixed,31/Jul/16 03:02,20/Sep/16 08:58,
Bug,LENS-980,12945824,,Creating examples is failing on master,amareshwari,amareshwari,Blocker,Closed,Fixed,01/Mar/16 13:02,30/Aug/16 10:49,
Bug,LENS-1143,12969915,,Fix test cases to incorporate LENS-1019 changes,lavkesh,lavkesh,Blocker,Closed,Fixed,16/May/16 06:24,24/Aug/16 12:21,
Sub-task,LENS-746,12857259,12778209,org.apache.hadoop.fs.s3a.S3AFileSystem could not be instantiated,,anjireddy3,Blocker,Closed,Invalid,19/Aug/15 16:36,20/Aug/15 10:14,
Bug,LENS-350,12777464,,Remove jars from source code dist,amareshwari,jaideepdhok,Blocker,Resolved,Fixed,25/Feb/15 09:38,22/Jul/15 12:36,
Bug,LENS-637,12840817,,Jline version mismatch causing lens-cli.sh to fail,srinathsmn,srinathsmn,Blocker,Closed,Fixed,26/Jun/15 12:00,22/Jul/15 12:36,
Bug,LENS-534,12826918,,TestTimePartition#testTimeRange is failing in master branch,prongs,himanshu.gahlaut,Blocker,Closed,Fixed,04/May/15 13:59,03/Jul/15 11:32,
Bug,LENS-287,12773307,,Exception while describing cube,amareshwari,arshadmatin20,Blocker,Closed,Fixed,08/Feb/15 18:46,15/Apr/15 20:14,
Bug,LENS-278,12772677,,Lens Server not able to persist on HDFS,amareshwari,arshadmatin20,Blocker,Closed,Fixed,05/Feb/15 12:00,15/Apr/15 20:14,
Bug,LENS-335,12776359,,mvn release:prepare fails for checkstyle version number update,amareshwari,amareshwari,Blocker,Resolved,Fixed,20/Feb/15 04:24,15/Apr/15 20:14,
Bug,LENS-154,12763428,,Registration of predict udf in remote hive server not working,jaideepdhok,sharadag,Blocker,Resolved,Fixed,23/Dec/14 09:55,24/Mar/15 11:09,
Bug,LENS-333,12776098,,"Binary distribution filename doesn't have ""apache"" word in it",amareshwari,arshadmatin20,Blocker,Closed,Cannot Reproduce,19/Feb/15 08:05,19/Feb/15 13:20,
Bug,LENS-206,12768197,,Update deployment diagram in docs,amareshwari,amareshwari,Blocker,Closed,Fixed,17/Jan/15 05:52,03/Feb/15 10:35,
Improvement,LENS-540,12827943,,Skip deploying source archive and lens-server.war  ,jaideepdhok,amareshwari,Critical,Open,,07/May/15 06:21,13/Mar/18 09:21,
Bug,LENS-1346,13009818,,License mention missing for AppDispatcher.js,amareshwari,amareshwari,Critical,Closed,Fixed,05/Oct/16 09:35,04/Oct/17 11:41,
Bug,LENS-1282,12998827,,getUpdatedQueryContext() call is missing from QueryExecutionServiceImpl#executeTimeoutInternal,puneet884,puneet884,Critical,Closed,Fixed,22/Aug/16 07:11,25/Oct/16 12:15,
Bug,LENS-1278,12998175,,Seeing too many instances of UDFClassloader getting created,amareshwari,amareshwari,Critical,Closed,Fixed,18/Aug/16 12:01,25/Oct/16 12:10,
Task,LENS-1198,12981755,,Update hive dependency to apache hive 2.1.0,prongs,amareshwari,Critical,Closed,Fixed,22/Jun/16 04:02,20/Sep/16 08:56,
Bug,LENS-1208,12986571,,Missing join condition for multi fact query for expression attributes,amareshwari,amareshwari,Critical,Closed,Fixed,04/Jul/16 10:41,31/Aug/16 07:41,
Bug,LENS-1016,12962177,,QueryPriorityComparator fails JDBCDriver queries,amareshwari,amareshwari,Critical,Closed,Fixed,25/Apr/16 08:41,30/Aug/16 09:34,
Bug,LENS-1029,12964567,,lens-server-snapshotter died in one of the scenarios,puneet884,amareshwari,Critical,Closed,Fixed,03/May/16 09:03,25/Aug/16 11:47,
