Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,MYFACES-4139,13096483,,Utility method in ClassUtils to not throw exception,eduardobreijo,eduardobreijo,Trivial,Closed,Fixed,21/Aug/17 16:35,29/Aug/22 09:13,
Task,MYFACES-4403,13384998,,Update website urls and descriptions in poms,paul.nicolucci,paul.nicolucci,Trivial,Closed,Fixed,21/Jun/21 19:09,27/May/22 02:35,
Bug,MYFACES-4405,13386331,,Wrong translation on myfaces/api/src/main/resources/javax/faces/Messages_pt.properties and pt_BR for DoubleRangeValidator.NOT_IN_RANGE,,marinell0,Trivial,Closed,Fixed,28/Jun/21 20:02,27/May/22 00:50,
Improvement,MYFACES-4435,13443006,,Inclusive Language,,volosied,Trivial,Closed,Fixed,03/May/22 17:33,27/May/22 00:48,
Bug,MYFACES-4420,13412260,,Values in BackingBean not updated,,schoepft,Trivial,Closed,Not A Problem,17/Nov/21 11:36,17/Nov/21 14:04,
Improvement,MYFACES-4404,13385245,,Log ViewState String Before Sending Response,volosied,volosied,Trivial,Closed,Fixed,22/Jun/21 19:39,12/Sep/21 21:36,
Wish,MYFACES-4371,13340324,,Resources: set cache-control-header instead of expires-header,,christophs78,Trivial,Closed,Fixed,12/Nov/20 18:47,15/Apr/21 17:44,
Sub-task,MYFACES-3230,12514473,12499347,Output same info to console (with logger)  as in ErrorPageWriter,,markoc50,Trivial,Closed,Won't Fix,18/Jul/11 17:51,23/Jun/20 12:21,
Task,MYFACES-4291,13234035,,2 duplicate functions in _Dom.js,lofwyr,lofwyr,Trivial,Closed,Fixed,17/May/19 19:03,09/Oct/19 13:43,
Wish,MYFACES-3789,12670789,,Change default refresh period for facelets from 2 to 0 sec (=always refresh),lu4242,markoc50,Trivial,Closed,Fixed,26/Sep/13 17:50,16/Jul/19 13:36,
Improvement,MYFACES-3459,12541133,,RegexValidator does not provide label and pattern for first usage of RegexValidator.NOT_MATCHED,markoc50,markoc50,Trivial,Resolved,Fixed,03/Feb/12 20:50,15/Nov/18 14:53,
Improvement,MYFACES-4236,13164734,,Add package-info.java to javax.faces.bean with @Deprecated,paul.nicolucci,paul.nicolucci,Trivial,Resolved,Fixed,07/Jun/18 16:58,07/Jun/18 17:23,
Bug,MYFACES-4220,13150289,,ViewHandler DISABLE_FACELET_JSF_VIEWHANDLER_PARAM_NAME is incorrect,paul.nicolucci,paul.nicolucci,Trivial,Resolved,Fixed,05/Apr/18 13:15,05/Apr/18 15:38,
Bug,MYFACES-4217,13149815,,javax.faces.annotation.ManagedProperty.value should not have a default value,paul.nicolucci,paul.nicolucci,Trivial,Resolved,Fixed,03/Apr/18 19:24,04/Apr/18 14:31,
Bug,MYFACES-4215,13149218,,Update WebsocketEvent.getUser() signature,paul.nicolucci,paul.nicolucci,Trivial,Resolved,Fixed,30/Mar/18 18:12,30/Mar/18 18:22,
Bug,MYFACES-4213,13148675,,DateTimeConverter.isJava8DateTimeFormatter needs to be private,paul.nicolucci,paul.nicolucci,Trivial,Resolved,Fixed,28/Mar/18 18:55,29/Mar/18 16:34,
Bug,MYFACES-4212,13148287,,onSelect / getSelect should not be implemented on some components,paul.nicolucci,paul.nicolucci,Trivial,Resolved,Fixed,27/Mar/18 18:02,28/Mar/18 17:16,
Bug,MYFACES-4211,13148086,,HtmlCommandScript should not implement ClientBehaviorHolder,paul.nicolucci,paul.nicolucci,Trivial,Resolved,Fixed,27/Mar/18 00:02,27/Mar/18 15:01,
