Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,OODT-1037,13396513,,React.js OPSUI file browser and workflow browser pages are not shown when there's no ingested files/workflows,,imesha,Blocker,Open,,22/Aug/21 03:32,22/Aug/21 08:30,
Improvement,OODT-994,13185061,,Replace deprecated -Djava.ext.dirs with -classpath,lewismc,lewismc,Blocker,Open,,14/Sep/18 04:31,04/Feb/20 07:55,
Task,OODT-1002,13201568,,Rename CoreMetKeys.java in filemgr and workflow to CoreFilemgrMetKeys.java and CoreWorkflowMetKeys.java respectively,lewismc,lewismc,Blocker,Resolved,Not A Problem,30/Nov/18 08:39,01/Dec/18 04:50,
Bug,OODT-985,13165171,,AvroRpcWorkflowManager only accepts a map of strings as metadata,imesha,imesha,Blocker,Resolved,Resolved,10/Jun/18 06:38,21/Aug/18 06:39,
Bug,OODT-989,13177209,,Lucene crashes when under load,bugg_tb,bugg_tb,Blocker,Resolved,Fixed,06/Aug/18 20:27,06/Aug/18 20:28,
Test,OODT-969,13129814,,Tests for Avro File Manager client and server,chrismattmann,imesha,Blocker,Resolved,Fixed,10/Jan/18 10:50,27/Feb/18 05:04,
Bug,OODT-954,13088475,,CAS-PGE FileManagerFileStager has NPE b/c it does not set Product Structure,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,19/Jul/17 17:37,19/Jul/17 17:43,
Task,OODT-935,13003618,,Complete all Javadoc for JDK8 Compliance,lewismc,lewismc,Blocker,Resolved,Fixed,08/Sep/16 16:16,16/Jul/17 16:17,
Bug,OODT-932,12987314,,OODT-Core forces javadoc to run and fails on linting - it shouldn't do that,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,06/Jul/16 22:40,06/Jul/16 22:47,
Improvement,OODT-685,12712743,,Fix OODT 0.7-SNAPSHOT Jenkins nightly build on Ubuntu,rlaidlaw,lewismc,Blocker,Closed,Fixed,07/May/14 02:28,18/Aug/14 21:49,
Bug,OODT-720,12728736,,crawler launcher not working in radix,riverma,stough,Blocker,Resolved,Fixed,21/Jul/14 23:45,22/Jul/14 21:49,
Task,OODT-633,12653767,,Update PEAR package.xml,gmcdonald,skhudiky,Blocker,Closed,Fixed,19/Jun/13 18:01,28/Jun/13 17:37,
Bug,OODT-543,12624031,,Update ExpImpCatalog tool to allow core Metadata to pass through when Embedded Catalogs are used,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,14/Dec/12 19:30,14/Dec/12 19:31,
Bug,OODT-510,12609334,,SolrIndexer fails on ProductTypes that have 0 products ,pramirez,ahart,Blocker,Resolved,Fixed,27/Sep/12 02:09,27/Sep/12 02:10,
Sub-task,OODT-296,12512886,12510793,Workflow Editor GUI,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,05/Jul/11 20:24,08/Aug/11 21:09,
Bug,OODT-292,12511382,,Parent Pom Undefined for Webapps,pramirez,pramirez,Blocker,Closed,Fixed,23/Jun/11 16:24,23/Jun/11 16:40,23/Jun/11 00:00
Bug,OODT-199,12510733,,CoreMetExtractor chokes on Hierarchical Products,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,17/Jun/11 22:53,18/Jun/11 05:19,
Bug,OODT-200,12510735,,FinalFileLocationExtractor chokes on Hierarchical products,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,17/Jun/11 22:54,18/Jun/11 02:06,
Bug,OODT-191,12506514,,PushPull FileRetrievalSystem NPE if mime comment for type doesn't include ampersand,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,07/May/11 22:33,05/Jun/11 06:07,
Bug,OODT-190,12506224,,WorkflowCondition configuration isn't read,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,04/May/11 21:08,04/May/11 21:13,
Bug,OODT-54,12478354,,Xml Rpc Serde Casts Longs to Ints,pramirez,pramirez,Blocker,Resolved,Fixed,26/Oct/10 15:21,26/Apr/11 04:42,31/Oct/10 00:00
Bug,OODT-115,12496136,,TestCatalogServiceLocal fails,bfoster,chrismattmann,Blocker,Resolved,Fixed,20/Jan/11 15:28,23/Feb/11 08:46,
Bug,OODT-142,12498656,,TypeHandler SerDe is backwards incompat with older versions of FM,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,15/Feb/11 15:41,15/Feb/11 15:43,
Bug,OODT-118,12496411,,CAS Curator doesn't allow metadata update on file manager browser,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,23/Jan/11 01:19,23/Jan/11 03:58,
Bug,OODT-116,12496137,,Cas Curator doesn't ingest,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,20/Jan/11 15:29,22/Jan/11 23:21,
Bug,OODT-117,12496138,,Final File Location Extractor fails in actual use despite unit test passing,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,20/Jan/11 15:31,22/Jan/11 05:59,
Improvement,OODT-65,12491812,,Update Release Process to Publish Python Artifacts to PyPi,pramirez,pramirez,Blocker,Resolved,Fixed,01/Dec/10 20:52,18/Jan/11 06:23,
Bug,OODT-56,12478774,,Web Grid config contains old caltech licensing header,woollard,woollard,Blocker,Resolved,Fixed,31/Oct/10 19:28,31/Oct/10 23:34,
Bug,OODT-55,12478666,,Latest Tika 0.8-SNAPSHOT broke pushpull ,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,29/Oct/10 14:52,29/Oct/10 15:04,
Bug,OODT-51,12477799,,Workflow unit test fails due to hsql not parsing the apache header correctly,woollard,woollard,Blocker,Resolved,Fixed,19/Oct/10 22:51,19/Oct/10 22:54,19/Oct/10 00:00
Improvement,OODT-22,12470415,,remove pushpull's jvftp dependency,chrismattmann,woollard,Blocker,Resolved,Fixed,29/Jul/10 07:51,18/Oct/10 01:15,
Improvement,OODT-3,12457047,,"Update source code to use ASL headers and add NOTICE, etc.",chrismattmann,chrismattmann,Blocker,Resolved,Fixed,22/Feb/10 17:56,29/Sep/10 05:57,
Improvement,OODT-19,12470190,,Metadata should not use a GPL-licensed XML parser,chrismattmann,woollard,Blocker,Resolved,Fixed,26/Jul/10 19:43,01/Aug/10 04:22,
Improvement,OODT-21,12470412,,Remove jersey dependency from curator and replace with Apache CXF,chrismattmann,chrismattmann,Blocker,Resolved,Fixed,29/Jul/10 06:51,29/Jul/10 07:28,
Improvement,OODT-990,13178895,,Enable OODT to build under JDK 10.X,lewismc,lewismc,Critical,Open,,14/Aug/18 16:39,04/Feb/20 07:56,
Bug,OODT-966,13117392,,agility broken syntax under Python 3.X,lewismc,lewismc,Critical,Open,,09/Nov/17 20:58,04/Feb/20 07:55,
Bug,OODT-949,13049682,,Various issues with RADiX,lewismc,lewismc,Critical,Open,,09/Mar/17 17:48,04/Feb/20 07:55,
Sub-task,OODT-1015,13246160,13166000,Workflow Manager V2 JAX-RS REST APIs ,imesha,Gimo,Critical,Resolved,Implemented,21/Jul/19 07:08,21/Sep/19 07:33,
Bug,OODT-978,13159675,,Crawler Launcher hangs after ingesting files when Avro File Manager client is used,imesha,imesha,Critical,Resolved,Fixed,16/May/18 10:25,18/May/18 16:09,
Bug,OODT-803,12765491,,TestQueueMuxMonitor Test Failure,chrismattmann,tpalsulich,Critical,Resolved,Cannot Reproduce,07/Jan/15 23:14,15/Jul/17 03:43,
Question,OODT-585,12639996,,How to disable envReplacement (either env or metadata-based) on pgeConfig customMetadata,bfoster,chrismattmann,Critical,Resolved,Won't Fix,31/Mar/13 17:41,15/Jul/17 03:42,
Bug,OODT-893,12905867,,java.lang.ClassNotFoundException: com_atlassian_clover.TestNameSniffer,chrismattmann,karanjeets,Critical,Resolved,Fixed,19/Oct/15 07:31,15/Jul/17 03:40,
Bug,OODT-931,12987039,,CAS Crawler and metadata preconditions should say what preconditions failed,chrismattmann,chrismattmann,Critical,Resolved,Fixed,06/Jul/16 04:05,06/Jul/16 23:08,
Improvement,OODT-927,12973161,,Values passed to SQL commands should be sanitized in CAS DataSourceIngestMapper.java,lewismc,lewismc,Critical,Resolved,Fixed,26/May/16 18:36,21/Jun/16 09:20,
Bug,OODT-871,12860893,,Issues with OODT 0.10 RC#1,chrismattmann,lewismc,Critical,Resolved,Fixed,01/Sep/15 05:26,04/Sep/15 18:11,
Improvement,OODT-678,12711661,,Move OODT Site to Apache CMS,bugg_tb,lewismc,Critical,Resolved,Fixed,01/May/14 04:31,27/Aug/15 02:11,
Bug,OODT-715,12721306,,SolrIndexer fails to index when numProducts == pageSize,chrismattmann,chrismattmann,Critical,Resolved,Fixed,15/Jun/14 15:47,05/Apr/15 05:22,
Bug,OODT-643,12656635,,Maven Release Plugin generates incorrect tag and trunk version numbers,bugg_tb,chrismattmann,Critical,Resolved,Cannot Reproduce,08/Jul/13 17:22,29/Jan/15 06:40,
Bug,OODT-644,12656636,,Protocol tests are extremely buggy and unstable,bugg_tb,chrismattmann,Critical,Closed,Fixed,08/Jul/13 17:25,06/Sep/14 21:22,
Bug,OODT-688,12713001,,filemgr jar should not ship with ALL resources,lewismc,lewismc,Critical,Resolved,Fixed,08/May/14 02:20,03/Aug/14 18:16,
