Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,OWB-183,12442083,,Improve webbeans-doc module to get a documentation more user friendly,gerdogdu,jlmonteiro,Major,Closed,Fixed,01/Dec/09 12:18,30/Mar/10 20:19,
Task,OWB-46,12412668,, Injection into non-contextual objects,gerdogdu,gerdogdu,Major,Closed,Fixed,17/Jan/09 17:34,30/Mar/10 20:18,
Bug,OWB-259,12454974,,Implement spec 11.5.5. ProcessModule event,gerdogdu,struberg,Major,Closed,Invalid,01/Feb/10 19:37,30/Mar/10 20:17,
Bug,OWB-340,12460453,,BeanManagerImpl.createInjectionTarget() Throws Exception When No Constructor Found,gerdogdu,jwcarman,Major,Closed,Fixed,27/Mar/10 22:31,30/Mar/10 20:13,
Task,OWB-6,12409076,,Scope passivation,struberg,gerdogdu,Major,Closed,Fixed,23/Nov/08 17:53,25/Mar/10 16:05,
Bug,OWB-333,12459797,,InjectionTarget and Producer Handling,gerdogdu,gerdogdu,Major,Closed,Fixed,21/Mar/10 17:01,21/Mar/10 17:11,
Improvement,OWB-214,12444583,,get rid of javax.transaction.Transaction dependency in webbeans-impl,struberg,struberg,Major,Closed,Fixed,04/Jan/10 13:01,21/Mar/10 16:59,
Task,OWB-204,12443861,,Update Samples for JSF2 Usage,gerdogdu,gerdogdu,Major,Closed,Fixed,20/Dec/09 12:51,21/Mar/10 16:59,
Task,OWB-14,12409084,,Update WebBeans Lifecycle for Servlet Beans,gerdogdu,gerdogdu,Major,Closed,Fixed,23/Nov/08 18:03,21/Mar/10 16:58,
Test,OWB-56,12412905,,Integrate the official JSR-299 TCK test suite,struberg,struberg,Major,Closed,Fixed,21/Jan/09 14:02,21/Mar/10 16:58,
Improvement,OWB-118,12428469,,Supports Decorators for Other Delegate Injections,gerdogdu,gerdogdu,Major,Closed,Fixed,20/Jun/09 13:06,21/Mar/10 16:57,
Improvement,OWB-286,12456634,,java.lang.NoClassDefFoundError: javax/validation/Validator,struberg,matzew,Major,Closed,Fixed,18/Feb/10 10:35,21/Mar/10 16:57,
Bug,OWB-332,12459713,,Destroy Depdent Of Producer Method Beans when Invocation Completes,gerdogdu,gerdogdu,Major,Closed,Fixed,19/Mar/10 22:11,19/Mar/10 22:12,
Improvement,OWB-331,12459711,,Cache Interceptor & Decorator Stack oon Interceptor Handler,gerdogdu,gerdogdu,Major,Closed,Fixed,19/Mar/10 21:07,19/Mar/10 22:06,
Bug,OWB-123,12430962,,remove StereoType restrictions,struberg,struberg,Major,Closed,Fixed,20/Jul/09 21:33,16/Mar/10 11:06,
Improvement,OWB-97,12426015,,Build improvements for OpenWebBeans,gerdogdu,bommel,Major,Closed,Fixed,21/May/09 11:21,16/Mar/10 11:05,
Improvement,OWB-93,12423447,,OWB TCKs should switch to released jsr-299 TCK artifacts,struberg,struberg,Major,Closed,Fixed,22/Apr/09 09:06,16/Mar/10 11:05,
Improvement,OWB-91,12423228,,facor out all JPA specific parts into an own maven module,struberg,struberg,Major,Closed,Fixed,19/Apr/09 15:51,16/Mar/10 11:05,
Bug,OWB-90,12423175,,cannot find beans when working locally with jetty:run,gerdogdu,struberg,Major,Closed,Fixed,17/Apr/09 22:31,16/Mar/10 11:05,
Improvement,OWB-89,12422625,,make MetaDataDiscoveryService independent from scannotation ,struberg,struberg,Major,Closed,Fixed,11/Apr/09 07:06,16/Mar/10 11:05,
Task,OWB-88,12419496,,facor out all JSF specific parts into an own maven module,struberg,struberg,Major,Closed,Fixed,26/Mar/09 13:59,16/Mar/10 11:05,
