Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,PIVOT-344,12441077,Change TextInput tutorial to use TextInput suggestions list,,tvolkert,Trivial,Resolved,Won't Fix,18/Nov/09 18:13,02/May/13 02:29,
Bug,PIVOT-888,12627482,Nullpointer Exception while editing TextArea with text property two-way bounded,smartini,kaja78,Trivial,Resolved,Fixed,14/Jan/13 19:11,15/Feb/13 15:57,
Improvement,PIVOT-536,12467418,BXMLSerializer should provide a structure error object when a serializer error occurs,rwhitcomb,aappddeevv,Trivial,Resolved,Fixed,19/Jun/10 23:01,05/Nov/12 17:16,
Improvement,PIVOT-875,12610655,JSON should support using pivot.collections.Map directly,,rwhitcomb,Trivial,Resolved,Fixed,05/Oct/12 22:33,05/Oct/12 23:23,
Improvement,PIVOT-679,12492026,TableViewImageCellRenderer should render disabled rows with an opacity of 0.5f,rwhitcomb,cbartlett,Trivial,Resolved,Fixed,03/Dec/10 20:28,27/Jul/12 22:06,
Improvement,PIVOT-508,12465753,TextArea displays blinking cursor even when it's in read-only mode.,smartini,tvolkert,Trivial,Resolved,Fixed,30/May/10 22:02,04/May/12 10:52,
Improvement,PIVOT-816,12530372,"Add ""setSelectedTab(Component)"" method to TabPane to facilitate selecting tabs programmatically",rwhitcomb,rwhitcomb,Trivial,Resolved,Fixed,04/Nov/11 19:53,04/Nov/11 22:22,07/Nov/11 00:00
Improvement,PIVOT-812,12528943,Add style to TabPane to specify the tab button corner radius,rwhitcomb,rwhitcomb,Trivial,Resolved,Fixed,26/Oct/11 18:49,28/Oct/11 18:27,28/Oct/11 00:00
Improvement,PIVOT-795,12524888,Add access in TerraFileBrowserSheetSkin to allow additional fields in the dialog,rwhitcomb,rwhitcomb,Trivial,Resolved,Fixed,27/Sep/11 16:08,13/Oct/11 21:58,28/Sep/11 00:00
Improvement,PIVOT-459,12462176,Fix spacing issues in tutorial HTML,smartini,gbrown,Trivial,Open,,15/Apr/10 18:45,13/Oct/11 09:50,
Improvement,PIVOT-763,12511172,Add tri-state checkbox renderer for TableView row editors,rwhitcomb,whiro01,Trivial,Resolved,Fixed,21/Jun/11 21:45,22/Jun/11 16:37,
Wish,PIVOT-678,12492023,Consider changing TerraSuggestionPopupSkin to use a ScrollPane rather than a Panorama,,cbartlett,Trivial,Resolved,Not A Problem,03/Dec/10 19:47,22/Jun/11 10:47,
