Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
New Feature,ROL-15,12419775,Support aggregation via Meta Weblog API,djohnson,djohnson,Minor,Closed,Won't Fix,04/Sep/02 22:18,29/Feb/04 19:12,
Bug,ROL-217,12420013,Tomcat error on logon,djohnson,jpriddey,Minor,Closed,Cannot Reproduce,12/Jul/03 10:28,26/Feb/04 21:35,
Bug,ROL-316,12419850,Mimetype failures immediately after logging on,djohnson,lucisandor,Minor,Closed,Won't Fix,15/Feb/04 01:36,16/Feb/04 03:39,
Improvement,ROL-268,12419845,postgres features,djohnson,gerard,Minor,Closed,Fixed,25/Oct/03 11:18,29/Jan/04 04:23,
Improvement,ROL-76,12420001,Move the editor selection to the edit page,djohnson,jduska,Minor,Closed,Won't Fix,24/Oct/02 21:53,26/Jan/04 20:49,
Improvement,ROL-233,12419732,Add timezone setting to Website::Settings,lavandowska,lbfk,Minor,Closed,Fixed,11/Sep/03 06:47,26/Jan/04 02:29,
Bug,ROL-260,12420029,invalid display of main page in konqueror 3.1.2,djohnson,roller_hboutemy,Minor,Closed,Won't Fix,13/Oct/03 11:23,22/Oct/03 18:42,
Bug,ROL-254,12419892,You are not authorized to access that resource.,djohnson,steverino,Minor,Closed,Won't Fix,08/Oct/03 16:35,14/Oct/03 03:05,
Bug,ROL-212,12419922,Empty blog page,djohnson,rickardoberg,Minor,Closed,Fixed,14/Jun/03 16:22,12/Oct/03 14:27,
Improvement,ROL-259,12419889,Get rid of the FIRST POST!,djohnson,djohnson,Minor,Closed,Fixed,11/Oct/03 00:29,11/Oct/03 02:26,
Bug,ROL-242,12419860,Weblogs.com ping sends wrong URL,lavandowska,lavandowska,Minor,Closed,Fixed,01/Oct/03 13:57,11/Oct/03 00:35,
Improvement,ROL-214,12419841,Category chooser for Currency theme,djohnson,lowem,Minor,Closed,Fixed,10/Jul/03 03:27,07/Oct/03 21:53,
Bug,ROL-216,12420025,Admin can't delete user.,djohnson,sabredanse,Minor,Closed,Fixed,10/Jul/03 13:50,04/Oct/03 14:51,
Improvement,ROL-215,12419942,Anchor links for Currency theme,mraible,lowem,Minor,Closed,Fixed,10/Jul/03 03:32,01/Aug/03 14:02,
Task,ROL-100,12419828,Resin specific install guide,lavandowska,djohnson,Minor,Closed,Fixed,11/Nov/02 14:40,13/Jul/03 02:17,
New Feature,ROL-181,12419848,Ping weblogs.com when entry changed/entered,lavandowska,lavandowska,Minor,Closed,Fixed,02/May/03 20:07,07/Jun/03 04:04,
Bug,ROL-195,12419863,"Apostrophe (') character becomes &apos; in comments",lavandowska,lowem,Minor,Closed,Won't Fix,22/May/03 02:24,07/Jun/03 02:45,
Bug,ROL-185,12419715,Test page doesn't close JDBC connection,lavandowska,paulrivers,Minor,Closed,Fixed,07/May/03 17:46,06/Jun/03 22:21,
Bug,ROL-209,12419706,Blogger API error messages reversed,lavandowska,djohnson,Minor,Closed,Fixed,31/May/03 23:00,06/Jun/03 19:31,
Improvement,ROL-184,12420018,SQL script improvements,lavandowska,djohnson,Minor,Closed,Fixed,07/May/03 12:00,06/Jun/03 18:18,
Improvement,ROL-207,12420043,Main page list of popular blogs should be smaller,djohnson,djohnson,Minor,Closed,Fixed,31/May/03 03:54,31/May/03 13:51,
Bug,ROL-193,12419731,Trackback URL display should use absolute URL,djohnson,djohnson,Minor,Closed,Fixed,13/May/03 02:15,13/May/03 02:23,
Bug,ROL-192,12419764,LinkbackExtract should mind absolute URL config,djohnson,djohnson,Minor,Closed,Fixed,13/May/03 02:14,13/May/03 02:23,
Bug,ROL-188,12419857,"Links to ""Most recent weblog posts"" are always http (roller running on https) ",djohnson,entkrasser,Minor,Closed,Duplicate,09/May/03 14:06,09/May/03 17:48,
Improvement,ROL-123,12419736,Add ability to save a user's information in comments,mraible,mraible,Minor,Closed,Fixed,05/Dec/02 14:07,28/Apr/03 13:11,
New Feature,ROL-170,12419759,Support Mozilla 1.3 Midas Editor,djohnson,djohnson,Minor,Closed,Fixed,25/Apr/03 19:18,25/Apr/03 20:12,
Improvement,ROL-165,12419903,Upgrade to Hibernate 2.0 RC1,djohnson,djohnson,Minor,Closed,Fixed,23/Apr/03 02:30,24/Apr/03 02:50,
