Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Dependency upgrade,SHIRO-803,13346138,,Migrate to Jakarta APIs,,boris-petrov,Blocker,Closed,Duplicate,15/Dec/20 15:08,19/May/22 12:33,
Improvement,SHIRO-838,13397950,,Create SHA512-Hashes,bmarwell,bmarwell,Blocker,Resolved,Fixed,28/Aug/21 09:21,05/Mar/22 11:20,
Question,SHIRO-847,13424110,,Log4j 1.x 版本的CVE-2022-23302/23305/23307在Apache Shiro 1.8.0版本是否受影响,,boyqian,Blocker,Closed,Duplicate,22/Jan/22 02:11,02/Mar/22 22:57,
Task,SHIRO-572,12989902,,Validate everything in 1.2 / 1.3 has merged into 2.0,,bdemers,Blocker,Open,,15/Jul/16 18:51,18/Aug/21 14:58,
Bug,SHIRO-797,13338813,,Shiro 1.7.0 is lower than using springboot version 2.0.7 dependency error,bmarwell,BG317957,Blocker,Resolved,Fixed,04/Nov/20 10:41,22/Nov/20 13:25,
Bug,SHIRO-680,13220493,,Duplicate Bundle-SymbolicName for Different Shiro Modules,fpapon,timothyjward,Blocker,Resolved,Resolved,08/Mar/19 16:14,09/Mar/19 16:03,
New Feature,SHIRO-631,13087907,,Principal mapping rules similar to Hadoop's auth_to_local,,harisekhon,Blocker,Open,,18/Jul/17 10:54,17/Oct/17 18:23,
Bug,SHIRO-579,12996745,,Permission filter is validating last matched path,deraj123,kushmanjali@gmail.com,Blocker,Resolved,Fixed,11/Aug/16 19:57,15/Dec/16 17:43,
Bug,SHIRO-587,13005805,,Can't Access Groups If userPrincipalName Doesn't Exist,,opticyclic,Blocker,Resolved,Fixed,19/Sep/16 00:52,21/Oct/16 14:54,
Bug,SHIRO-586,13005802,,Can't Search For Groups In Active Directory Without A System User,,opticyclic,Blocker,Resolved,Fixed,19/Sep/16 00:32,21/Oct/16 14:53,
Bug,SHIRO-518,12741444,,Shiro-CAS: Security Problem in cas-client-core versions older than 3.3.2,,berger710,Blocker,Closed,Fixed,15/Sep/14 10:37,15/Jul/16 15:13,
Bug,SHIRO-508,12724976,,Shiro blocking CORSFILTER Tomcat 8.0.9,,murtaza.ghodawala,Blocker,Resolved,Abandoned,02/Jul/14 14:02,27/Jun/16 16:50,
Bug,SHIRO-271,12499128,,mvn install fails because pom namespaces are not correct,,pieber,Blocker,Closed,Fixed,19/Feb/11 17:59,04/Jan/12 00:25,
Task,SHIRO-41,12416571,,Need release form for Ki logo,,maguro,Blocker,Closed,Fixed,10/Mar/09 18:42,11/Jun/10 22:00,
Improvement,SHIRO-890,13484917,,Avoid another proxy creator when @EnableAspectJAutoProxy enabled,lhazlewood,georgecao,Critical,Resolved,Fixed,07/Oct/22 04:00,10/Oct/22 09:29,
Bug,SHIRO-349,12545875,,Security: Byte arrays (and other memory) holding sensitive data (even temporarily) should be zerod-out,fpapon,jhouse,Critical,Resolved,Resolved,09/Mar/12 17:04,20/Sep/22 16:06,
Question,SHIRO-629,13083102,,WildcardPermission syntax,bmarwell,pkriens,Critical,Closed,Won't Fix,28/Jun/17 11:22,15/Sep/21 07:24,
Bug,SHIRO-769,13303276,,Multiple realm exceptions cannot be catch,,gexiuyu,Critical,Closed,Information Provided,07/May/20 06:07,23/Aug/21 07:09,
Question,SHIRO-824,13382298,,how to create an allow list avoid deserialize vulnerability,,k4n5hao,Critical,Closed,Not A Problem,05/Jun/21 13:43,07/Jun/21 17:25,
Bug,SHIRO-762,13302032,,SecurityUtils.securityManager should be volatile,,boris-petrov,Critical,Resolved,Resolved,30/Apr/20 08:57,22/Jul/20 16:07,
Bug,SHIRO-753,13296789,,Regression in URI parsing in Shiro 1.5.2,,antoine.dessaigne,Critical,Resolved,Resolved,07/Apr/20 09:41,24/Jun/20 15:13,
Bug,SHIRO-687,13231779,,Additional Servlet Filters are not available to ShiroFilterFactorBean (unless using XML based beans),bdemers,bdemers,Critical,Resolved,Resolved,06/May/19 14:44,11/Dec/19 05:34,
Bug,SHIRO-721,13255469,,RememberMe Padding Oracle Vulnerability,,loop09,Critical,Resolved,Resolved,08/Sep/19 04:17,20/Nov/19 09:52,
Bug,SHIRO-376,12599002,,shiro-cas feature should not depend on shiro-cas,deraj123,trajano,Critical,Closed,Fixed,16/Jul/12 17:33,08/Nov/16 16:43,
Bug,SHIRO-413,12627896,,init() method is not called on class that implements org.apache.shiro.util.Initializable,,bhamail,Critical,Closed,Fixed,16/Jan/13 19:17,15/Jul/16 15:06,
