Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,SOLR-3397,12552118,,Insure that Replication and Solr Cloud are compatible,erickerickson,erickerickson,Major,Resolved,Fixed,23/Apr/12 12:31,09/May/16 18:50,
Bug,SOLR-7866,12851149,,getMaxVersionFromIndex is throwing an NPE if some segments are not current,thelabdude,thelabdude,Major,Closed,Fixed,03/Aug/15 17:09,09/May/16 18:50,
Bug,SOLR-7865,12851148,,lookup method implemented in BlendedInfixLookupFactory does not respect suggest.count,mikemccand,arcadius,Major,Closed,Fixed,03/Aug/15 17:05,09/May/16 18:50,
Bug,SOLR-4791,12646340,,solr.xml sharedLib does not work in 4.3.0,erickerickson,janhoy,Major,Closed,Fixed,07/May/13 01:36,09/May/16 18:50,
Bug,SOLR-5605,12687301,,MapReduceIndexerTool fails in some locales -- seen in random failures of MapReduceIndexerToolArgumentParserTest,markrmiller@gmail.com,hossman,Major,Closed,Fixed,04/Jan/14 05:49,09/May/16 18:50,
Bug,SOLR-7015,12769219,,collection create w/ stateFormat=2 fails if conf name equals collection name,noble.paul,noble.paul,Major,Closed,Fixed,22/Jan/15 07:17,09/May/16 18:50,
Bug,SOLR-6257,12728258,,"More than two ""!""-s in a doc ID throws an ArrayIndexOutOfBoundsException when using the composite id router",sarowe,sarowe,Major,Resolved,Fixed,18/Jul/14 18:56,09/May/16 18:50,
Bug,SOLR-5906,12703295,,core.properties values may get ignored in some cases when using the Collection API,shalin,varun,Major,Closed,Fixed,24/Mar/14 19:50,09/May/16 18:50,
Bug,SOLR-4783,12645945,,Rollback is not working in SolrCloud,,shekar,Major,Closed,Duplicate,03/May/13 10:18,09/May/16 18:50,
New Feature,SOLR-4370,12629558,,Ability to control the commit behaviour of commitWithin,markrmiller@gmail.com,senthuran,Major,Closed,Fixed,28/Jan/13 17:58,09/May/16 18:50,
Bug,SOLR-5661,12690997,,PriorityQueue has OOM (Requested array size exceeds VM limit) issue,mikemccand,raintung.li,Major,Resolved,Fixed,24/Jan/14 09:33,09/May/16 18:50,
Bug,SOLR-6766,12756524,,Switch o.a.s.store.blockcache.Metrics to use JMX,markrmiller@gmail.com,mdrob,Major,Closed,Fixed,19/Nov/14 20:25,09/May/16 18:50,
Improvement,SOLR-7147,12777002,,Introduce new TrackingShardHandlerFactory for monitoring what requests are sent to shards during tests,shalin,hossman,Major,Closed,Fixed,24/Feb/15 00:38,09/May/16 18:50,
Bug,SOLR-4105,12617252,,SolrCloud - Restarting a Solr Node Causes Random Results ,,deniz,Major,Closed,Fixed,22/Nov/12 01:46,09/May/16 18:50,
Bug,SOLR-7855,12850725,,OverseerCollectionProcessor: separate general task management from collection message handling,gchanan,gchanan,Major,Closed,Fixed,31/Jul/15 23:57,09/May/16 18:50,
Improvement,SOLR-6627,12748312,,Fix non-default Solr tests,,elyograg,Major,Open,,15/Oct/14 15:35,09/May/16 18:50,
Improvement,SOLR-5660,12690965,,Send request level commitWithin as a param rather than setting it per doc,,shalin,Major,Open,,24/Jan/14 04:50,09/May/16 18:50,
Bug,SOLR-5820,12699155,,OverseerCollectionProcessor#lookupReplicas has a timeout that is too short and a bad error message on timeout.,markrmiller@gmail.com,markrmiller@gmail.com,Major,Closed,Fixed,06/Mar/14 13:51,09/May/16 18:50,
Improvement,SOLR-6765,12756484,,Provide better error messages for mis-configured Zookeeper ensemble connection strings,,erickerickson,Major,Open,,19/Nov/14 18:31,09/May/16 18:50,
Bug,SOLR-5593,12686851,,shard leader loss due to ZK session expiry,markrmiller@gmail.com,cpoerschke,Major,Closed,Fixed,31/Dec/13 16:04,09/May/16 18:50,
Bug,SOLR-7084,12772991,,FreeTextSuggester Nullpointer when building dictionary,janhoy,janhoy,Major,Closed,Fixed,06/Feb/15 12:43,09/May/16 18:50,
Improvement,SOLR-7425,12822142,,Improve MDC based logging format. ,markrmiller@gmail.com,markrmiller@gmail.com,Major,Closed,Fixed,19/Apr/15 12:47,09/May/16 18:50,
