Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,SVN-760,12897141,,'svn update' does not work,,subversion-importer,Major,Closed,Invalid,22/Jun/02 11:12,05/Oct/05 16:48,
Bug,SVN-758,12897139,,commit of tree mods fails over ra_dav but not ra_local,,blair,Major,Closed,Cannot Reproduce,20/Jun/02 01:04,05/Oct/05 16:48,
Bug,SVN-744,12897125,,test issue 2 - ignore,subversion-importer,subversion-importer,Major,Closed,Invalid,17/Jun/02 16:53,05/Oct/05 16:48,
Bug,SVN-825,12897206,,svn export leaves .svn dirs,,subversion-importer,Major,Closed,Invalid,29/Jul/02 02:45,05/Oct/05 16:48,
Improvement,SVN-821,12897202,,"Add, or document, the feature to have encrypted comunications",,subversion-importer,Major,Closed,Invalid,25/Jul/02 20:47,05/Oct/05 16:48,
Bug,SVN-818,12897199,,svn status inconsistent after rename,,blair,Major,Closed,Invalid,25/Jul/02 20:08,05/Oct/05 16:48,
Bug,SVN-802,12897183,,No separation between files when svn log on multiple files,,subversion-importer,Major,Closed,Invalid,20/Jul/02 04:45,05/Oct/05 16:48,
Bug,SVN-1166,12897547,,commit does not show all outdated files,,subversion-importer,Major,Closed,Invalid,06/Mar/03 16:14,05/Oct/05 16:48,
Bug,SVN-1156,12897537,,using digest passwd files in apache2 breaks svn,,subversion-importer,Major,Closed,Invalid,27/Feb/03 04:24,05/Oct/05 16:48,
Bug,SVN-1147,12897528,,apr configure fails,,subversion-importer,Major,Closed,Invalid,20/Feb/03 09:54,05/Oct/05 16:48,
Bug,SVN-1137,12897518,,Cannot load module into Apache2,,subversion-importer,Major,Closed,Invalid,16/Feb/03 15:32,05/Oct/05 16:48,
New Feature,SVN-1127,12897508,,File and Directory exceptions,,subversion-importer,Major,Closed,Invalid,05/Feb/03 21:14,05/Oct/05 16:48,
Bug,SVN-1123,12897504,,Subversion: The Definitive Guide: Misspelling - Sysetm,,subversion-importer,Major,Closed,Invalid,02/Feb/03 22:12,05/Oct/05 16:48,
Bug,SVN-1113,12897494,,Is it global-ignores or global_ignores?,,subversion-importer,Major,Closed,Invalid,24/Jan/03 19:59,05/Oct/05 16:48,
Improvement,SVN-1110,12897491,,One Tarball To Build Them All,,subversion-importer,Major,Closed,Invalid,24/Jan/03 04:23,05/Oct/05 16:48,
Bug,SVN-1103,12897484,,subversion-r4276 does not compile on AIX 5.1,,subversion-importer,Major,Closed,Invalid,20/Jan/03 19:48,05/Oct/05 16:48,
Bug,SVN-1097,12897478,,Noting various httpd server hangs or crashes,,blair,Major,Closed,Invalid,16/Jan/03 19:40,05/Oct/05 16:48,
Bug,SVN-1096,12897477,,Filesystem delta chunk checksums -- all zeros?!,,cmpilato,Major,Closed,Invalid,15/Jan/03 19:59,05/Oct/05 16:48,
Improvement,SVN-1065,12897446,,"client could handle illegal pathnames (like "".svn"")  more gracefully",,subversion-importer,Major,Closed,Invalid,07/Jan/03 12:54,05/Oct/05 16:48,
Improvement,SVN-1062,12897443,,improve dav property compatibility,,sussman,Major,Open,,03/Jan/03 22:13,05/Oct/05 16:48,
Bug,SVN-1194,12897576,,'svn di -x' no longer works.,,subversion-importer,Major,Closed,Invalid,18/Mar/03 02:43,05/Oct/05 16:48,
Bug,SVN-2352,12898737,,svn delete doesn't remove symlinks within unversioned directories,,subversion-importer,Major,Open,,05/Jul/05 22:14,05/Oct/05 16:48,
Bug,SVN-2351,12898736,,'svn diff' headers/hunks use inconsistent eol on Windows,,kfogel,Major,Open,,05/Jul/05 20:01,05/Oct/05 16:48,
Bug,SVN-2245,12898630,,Perl bindings not clearing refcnts when abort_edit called,subversion-importer,subversion-importer,Major,Open,,08/Mar/05 07:18,05/Oct/05 16:48,
Improvement,SVN-659,12897040,,The copy command should allow a rev,,subversion-importer,Major,Closed,Invalid,30/Mar/02 05:36,05/Oct/05 16:48,
Bug,SVN-701,12897082,,"Subversion properties live in an XML namespace called ""svn:""",,reschke,Major,Closed,Invalid,11/May/02 15:18,05/Oct/05 16:48,
Bug,SVN-726,12897107,,Bogus error message upon authentication failure,,subversion-importer,Major,Closed,Invalid,11/Jun/02 00:48,05/Oct/05 16:48,
Bug,SVN-1397,12897780,,cvs2svn.py and Python bindings on Windows,,subversion-importer,Major,Closed,Invalid,03/Jul/03 17:15,05/Oct/05 16:48,
Bug,SVN-1380,12897763,,mod_auth_svn installed incorrectly,,sussman,Major,Closed,Invalid,27/Jun/03 22:30,05/Oct/05 16:48,
Bug,SVN-1351,12897734,,svn -r 939 log vs. svn -r 939 diff inconsistency,,subversion-importer,Major,Closed,Invalid,06/Jun/03 17:12,05/Oct/05 16:48,
Bug,SVN-1349,12897732,,checksum error,kfogel,kfogel,Major,Closed,Invalid,05/Jun/03 16:47,05/Oct/05 16:48,
Improvement,SVN-1339,12897722,,hot-backup.py needs to deal with lockfiles better,,subversion-importer,Major,Closed,Invalid,28/May/03 14:51,05/Oct/05 16:48,
