Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Sub-task,SYNCOPE-529,12725214,12600852,Install through HTTP proxy,andrea.patricelli,massi,Major,Closed,Fixed,03/Jul/14 09:23,03/Oct/14 09:22,
Improvement,SYNCOPE-439,12679235,,Embed Activiti modeler for graphical workflow editing,ilgrosso,ilgrosso,Major,Closed,Fixed,14/Nov/13 16:13,15/Sep/14 12:59,
Improvement,SYNCOPE-444,12680261,,Notification: improve 'selfAsRecipient' management,mdisabatino,fmartelli,Major,Closed,Fixed,20/Nov/13 11:48,08/Sep/14 14:32,
Improvement,SYNCOPE-464,12685414,,Report error information in HTTP body ,ilgrosso,ilgrosso,Major,Closed,Fixed,18/Dec/13 17:00,08/Sep/14 14:32,
Improvement,SYNCOPE-479,12691343,,Use X-Application-Error-Code Response header instead of ExceptionType,ilgrosso,owulff,Major,Closed,Fixed,27/Jan/14 10:15,08/Sep/14 14:32,
Bug,SYNCOPE-285,12628869,,Complete CXF migration,ilgrosso,ilgrosso,Major,Closed,Fixed,23/Jan/13 10:09,08/Sep/14 14:32,
Improvement,SYNCOPE-149,12600959,,Easier and cleaner way to override REST methods,,ilgrosso,Major,Closed,Implemented,01/Aug/12 08:15,08/Sep/14 14:32,
Task,SYNCOPE-496,12717245,,Upgrade jboss-it profile to Wildfly 8,ilgrosso,ilgrosso,Major,Closed,Fixed,29/May/14 09:51,08/Sep/14 14:32,
Improvement,SYNCOPE-517,12723571,,Empower ETag from console,ilgrosso,ilgrosso,Major,Closed,Fixed,25/Jun/14 06:38,08/Sep/14 14:32,
Sub-task,SYNCOPE-530,12725220,12600852,Wiki page,massi,massi,Major,Closed,Fixed,03/Jul/14 09:50,08/Sep/14 14:32,
Bug,SYNCOPE-483,12700666,,Configured CSVDir connector doesn't work fine,massi,fmartelli,Major,Closed,Fixed,11/Mar/14 10:04,08/Sep/14 14:32,
Sub-task,SYNCOPE-526,12724979,12600852,Test in Windows environment,massi,massi,Major,Closed,Fixed,02/Jul/14 14:08,08/Sep/14 14:32,
Improvement,SYNCOPE-450,12681244,,Support JAX-RS 2.0,ilgrosso,ilgrosso,Major,Closed,Fixed,26/Nov/13 11:23,08/Sep/14 14:32,
Improvement,SYNCOPE-443,12679960,,Use WebJars to avoid including 3rd party JS and CSS files,ilgrosso,ilgrosso,Major,Closed,Fixed,19/Nov/13 14:37,08/Sep/14 14:32,
Sub-task,SYNCOPE-286,12628870,12628869,Remove Spring MVC,ilgrosso,ilgrosso,Major,Closed,Fixed,23/Jan/13 10:12,08/Sep/14 14:32,
Sub-task,SYNCOPE-472,12687670,12652347,Provide user filter rule management for push task,fmartelli,fmartelli,Major,Closed,Fixed,07/Jan/14 16:07,08/Sep/14 14:32,
Bug,SYNCOPE-495,12715939,,List of role(s) assigned to user is deleted in edit user modal page if cancel button of role modal page is clicked,mdisabatino,andrea.patricelli,Major,Closed,Fixed,22/May/14 08:01,08/Sep/14 14:32,
Improvement,SYNCOPE-429,12676620,,Support ETag-based conditional requests for users and roles,ilgrosso,ilgrosso,Major,Closed,Fixed,30/Oct/13 12:39,08/Sep/14 14:32,
Improvement,SYNCOPE-393,12652351,,Resource unlink,fmartelli,fmartelli,Major,Closed,Fixed,12/Jun/13 09:32,08/Sep/14 14:32,
Improvement,SYNCOPE-313,12632381,,Support synchronizing non-cleartext passwords from external resources,coheigea,coheigea,Major,Closed,Fixed,14/Feb/13 14:08,08/Sep/14 14:32,
New Feature,SYNCOPE-123,12600803,,Binary schema,ilgrosso,ilgrosso,Major,Closed,Fixed,31/Jul/12 08:30,08/Sep/14 14:32,
Task,SYNCOPE-451,12681519,,Upgrade to OpenJPA 2.3.0,ilgrosso,ilgrosso,Major,Closed,Fixed,27/Nov/13 09:00,08/Sep/14 14:32,
Bug,SYNCOPE-527,12724988,,Stacktrace on BulkAction result,mdisabatino,ilgrosso,Major,Closed,Fixed,02/Jul/14 14:56,08/Sep/14 14:32,
Improvement,SYNCOPE-290,12629276,,Typed SyncopeConf,ilgrosso,ilgrosso,Major,Closed,Fixed,25/Jan/13 14:52,08/Sep/14 14:32,
Improvement,SYNCOPE-132,12600835,,Don't expose some REST list methods for anonymous,ilgrosso,ilgrosso,Major,Closed,Fixed,31/Jul/12 12:53,08/Sep/14 14:32,
Sub-task,SYNCOPE-521,12724897,12600852,use newer HttpClient 4.3 instead on legacy 3.1,massi,massi,Major,Closed,Fixed,02/Jul/14 07:28,08/Sep/14 14:32,
Bug,SYNCOPE-510,12722456,,Class cast exception in AbstractSearchPanel,andrea.patricelli,andrea.patricelli,Major,Closed,Fixed,19/Jun/14 09:42,08/Sep/14 14:32,
Sub-task,SYNCOPE-471,12687668,12652347,Provide matching/unmatchig rule management for push tasks,fmartelli,fmartelli,Major,Closed,Fixed,07/Jan/14 16:00,08/Sep/14 14:32,
Improvement,SYNCOPE-428,12676606,,"Provide resource link, associate and provision independent features",fmartelli,ilgrosso,Major,Closed,Fixed,30/Oct/13 11:46,08/Sep/14 14:32,
Improvement,SYNCOPE-488,12709952,,Use CXF Maven WADL plugin,ilgrosso,ilgrosso,Major,Closed,Fixed,23/Apr/14 06:57,08/Sep/14 14:32,
Improvement,SYNCOPE-461,12684038,,Use BeanValidation 1.1 with JAX-RS services,ilgrosso,ilgrosso,Major,Closed,Fixed,11/Dec/13 14:25,08/Sep/14 14:32,
Improvement,SYNCOPE-145,12600854,,Configurable user request approval,ilgrosso,ilgrosso,Major,Closed,Fixed,31/Jul/12 13:30,08/Sep/14 14:32,
Sub-task,SYNCOPE-542,12732793,12600852,Improve feedback massages and logs,massi,massi,Major,Closed,Fixed,08/Aug/14 09:22,08/Sep/14 14:32,
Improvement,SYNCOPE-492,12715402,,Provide possibility to activate/deactivate notifications,andrea.patricelli,andrea.patricelli,Major,Closed,Fixed,20/May/14 10:10,08/Sep/14 14:32,
Bug,SYNCOPE-506,12720857,,Connector configuration tab in connector modal page does not accept new values,mdisabatino,andrea.patricelli,Major,Closed,Fixed,12/Jun/14 12:29,08/Sep/14 14:32,
Sub-task,SYNCOPE-525,12724977,12600852,Https support,massi,massi,Major,Closed,Fixed,02/Jul/14 14:04,08/Sep/14 14:32,
Sub-task,SYNCOPE-541,12731969,12600852,Add configuration directory field,massi,massi,Major,Closed,Fixed,05/Aug/14 09:10,08/Sep/14 14:32,
New Feature,SYNCOPE-164,12600977,,Passthrough authentication,ilgrosso,ilgrosso,Major,Closed,Fixed,01/Aug/12 08:58,08/Sep/14 14:32,
Sub-task,SYNCOPE-271,12627150,12628869,Review REST interface methods and introduce @Deprecated,ilgrosso,ilgrosso,Major,Closed,Won't Fix,11/Jan/13 09:45,08/Sep/14 14:32,
New Feature,SYNCOPE-270,12626918,,Encrypted schema,ilgrosso,ilgrosso,Major,Closed,Fixed,10/Jan/13 11:12,08/Sep/14 14:32,
Improvement,SYNCOPE-502,12720315,,"Allow list of PropagationActions for Resource, SyncActions for SyncTask and PushActions for PushTask",ilgrosso,ilgrosso,Major,Closed,Fixed,10/Jun/14 10:20,08/Sep/14 14:32,
Improvement,SYNCOPE-407,12659761,,Add claim for user requests and trace user request history into SyncopeUser bean,fmartelli,fmartelli,Major,Closed,Fixed,25/Jul/13 09:59,08/Sep/14 14:32,
Improvement,SYNCOPE-445,12680262,,Provide a text field to specify whatever notification recipient,mdisabatino,fmartelli,Major,Closed,Fixed,20/Nov/13 11:50,08/Sep/14 14:32,
Improvement,SYNCOPE-425,12675441,,Further REST refactoring,ilgrosso,ilgrosso,Major,Closed,Fixed,24/Oct/13 08:22,08/Sep/14 14:32,
Bug,SYNCOPE-349,12640480,,Sorting scope is limited to each page,ilgrosso,ilgrosso,Major,Closed,Fixed,03/Apr/13 10:23,08/Sep/14 14:32,
New Feature,SYNCOPE-150,12600960,,Rich client library,ilgrosso,ilgrosso,Major,Closed,Fixed,01/Aug/12 08:16,08/Sep/14 14:32,
Improvement,SYNCOPE-505,12720528,,Support propagating non-cleartext passwords to external resources,coheigea,ilgrosso,Major,Closed,Fixed,11/Jun/14 08:15,08/Sep/14 14:32,
Bug,SYNCOPE-457,12682292,,Must be able to configure JavaMailSender used by NotificationJob,hadrian,hadrian,Major,Closed,Fixed,03/Dec/13 02:25,08/Sep/14 14:32,
Bug,SYNCOPE-458,12682437,,Change membership virtual attribute management,andrea.patricelli,fmartelli,Major,Closed,Fixed,03/Dec/13 17:28,08/Sep/14 14:32,
Sub-task,SYNCOPE-473,12687671,12652347,Provide configuration interface for push tasks,andrea.patricelli,fmartelli,Major,Closed,Fixed,07/Jan/14 16:09,08/Sep/14 14:32,
Improvement,SYNCOPE-406,12659582,,Invoke bean validation via JPA entity listener,ilgrosso,ilgrosso,Major,Closed,Fixed,24/Jul/13 14:27,08/Sep/14 14:32,
Improvement,SYNCOPE-524,12724910,,Use JSON for serialized POJOs in the internal storage,ilgrosso,ilgrosso,Major,Closed,Fixed,02/Jul/14 08:16,08/Sep/14 14:31,
Improvement,SYNCOPE-447,12680264,,Provide the ability to have a single (cumulative) notification for task execution,andrea.patricelli,fmartelli,Major,Closed,Fixed,20/Nov/13 11:56,08/Sep/14 14:31,
Improvement,SYNCOPE-405,12659281,,Replace logback with log4j 2,ilgrosso,ilgrosso,Major,Closed,Fixed,23/Jul/13 08:31,08/Sep/14 14:31,
Bug,SYNCOPE-414,12669209,,Cannot successfully deploy on Weblogic 12c (12.1.1),ilgrosso,ilgrosso,Major,Closed,Fixed,18/Sep/13 08:23,08/Sep/14 14:31,
Bug,SYNCOPE-482,12697701,,Updating workflow definition throught console XML editor doesn't really update,giacomolm,giacomolm,Major,Closed,Fixed,27/Feb/14 14:28,08/Sep/14 14:31,
Sub-task,SYNCOPE-246,12623142,12628869,Remove collection setters in transfer objects for JAXB marshalling,ilgrosso,ashakirin,Major,Closed,Fixed,10/Dec/12 13:39,08/Sep/14 14:31,
Task,SYNCOPE-544,12739045,,Review LICENSE & NOTICE for binary artifacts,ilgrosso,ilgrosso,Major,Closed,Fixed,04/Sep/14 07:25,08/Sep/14 14:31,
Sub-task,SYNCOPE-523,12724901,12600852,Remove dependencies of MySQL and PostgreSQL JDBC drivers,massi,massi,Major,Closed,Fixed,02/Jul/14 07:32,08/Sep/14 14:31,
