Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,TAJO-1515,12787923,,task history file size limit,yongjin.choi,jerryjung,Trivial,Open,,03/Apr/15 06:35,02/Nov/15 17:56,
Improvement,TAJO-1412,12782790,,Add polling API in TajoMasterClientProtocol to wait result effectively,navis,navis,Trivial,Open,,18/Mar/15 08:34,02/Nov/15 17:56,
Sub-task,TAJO-1911,12902542,12902541,Change guava's Optional to Java's Optional.,hyunsik,hyunsik,Trivial,Resolved,Fixed,05/Oct/15 23:28,20/Oct/15 04:11,
Improvement,TAJO-1850,12864041,,Using TUtil.newHash(Set/Map) should be replaced by Java's diamond operator,dkhwangbo,hyunsik,Trivial,Resolved,Fixed,14/Sep/15 21:38,20/Oct/15 02:49,
Improvement,TAJO-1892,12896322,,Remove '_' as an identifier,dkhwangbo,dkhwangbo,Trivial,Resolved,Won't Fix,25/Sep/15 04:50,06/Oct/15 01:17,
Improvement,TAJO-1899,12896588,,Calling 'Arrays.asList()' with too few arguments cause memory extravagance,dkhwangbo,dkhwangbo,Trivial,Resolved,Fixed,26/Sep/15 12:49,05/Oct/15 13:54,
Task,TAJO-1893,12896326,,Remove unused import,dkhwangbo,dkhwangbo,Trivial,Resolved,Fixed,25/Sep/15 05:36,05/Oct/15 09:43,
Sub-task,TAJO-1844,12863585,12863581,Eliminate explicit diamond expressions,dkhwangbo,hyunsik,Trivial,Resolved,Done,12/Sep/15 02:52,05/Oct/15 08:50,
Bug,TAJO-1897,12896586,,JSON standard does not allow comments,,dkhwangbo,Trivial,Open,,26/Sep/15 12:32,26/Sep/15 12:35,
Bug,TAJO-1898,12896587,,JSON standard allows only one top-level value,,dkhwangbo,Trivial,Open,,26/Sep/15 12:34,26/Sep/15 12:34,
Sub-task,TAJO-1843,12863584,12863581,"Eliminate explicit diamond expressions in tajo-{jdbc,client}",dkhwangbo,hyunsik,Trivial,Resolved,Implemented,12/Sep/15 02:50,23/Sep/15 03:04,
Sub-task,TAJO-1842,12863583,12863581,Eliminate explicit diamond expressions in tajo-core,dkhwangbo,hyunsik,Trivial,Resolved,Implemented,12/Sep/15 02:48,23/Sep/15 03:03,
Bug,TAJO-1861,12873179,,TSQL should change line after printout error message during connecting other database,dkhwangbo,dkhwangbo,Trivial,Resolved,Fixed,17/Sep/15 05:15,22/Sep/15 05:21,
Sub-task,TAJO-1841,12863582,12863581,"Eliminate explicit diamond expressions in tajo-{algebra,rpc}",hyunsik,hyunsik,Trivial,Resolved,Fixed,12/Sep/15 02:43,14/Sep/15 18:48,
Improvement,TAJO-1729,12850234,,No handling of default case in DDLExecutor,dkhwangbo,hyunsik,Trivial,Resolved,Fixed,30/Jul/15 12:59,08/Sep/15 10:30,
Task,TAJO-1805,12859505,,"In the 'Execute Query' page of web UI, default database should be set as 'default'",dkhwangbo,jihoonson,Trivial,Resolved,Fixed,27/Aug/15 03:22,08/Sep/15 04:47,
Sub-task,TAJO-1484,12786916,12786914,Apply on ColPartitionStoreExec,navis,navis,Trivial,Resolved,Fixed,31/Mar/15 04:23,24/Jul/15 00:24,
Bug,TAJO-1689,12845839,,Metrics file reporter prints histogram metric without group name.,hyunsik,hyunsik,Trivial,Resolved,Fixed,17/Jul/15 09:23,20/Jul/15 12:46,
Bug,TAJO-1536,12818816,,Fix minor issues in QueryMaster,navis,navis,Trivial,Resolved,Fixed,07/Apr/15 06:27,20/Jul/15 08:49,
Improvement,TAJO-1660,12840349,,Update copyright year in NOTICE,hyunsik,jghoman,Trivial,Resolved,Fixed,24/Jun/15 21:49,25/Jun/15 01:45,
Improvement,TAJO-1408,12782740,,Make IntermediateEntryProto more compact,navis,navis,Trivial,Resolved,Fixed,18/Mar/15 01:30,24/Jun/15 10:39,
Improvement,TAJO-1646,12838061,,Add extlib directory for third-party libraries,hyunsik,hyunsik,Trivial,Resolved,Fixed,16/Jun/15 06:44,20/Jun/15 02:06,
Improvement,TAJO-1633,12834054,,Cleanup TajoMasterClientService,hyunsik,hyunsik,Trivial,Resolved,Fixed,31/May/15 08:02,16/Jun/15 03:17,
Improvement,TAJO-1626,12832994,,JdbcConnection::setAutoCommit() should not throw an exception.,hyunsik,hyunsik,Trivial,Resolved,Fixed,27/May/15 09:29,28/May/15 13:11,
Bug,TAJO-1558,12821444,,HBASE_LIB/hbase-server-*.jar should be included in the CLASSPATH,eminency,hjkim,Trivial,Resolved,Fixed,16/Apr/15 07:53,21/May/15 11:48,
Improvement,TAJO-1452,12786038,,Improve function listing order,dongjoon,dongjoon,Trivial,Resolved,Fixed,26/Mar/15 23:12,08/May/15 09:25,
Improvement,TAJO-1503,12787546,,'host' field in IntermediateEntryProto should be more intuitive.,navis,hyunsik,Trivial,Resolved,Duplicate,02/Apr/15 01:49,06/May/15 21:57,
Task,TAJO-1559,12821718,,"Fix data model description (tinyint, smallint)",dongjoon,dongjoon,Trivial,Resolved,Fixed,16/Apr/15 23:19,06/May/15 03:39,
Task,TAJO-1575,12822551,,HBASE_HOME guidance is duplicated in tajo-env.sh,eminency,eminency,Trivial,Resolved,Fixed,21/Apr/15 03:43,24/Apr/15 07:24,
Improvement,TAJO-1530,12818565,,Display warn message when the query kill button is clicked in WEB UI.,dongjoon,hjkim,Trivial,Resolved,Fixed,06/Apr/15 08:33,20/Apr/15 23:41,
Improvement,TAJO-901,12725188,,JDBC Statement should support setMaxRow(),,hjkim,Trivial,Resolved,Duplicate,03/Jul/14 06:43,20/Apr/15 03:27,
Bug,TAJO-1522,12788242,,NPE making stage history before task scheduler is initialized,navis,navis,Trivial,Resolved,Fixed,04/Apr/15 01:43,20/Apr/15 02:03,
Task,TAJO-1567,12821873,,Update old license in some pom.xml files,dongjoon,dongjoon,Trivial,Resolved,Fixed,17/Apr/15 13:22,19/Apr/15 13:06,
Improvement,TAJO-1454,12786054,,Comparing two date or two timestamp need not normalizing,navis,navis,Trivial,Resolved,Fixed,27/Mar/15 00:22,16/Apr/15 02:23,
Improvement,TAJO-1550,12820471,,Implements JUL Adapter for log4j 1.2,ykrips,ykrips,Trivial,Open,,13/Apr/15 06:26,14/Apr/15 00:51,
Improvement,TAJO-1385,12780732,,Remove locking on RMContext,navis,navis,Trivial,Resolved,Fixed,10/Mar/15 06:56,11/Apr/15 02:14,
Improvement,TAJO-1547,12820019,,Implement hash-cross join,navis,navis,Trivial,Open,,10/Apr/15 10:38,10/Apr/15 12:41,
Bug,TAJO-1500,12787301,,FinishedTaskCleanThread is not interrupted when worker stops,navis,navis,Trivial,Resolved,Fixed,01/Apr/15 09:24,09/Apr/15 16:52,
Bug,TAJO-1538,12818834,,TajoWorkerResourceManager.allocatedResourceMap is increasing forever,navis,navis,Trivial,Resolved,Fixed,07/Apr/15 07:52,07/Apr/15 13:54,
Improvement,TAJO-1531,12818579,,Add total fetch time in taskdetail.jsp page ,,hjkim,Trivial,Open,,06/Apr/15 10:44,07/Apr/15 00:43,
Bug,TAJO-1510,12787651,,Change a function name from getFileCunks to getFileChunks,swlsw,swlsw,Trivial,Resolved,Fixed,02/Apr/15 11:11,06/Apr/15 03:36,
Task,TAJO-1462,12786429,,Replace CSV examples into TEXT examples in docs,dongjoon,dongjoon,Trivial,Resolved,Fixed,28/Mar/15 07:02,04/Apr/15 11:02,
Improvement,TAJO-1501,12787318,,Too many log message of HashShuffleAppenderManager.,eminency,hjkim,Trivial,Resolved,Fixed,01/Apr/15 11:19,03/Apr/15 02:30,
Bug,TAJO-1491,12787164,,Add patch files to gitignore,jghoman,jghoman,Trivial,Resolved,Fixed,31/Mar/15 21:35,01/Apr/15 20:45,
Bug,TAJO-1434,12783568,,Fix supporting version of Hadoop,dongjoon,dongjoon,Trivial,Resolved,Fixed,20/Mar/15 11:28,26/Mar/15 03:13,
Bug,TAJO-1396,12781496,,Unexpected IllegalMonitorStateException can be thrown in QueryInProgress,navis,navis,Trivial,Resolved,Fixed,12/Mar/15 13:14,24/Mar/15 04:55,
Task,TAJO-1444,12784804,,Add warning document for integer division.,,hjkim,Trivial,Open,,23/Mar/15 12:17,23/Mar/15 12:17,
Improvement,TAJO-1418,12783129,,Comment on TAJO_PULLSERVER_STANDALONE in tajo-env.sh is not consistent,navis,navis,Trivial,Resolved,Fixed,19/Mar/15 05:41,23/Mar/15 00:20,
Task,TAJO-1439,12783841,,Some method name is written wrongly,eminency,eminency,Trivial,Resolved,Fixed,21/Mar/15 08:20,22/Mar/15 09:09,
Bug,TAJO-1414,12783072,,Two RemoteException in rpc module,navis,navis,Trivial,Resolved,Fixed,18/Mar/15 23:58,20/Mar/15 03:29,
Improvement,TAJO-1382,12780701,,Refactoring of NumberUtil to keep single copy of codes both for byte[] and bytebuf,navis,navis,Trivial,Resolved,Won't Fix,10/Mar/15 02:02,13/Mar/15 08:19,
Improvement,TAJO-1394,12781384,,Support reconnect on tsql,navis,navis,Trivial,Resolved,Fixed,12/Mar/15 01:57,13/Mar/15 06:31,
Improvement,TAJO-1395,12781397,,Remove deprecated sql files for Oracle and PostgreSQL,ykrips,ykrips,Trivial,Resolved,Fixed,12/Mar/15 03:51,13/Mar/15 06:31,
Task,TAJO-1398,12781711,,Fix 'Getting Started' link error from 0.9.0 into 'current',dongjoon,dongjoon,Trivial,Resolved,Fixed,13/Mar/15 03:59,13/Mar/15 04:56,
Bug,TAJO-1378,12780385,,Incorrect version(0.8.0) info in tajo-doc,dongjoon,dongjoon,Trivial,Resolved,Fixed,09/Mar/15 02:58,10/Mar/15 00:33,
Bug,TAJO-1370,12779692,,TUtils.checkEquals() is not consistent with description in javadoc,navis,navis,Trivial,Resolved,Fixed,05/Mar/15 05:21,08/Mar/15 22:23,
Improvement,TAJO-1369,12779659,,Some stack trace information is missed in error/fail logging,navis,navis,Trivial,Resolved,Fixed,05/Mar/15 01:45,06/Mar/15 11:10,
Improvement,TAJO-1335,12772618,,Bump up 0.10.0-SNAPSHOT to 0.11.0-SNAPSHOT in master branch,hyunsik,hyunsik,Trivial,Resolved,Fixed,05/Feb/15 08:04,05/Mar/15 06:45,
Bug,TAJO-1365,12778533,,Suppress release audit warnings on Jekins builds ,ykrips,ykrips,Trivial,Resolved,Fixed,01/Mar/15 01:38,02/Mar/15 02:02,
Bug,TAJO-1303,12767319,,CDH cannot pass hadoop version check test,sirpkt,sirpkt,Trivial,Resolved,Fixed,14/Jan/15 00:27,23/Jan/15 04:11,
Bug,TAJO-1270,12763815,,Fix typos,charsyam,charsyam,Trivial,Resolved,Fixed,26/Dec/14 12:14,06/Jan/15 17:47,
Task,TAJO-967,12728488,,tajoCli doesn't remeber the last '\q' command.,jungjw,i1befree,Trivial,Resolved,Fixed,21/Jul/14 07:52,05/Jan/15 05:30,
Improvement,TAJO-1176,12755235,,Implements queryable virtual tables for catalog information,ykrips,ykrips,Trivial,Resolved,Fixed,14/Nov/14 01:38,31/Dec/14 13:08,
Improvement,TAJO-1207,12757231,,Remove redundant code in Bytes.java in tajo-common,charsyam,charsyam,Trivial,Resolved,Won't Fix,22/Nov/14 18:11,27/Dec/14 08:41,
