Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,TEZ-2633,12846733,,Allow VertexManagerPlugins to receive and report based on attempts instead of tasks,bikassaha,bikassaha,Major,Closed,Fixed,22/Jul/15 01:12,12/Dec/15 01:51,
Bug,TEZ-2992,12921234,,RecoveryService should wrap all of its operations using AppMaster UGI ,,hitesh,Major,Open,,11/Dec/15 19:17,11/Dec/15 19:17,
Task,TEZ-2593,12842189,,Script to publish tez jars built against different versions of hadoop,,hitesh,Major,Open,,02/Jul/15 04:33,11/Dec/15 06:45,
Task,TEZ-2598,12842200,,Create a license check tool to ensure that the license file does not go out of sync with the assembled tarball,,hitesh,Major,Open,,02/Jul/15 05:00,10/Dec/15 17:20,
Task,TEZ-2597,12842195,,Support a profile ( or set of profiles ) to build tez against various major hadoop distributions,,hitesh,Major,Open,,02/Jul/15 04:39,10/Dec/15 17:19,
Improvement,TEZ-2596,12842194,,Create a better assembly which a user can deploy and use.,,hitesh,Major,Open,,02/Jul/15 04:37,10/Dec/15 17:19,
Improvement,TEZ-1940,12767225,,Change OrderedGroupedFetcher to work with a ThreadPool and Callables,,sseth,Major,Resolved,Duplicate,13/Jan/15 19:29,09/Dec/15 09:07,
Improvement,TEZ-2454,12830047,,Change FetcherOrderedGroup to work as Callables instead of blocking threads,sseth,sseth,Major,Closed,Fixed,15/May/15 01:42,09/Dec/15 09:07,
Bug,TEZ-1408,12733557,,SLF4J related warnings when using full tarball ,,hitesh,Major,Open,,12/Aug/14 18:21,07/Dec/15 22:27,
Sub-task,TEZ-2430,12827918,12643479,Add test for RecoveryEvent Spec,zjffdu,zjffdu,Major,Resolved,Won't Fix,07/May/15 04:03,07/Dec/15 06:01,
Bug,TEZ-2188,12780766,,Verify vertex with bipartite source vertex and root input in client side,zjffdu,zjffdu,Major,Open,,10/Mar/15 08:41,07/Dec/15 06:01,
Improvement,TEZ-2969,12918128,,Tasks list should have diagnostics next to logs,Sreenath,rohini,Major,Open,,03/Dec/15 21:08,04/Dec/15 09:34,
Bug,TEZ-2971,12918698,,AMWebController should be able to provide an error mesage if counters limit exceeded for UI,Sreenath,hitesh,Major,Open,,04/Dec/15 04:52,04/Dec/15 04:52,
Bug,TEZ-2965,12917045,,Ensure InputInitializer events show up before VertexState.SUCCESS event,sseth,sseth,Major,Open,,30/Nov/15 19:37,30/Nov/15 19:37,
Improvement,TEZ-1667,12748177,,Add a system test for InitializerEvents,sseth,sseth,Major,Closed,Fixed,15/Oct/14 00:13,30/Nov/15 19:35,
Bug,TEZ-2964,12916500,,Tez AMScheduler - assign to unallocated container,sseth,gopalv,Major,Open,,26/Nov/15 18:02,27/Nov/15 11:39,
Improvement,TEZ-2507,12834143,,"mapreduce.{map|reduce}.java.opts should override tez.task.launch.cmd-opts",zjffdu,zjffdu,Major,Open,,01/Jun/15 05:10,26/Nov/15 09:28,
Sub-task,TEZ-2961,12916225,12770520,ShuffleVertexManager assumption of 1 vmEvent per task broken by pipelining,,bikassaha,Major,Open,,25/Nov/15 18:29,25/Nov/15 18:29,
Sub-task,TEZ-2586,12841632,12841513,Simplify the recovery process,zjffdu,zjffdu,Major,Resolved,Won't Fix,30/Jun/15 09:26,25/Nov/15 14:06,
Sub-task,TEZ-1657,12747688,12841513,Consolite recovery logs to XXXRecoveryData for DAG/Vertex/Task/TaskAttempt,zjffdu,zjffdu,Major,Resolved,Won't Fix,13/Oct/14 10:09,25/Nov/15 14:06,
Sub-task,TEZ-2585,12841629,12841513,Use one event for each phase,zjffdu,zjffdu,Major,Resolved,Duplicate,30/Jun/15 09:22,25/Nov/15 14:05,
Sub-task,TEZ-2583,12841562,12841513,Allow RecoveryService Pluggable ,zjffdu,zjffdu,Major,Resolved,Duplicate,30/Jun/15 04:39,25/Nov/15 14:04,
