Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,,THRIFT-4822,13221608,,Refactor bool CTOR flags into enum type,jensg,jensg,Major,Closed,Fixed,14/Mar/19 08:08,16/Oct/19 22:27,
Bug,Patch Available,THRIFT-4813,13218219,,NamedPipes may not work in all cases,jensg,jensg,Major,Closed,Fixed,27/Feb/19 02:18,16/Oct/19 22:27,
Bug,,THRIFT-4469,13132871,,isServing is not thread safe,jking3,revans2,Major,Closed,Fixed,22/Jan/18 22:21,16/Oct/19 22:27,
Task,,THRIFT-4690,13206646,,Update dlang deimos for OpenSSL 1.1 (use 1.1.0h tagged release instead of master),jking3,jking3,Major,Closed,Fixed,27/Dec/18 17:23,16/Oct/19 22:27,
Bug,,THRIFT-4798,13215110,,Fix python THttpServer to honor correct oneway reply semantics,jking3,jking3,Major,Closed,Fixed,11/Feb/19 22:45,16/Oct/19 22:27,
Bug,,THRIFT-4864,13232549,,CI fails at netstd,jensg,jensg,Major,Closed,Fixed,09/May/19 22:31,16/Oct/19 22:27,
Documentation,,THRIFT-4808,13217417,,Update LANGUAGES.md on master to reflect master,jking3,jking3,Major,Closed,Fixed,22/Feb/19 11:41,16/Oct/19 22:27,
Bug,,THRIFT-4892,13240942,,SASL data type exception for PLAIN,jking3,jking3,Major,Closed,Fixed,21/Jun/19 19:28,16/Oct/19 22:27,
Improvement,Patch Available,THRIFT-4853,13230445,,TServerFramedTransport is now obsolete and can be removed,jensg,jensg,Major,Closed,Fixed,27/Apr/19 09:28,16/Oct/19 22:27,
Improvement,,THRIFT-4728,13207996,,Cleanup for the double rendering test in JS ,jking3,ozymaxx,Major,Closed,Fixed,07/Jan/19 11:04,16/Oct/19 22:27,
Improvement,,THRIFT-4773,13214121,,TSaslTransport should relay underlying TTransportException to TSaslTransportException ,jking3,q.xu,Major,Closed,Fixed,06/Feb/19 10:00,16/Oct/19 22:27,
Bug,,THRIFT-4844,13226086,,createConnection ignores connect_timeout option,jking3,fmalaguti,Major,Closed,Fixed,04/Apr/19 10:19,16/Oct/19 22:27,
Improvement,Patch Available,THRIFT-4886,13239116,,More detailed error information for WinHTTP transport,jensg,jensg,Major,Closed,Fixed,12/Jun/19 20:07,16/Oct/19 22:27,
Test,,THRIFT-4794,13214873,,Finish adding json protocol to the php cross test,jking3,jking3,Major,Closed,Fixed,10/Feb/19 16:10,16/Oct/19 22:27,
Improvement,,THRIFT-4762,13212199,,C++: Applied some C++11 refactorings to the runtime library and compiler,jking3,sebastian.zenker,Major,Closed,Fixed,28/Jan/19 10:40,16/Oct/19 22:27,
Bug,,THRIFT-4481,13134822,,TBinaryProtocol.writeMessageEnd isn't throwable exception,jking3,AntonTramp,Major,Closed,Fixed,30/Jan/18 17:26,16/Oct/19 22:27,
Improvement,,THRIFT-4936,13252312,,add depth limit type exception description,pengzhouhu,pengzhouhu,Major,Closed,Fixed,22/Aug/19 08:12,16/Oct/19 22:27,
Bug,,THRIFT-4920,13249755,,Binary constants emit non-binary Python literals,,elprans,Major,Closed,Fixed,08/Aug/19 19:42,16/Oct/19 22:27,
Improvement,,THRIFT-4743,13210213,,Remove the compiler plug-in mode,jking3,jking3,Major,Closed,Fixed,17/Jan/19 17:49,16/Oct/19 22:27,
New Feature,,THRIFT-4612,13177175,,Add THeader for Go,,devalshah,Major,Closed,Fixed,06/Aug/18 18:07,16/Oct/19 22:27,
Bug,Patch Available,THRIFT-4898,13241794,,"Pipe write operations across a network are limited to 65,535 bytes per write. ",jensg,jensg,Major,Closed,Fixed,26/Jun/19 20:49,16/Oct/19 22:27,
Sub-task,Patch Available,THRIFT-4955,13255739,13253572,Haskell test broken due to extension to CompactProtoTestStruct,jensg,jensg,Major,Closed,Fixed,09/Sep/19 22:03,16/Oct/19 22:27,
Improvement,,THRIFT-4918,13249053,,dlang name conflict,,burner_,Major,Closed,Fixed,06/Aug/19 08:38,16/Oct/19 22:27,
Improvement,,THRIFT-4583,13165066,,Support rebar3 for erlang builds,jking3,jking3,Major,Closed,Fixed,09/Jun/18 03:32,16/Oct/19 22:27,
Bug,Patch Available,THRIFT-4832,13222950,,"superfluous backing field causes CS0169 ""field never used""",jensg,jensg,Major,Closed,Fixed,20/Mar/19 21:45,16/Oct/19 22:27,
Documentation,,THRIFT-4697,13206951,,Create updated release procedures,jking3,jking3,Major,Closed,Fixed,29/Dec/18 19:44,16/Oct/19 22:26,
Bug,,THRIFT-4487,13136665,,"gettimeofday: windows implementation not quoting source, applying license to foreign code",jking3,marcusmuellerkit,Major,Closed,Fixed,06/Feb/18 20:13,16/Oct/19 22:26,
Bug,,THRIFT-4962,13257968,,Deadlock in TimerManager::stop,gbl,gbl,Major,Closed,Fixed,20/Sep/19 15:31,16/Oct/19 22:26,
Sub-task,Patch Available,THRIFT-4957,13255746,13253572,testSanePartsOfCompactProtoTestStruct FAILED,jensg,jensg,Major,Closed,Fixed,09/Sep/19 22:28,16/Oct/19 22:26,
