Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,TOBAGO-806,12438577,,Update commons-logging to 1.1.1,lofwyr,lofwyr,Major,Closed,Fixed,20/Oct/09 14:51,11/Mar/10 08:01,
New Feature,TOBAGO-799,12436831,,pass ajax request parameter infos to clientside onSubmit function,weber,weber,Major,Closed,Fixed,29/Sep/09 15:29,11/Mar/10 08:01,
Bug,TOBAGO-798,12436828,,Javascript error on openPopup in IE,weber,weber,Major,Closed,Fixed,29/Sep/09 15:16,11/Mar/10 08:01,
Bug,TOBAGO-796,12435796,,tobago blocks on error in onComplete javascript,weber,weber,Major,Closed,Fixed,16/Sep/09 08:25,11/Mar/10 08:01,
Bug,TOBAGO-795,12435576,,Javascript error in treeListbox,weber,weber,Major,Closed,Fixed,14/Sep/09 09:57,11/Mar/10 08:01,
Improvement,TOBAGO-794,12435404,,FacesContext.release should called in NonFacesRequestServlet,bommel,bommel,Major,Closed,Fixed,11/Sep/09 09:13,11/Mar/10 08:01,
Bug,TOBAGO-788,12433580,,Error using paging (tc:sheet) in IE,bommel,alf,Major,Closed,Fixed,20/Aug/09 15:29,11/Mar/10 08:01,
Improvement,TOBAGO-577,12384756,,Adding facet onchange support to tc:date / tx:date,bommel,stawicki@gmail.com,Major,Closed,Fixed,17/Dec/07 11:13,11/Mar/10 08:01,
Improvement,TOBAGO-753,12423903,,tc:popupReference/PopupActionListener should allow valueBinding,bommel,weber,Major,Closed,Fixed,27/Apr/09 15:56,07/Dec/09 16:46,
Improvement,TOBAGO-339,12365973,,"Add ""align"" attribute to tc:cell",,boris@tagnet.ru,Major,Closed,Won't Fix,28/Mar/07 05:52,17/Nov/09 14:27,
Improvement,TOBAGO-286,12362914,,"""target"" and ""tip"" attributes for <tc:menuitem> and <tc:tree> nodes",lofwyr,dubois,Major,Closed,Fixed,15/Feb/07 12:25,28/May/09 14:36,
Bug,TOBAGO-730,12411160,,action not getting executed when onclick is used in tc:button,,dean,Major,Closed,Fixed,22/Dec/08 14:49,30/Dec/08 07:05,
Improvement,TOBAGO-714,12406326,,Target attribute for tc:toolBarCommand,bommel,bommel,Major,Closed,Fixed,13/Oct/08 19:41,29/Oct/08 11:16,
Bug,TOBAGO-710,12405923,,use of maxNumber in tc:messages throws IllegalArgumentException: argument type mismatch,weber,weber,Major,Closed,Fixed,07/Oct/08 13:52,29/Oct/08 11:16,
Bug,TOBAGO-709,12405913,,JavaScript error when opening a popup,bommel,rohloff,Major,Closed,Fixed,07/Oct/08 12:26,29/Oct/08 11:16,
Bug,TOBAGO-708,12405758,,Tab switching via arrows fails with switchType=reloadTab ,bommel,weber,Major,Closed,Fixed,05/Oct/08 09:49,29/Oct/08 11:16,
Improvement,TOBAGO-706,12405729,,Event list in UIViewRoot changed to request scope,bommel,bommel,Major,Closed,Fixed,04/Oct/08 07:26,29/Oct/08 11:16,
Improvement,TOBAGO-705,12405637,,Label tag should allow body content,bommel,bommel,Major,Closed,Fixed,02/Oct/08 15:39,29/Oct/08 11:16,
Bug,TOBAGO-704,12405636,,Page state should be decoded in apply request values phase instead of update model phase,bommel,bommel,Major,Closed,Fixed,02/Oct/08 15:24,29/Oct/08 11:16,
Improvement,TOBAGO-702,12405271,,Extend the <tc:attribute> tag with a mode,lofwyr,lofwyr,Major,Closed,Fixed,26/Sep/08 19:22,29/Oct/08 11:16,
Bug,TOBAGO-696,12404440,,Popup elements look disabled with theme Scarborough and IE 6,bommel,swaczinna,Major,Closed,Fixed,16/Sep/08 13:27,29/Oct/08 11:16,
Bug,TOBAGO-701,12405151,,By using a tx:selectBooleanCheckbox component that is readonly the command facet still works,bommel,mamenze,Major,Closed,Fixed,25/Sep/08 14:29,06/Oct/08 11:58,
Bug,TOBAGO-697,12404447,,tc:sheet Pageing toRow or toPage did not work,weber,weber,Major,Closed,Fixed,16/Sep/08 14:50,06/Oct/08 11:58,
Improvement,TOBAGO-680,12398054,,Allow relative id of the popup in popupReferenceTag,bommel,bommel,Major,Closed,Fixed,11/Jun/08 14:58,25/Aug/08 19:59,
Improvement,TOBAGO-674,12396990,,ComponentUtil.createComponent(...) should take id ,weber,weber,Major,Closed,Fixed,28/May/08 13:39,25/Aug/08 19:59,
Bug,TOBAGO-673,12396989,,Chunked ajax response did not pass proxy,weber,weber,Major,Closed,Fixed,28/May/08 13:37,25/Aug/08 19:59,
Bug,TOBAGO-668,12396627,,Tabgroup did not process* facets if switchType != client,weber,weber,Major,Closed,Fixed,22/May/08 13:28,25/Aug/08 19:59,
Improvement,TOBAGO-693,12401869,,"Allow setting the converter with tc:attribute in facelets, similar setting the action or actionlistener",bommel,bommel,Major,Closed,Fixed,07/Aug/08 08:29,25/Aug/08 19:58,
Improvement,TOBAGO-692,12401773,,Support for modal css style in PopupRenderer,bommel,bommel,Major,Closed,Fixed,06/Aug/08 12:45,25/Aug/08 19:58,
