Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
New Feature,TRAFODION-2596,13064731,,Improve the log4j and log4cxx infrastructure in Trafodion,selvag,selvag,Major,Closed,Fixed,18/Apr/17 14:41,10/Aug/17 03:13,
Documentation,TRAFODION-2706,13093658,,update SQL reference manual about 'alter table' to add alter column description,Liu Yu 66,ovis_poly,Major,Open,,10/Aug/17 02:54,10/Aug/17 02:54,
Documentation,TRAFODION-2521,13048775,,Add SCRATCH_DISKS CQD,Liu Yu 66,Liu Yu 66,Major,Closed,Fixed,07/Mar/17 07:26,09/Aug/17 07:05,
New Feature,TRAFODION-2680,13085348,,CSV_FORMAT function,dbirdsall,dbirdsall,Major,Open,,06/Jul/17 22:56,08/Aug/17 23:37,
Bug,TRAFODION-647,12847565,,LP Bug: 1371452 - allow user to set starting compress threshold value in odbc driver,daniellu,daniellu,Major,Open,,22/Jul/15 18:17,07/Aug/17 22:13,
Bug,TRAFODION-2633,13077212,,SQLFetch didn't fetch expected result when converting from SQL_TINYINT to SQL_C_NUMERIC,,sujinpei,Major,Open,,05/Jun/17 10:27,07/Aug/17 02:43,
Bug,TRAFODION-2700,13091595,,Query that selects only a single salt value gets parallel plan,hzeller,hzeller,Major,Open,,01/Aug/17 15:47,01/Aug/17 16:39,
Bug,TRAFODION-1964,12964433,,Cannot run SPJs after an trafodion upgrade ,hzeller,venkatmu,Major,Reopened,,02/May/16 20:53,31/Jul/17 22:17,
Bug,TRAFODION-2699,13091079,,error when launch trafci by trafci.py,shengchen.ma,shengchen.ma,Major,Closed,Not A Problem,31/Jul/17 02:25,31/Jul/17 03:41,
Sub-task,TRAFODION-2628,13076041,12970883,SQL engine work for Elasticity [TRAFODION-2001],hzeller,hzeller,Major,Closed,Fixed,31/May/17 00:24,26/Jul/17 16:06,
Bug,TRAFODION-2391,13026390,,monitor failed to start when hostname contains uppercase.,hfutmkby,hfutmkby,Major,Closed,Fixed,07/Dec/16 16:02,20/Jul/17 20:28,
