Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,VCL-522,12525563,,Error in vcl.sql line 1694,,ckitzmiller,Blocker,Resolved,Fixed,03/Oct/11 18:42,04/Oct/11 13:14,
Bug,VCL-511,12523918,,Errors in vcl.sql connectmethodmap,,ckitzmiller,Blocker,Resolved,Fixed,21/Sep/11 20:43,28/Sep/11 19:44,
Bug,VCL-355,12469444,,"Problem with /vcl/index.php won't open ""Firefox can't establish a connection to the server at localhost.""",,angelious,Blocker,Closed,Not A Problem,16/Jul/10 12:13,14/Feb/11 16:12,
Bug,VCL-1105,13192324,,Shibboleth authentication broken due to bug in getCryptKeyID,,jfthomps,Critical,Resolved,Fixed,17/Oct/18 17:42,11/Dec/18 22:54,
Question,VCL-788,12746474,,The images are created on the hypervisor but doesn't show up on management server interface. ,,Apachevcl,Critical,Closed,Abandoned,07/Oct/14 19:13,09/May/18 21:09,
Sub-task,VCL-526,12525846,12411862,add section to site to manage connect methods,,jfthomps,Critical,Open,,05/Oct/11 15:26,10/Aug/15 18:45,
Bug,VCL-508,12521608,,Modifying reservations to overlap past max causes hang,,cameron.mann,Critical,Resolved,Fixed,07/Sep/11 15:53,27/Oct/11 16:50,
Bug,VCL-378,12473695,,reservation can be extended into a block allocation for user not in block group,,jfthomps,Critical,Resolved,Fixed,09/Sep/10 16:12,09/Sep/10 20:23,
Bug,VCL-306,12455503,,Web GUI code has hard coded Eastern Time Zone information - breaks in other time zones,,jwisman,Critical,Resolved,Fixed,05/Feb/10 22:33,19/Feb/10 18:11,
Bug,VCL-1135,13401040,,Second parameter needed for gpg verify,,sebb,Major,Open,,14/Sep/21 14:38,14/Sep/21 14:38,
Improvement,VCL-1134,13380626,,remove PHP 7.2 deprecated functions,jfthomps,jfthomps,Major,Open,,26/May/21 21:11,26/May/21 21:11,
Improvement,VCL-1114,13221920,,miscellaneous small web updates,,jfthomps,Major,Resolved,Fixed,15/Mar/19 14:07,26/May/21 21:02,
Improvement,VCL-1133,13376391,,continuous processing of servermodified reservation when VM powered off,,jfthomps,Major,Open,,03/May/21 14:57,03/May/21 14:57,
Improvement,VCL-1127,13275331,,Make changes to handle Cygwin's change of sshd service name to cygsshd,,jfthomps,Major,Open,,18/Dec/19 20:48,11/Jun/20 21:05,
Improvement,VCL-1129,13306217,,update queries that have ORDER BY on a field that is not in the SELECT list,,jfthomps,Major,Open,,20/May/20 15:35,20/May/20 15:35,
Bug,VCL-1078,13098318,,Undefined subroutine error because vSphere_SDK.pm does not implement append_text_file,,arkurth,Major,Open,,29/Aug/17 16:26,20/May/20 15:03,
Improvement,VCL-1128,13300869,,add support to run on CentOS 8,,jfthomps,Major,Open,,24/Apr/20 18:49,13/May/20 19:00,
Improvement,VCL-1126,13269093,,allocate computer already having specified IP address for server reservations with specified IP,,jfthomps,Major,Open,,18/Nov/19 14:49,12/May/20 14:24,
Documentation,VCL-1018,13044600,,Terminology,,arkurth,Major,Open,,20/Feb/17 16:45,03/Jan/20 17:22,
Improvement,VCL-1125,13261574,,update libvirt provisioning module to support image project,,jfthomps,Major,Open,,10/Oct/19 13:43,10/Oct/19 13:43,
Improvement,VCL-1124,13255025,,version of perl earlier than v5.16 do not support CORE::state,,gmjennin,Major,Open,,05/Sep/19 14:55,05/Sep/19 14:55,
Bug,VCL-1083,13119058,,Data in shares mounted under Linux home directories may be deleted,arkurth,arkurth,Major,Resolved,Fixed,16/Nov/17 23:17,05/Aug/19 17:12,
Task,VCL-1123,13248925,,Add top-level .gitignore,arkurth,arkurth,Major,Open,,05/Aug/19 16:56,05/Aug/19 17:03,
Bug,VCL-1122,13247709,,"Please use HTTPS for KEYS, sigs and hashes",,sebb,Major,Resolved,Fixed,29/Jul/19 17:15,29/Jul/19 18:09,
Improvement,VCL-1106,13194409,,make PHP code compatible with PHP 7,jfthomps,jfthomps,Major,Resolved,Implemented,26/Oct/18 12:55,25/Jul/19 14:39,
Improvement,VCL-1084,13135167,,set cache mode for libvirt VMs,,jfthomps,Major,Resolved,Implemented,31/Jan/18 18:35,25/Jul/19 14:39,
Bug,VCL-1120,13230888,,image conversion from vmdk to qcow2 always done twice,,jfthomps,Major,Resolved,Fixed,30/Apr/19 12:11,25/Jul/19 14:39,
Bug,VCL-1116,13223190,,use database hostnames for ad joined computers,,junaid.ali,Major,Resolved,Fixed,21/Mar/19 20:28,18/Jul/19 17:23,
Bug,VCL-1040,13071255,,Issues with backend usage of Site Configuration variables,,arkurth,Major,Open,,11/May/17 17:17,08/Jul/19 18:59,
Task,VCL-1121,13234630,,Review all non-HTTPS dependency URLs,,arkurth,Major,Open,,21/May/19 14:51,05/Jun/19 19:11,
New Feature,VCL-1087,13144765,,VCL CAS SSO,,junaid.ali,Major,Open,,13/Mar/18 15:37,29/May/19 15:53,
Bug,VCL-1119,13226698,,wrong day submitted for future reservations made in the evening,,jfthomps,Major,Resolved,Fixed,08/Apr/19 13:27,21/May/19 18:59,
Improvement,VCL-1086,13142928,,improve modularization of authentication,,jfthomps,Major,Open,,06/Mar/18 17:51,21/May/19 18:59,
Bug,VCL-1118,13224637,,AD Join in a multi site domain,,junaid.ali,Major,Open,,28/Mar/19 16:30,28/Mar/19 16:31,
Bug,VCL-1117,13223377,,vcld fails to set fixed IP address for Linux server reservations if management node not set to static,,jfthomps,Major,Resolved,Fixed,22/Mar/19 15:43,22/Mar/19 19:47,
Improvement,VCL-1095,13159191,,Move unjoining of Windows VMs from Active Directory to earlier in the deprovision process,,jfthomps,Major,Resolved,Implemented,14/May/18 19:19,22/Mar/19 19:47,
Bug,VCL-1093,13151124,,vSphere_SDK.pm:vm_unregister - failed to unregister VM:,,junaid.ali,Major,Resolved,Fixed,09/Apr/18 17:14,01/Feb/19 17:28,
Bug,VCL-1081,13110296,,UID conflict for admin user,,jfthomps,Major,Resolved,Fixed,18/Oct/17 13:45,01/Feb/19 17:13,
Improvement,VCL-1109,13209807,,date duplicated on statistic graph labels for day after daylight saving time rolls back,,jfthomps,Major,Resolved,Implemented,16/Jan/19 06:37,01/Feb/19 17:13,
Improvement,VCL-1096,13159194,,Add ability to automatically mount NFS shares under Windows,,jfthomps,Major,Resolved,Implemented,14/May/18 19:45,01/Feb/19 17:13,
Bug,VCL-1103,13176540,,change vcldsemaphore.pid from smallint to mediumint,,jfthomps,Major,Resolved,Fixed,02/Aug/18 18:25,01/Feb/19 17:13,
Improvement,VCL-1108,13207531,,Improve flexibility in how sshd is configured in Linux images,,arkurth,Major,Open,,03/Jan/19 18:47,03/Jan/19 18:47,
Improvement,VCL-1107,13205495,,end time for reservations processed late needs to be updated,,jfthomps,Major,Open,,19/Dec/18 19:52,19/Dec/18 19:52,
Improvement,VCL-1090,13150679,,Set location of MN_PRIVATE_ENCRYPTION_KEY_FILE_PATH from property file,,gmjennin,Major,Open,,06/Apr/18 18:49,12/Oct/18 14:43,
Improvement,VCL-1104,13183675,,set cpu topology for libvirt VMs,,jfthomps,Major,Resolved,Implemented,07/Sep/18 16:42,07/Sep/18 17:35,
Bug,VCL-1102,13168440,,rules and chains are not being removed with older versions of firewalld,,arkurth,Major,Open,,26/Jun/18 19:30,26/Jun/18 19:34,
Bug,VCL-1100,13159550,,block allocation usage graph does not work correctly for allocations with a single time slot,,jfthomps,Major,Resolved,Fixed,15/May/18 21:48,12/Jun/18 13:41,
Bug,VCL-1079,13103606,,Virtual Hosts page references Computer Utilities,,jfthomps,Major,Resolved,Fixed,20/Sep/17 13:58,06/Jun/18 20:10,
Improvement,VCL-1089,13150669,,Change ping module to use Net::Ping::External,,gmjennin,Major,Resolved,Implemented,06/Apr/18 18:15,06/Jun/18 19:55,
Improvement,VCL-1101,13160745,,Change chmod mode from string to octal number value,,gmjennin,Major,Resolved,Implemented,21/May/18 16:41,06/Jun/18 16:11,
Task,VCL-1097,13159197,,add hidden files to empty directories to force them to be included in Git repo,,jfthomps,Major,Resolved,Done,14/May/18 19:48,06/Jun/18 15:29,
Improvement,VCL-1099,13159489,,exclude server reservations from block allocations,,jfthomps,Major,Open,,15/May/18 18:34,15/May/18 18:34,
Improvement,VCL-1098,13159199,,Add support for Ubuntu 18 network configuration,,jfthomps,Major,Open,,14/May/18 19:58,14/May/18 19:58,
Improvement,VCL-1094,13158560,,add .\ to windows user login to prevent automatic use of Microsoft accounts,,jfthomps,Major,Resolved,Implemented,10/May/18 20:11,10/May/18 20:57,
Bug,VCL-1080,13106483,,Wrong port can be delivered in RDP file,,jfthomps,Major,Resolved,Fixed,02/Oct/17 17:05,10/May/18 20:57,
Improvement,VCL-618,12603851,,Add documentation for setting up Shibboleth authentication,,acoburn,Major,Resolved,Done,17/Aug/12 12:50,10/May/18 20:36,
New Feature,VCL-577,12553159,,Cloud Broker tool for VCL,,karuna,Major,Resolved,Abandoned,27/Apr/12 15:44,10/May/18 20:34,
Bug,VCL-990,13004963,,Version_6.pm: seem to be unsuccessfully in opening the firewall on the windows 7 vm's. This seems to prevent to user from connecting over RDP.,,Reggie Sands,Major,Closed,Resolved,14/Sep/16 18:11,10/May/18 17:13,
Bug,VCL-954,12983739,,Error encountered: Please try again later (Add management nodes),,Hakim,Major,Closed,Abandoned,27/Jun/16 11:14,10/May/18 16:55,
New Feature,VCL-1003,13022588,,drag and drop support for moving privilege nodes,,jfthomps,Major,Resolved,Implemented,22/Nov/16 19:08,10/May/18 16:28,
New Feature,VCL-1020,13044654,,Allow affiliations to be a managed via VCL website,,arkurth,Major,Closed,Duplicate,20/Feb/17 21:24,09/May/18 21:31,
Project,VCL-1039,13071244,,create windows base image  failed,,ariuntulga,Major,Closed,Abandoned,11/May/17 16:57,09/May/18 21:17,
Task,VCL-1047,13072927,,Retire Jabber/IM support,,arkurth,Major,Open,,17/May/17 20:48,09/May/18 21:15,
Task,VCL-1053,13079250,,Prepare VCL 2.5 release,,arkurth,Major,Resolved,Done,12/Jun/17 15:55,29/Aug/17 16:27,
Improvement,VCL-1072,13092943,,VMware may incorrectly indicate power on failed,arkurth,arkurth,Major,Resolved,Fixed,07/Aug/17 17:08,11/Aug/17 02:08,
Bug,VCL-1075,13093904,,Newlines in image description not handled properly under Manage Images,,jfthomps,Major,Resolved,Fixed,10/Aug/17 19:49,10/Aug/17 20:12,
Bug,VCL-1076,13093905,,Unsetting Enable Image Library for a management node does not set the image library group to NULL,,jfthomps,Major,Resolved,Fixed,10/Aug/17 19:54,10/Aug/17 20:12,
Bug,VCL-1077,13093908,,Adding an AD Domain to the privilege tree with available or manageMapping set causes it to be added with no way to remove it,,jfthomps,Major,Resolved,Fixed,10/Aug/17 19:59,10/Aug/17 20:12,
Improvement,VCL-1029,13057954,,add a section for managing affiliations to Site Configuration,,jfthomps,Major,Resolved,Implemented,21/Mar/17 16:31,10/Aug/17 20:04,
