Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,VXQUERY-170,12851469,,Problem with the XMark Query Plans for 6 and 7,prestonc,shivani,Blocker,Open,,04/Aug/15 18:41,11/Aug/15 00:20,
Task,VXQUERY-1,12430330,,Setup Incubation,pizak,pizak,Blocker,Closed,Fixed,14/Jul/09 08:21,17/Nov/09 23:11,
Bug,VXQUERY-239,13022614,,fn-implicit-timezone-18 error when run on Jenkins,tillw,prestonc,Critical,Open,,22/Nov/16 20:24,22/Nov/16 22:30,
Bug,VXQUERY-213,12981441,,Indexing bug,sjaco002,pavlopoul,Critical,Resolved,Fixed,21/Jun/16 18:03,28/Jun/16 17:45,
Bug,VXQUERY-186,12949776,,Cannot rebuild site,,tillw,Critical,Open,,14/Mar/16 06:58,14/Mar/16 07:19,
Bug,VXQUERY-167,12849452,,Frame Size Issue,prestonc,shivani,Critical,Open,,27/Jul/15 21:51,01/Mar/16 21:48,
Bug,VXQUERY-169,12851468,,Error with the Query Plans for 6 and 7,prestonc,shivani,Critical,Open,,04/Aug/15 18:38,11/Aug/15 00:20,
Bug,VXQUERY-168,12849454,,Nested Plans,prestonc,shivani,Critical,Open,,27/Jul/15 21:58,11/Aug/15 00:20,
Improvement,VXQUERY-247,13357157,,Usage of broken hash algorithm detected,,mahir.kabir,Major,Resolved,Won't Fix,05/Feb/21 18:49,05/Feb/21 19:26,
Task,VXQUERY-208,12973600,,Lucene Index Filter for Values,sjaco002,prestonc,Major,Open,,27/May/16 22:32,28/Aug/17 17:46,
Task,VXQUERY-180,12903046,,RESTful API,prestonc,prestonc,Major,Open,,07/Oct/15 17:12,25/Aug/17 16:59,
Bug,VXQUERY-228,12997682,,collection-from-index adds unnecessary header tags,sjaco002,sjaco002,Major,Open,,16/Aug/16 19:14,11/Jul/17 17:24,
Bug,VXQUERY-204,12973520,,Hide the index usage from the user,,sjaco002,Major,Open,,27/May/16 19:57,11/Jul/17 17:24,
Bug,VXQUERY-196,12973506,,Move XPath out of arguments for collection-from-index,,sjaco002,Major,Open,,27/May/16 19:47,11/Jul/17 17:24,
Task,VXQUERY-245,13069812,,Add link to support the ASF to website,,tillw,Major,Open,,07/May/17 19:09,07/May/17 19:09,
Task,VXQUERY-244,13069811,,Add link to promote Apache events to website,,tillw,Major,Open,,07/May/17 19:00,07/May/17 19:00,
Task,VXQUERY-243,13068076,,"VXQuery's use of Hyracks ""MISSING"" Attribute",tillw,prestonc,Major,Open,,01/May/17 05:02,01/May/17 14:52,
Improvement,VXQUERY-240,13064256,,Update Hyracks Dependency to version 0.3.0,prestonc,prestonc,Major,Resolved,Fixed,16/Apr/17 06:30,01/May/17 04:56,
Task,VXQUERY-227,12997619,,Refactor ObjectPointable.getKeys(),Riyafa Abdul Hameed,tillw,Major,Open,,16/Aug/16 15:42,29/Nov/16 05:19,
Bug,VXQUERY-220,12984481,,Add show-indexes function,,menaka,Major,Closed,Fixed,28/Jun/16 19:55,19/Sep/16 21:28,
Bug,VXQUERY-216,12983917,,Create a JUnit test to test indexing code functionality ,sjaco002,sjaco002,Major,Closed,Fixed,27/Jun/16 19:47,19/Sep/16 21:27,
Bug,VXQUERY-214,12983250,,Failing testcase in indexingQueries,sjaco002,Riyafa Abdul Hameed,Major,Closed,Invalid,26/Jun/16 11:46,19/Sep/16 21:27,
Bug,VXQUERY-188,12950029,,Fully integrate Lucene Indexing into VXQuery,,sjaco002,Major,Open,,14/Mar/16 19:34,19/Sep/16 21:17,
New Feature,VXQUERY-18,12441122,,Add successful XQTS tests to regression tests,tillw,tillw,Major,Open,,18/Nov/09 23:25,10/Sep/16 00:45,
Task,VXQUERY-225,12990809,,Create a function to serialize data model instances,pavlopoul,tillw,Major,Resolved,Fixed,19/Jul/16 15:41,09/Sep/16 18:13,
Sub-task,VXQUERY-64,12605793,12548980,fn:trace missing,pavlopoul,prestonc,Major,Resolved,Fixed,31/Aug/12 21:12,09/Sep/16 18:13,
Bug,VXQUERY-115,12716863,,UNNEST postional variable untyped,prestonc,prestonc,Major,Closed,Fixed,27/May/14 17:55,09/Sep/16 17:52,
Sub-task,VXQUERY-44,12596734,12548980,"Binary, Decimal, Duration and QName Pointables",tillw,prestonc,Major,Closed,Fixed,02/Jul/12 19:59,09/Sep/16 17:52,
Sub-task,VXQUERY-43,12596460,12548980,"Date, DateTime, and Time Pointables",prestonc,prestonc,Major,Closed,Fixed,29/Jun/12 21:57,09/Sep/16 17:52,
Sub-task,VXQUERY-42,12596149,12548980,Numeric Comparison,prestonc,prestonc,Major,Closed,Fixed,27/Jun/12 19:53,09/Sep/16 17:52,
Sub-task,VXQUERY-41,12596148,12548980,String Comparison (FnCompare),prestonc,prestonc,Major,Closed,Fixed,27/Jun/12 19:51,09/Sep/16 17:51,
Bug,VXQUERY-37,12595828,,Concat Support for Any Atomic Type,prestonc,prestonc,Major,Closed,Fixed,25/Jun/12 19:05,09/Sep/16 17:51,
Sub-task,VXQUERY-35,12595476,12548980,Functions based on substring matching,tillw,prestonc,Major,Closed,Fixed,21/Jun/12 20:04,09/Sep/16 17:51,
Sub-task,VXQUERY-34,12595190,12548980,Basic String Functions ,tillw,prestonc,Major,Closed,Fixed,20/Jun/12 00:45,09/Sep/16 17:51,
Sub-task,VXQUERY-33,12595046,12548980,Arithmetic Operations,prestonc,prestonc,Major,Closed,Fixed,19/Jun/12 02:56,09/Sep/16 17:51,
Sub-task,VXQUERY-46,12599686,12548980,Cast Operation,prestonc,prestonc,Major,Closed,Fixed,20/Jul/12 21:59,09/Sep/16 17:51,
Bug,VXQUERY-47,12601256,,Casting to Float with Small Values,prestonc,prestonc,Major,Closed,Fixed,02/Aug/12 18:21,09/Sep/16 17:51,
Bug,VXQUERY-48,12601299,,Negative Zero,prestonc,prestonc,Major,Closed,Fixed,03/Aug/12 02:07,09/Sep/16 17:50,
Sub-task,VXQUERY-49,12601640,12548980,Numeric Unary Plus and Minus Operators,prestonc,prestonc,Major,Closed,Fixed,06/Aug/12 23:46,09/Sep/16 17:50,
Sub-task,VXQUERY-50,12602061,12548980,Castable Operation,prestonc,prestonc,Major,Closed,Fixed,07/Aug/12 18:16,09/Sep/16 17:50,
Task,VXQUERY-51,12603650,,Basic Developer Documentation,prestonc,prestonc,Major,Closed,Fixed,15/Aug/12 21:59,09/Sep/16 17:50,
Task,VXQUERY-52,12603655,,"op:numeric-integer-divide is missing from the ""Operators on Numeric Values"" section",prestonc,prestonc,Major,Closed,Fixed,15/Aug/12 22:35,09/Sep/16 17:50,
Task,VXQUERY-53,12603656,,"op:numeric-mod is missing from the ""Operators on Numeric Values"" section",prestonc,prestonc,Major,Closed,Fixed,15/Aug/12 22:35,09/Sep/16 17:50,
Task,VXQUERY-55,12603662,,Add derived types to castable functions,prestonc,prestonc,Major,Closed,Fixed,15/Aug/12 22:39,09/Sep/16 17:49,
Task,VXQUERY-56,12603663,,Add derived types to comparison functions,prestonc,prestonc,Major,Closed,Fixed,15/Aug/12 22:40,09/Sep/16 17:49,
Bug,VXQUERY-57,12604140,,DTDuration is to large for integer,prestonc,prestonc,Major,Closed,Fixed,20/Aug/12 22:37,09/Sep/16 17:49,
Bug,VXQUERY-58,12604291,,fn:not input not always boolean,vinayakb,prestonc,Major,Closed,Fixed,21/Aug/12 22:24,09/Sep/16 17:48,
Bug,VXQUERY-65,12605803,,Functions return bad results for decimal values,prestonc,prestonc,Major,Closed,Fixed,31/Aug/12 22:19,09/Sep/16 17:48,
Sub-task,VXQUERY-66,12605806,12548980,fn:round-half-to-even missing,prestonc,prestonc,Major,Closed,Fixed,31/Aug/12 22:30,09/Sep/16 17:48,
Bug,VXQUERY-69,12605814,,Dynamic Context Not Set,prestonc,prestonc,Major,Closed,Fixed,31/Aug/12 23:41,09/Sep/16 17:48,
Sub-task,VXQUERY-74,12605829,12548980,Missing sequence aggregate functions,prestonc,prestonc,Major,Closed,Fixed,01/Sep/12 00:45,09/Sep/16 17:47,
Bug,VXQUERY-77,12608522,,SAXConnectHandler does not support XML Comments,prestonc,prestonc,Major,Closed,Fixed,20/Sep/12 19:27,09/Sep/16 17:47,
Bug,VXQUERY-78,12609125,,Function Argument Support for xs:integer*,prestonc,prestonc,Major,Closed,Fixed,25/Sep/12 20:58,09/Sep/16 17:47,
Bug,VXQUERY-79,12609134,,Static Type Check Failure for Derived String Types,prestonc,prestonc,Major,Closed,Fixed,25/Sep/12 21:53,09/Sep/16 17:46,
Bug,VXQUERY-80,12609858,,SAXConnectHandler does not support XML Processing Instruction,prestonc,prestonc,Major,Closed,Fixed,02/Oct/12 03:48,09/Sep/16 17:45,
Improvement,VXQUERY-117,12723744,,Add Parallel Tests To Maven,prestonc,prestonc,Major,Closed,Fixed,25/Jun/14 20:43,09/Sep/16 17:43,
Bug,VXQUERY-127,12749914,,XMark Query 7 error,prestonc,prestonc,Major,Closed,Fixed,22/Oct/14 22:51,09/Sep/16 17:43,
Sub-task,VXQUERY-140,12786280,12770819,XMark Test Suite,prestonc,prestonc,Major,Closed,Fixed,27/Mar/15 18:14,09/Sep/16 17:43,
Task,VXQUERY-160,12839709,,Support for all Algebricks internal functions,prestonc,prestonc,Major,Closed,Fixed,22/Jun/15 23:07,09/Sep/16 17:42,
Task,VXQUERY-161,12839710,,Support for general conditions in joins,prestonc,prestonc,Major,Closed,Fixed,22/Jun/15 23:11,09/Sep/16 17:42,
New Feature,VXQUERY-177,12863492,,CLI option to save result to a file,prestonc,prestonc,Major,Closed,Fixed,11/Sep/15 18:45,09/Sep/16 17:42,
Task,VXQUERY-191,12965910,,XQTS Test Results Sorter,prestonc,prestonc,Major,Closed,Fixed,08/May/16 17:22,09/Sep/16 17:41,
Bug,VXQUERY-194,12972573,,HDFS Tests create build folder in source path,sjaco002,prestonc,Major,Closed,Fixed,25/May/16 00:41,09/Sep/16 17:40,
Task,VXQUERY-110,12694926,,Update Website Repository,tillw,prestonc,Major,Closed,Fixed,13/Feb/14 06:31,09/Sep/16 17:40,
Task,VXQUERY-101,12679059,,Create release guidelines doc,tillw,tillw,Major,Closed,Fixed,13/Nov/13 17:42,09/Sep/16 17:39,
Bug,VXQUERY-97,12661178,,Can't create query functions using opext,tillw,sjaco002,Major,Closed,Not A Problem,01/Aug/13 17:44,09/Sep/16 17:39,
New Feature,VXQUERY-95,12648375,,Added Support for Collection to Read Compressed Files,prestonc,prestonc,Major,Closed,Fixed,20/May/13 03:11,09/Sep/16 17:39,
Sub-task,VXQUERY-90,12644534,12644529,TreeNodeIdProvider integrated with DataSourceScan ID,prestonc,prestonc,Major,Closed,Fixed,25/Apr/13 05:20,09/Sep/16 17:38,
Sub-task,VXQUERY-89,12644533,12644529,Error thrown for missing path step,prestonc,prestonc,Major,Closed,Fixed,25/Apr/13 05:17,09/Sep/16 17:37,
Sub-task,VXQUERY-87,12644531,12644529,InlineVariableRule Patch for Algebricks,prestonc,prestonc,Major,Closed,Fixed,25/Apr/13 05:11,09/Sep/16 17:37,
Bug,VXQUERY-139,12781488,,"Issue with ""compileonly"" flag while executing queries",prestonc,jay256,Major,Resolved,Fixed,12/Mar/15 12:46,09/Sep/16 17:28,
Bug,VXQUERY-198,12973510,,"Create an ""update-index"" statement",,sjaco002,Major,Closed,Fixed,27/May/16 19:50,07/Sep/16 23:25,
Bug,VXQUERY-197,12973509,,Move lucene indexes to a single folder,,sjaco002,Major,Closed,Fixed,27/May/16 19:49,07/Sep/16 23:24,
Bug,VXQUERY-209,12974363,,Parallel Index creation and access,,sjaco002,Major,Closed,Fixed,31/May/16 21:38,07/Sep/16 23:23,
Task,VXQUERY-207,12973598,,Data and Index Directories Set In Configuration,sjaco002,prestonc,Major,Closed,Fixed,27/May/16 22:26,07/Sep/16 23:23,
Bug,VXQUERY-238,13003402,,Delete Index doesn't work as a partitioned job,,sjaco002,Major,Open,,07/Sep/16 23:16,07/Sep/16 23:16,
Bug,VXQUERY-218,12983929,,Add delete-index function,,sjaco002,Major,Closed,Fixed,27/Jun/16 20:25,07/Sep/16 23:14,
Bug,VXQUERY-210,12980609,,XMLSerializer.printJsonValue should print more quotes,Riyafa Abdul Hameed,tillw,Major,Resolved,Fixed,18/Jun/16 23:37,26/Aug/16 00:18,
Bug,VXQUERY-222,12987639,,Json Serialization,Riyafa Abdul Hameed,pavlopoul,Major,Resolved,Fixed,07/Jul/16 23:44,25/Aug/16 22:16,
Bug,VXQUERY-237,13000188,,"Update indexing to support ""source"" variables.",,menaka,Major,Open,,25/Aug/16 21:45,25/Aug/16 21:45,
Bug,VXQUERY-236,12999984,,Dynamic function call on sequence,,Riyafa Abdul Hameed,Major,Open,,25/Aug/16 11:14,25/Aug/16 11:16,
New Feature,VXQUERY-178,12863936,,Support JSONiq,,prestonc,Major,Open,,14/Sep/15 17:08,25/Aug/16 11:16,
Bug,VXQUERY-235,12998195,,Exception when executing Aggragation queries.,,menaka,Major,Open,,18/Aug/16 13:22,18/Aug/16 18:47,
