Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,WICKET-4266,12532802,,AjaxEditableLabel does not work when using CryptoMapper,mgrigorov,marcelomoralesname,Major,Resolved,Fixed,26/Nov/11 19:55,27/Nov/11 12:59,
Bug,WICKET-4265,12532738,,Thread Test Uses Sun Proprietary API,mgrigorov,jwcarman,Major,Resolved,Fixed,25/Nov/11 17:05,27/Nov/11 11:57,
Bug,WICKET-4264,12532736,,JavaSerializer Does Not Call SerializableChecker,mgrigorov,jwcarman,Major,Resolved,Fixed,25/Nov/11 16:28,27/Nov/11 11:48,
Bug,WICKET-4263,12532728,,Missing renderCSSReference- and renderJavascriptReference-Methods in HeaderResponseContainerFilteringHeaderResponse (have to be overwritten from DecoratingHeaderResponse),,cwellekoetter,Major,Resolved,Duplicate,25/Nov/11 15:10,25/Nov/11 17:06,
Improvement,WICKET-4262,12532718,,Wicket autocomplete should try to select the real selected value in the list if preselect property is true instead of just always 0,jcompagner,jcompagner,Major,Resolved,Fixed,25/Nov/11 13:25,25/Nov/11 13:36,
Bug,WICKET-4261,12532711,,Wicket autocomplete keeps working on the replaced element when somehow the element is replaced by another ajax request when it is shown.,jcompagner,jcompagner,Major,Resolved,Fixed,25/Nov/11 12:44,25/Nov/11 13:07,
Bug,WICKET-3915,12514546,,Inconsistent behavior id under special circumstances ,ivaynberg,ozeigermann,Major,Closed,Fixed,19/Jul/11 07:06,24/Nov/11 16:27,
Bug,WICKET-4226,12531388,,"TreeColumn not displayed when there is only one ""Alignment.MIDDLE"" column",mgrigorov,tahitiangabriel,Major,Resolved,Fixed,15/Nov/11 00:37,24/Nov/11 16:10,
Bug,WICKET-4229,12531570,,Expired Ajax Link Referencing Invalid PageID and Valid RenderCount Will Result In a ComponentNotFound Exception When The CallBack References A Component Built During A Page's onRender() Method - like GridView Components,,gotama,Major,Resolved,Cannot Reproduce,16/Nov/11 02:11,24/Nov/11 15:35,
Bug,WICKET-4213,12530902,,DatePicker fails to display when rendered via ajax response,mgrigorov,wimvr,Major,Resolved,Fixed,09/Nov/11 17:35,24/Nov/11 15:22,
Bug,WICKET-4250,12532137,,"Checks in IRequestMapper.mapHandler should be on page instance, if available",mgrigorov,papegaaij,Major,Resolved,Fixed,21/Nov/11 10:56,24/Nov/11 14:36,
Bug,WICKET-4161,12528304,,AbstractResourceAggregatingHeaderResponse does not order javascript properly,mgrigorov,berniegp,Major,Closed,Fixed,21/Oct/11 18:09,24/Nov/11 05:05,
Improvement,WICKET-1707,12398579,,Wicket.replaceOuterHtmlIE() (wicket-ajax.js) has very low performance.,mgrigorov,ojejku,Major,Resolved,Duplicate,19/Jun/08 12:43,23/Nov/11 16:46,
Bug,WICKET-4241,12531908,,Modal Window respond 404 with Internet Explorer.,ivaynberg,m_seko,Major,Resolved,Fixed,18/Nov/11 09:39,23/Nov/11 07:00,
Bug,WICKET-4255,12532343,,bug in org.apache.wicket.validation.validator.UrlValidator,ivaynberg,jamerlan,Major,Resolved,Fixed,22/Nov/11 14:55,23/Nov/11 06:44,
Bug,WICKET-1429,12391615,,AjaxFormSubmitBehavior doesn't work well with nested forms,,dutrieux,Major,Closed,Won't Fix,17/Mar/08 12:40,21/Nov/11 10:05,
Improvement,WICKET-4249,12532124,,Use better namespacing for Wicket.DateTime initialization scripts,mgrigorov,mgrigorov,Major,Resolved,Fixed,21/Nov/11 09:02,21/Nov/11 09:19,
Improvement,WICKET-3718,12507300,,Introduce select-all components for all types of checkbox,mgrigorov,cmenzel,Major,Resolved,Fixed,15/May/11 19:15,20/Nov/11 17:13,
Bug,WICKET-3974,12519288,,Wicket-auth annotation always denies access if the deny list is empty,mgrigorov,mmg,Major,Resolved,Fixed,18/Aug/11 12:28,18/Nov/11 11:00,
Sub-task,WICKET-4179,12529051,12528513,Add IDataStore#canBeAsynchronous() so that DefaultPageManagerProvider can determine whether to wrap it in AsynchronousDataStore,mgrigorov,mgrigorov,Major,Resolved,Fixed,27/Oct/11 14:06,18/Nov/11 10:32,
Improvement,WICKET-4114,12526310,,Mark getRequestCycleProvider in Application final,mgrigorov,splitshade,Major,Resolved,Fixed,08/Oct/11 11:07,18/Nov/11 10:14,
Bug,WICKET-4076,12523916,,INamedParameters.getAllNamed() returns a list of NamedPairs defined as inner class of PageParameters,mgrigorov,jgallardo,Major,Resolved,Fixed,21/Sep/11 20:11,17/Nov/11 16:04,
Sub-task,WICKET-4118,12526444,12423859,"Make (Minimum|Maximum|Range) validators extending AbstractValidator",,mgrigorov,Major,Resolved,Duplicate,10/Oct/11 13:46,17/Nov/11 15:56,
Improvement,WICKET-4237,12531777,,some wicket (1.4) example pages cease to work after some time,,tinca,Major,Resolved,Not A Problem,17/Nov/11 11:55,17/Nov/11 12:47,
Improvement,WICKET-4233,12531668,,Allow writing response through an OutputStream,ivaynberg,ivaynberg,Major,Resolved,Fixed,16/Nov/11 19:05,16/Nov/11 19:24,
Improvement,WICKET-4225,12531312,,Allow setting cache duration for DownloadLink ,mgrigorov,mgrigorov,Major,Resolved,Fixed,14/Nov/11 12:41,14/Nov/11 13:00,
Improvement,WICKET-4207,12530740,,Use the correct cast in WizardButtonBar,mgrigorov,tapter,Major,Closed,Fixed,08/Nov/11 17:20,14/Nov/11 10:04,
Improvement,WICKET-4220,12531182,,Clarify the behavior of Url#isAbsolute() and Url#toString() and Url#toAbsoluteString(),ivaynberg,ivaynberg,Major,Resolved,Fixed,11/Nov/11 21:45,11/Nov/11 21:46,
Sub-task,WICKET-4108,12525772,12525452,Define behavior of o.a.w.request.Url.isAbsolute(),ivaynberg,mgrigorov,Major,Resolved,Invalid,05/Oct/11 08:19,11/Nov/11 21:44,
Task,WICKET-3979,12519532,,Upgrade Wicket's tests to JUnit4,mgrigorov,mgrigorov,Major,Resolved,Fixed,21/Aug/11 15:18,11/Nov/11 13:59,
Bug,WICKET-4217,12531126,,CompoundRequestMapper sort broken with big negative compatibilityScore,svenmeier,jriehn,Major,Resolved,Fixed,11/Nov/11 12:27,11/Nov/11 12:32,
Bug,WICKET-1280,12386175,,Autocomplete onchange event gets fired twice when selecting with mouse click,,ckuehne,Major,Resolved,Fixed,14/Jan/08 12:30,10/Nov/11 15:45,
Bug,WICKET-4140,12527499,,Make CryptoMapper easier to extend,mgrigorov,thomas.goetz,Major,Resolved,Fixed,17/Oct/11 21:07,10/Nov/11 12:50,
Bug,WICKET-4214,12530964,,Examples not running on GlassFish 3.1.1 from Maven project,,bht@actrix.gen.nz,Major,Resolved,Not A Problem,10/Nov/11 07:13,10/Nov/11 09:01,
Bug,WICKET-4209,12530828,,Examples not running on GlassFish 3.1.1,,bht@actrix.gen.nz,Major,Resolved,Invalid,09/Nov/11 07:52,09/Nov/11 11:03,
Bug,WICKET-4206,12530716,,"DatePicker dialog closed, when the user clicks on calendar navigator with autoHide == true",mgrigorov,avskor,Major,Resolved,Fixed,08/Nov/11 13:40,09/Nov/11 10:59,
Improvement,WICKET-4210,12530836,,AutoCompleteTextField should not kill Escape keypress event if options are not shown,mgrigorov,unico@apache.org,Major,Resolved,Fixed,09/Nov/11 08:45,09/Nov/11 09:09,
Bug,WICKET-4203,12530631,,Wicket fails to start when deployed filenames contain space characters,mgrigorov,fziglar,Major,Resolved,Fixed,07/Nov/11 21:00,09/Nov/11 08:34,
Improvement,WICKET-4189,12529820,,RequestHandlerStack: Unnecessary Stacktrace in log on PageExpiredException,mgrigorov,tapter,Major,Resolved,Fixed,02/Nov/11 07:28,08/Nov/11 16:00,
Bug,WICKET-3705,12506975,,AjaxSubmit in modal window doesn't call form.onSubmit() before ending request,,dashorst,Major,Reopened,,12/May/11 12:51,07/Nov/11 09:47,
Bug,WICKET-4191,12529828,,Tree component shows errors,,pdiefent,Major,Resolved,Duplicate,02/Nov/11 08:41,07/Nov/11 09:22,
Improvement,WICKET-1950,12408997,,JavaScriptEvent Enumeration,jthomerson,jwcarman,Major,Closed,Won't Fix,21/Nov/08 14:43,06/Nov/11 04:37,
Improvement,WICKET-579,12369708,,Need for DataTable not to require size,jthomerson,kroekle,Major,Closed,Won't Fix,18/May/07 18:48,06/Nov/11 04:23,
Bug,WICKET-4197,12530279,,ListenerInterfaceRequestHandler fails with an exception if a new page is created and the component does not exist on that page,ivaynberg,papegaaij,Major,Resolved,Fixed,04/Nov/11 13:31,05/Nov/11 05:21,
Bug,WICKET-4198,12530333,,RestartResponseException does not work correctly with newly created page instances,ivaynberg,ivaynberg,Major,Resolved,Fixed,04/Nov/11 16:06,04/Nov/11 16:07,
Bug,WICKET-4193,12529979,,Indicator in IndicatingAjaxLink works only one time,ivaynberg,hok,Major,Resolved,Duplicate,02/Nov/11 23:54,03/Nov/11 02:36,
Bug,WICKET-4187,12529518,,Problem resolving markup in DefaultMarkupSourcingStrategy,,martin.bigio,Major,Resolved,Cannot Reproduce,31/Oct/11 17:39,02/Nov/11 15:13,
Improvement,WICKET-4192,12529833,,Do not add anti cache parameter to the images used for the Tree's junction links,mgrigorov,mgrigorov,Major,Resolved,Fixed,02/Nov/11 09:45,02/Nov/11 09:45,
Task,WICKET-4190,12529821,,Implement Session.clear(),mgrigorov,tapter,Major,Resolved,Fixed,02/Nov/11 07:38,02/Nov/11 08:10,
Sub-task,WICKET-4188,12529722,12513976,Check if the dependent form components are visible and participants in hierarchy while validating form validators,pedrosans,pedrosans,Major,Open,,01/Nov/11 19:25,01/Nov/11 21:31,
Bug,WICKET-3997,12520285,,Error during processing error message - lack of clues/pointers to a cause for the error,,kgignatyev,Major,Resolved,Cannot Reproduce,26/Aug/11 18:58,01/Nov/11 14:25,
Bug,WICKET-4086,12524612,,Redirecting in unit tests breaks when upgrading from Wicket 1.4.15 to 1.4.18,,gertjan_schouten,Major,Resolved,Fixed,26/Sep/11 10:02,01/Nov/11 14:16,
Bug,WICKET-3899,12513976,,IFormVisitorParticipant don't get tested when validation method is visiting inner forms,pedrosans,pedrosans,Major,Open,,13/Jul/11 19:38,31/Oct/11 21:06,
