Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,ZOOKEEPER-371,12422358,,to implement jdiff ,gkesavan,gkesavan,Major,Closed,Fixed,08/Apr/09 13:06,08/Jul/09 20:24,
Bug,ZOOKEEPER-370,12422297,,Fix critical problems reported by findbugs,fpj,fpj,Major,Closed,Fixed,07/Apr/09 21:26,08/Jul/09 20:24,
Bug,ZOOKEEPER-363,12421959,,NPE when recovering ledger with no hint ,fpj,lucat,Major,Closed,Fixed,03/Apr/09 11:08,08/Jul/09 20:24,
Bug,ZOOKEEPER-362,12421950,,Issues with FLENewEpochTest,fpj,fpj,Major,Closed,Fixed,03/Apr/09 09:04,08/Jul/09 20:24,
New Feature,ZOOKEEPER-361,12421921,,integrate cppunit testing as part of hudson patch process.,gkesavan,mahadev,Major,Closed,Fixed,02/Apr/09 21:30,08/Jul/09 20:24,
Bug,ZOOKEEPER-360,12421897,,WeakHashMap in Bookie.java causes NPE,fpj,fpj,Major,Closed,Fixed,02/Apr/09 16:32,08/Jul/09 20:24,
Improvement,ZOOKEEPER-356,12419642,,Masking bookie failure during writes to a ledger,fpj,fpj,Major,Closed,Fixed,27/Mar/09 12:18,08/Jul/09 20:24,
Bug,ZOOKEEPER-355,12419610,,make  validatePath non public in Zookeeper client api.,phunt,mahadev,Major,Closed,Fixed,27/Mar/09 05:09,08/Jul/09 20:24,
Sub-task,ZOOKEEPER-354,12419591,12419569,to fix javadoc warning in the source files,mahadev,gkesavan,Major,Closed,Fixed,26/Mar/09 23:52,08/Jul/09 20:24,
Sub-task,ZOOKEEPER-353,12419585,12419569,javadoc warnings needs to be fixed ,gkesavan,gkesavan,Major,Closed,Fixed,26/Mar/09 23:17,08/Jul/09 20:24,
Sub-task,ZOOKEEPER-352,12419579,12419569,to add standard ant targets required by test-patch.sh script,gkesavan,gkesavan,Major,Closed,Fixed,26/Mar/09 22:31,08/Jul/09 20:24,
Sub-task,ZOOKEEPER-351,12419577,12419569,to run checkstyle,gkesavan,gkesavan,Major,Closed,Fixed,26/Mar/09 22:01,08/Jul/09 20:24,
Sub-task,ZOOKEEPER-350,12419570,12419569,to run rats for releaseaudit ,gkesavan,gkesavan,Major,Closed,Fixed,26/Mar/09 20:50,08/Jul/09 20:24,
Improvement,ZOOKEEPER-349,12419569,,to automate patch testing ,gkesavan,gkesavan,Major,Closed,Fixed,26/Mar/09 20:49,08/Jul/09 20:24,
Bug,ZOOKEEPER-346,12419257,,remove the kill command fro mthe client port.,phunt,mahadev,Major,Closed,Fixed,23/Mar/09 23:34,08/Jul/09 20:24,
Improvement,ZOOKEEPER-345,12419256,,the CLIs should allow addAuth to be invoked,henryr,phunt,Major,Closed,Fixed,23/Mar/09 23:28,08/Jul/09 20:24,
Bug,ZOOKEEPER-344,12417203,,"doIO in NioServerCnxn: Exception causing close of session : cause is ""read error""",phunt,bthompson,Major,Closed,Invalid,18/Mar/09 18:45,08/Jul/09 20:24,
Improvement,ZOOKEEPER-343,12417183,,add tests that specifically verify the zkmain and qpmain classes,phunt,phunt,Major,Closed,Fixed,18/Mar/09 16:17,08/Jul/09 20:24,
Improvement,ZOOKEEPER-342,12417182,,improve configuration code - remove static config and use java properties,phunt,phunt,Major,Closed,Fixed,18/Mar/09 16:16,08/Jul/09 20:24,
Bug,ZOOKEEPER-340,12417100,,binaryinputarchive throws out runtimeexceptions for unreasonable length datastructures.,mahadev,mahadev,Major,Closed,Fixed,17/Mar/09 22:16,08/Jul/09 20:24,
Bug,ZOOKEEPER-334,12415833,,bookkeeper benchmark (testclient.java) has compiling errros.,mahadev,mahadev,Major,Closed,Fixed,27/Feb/09 23:55,08/Jul/09 20:24,
Bug,ZOOKEEPER-325,12415180,,FLENewEpoch test fails.,,mahadev,Major,Closed,Fixed,20/Feb/09 00:04,08/Jul/09 20:24,
Bug,ZOOKEEPER-320,12415001,,call auth completion in free_completions(),cdarroch,cdarroch,Major,Closed,Fixed,17/Feb/09 22:48,08/Jul/09 20:24,
Bug,ZOOKEEPER-319,12414999,,add locking around auth info in zhandle_t,cdarroch,cdarroch,Major,Closed,Fixed,17/Feb/09 22:32,08/Jul/09 20:24,
Improvement,ZOOKEEPER-314,12414971,,add wiki docs for bookeeper.,breed,mahadev,Major,Closed,Fixed,17/Feb/09 18:30,08/Jul/09 20:23,
Bug,ZOOKEEPER-309,12414518,,core dump using zoo_get_acl() ,mahadev,cdarroch,Major,Closed,Fixed,10/Feb/09 22:21,08/Jul/09 20:23,
Improvement,ZOOKEEPER-307,12414413,,Log exception stack traces,,fpj,Major,Closed,Invalid,09/Feb/09 18:50,08/Jul/09 20:23,
Improvement,ZOOKEEPER-306,12414401,,Add BookKeeper documentation,,fpj,Major,Closed,Duplicate,09/Feb/09 16:59,08/Jul/09 20:23,
Bug,ZOOKEEPER-300,12414159,,zk jmx code is calling printStackTrace when creating bean name (should not be),phunt,phunt,Major,Closed,Fixed,05/Feb/09 23:24,08/Jul/09 20:23,
Bug,ZOOKEEPER-299,12414158,,server startup scripts fail on a mac.,,mahadev,Major,Closed,Fixed,05/Feb/09 23:22,08/Jul/09 20:23,
Bug,ZOOKEEPER-298,12414148,,"some excecutables (scripts typ.) are not marked as such in tar generated by ""ant tar""",,phunt,Major,Closed,Invalid,05/Feb/09 22:23,08/Jul/09 20:23,
Improvement,ZOOKEEPER-292,12414065,,commit configure scripts (autotools) to svn for c projects and include in release,phunt,phunt,Major,Closed,Fixed,05/Feb/09 01:27,08/Jul/09 20:23,
Improvement,ZOOKEEPER-288,12413867,,Cleanup and fixes to BookKeeper,fpj,fpj,Major,Closed,Fixed,03/Feb/09 11:49,08/Jul/09 20:23,
Bug,ZOOKEEPER-281,12413536,,autoreconf fails for /zookeeper-3.0.1/src/c/,phunt,dememax,Major,Closed,Fixed,29/Jan/09 14:44,08/Jul/09 20:23,
Bug,ZOOKEEPER-196,12406795,,"doxygen comment for state argument of watcher_fn typedef and implementation differ (""...one of the *_STATE constants, otherwise -1"")",breed,dememax,Major,Closed,Fixed,20/Oct/08 12:12,08/Jul/09 20:23,
Bug,ZOOKEEPER-94,12401015,,JMX tests are needed to verify that the JMX MBeans work properly,phunt,chirino,Major,Closed,Fixed,25/Jul/08 14:22,08/Jul/09 20:23,
New Feature,ZOOKEEPER-78,12400486,,added a high level protocol/feature - for easy Leader Election or exclusive Write Lock creation,mahadev,jstrachan,Major,Closed,Fixed,17/Jul/08 15:35,08/Jul/09 20:23,
Improvement,ZOOKEEPER-60,12399318,,Get cppunit tests running as part of Hudson CI,gkesavan,phunt,Major,Closed,Fixed,30/Jun/08 21:51,08/Jul/09 20:23,
New Feature,ZOOKEEPER-36,12398001,,REST access to ZooKeeper,phunt,phunt,Major,Closed,Fixed,10/Jun/08 22:39,08/Jul/09 20:23,
New Feature,ZOOKEEPER-29,12397992,,Flexible quorums,fpj,phunt,Major,Closed,Fixed,10/Jun/08 22:12,08/Jul/09 20:23,
Bug,ZOOKEEPER-429,12427007,,Python contrib test failing on hudson,,fpj,Major,Resolved,Invalid,03/Jun/09 07:14,03/Jun/09 11:31,
Bug,ZOOKEEPER-387,12424141,,closeLedger shouldn't shut down all QuorumEngines,fpj,fpj,Major,Resolved,Duplicate,29/Apr/09 08:32,04/May/09 15:02,
Sub-task,ZOOKEEPER-166,12405811,12405804,"Content needed: ""Logging""",,robbiescott,Major,Open,,06/Oct/08 14:18,12/Mar/09 01:00,
Sub-task,ZOOKEEPER-164,12405809,12405804,"Content needed: ""Administering""",,robbiescott,Major,Open,,06/Oct/08 14:12,12/Mar/09 01:00,
Bug,ZOOKEEPER-313,12414779,,Problem with successive leader failures when no client is connected ,mahadev,sbera,Major,Resolved,Duplicate,13/Feb/09 22:20,04/Mar/09 19:01,
Bug,ZOOKEEPER-273,12412431,,Zookeeper c client build should not depend on CPPUNIT,phunt,runping,Major,Closed,Fixed,15/Jan/09 00:36,17/Feb/09 19:02,
Bug,ZOOKEEPER-291,12414028,,regression for legacy code using KeeperException.Code constants (due to 246),phunt,phunt,Major,Closed,Fixed,04/Feb/09 19:23,13/Feb/09 21:18,
Improvement,ZOOKEEPER-289,12413941,,add debug messages to nioserver select loop.,mahadev,mahadev,Major,Closed,Fixed,03/Feb/09 20:14,13/Feb/09 21:18,
Improvement,ZOOKEEPER-286,12413804,,Make GenerateLoad use InstanceContainers,breed,breed,Major,Closed,Fixed,02/Feb/09 16:20,13/Feb/09 21:18,
Bug,ZOOKEEPER-285,12413772,,the stat command does not return the correct mode,breed,breed,Major,Closed,Fixed,02/Feb/09 11:56,13/Feb/09 21:18,
New Feature,ZOOKEEPER-276,12412826,,Bookkeeper contribution,fpj,lucat,Major,Closed,Fixed,20/Jan/09 11:54,13/Feb/09 21:18,
Bug,ZOOKEEPER-275,12412495,,Bug in FastLeaderElection,fpj,fpj,Major,Closed,Fixed,15/Jan/09 15:18,13/Feb/09 21:18,
Bug,ZOOKEEPER-272,12412310,,getChildren can fail for large numbers of children,mahadev,jtuberville,Major,Closed,Fixed,13/Jan/09 18:15,13/Feb/09 21:18,
Bug,ZOOKEEPER-268,12411872,,tostring on jute generated objects can cause NPE,phunt,phunt,Major,Closed,Fixed,07/Jan/09 18:05,13/Feb/09 21:18,
Bug,ZOOKEEPER-267,12411723,,java client incorrectly generating syncdisconnected event when in disconnected state,phunt,phunt,Major,Closed,Fixed,05/Jan/09 22:56,13/Feb/09 21:18,
Bug,ZOOKEEPER-266,12411715,,KeeperState missing javadoc for values,phunt,phunt,Major,Closed,Fixed,05/Jan/09 20:40,13/Feb/09 21:18,
Bug,ZOOKEEPER-257,12410751,,"Review logging level for WARN/ERROR log messages, some misclassified",phunt,phunt,Major,Closed,Duplicate,16/Dec/08 00:49,13/Feb/09 21:18,
New Feature,ZOOKEEPER-256,12410626,,support use of JMX to manage log4j configuration at runtime,phunt,phunt,Major,Closed,Fixed,13/Dec/08 06:58,13/Feb/09 21:18,
Bug,ZOOKEEPER-254,12410611,,there is currently no way for a user to test session expiration in their code,breed,phunt,Major,Closed,Fixed,12/Dec/08 21:44,13/Feb/09 21:18,
Bug,ZOOKEEPER-250,12410210,,isvalidsnapshot should handle the case of 0 snapshot files better.,mahadev,mahadev,Major,Closed,Fixed,08/Dec/08 18:11,13/Feb/09 21:18,
Bug,ZOOKEEPER-247,12410095,,fix formatting of C API in ACL section of programmer guide,phunt,phunt,Major,Closed,Fixed,05/Dec/08 18:22,13/Feb/09 21:18,
Bug,ZOOKEEPER-245,12410012,,"update readme/quickstart to be release tar, rather than source, based",phunt,phunt,Major,Closed,Fixed,04/Dec/08 21:08,13/Feb/09 21:18,
Bug,ZOOKEEPER-240,12409279,,Yet another npe,phunt,fpj,Major,Closed,Fixed,26/Nov/08 16:26,13/Feb/09 21:18,
