Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,TRAFODION-1117,12848035,,LP Bug: 1438961 - ODB doesn't terminate connections with DB when execution is interrupted,weiqxu,weiqxu,Blocker,Open,,22/Jul/15 18:19,16/Apr/20 02:19,
Bug,TRAFODION-1156,12848074,,LP Bug: 1442778 - traf_config_setup  does not get node list so install fails,amoran,ctjepkema,Blocker,Closed,Invalid,22/Jul/15 18:20,15/Sep/18 07:32,
Improvement,TRAFODION-1719,12923630,,dcsstart/dcsstop doesn't work,kevinxu021,kevinxu021,Blocker,Closed,Fixed,22/Dec/15 01:09,15/Sep/18 07:31,
Bug,TRAFODION-790,12847708,,LP Bug: 1395840 - Alter rename cores mxosrvr at ExHbaseAccessTcb::setupUniqueKeyAndCols(),suresh_subbiah,WTsai,Blocker,Closed,Fixed,22/Jul/15 18:17,15/Sep/18 07:31,
Bug,TRAFODION-2689,13087690,,Log files are not created by monitor child processes,zcorrea,zcorrea,Blocker,Closed,Fixed,17/Jul/17 18:57,15/Sep/18 07:31,18/Jul/17 00:00
Bug,TRAFODION-2642,13078706,,Ambari integration - dcs install with HA enabled,svarnau,svarnau,Blocker,Closed,Fixed,09/Jun/17 18:00,15/Sep/18 07:30,
Bug,TRAFODION-1239,12848157,,LP Bug: 1455670 - insert using params to varchar column of > 32k colsize fails,arvind.narain,saruna,Blocker,Closed,Fixed,22/Jul/15 18:20,15/Sep/18 07:30,
Bug,TRAFODION-2565,13060190,,JDBC T2 Vproc needs updating . Causes build or initialize issues for 2.1 release ,arvind-narain,sandhya,Blocker,Closed,Fixed,29/Mar/17 23:06,05/Sep/18 21:34,
Bug,TRAFODION-2357,13021335,,log4c++ build error,rmarton,gtapper,Blocker,Closed,Fixed,17/Nov/16 02:11,01/Feb/17 19:57,
Bug,TRAFODION-1665,12917452,,[MTDCS] connection failed with mtdcs on,kevinxu021,rachelgao,Blocker,Closed,Fixed,02/Dec/15 02:59,25/Dec/15 06:53,
Dependency upgrade,TRAFODION-1519,12904140,,Use free tool to build windows odbc,weiqxu,weiqxu,Blocker,Closed,Fixed,12/Oct/15 10:55,08/Nov/15 04:10,12/Oct/15 00:00
Bug,TRAFODION-1446,12854166,,End Key missing for simple scan scenario,qfc,eowhadi,Blocker,Open,,11/Aug/15 14:11,07/Oct/15 23:13,
Sub-task,TRAFODION-1364,12848282,12847007,Validate skin and extensions implemented correctly in new version,alchen99,alchen99,Blocker,Closed,Done,22/Jul/15 18:21,06/Oct/15 21:39,
Sub-task,TRAFODION-1366,12848284,12847007,Pass security check,alchen99,alchen99,Blocker,Closed,Done,22/Jul/15 18:21,06/Oct/15 21:38,
Sub-task,TRAFODION-1365,12848283,12847007,Implement Google Analytics,alchen99,alchen99,Blocker,Closed,Done,22/Jul/15 18:21,06/Oct/15 21:38,
Sub-task,TRAFODION-1368,12848286,12847007,Upgrade wiki from 1.22 to 1.23.5,alchen99,alchen99,Blocker,Closed,Done,22/Jul/15 18:21,06/Oct/15 21:37,
Sub-task,TRAFODION-1367,12848285,12847007,Upgrade from 1.23.1 to 1.23.5 on wiki-dev,alchen99,alchen99,Blocker,Closed,Done,22/Jul/15 18:21,06/Oct/15 21:37,
Sub-task,TRAFODION-1361,12848279,12847007,Acquire DNS for wiki-dev.trafodion.org,alchen99,alchen99,Blocker,Closed,Done,22/Jul/15 18:21,06/Oct/15 21:37,
Sub-task,TRAFODION-1360,12848278,12847007,Create VM for wiki-dev.trafodion.org,alchen99,alchen99,Blocker,Closed,Done,22/Jul/15 18:21,06/Oct/15 21:36,
Sub-task,TRAFODION-1363,12848281,12847007,Copy Production data to wiki-dev,alchen99,alchen99,Blocker,Closed,Done,22/Jul/15 18:21,06/Oct/15 21:36,
Sub-task,TRAFODION-1362,12848280,12847007,Acquire SSL certificate for wiki-dev.trafodion.org,alchen99,alchen99,Blocker,Closed,Done,22/Jul/15 18:21,06/Oct/15 21:36,
Sub-task,TRAFODION-1345,12848263,12847000,Add daily jobs to Zuul,svarnau,svarnau,Blocker,Closed,Fixed,22/Jul/15 18:21,06/Oct/15 21:31,
Sub-task,TRAFODION-1352,12848270,12847001,Add jobs to zuul (non-voting),svarnau,svarnau,Blocker,Closed,Fixed,22/Jul/15 18:21,06/Oct/15 21:30,
Sub-task,TRAFODION-1349,12848267,12847001,Jenkins node-test,svarnau,svarnau,Blocker,Closed,Fixed,22/Jul/15 18:21,06/Oct/15 21:30,
Sub-task,TRAFODION-1348,12848266,12847001,Puppet node definition,svarnau,svarnau,Blocker,Closed,Fixed,22/Jul/15 18:21,06/Oct/15 21:04,
Sub-task,TRAFODION-1351,12848269,12847001,Add jenkins job definitions,svarnau,svarnau,Blocker,Closed,Fixed,22/Jul/15 18:21,06/Oct/15 21:04,
Sub-task,TRAFODION-1350,12848268,12847001,Bring up slaves,svarnau,svarnau,Blocker,Closed,Fixed,22/Jul/15 18:21,06/Oct/15 21:03,
Sub-task,TRAFODION-1344,12848262,12847000,Add Jenkins test jobs,svarnau,svarnau,Blocker,Closed,Fixed,22/Jul/15 18:21,06/Oct/15 20:57,
Sub-task,TRAFODION-1343,12848261,12847000,Set-up multiple nodes in jenkins,svarnau,svarnau,Blocker,Closed,Fixed,22/Jul/15 18:21,06/Oct/15 20:56,
Sub-task,TRAFODION-1347,12848265,12847001,Zuul Jobs use Distro Jobs (Stacey),svarnau,svarnau,Blocker,Closed,Fixed,22/Jul/15 18:21,06/Oct/15 20:55,
Sub-task,TRAFODION-1346,12848264,12847001,Jenkins Jobs include Distro (Stacey),svarnau,svarnau,Blocker,Closed,Fixed,22/Jul/15 18:21,06/Oct/15 20:55,
