Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,WHIRR-735,12656173,,Update maven-javadoc-plugin to 2.9.1 to fix security bug,tomwhite,tomwhite,Blocker,Resolved,Fixed,04/Jul/13 09:12,05/Jul/13 15:48,
New Feature,WHIRR-266,12501860,,Separate tasks of both install and configuration scripts into more generic and detailed functions,,hyunsik.choi,Blocker,Open,,19/Mar/11 08:45,02/May/13 02:29,
Improvement,WHIRR-23,12466495,,Upgrade to jclouds 1.0-beta-6 ,adrian@jclouds.org,tomwhite,Blocker,Resolved,Fixed,08/Jun/10 20:38,02/May/13 02:29,
Bug,WHIRR-586,12554291,,Whirr-Ubuntu build broken because of failing WhirrServicesTest,,frankscholten,Blocker,Resolved,Fixed,08/May/12 08:31,25/Mar/13 22:53,
Sub-task,WHIRR-295,12506181,12501860,Separate HBase install and configuration scripts into more generic functions,,savu.andrei,Blocker,In Progress,,04/May/11 14:53,12/Oct/12 14:08,
Sub-task,WHIRR-294,12506180,12501860,Separate Hadoop install and configuration scripts into more generic functions ,savu.andrei,savu.andrei,Blocker,Open,,04/May/11 14:51,12/Oct/12 14:08,
Sub-task,WHIRR-543,12544951,12501860,Separate CDH install and configuration scripts into more generic functions,savu.andrei,savu.andrei,Blocker,Open,,02/Mar/12 14:12,12/Oct/12 14:08,
Bug,WHIRR-438,12533735,,Add new amazon west region,,mansoor44ahmed44,Blocker,Resolved,Duplicate,03/Dec/11 15:23,09/Oct/12 10:00,
Bug,WHIRR-494,12540535,,Update the BYON cluster controller to support all the operations the regular controller supports,cosmin.dumitrache,savu.andrei,Blocker,Resolved,Fixed,31/Jan/12 11:31,09/Oct/12 09:54,
Bug,WHIRR-639,12604152,,/data*/hadoop should be owned and writable by the hadoop group for CDH.,abayer,abayer,Blocker,Resolved,Fixed,21/Aug/12 00:05,21/Aug/12 13:20,
Bug,WHIRR-427,12530875,,"CDH Hadoop integration test fails with malformed reply from SOCKS, may be version issue",savu.andrei,alex.heneveld,Blocker,Reopened,,09/Nov/11 12:57,31/Jul/12 04:44,
Bug,WHIRR-570,12548141,,Site generation fails for YARN,tomwhite,tomwhite,Blocker,Resolved,Fixed,26/Mar/12 16:34,28/May/12 19:53,
