Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,WINK-423,12708405,,Broken link to Issue tracker,lresende,sebb,Blocker,Closed,Fixed,14/Apr/14 23:30,04/Aug/14 10:38,
Bug,,WINK-361,12543093,,Wink cannot resolved URI  path segments that have encoded forward slashes,,bklau2006,Blocker,Closed,Not A Problem,17/Feb/12 20:07,03/Apr/13 14:39,
Bug,,WINK-383,12635527,,java.lang.ClassCastException while using generic List/Asset classes,,atulsoft,Blocker,Open,,06/Mar/13 09:29,06/Mar/13 09:29,
Bug,,WINK-367,12598686,,"Wink closes the tcp connection when I use json after each call, but xml works fine.",,gerbermichi,Blocker,Open,,13/Jul/12 12:56,13/Jul/12 15:54,
Bug,,WINK-275,12462945,,"When trying to register interface, the registration fails with NullPointerException",jramos,elman,Blocker,Resolved,Fixed,25/Apr/10 07:12,26/Apr/10 18:39,
Bug,,WINK-183,12435710,,wink-providers must be included in the distribution archive,elman,elman,Blocker,Closed,Fixed,15/Sep/09 13:31,21/Oct/09 06:05,
Bug,,WINK-124,12432064,,Don't use empty string for override header check,nickgallardo,nickgallardo,Blocker,Closed,Fixed,03/Aug/09 16:39,03/Aug/09 20:53,
Bug,,WINK-427,12748809,,JaxRsFilter fails if OSGi security is enabled,,v_valchev,Critical,Open,,17/Oct/14 06:38,17/Oct/14 06:38,
Bug,,WINK-419,12679760,,Maven Dependency on Downloads page is innacurate,,Chris Harris,Critical,Open,,18/Nov/13 16:59,18/Nov/13 16:59,
Bug,,WINK-332,12496526,,JAXBXmlProvider blocks JAXB implementation from successfully parsing XML when no concrete type can be found.,,kkolev,Critical,Open,,24/Jan/11 12:15,03/Nov/13 21:40,
Bug,,WINK-354,12534473,,Inconsistent Unmarshalling of XML to Object during Concurrent requests to a Resource,,kumiisc,Critical,Open,,09/Dec/11 13:45,03/Nov/13 21:40,
Bug,,WINK-416,12677205,,Mailing List hyperlinks on Apache Wink website do not work,,Chris Harris,Critical,Resolved,Fixed,02/Nov/13 07:04,03/Nov/13 03:38,
Bug,,WINK-230,12441175,,NullPointerException occures when Content type in MultiPart isn't sent,elib,annaburd,Critical,Closed,Fixed,19/Nov/09 13:07,13/Jul/13 20:13,
Bug,,WINK-345,12504574,,AbstractJAXBCollectionProvider write method is placing Marshaller back in pool before it is done being used.,,butallmj,Critical,Closed,Fixed,18/Apr/11 18:12,13/Jul/13 20:13,
Bug,,WINK-329,12494271,,"SimpleDateFormat is not thread safe, so using a static is a problem",bluk,mfriedenhagen,Critical,Resolved,Fixed,29/Dec/10 20:29,12/Apr/11 17:25,
Bug,,WINK-311,12473241,,Resource Locator's @PathParam resolution is not correct.,bluk,kkolev,Critical,Closed,Fixed,03/Sep/10 14:31,16/Sep/10 11:02,
Bug,,WINK-282,12464718,,"StringProvider may not work properly when trying to write an ""Xml string"" ",bluk,shayts7,Critical,Resolved,Fixed,17/May/10 19:49,20/May/10 07:51,
Bug,,WINK-166,12435006,,NullPointerException in ContextAccessor.getContextFromResolver when running from Client,,elman,Critical,Closed,Fixed,07/Sep/09 14:25,11/Feb/10 16:08,
Bug,,WINK-201,12436004,,Fix precedence on custom type conversion,bluk,bluk,Critical,Closed,Fixed,17/Sep/09 22:32,20/Oct/09 15:42,
Dependency upgrade,,WINK-438,12965732,,Upgrade geronimo to 2.2.1,,jacky.chen,Major,Open,,06/May/16 21:18,08/Nov/16 15:10,
Bug,,WINK-425,12738319,,NullPointerException in getContentLengthValue (HeadMethodHandler.java:100),,debriter,Major,Open,,01/Sep/14 19:35,08/Nov/16 14:21,
Story,,WINK-428,12763879,,@@Complet Regarder Film Exodus: Gods And Kings en Streaming,,wantayms,Major,Open,,27/Dec/14 13:37,08/Nov/16 14:00,
Bug,,WINK-411,12665446,,Wink-client-apache-httpclient is missing OSGi MANIFEST.MF,,lresende,Major,Open,,26/Aug/13 02:29,20/Nov/15 01:27,
Bug,,WINK-437,12907879,,geronimo-osgi-registry in runtime bundle list  of OSGi example,,reto,Major,Resolved,Fixed,26/Oct/15 10:43,28/Oct/15 15:58,
Bug,,WINK-435,12830596,,Non portable AtomEntry API Implementation,,nbqyqx@163.com,Major,Open,,18/May/15 07:08,18/May/15 07:08,
Bug,,WINK-434,12830591,,Non portable AtomEntry API Implementation,,nbqyqx@163.com,Major,Open,,18/May/15 06:59,18/May/15 06:59,
Bug,Patch Available,WINK-433,12827672,,wink-providers not registered when running apache wink in OSGi bundle on j2EE environment,,arjansh,Major,Open,,06/May/15 14:20,06/May/15 14:46,
Bug,,WINK-429,12763919,,~Regarder Exodus Gods and Kings Streaming Film en francais,,wantayms,Major,Resolved,Invalid,28/Dec/14 12:22,15/Mar/15 06:25,
