Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,KAFKA-13930,13446381,,Add 3.2.0 to broker/client and streams upgrade/compatibility tests,cadonna,cadonna,Blocker,Closed,Done,23/May/22 12:36,04/Jan/23 20:51,
Task,KAFKA-14279,13484514,,Add 3.3.1 to broker/client and stream upgrade/compatibility tests,jsancio,jsancio,Blocker,In Progress,,04/Oct/22 21:03,04/Jan/23 20:08,
Test,KAFKA-14572,13516508,,Migrate EmbeddedKafkaCluster used by Streams integration tests from EmbeddedZookeeper to KRaft,,mjsax,Blocker,Open,,04/Jan/23 19:49,04/Jan/23 19:50,
Improvement,KAFKA-14560,13516342,,Remove old client protocol API versions in Kafka 4.0 (KIP-896),ijuma,ijuma,Blocker,Open,,03/Jan/23 15:32,03/Jan/23 16:55,
Improvement,KAFKA-12872,13381474,,KIP-724: Drop support for message formats v0 and v1,ijuma,ijuma,Blocker,Open,,01/Jun/21 14:51,03/Jan/23 15:21,
Improvement,KAFKA-12886,13382006,,Enable request forwarding by default,,hachikuji,Blocker,Open,,03/Jun/21 21:50,31/Dec/22 04:27,
Improvement,KAFKA-6840,13156224,,support windowing in ktable API,bchen225242,bchen225242,Blocker,Open,,30/Apr/18 21:21,29/Dec/22 00:25,
Bug,KAFKA-10493,13327970,,KTable out-of-order updates are not being ignored,,pedrong,Blocker,Resolved,Won't Fix,17/Sep/20 06:22,28/Dec/22 23:12,
Sub-task,KAFKA-12828,13379692,13379680,Remove Deprecated methods under KeyQueryMetadata,,josep.prat,Blocker,Open,,21/May/21 08:09,28/Dec/22 21:28,
Improvement,KAFKA-14552,13515424,,Remove no longer required server protocol versions in Kafka 4.0,,ijuma,Blocker,Open,,24/Dec/22 19:16,28/Dec/22 15:45,
Bug,KAFKA-14532,13514773,,Correctly handle failed fetch when partitions unassigned,lbrutschy,lbrutschy,Blocker,Resolved,Fixed,19/Dec/22 21:09,21/Dec/22 08:34,
Bug,KAFKA-14531,13514761,,KRaft controller time-based snapshots are too frequent,mumrah,mumrah,Blocker,Resolved,Fixed,19/Dec/22 17:28,20/Dec/22 20:31,
Task,KAFKA-14417,13505440,,"Producer doesn't handle REQUEST_TIMED_OUT for InitProducerIdRequest, treats as fatal error",jolshan,jolshan,Blocker,Resolved,Fixed,23/Nov/22 00:51,19/Dec/22 17:33,
Bug,KAFKA-14496,13514039,,Wrong Base64 encoder used by OIDC OAuthBearerLoginCallbackHandler,kirktrue,vendre,Blocker,Resolved,Fixed,15/Dec/22 12:04,16/Dec/22 14:31,
Bug,KAFKA-14077,13471646,,KRaft should support recovery from failed disk,jagsancio,hachikuji,Blocker,Open,,14/Jul/22 21:48,15/Dec/22 03:26,
Bug,KAFKA-6527,13135836,,Transient failure in DynamicBrokerReconfigurationTest.testDefaultTopicConfig,,hachikuji,Blocker,Open,,02/Feb/18 18:29,15/Dec/22 02:59,
Bug,KAFKA-7957,13216786,,Flaky Test DynamicBrokerReconfigurationTest#testMetricsReporterUpdate,,mjsax,Blocker,Open,,20/Feb/19 01:07,15/Dec/22 02:59,
Bug,KAFKA-8280,13229642,,Flaky Test DynamicBrokerReconfigurationTest#testUncleanLeaderElectionEnable,,vvcephei,Blocker,Open,,23/Apr/19 15:10,15/Dec/22 02:59,
