Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,FTPSERVER-502,13382345,Cannot upload files due to invalid absolutePath result,,jseitter,Blocker,Open,,06/Jun/21 17:46,06/Jun/21 17:49,
Bug,FTPSERVER-462,12760017,"When stopping FTP server, thread is blocked forever",,obenita,Blocker,Open,,07/Dec/14 08:14,04/Apr/15 03:13,
Bug,FTPSERVER-451,12674759,"Could not set ""~UNG3$$ABL3~123~#@!"" as password",,AZ_,Blocker,Open,,21/Oct/13 10:09,21/Oct/13 10:12,
Bug,FTPSERVER-450,12674092,PropertiesUserManager userDataFile is always NULL. ,,AZ_,Blocker,Open,,16/Oct/13 09:09,21/Oct/13 09:43,
Bug,FTPSERVER-45,12343628,FTPServer can't handle ABOR command.,,sem,Blocker,Open,,29/May/06 17:09,13/Mar/11 02:38,
Bug,FTPSERVER-199,12407082,FtpReplyUtil (now LocalizedFtpReply) returns empty strings in FTP replies,,randy@fixflyer.com,Blocker,Closed,Invalid,23/Oct/08 12:56,23/Oct/08 14:55,
Wish,FTPSERVER-6,27770,"I wish, it will be... may be",,bsp,Blocker,Closed,Fixed,13/Oct/04 10:59,23/Oct/05 02:01,
Bug,FTPSERVER-339,12439876,Commands Dropped After Successful File Upload,niklas,npadgett,Critical,Open,,04/Nov/09 17:26,13/Mar/22 23:56,
Bug,FTPSERVER-499,13336481,FtpResponseEncoder is not thread safe,,Hisaki,Critical,Resolved,Fixed,21/Oct/20 13:35,13/Mar/22 23:55,
Bug,FTPSERVER-491,13218054,SSLConfigurationFactory.setSslProtocol never actually work,johnnyv,roylu,Critical,Resolved,Fixed,26/Feb/19 09:32,04/Jan/22 19:53,
Bug,FTPSERVER-490,12826538,Multiple simultaneous transfer of files is not working,johnnyv,cpatel,Critical,Open,,01/May/15 12:32,01/Feb/19 16:29,
Bug,FTPSERVER-479,13040133,SSL connection not closed when stream data sent,,philippe.perrault@gmail.com,Critical,Open,,03/Feb/17 14:24,26/Dec/18 17:24,
Bug,FTPSERVER-482,13072368,Potential NullPointerException,,Bernd Stoltefuss,Critical,Open,,16/May/17 09:17,16/May/17 09:17,
Bug,FTPSERVER-469,12888565,WritePermission not saved and loaded,,rdomingo,Critical,Open,,18/Sep/15 14:18,31/Oct/16 14:43,
Bug,FTPSERVER-435,12611510,FTPClient - 3.0.1 - Randomly throwing connection timed out error during listfile / connect,dlatorre,vijayansm,Critical,Closed,Won't Fix,12/Oct/12 12:11,09/Mar/16 12:56,
Bug,FTPSERVER-459,12750921,Allow SSL protocol selection so SSL 3.0 can be turned off due to the Poodle attack vector,,Woozy,Critical,Open,,27/Oct/14 23:24,22/Jan/15 12:21,
Bug,FTPSERVER-430,12549479,"LIST, MLST and MLSD commands does not return info about 1 file which name contains square brackets [ and ]",,stanislav-m,Critical,Open,,04/Apr/12 11:01,06/Apr/12 13:26,
