Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,DIRMINA-1157,13424030,,Sporadic error when establishing a StartTLS or SSL connection,,s.liersch,Blocker,Open,,21/Jan/22 14:27,22/Jan/22 15:38,
Bug,DIRMINA-1146,13388510,,TLS enabled session got disconnected when outbound messages add up to the value of maxscheduledwriterequests,johnnyv,Chilly,Blocker,Open,,09/Jul/21 01:39,31/Jul/21 21:13,
New Feature,DIRMINA-875,12534945,,Handle the SslEngine closure when the session is closed,,elecharny,Blocker,Resolved,Abandoned,13/Dec/11 12:50,24/May/19 16:35,
Bug,DIRMINA-872,12532374,,"SSL handshake is not done when the socket is connected, but when the first message is sent",,elecharny,Blocker,Resolved,Abandoned,22/Nov/11 18:45,24/May/19 13:00,
Bug,DIRMINA-1098,13204925,,"Hello, I have  found a bug in 2.0.19",,cheng6325,Blocker,Resolved,Fixed,17/Dec/18 15:44,01/Feb/19 18:08,
Bug,DIRMINA-1006,12774133,,mina2.0.9 NioProcessor thread make cpu 100%,,briokyd,Blocker,Resolved,Fixed,11/Feb/15 08:48,16/Oct/18 15:28,
Bug,DIRMINA-988,12744249,,100% CPU when using IoBuffer.shrink() method in some cases,,elecharny,Blocker,Resolved,Fixed,26/Sep/14 10:13,05/Apr/18 07:45,
Bug,DIRMINA-777,12460783,,IoSessionConfig.setUseReadOperation(true) doesn't seem to work,,mhuggins,Blocker,Resolved,Fixed,31/Mar/10 07:30,16/Aug/16 09:03,
Bug,DIRMINA-1026,12936002,,Session may be removed twice from the removedSession queue,,elecharny,Blocker,Resolved,Fixed,02/Feb/16 15:39,03/Feb/16 09:14,
Bug,DIRMINA-1023,12933359,,Infinite loop in SslHandler when the AppBuffer is too small,,elecharny,Blocker,Resolved,Fixed,22/Jan/16 15:09,22/Jan/16 15:19,
Bug,DIRMINA-764,12456324,,DDOS possible in only a few seconds...,elecharny,elecharny,Blocker,Resolved,Won't Fix,15/Feb/10 13:45,10/Sep/14 21:15,
Bug,DIRMINA-980,12720824,,Missing implementation of write() method in SerialSessionImpl.SerialIoProcessor,,saarpa,Blocker,Resolved,Fixed,12/Jun/14 09:21,05/Sep/14 12:20,
Bug,DIRMINA-574,12394381,,ClassCastException when a message is written on a closed session.,elecharny,trustin,Blocker,Resolved,Won't Fix,20/Apr/08 05:58,05/Sep/14 12:17,
Bug,DIRMINA-639,12408938,,WriteFuture are updated long after a session.write() is done,,elecharny,Blocker,Resolved,Won't Fix,20/Nov/08 18:42,05/Sep/14 12:15,
Bug,DIRMINA-638,12408692,,DefaultSocketSessionConfig creates some connection to itself.,elecharny,elecharny,Blocker,Closed,Won't Fix,17/Nov/08 23:28,05/Sep/14 09:34,
Bug,DIRMINA-900,12599125,,One MINA 2.0.4 test is failing when run with a 1.7 jdk,,elecharny,Blocker,Resolved,Fixed,17/Jul/12 15:06,18/Jul/12 16:53,
Task,DIRMINA-795,12473792,,Rework the release process,,elecharny,Blocker,Closed,Fixed,10/Sep/10 12:25,08/Feb/11 11:03,
Bug,DIRMINA-790,12467084,,2.0.0M6 + 2.0.0RC1: Win7 performance issue,elecharny,alex0801,Blocker,Closed,Fixed,16/Jun/10 14:04,08/Feb/11 11:03,
Task,DIRMINA-575,12394685,,"Add the missing Javadoc, add some comments",,elecharny,Blocker,Closed,Fixed,24/Apr/08 09:54,27/Feb/10 12:40,
Bug,DIRMINA-618,12403533,,Latest MINA won't work with glassfish as JCA inbound connector,,chris hurst,Blocker,Closed,Won't Fix,02/Sep/08 11:00,22/Jan/10 17:34,
