Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,PIVOT-666,12479367,,JVM Crash,,lionel.giltay,Blocker,Closed,Invalid,08/Nov/10 10:45,07/Dec/17 16:18,
Bug,PIVOT-165,12429732,,Layout problems in BoxPaneSkin,gbrown,tvolkert,Blocker,Resolved,Fixed,07/Jul/09 17:59,22/Aug/09 18:47,
Bug,PIVOT-993,13065209,,Apache Pivot does not work with Oracle JDK8u131,rwhitcomb,aalmiray,Critical,Closed,Fixed,19/Apr/17 20:11,17/Apr/22 17:33,
Bug,PIVOT-974,12845937,,"Use of ""importClass"" or ""importPackage"" function in Javascript within BXML files won't work under Java 8 Nashorn script engine",rwhitcomb,rwhitcomb,Critical,Resolved,Fixed,17/Jul/15 17:02,21/Jul/15 15:32,
Bug,PIVOT-716,12501538,,Clearing a Document by removing all elements crashes,grandinj,bvanmelle,Critical,Resolved,Fixed,16/Mar/11 02:05,16/Mar/11 08:41,
Bug,PIVOT-337,12439152,,FileBrowser[Sheet] doesn't allow navigation to different logical drives in Windows,gbrown,tvolkert,Critical,Resolved,Fixed,27/Oct/09 10:36,12/Nov/09 00:45,
Bug,PIVOT-323,12437696,,PushButton pressed state is not shown for focused buttons in layered windows,gbrown,tvolkert,Critical,Resolved,Fixed,09/Oct/09 10:45,09/Oct/09 13:32,
Bug,PIVOT-297,12435752,,Window.open(owner) is prone to memory leak,gbrown,tvolkert,Critical,Resolved,Fixed,15/Sep/09 19:52,06/Oct/09 12:07,
Bug,PIVOT-229,12433014,,Compile errors in HashMapTest,gbrown,tvolkert,Critical,Resolved,Fixed,13/Aug/09 18:00,22/Aug/09 18:45,
Bug,PIVOT-172,12430363,,QueryServlet is not thread-safe,tvolkert,gbrown,Critical,Resolved,Fixed,14/Jul/09 12:34,04/Aug/09 14:18,
Bug,PIVOT-101,12423233,,Build on JDK1.5/Mac can cause issues,tvolkert,tvolkert,Critical,Resolved,Fixed,20/Apr/09 00:16,19/May/09 16:58,
Bug,PIVOT-44,12419605,,Component.getVisibleArea() breaks when encountering a Viewport,tvolkert,tvolkert,Critical,Closed,Fixed,27/Mar/09 02:52,20/Apr/09 13:58,
Improvement,PIVOT-689,12493722,,Finishing touches on Skin Colors,smartini,smartini,Major,Resolved,Fixed,21/Dec/10 01:56,21/Oct/22 07:39,
Task,PIVOT-1050,13350994,,Tasks for 2.1.0 release,rwhitcomb,rwhitcomb,Major,Open,,08/Jan/21 02:18,11/Aug/22 12:42,30/Dec/22 00:00
Wish,PIVOT-851,12551045,,Verify if move to a more reactive approach for event propagation and loose coupling between components,smartini,smartini,Major,Closed,Won't Fix,16/Apr/12 12:16,11/Aug/22 12:40,
Improvement,PIVOT-1065,13432752,,Consider deprecation of org.apache.pivot.functional packages,rwhitcomb,rwhitcomb,Major,Open,,09/Mar/22 05:01,11/Aug/22 12:38,
Improvement,PIVOT-973,12845904,,implement some useful functional methods in base Monads,smartini,smartini,Major,Closed,Won't Fix,17/Jul/15 14:54,11/Aug/22 12:36,
