Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,PLC4X-327,13417786,,with-c doesn't build on macOS,otto,otto,Blocker,Reopened,,15/Dec/21 17:41,09/Nov/22 10:35,
Bug,PLC4X-343,13447448,,Issue with Modbus Write -- PLC Connection Exception: Error Creating Channel,,maxtan,Blocker,Open,,30/May/22 05:35,09/Nov/22 10:22,
Bug,PLC4X-338,13434708,,s7 could not write CHAR array,,hadoop.jz,Blocker,Open,,20/Mar/22 02:55,09/Nov/22 10:21,
Bug,PLC4X-132,13243124,,[S7] Communication to S7 PLC dies in some situations,,julian.feinauer,Blocker,Open,,04/Jul/19 06:09,09/Nov/22 10:14,
Bug,PLC4X-276,13355668,,[S7] The most of the supported types don't work correctly,cdutz,cdutz,Blocker,Resolved,Fixed,30/Jan/21 17:18,17/Sep/21 10:02,
Bug,PLC4X-197,13304249,,tcp connection issue: Static Timer stopped when multiple tcpconnections,otto,minchengbo,Blocker,Closed,Fixed,12/May/20 01:57,15/May/20 02:30,
Bug,PLC4X-134,13244294,,S7 is terminating the connection during handshake,cdutz,generalkelly,Blocker,Resolved,Fixed,11/Jul/19 11:29,01/May/20 15:02,
Bug,PLC4X-163,13274690,,Netty OutOfDirectMemoryError,julian.feinauer,swiendl,Blocker,Closed,Fixed,16/Dec/19 07:45,01/Mar/20 13:53,
Bug,PLC4X-158,13271927,,Too many open files after less than 24 hours of Scraper use,julian.feinauer,swiendl,Blocker,Closed,Fixed,03/Dec/19 11:42,01/Mar/20 13:53,
Bug,PLC4X-139,13248612,,PLC4X leaks sockets in case of connection problems,julian.feinauer,julian.feinauer,Blocker,Closed,Fixed,02/Aug/19 15:12,03/Dec/19 15:35,
Bug,PLC4X-104,13221644,,S7 Driver Datatype TIME_OF_DAY causes ArrayOutOfBoundException,timbo2k,timbo2k,Blocker,Resolved,Fixed,14/Mar/19 11:02,12/Aug/19 00:06,
Bug,PLC4X-116,13231075,,Build fails locally during thrift phase,cdutz,julian.feinauer,Blocker,Closed,Workaround,01/May/19 12:13,02/May/19 16:27,
Bug,PLC4X-117,13231081,,Subscription links on the website not working,cdutz,julian.feinauer,Blocker,Resolved,Fixed,01/May/19 12:59,02/May/19 16:26,
Bug,PLC4X-94,13221107,,Build fails due to dependency-check plugin,julian.feinauer,julian.feinauer,Blocker,Closed,Fixed,12/Mar/19 12:37,12/Mar/19 14:50,
Bug,PLC4X-359,13493503,,"The modbus rtu loop reads a large amount of data, causing a half packet problem",,StrawberryBlue,Critical,Open,,28/Oct/22 16:33,09/Nov/22 10:25,
Bug,PLC4X-351,13472812,,PLC4X-Connection terminated by remote,,466787806,Critical,Open,,22/Jul/22 02:46,09/Nov/22 10:22,
Bug,PLC4X-340,13442981,,Nifi with OPC UA don't perform,,gvincebzh,Critical,Open,,03/May/22 14:18,09/Nov/22 10:21,
Bug,PLC4X-199,13306795,,Request future never returns when ResponseCode not OK for Siemes S7,julian.feinauer,julian.feinauer,Critical,Open,,22/May/20 14:37,09/Nov/22 10:19,
Bug,PLC4X-219,13319302,,NIFI processors should only work with specific attributes,otto,otto,Critical,Open,,25/Jul/20 16:08,09/Nov/22 10:19,
New Feature,PLC4X-180,13288876,,User manual. Driver-S7,cgarcia,cgarcia,Critical,Open,,02/Mar/20 13:32,09/Nov/22 10:19,
New Feature,PLC4X-185,13289333,,OPC UA Driver should support client certificates,jfeinauer,jfeinauer,Critical,In Progress,,03/Mar/20 20:54,09/Nov/22 10:19,
Bug,PLC4X-352,13473517,,Issue with create PCCC connection problem,,susliks,Critical,Closed,Fixed,26/Jul/22 09:39,03/Aug/22 07:34,
Bug,PLC4X-326,13413783,,org.apache.plc4x.java.api.exceptions.PlcConnectionException: Error creating channel,,durairajasivam,Critical,Closed,Fixed,25/Nov/21 08:29,30/May/22 05:32,
Bug,PLC4X-242,13324464,,nioEventLoopGroup thread leak,sruehl,javajabroni,Critical,Resolved,Fixed,25/Aug/20 12:32,03/Dec/21 10:32,
Bug,PLC4X-142,13254208,,OPC-UA read variables,Mathi_LTAZ,castro_onoh,Critical,Closed,Fixed,02/Sep/19 10:24,24/Jun/21 06:32,
New Feature,PLC4X-113,13228772,,Implement support for complex field types in the PLC4X API,,julian.feinauer,Critical,Resolved,Fixed,18/Apr/19 07:26,25/Jan/21 07:44,
Bug,PLC4X-261,13343535,,Pooled Connection doesn't reconnect when comms is lost to device.,,hutcheb,Critical,Closed,Fixed,01/Dec/20 11:58,01/Dec/20 12:00,
Bug,PLC4X-69,13194106,,ADS subscription data not present,sruehl,MrWhy,Critical,Closed,Cannot Reproduce,25/Oct/18 09:28,01/May/20 15:04,
