Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,STEVE-73,13446479,UI issue with existing vote ,,cml,Major,Open,,24/May/22 02:20,24/May/22 02:21,
Improvement,STEVE-72,13433930,Bulk confirmation email,,rubys,Major,Open,,15/Mar/22 17:27,15/Mar/22 17:27,
New Feature,STEVE-71,13432018,Notifications of outcome for each nominated member,,striker,Major,Open,,04/Mar/22 13:35,04/Mar/22 13:35,
Bug,STEVE-70,13431388,wsgi/rest_admin.py is the same as wsgi/rest_voter.py,,sebb,Major,Open,,01/Mar/22 23:19,01/Mar/22 23:19,
Bug,STEVE-68,13431276,Imports don't appear to work under python3,,sebb,Major,Open,,01/Mar/22 13:39,01/Mar/22 13:55,
Bug,STEVE-69,13431279,elasticsearch is not optional,,sebb,Major,Open,,01/Mar/22 13:43,01/Mar/22 13:43,
Bug,STEVE-67,13431106,import order appears to be critical but is undocumented,,sebb,Major,Open,,28/Feb/22 23:14,28/Feb/22 23:14,
Bug,STEVE-66,13431103,Two different copies of rest_admin and rest_voter,,sebb,Major,Open,,28/Feb/22 22:52,28/Feb/22 22:52,
Bug,STEVE-65,13431049,GUI does not report issues with backend,,sebb,Major,Open,,28/Feb/22 17:18,28/Feb/22 17:18,
Bug,STEVE-64,13430892,election.py uses rooturl config item incorrectly,,sebb,Major,Open,,28/Feb/22 01:22,28/Feb/22 01:22,
Bug,STEVE-63,13430891,files.py references non-existent xhash variable,,sebb,Major,Open,,28/Feb/22 01:18,28/Feb/22 01:18,
Bug,STEVE-62,13430890,files.py references non-existent hideHash variable,,sebb,Major,Open,,28/Feb/22 01:08,28/Feb/22 01:08,
Bug,STEVE-61,13430889,Issue type dropdown needs rethinking,,sebb,Major,Open,,28/Feb/22 01:07,28/Feb/22 01:07,
Bug,STEVE-60,13430885,rest_admin code layout is much too complicated to follow,,sebb,Major,Open,,27/Feb/22 23:24,27/Feb/22 23:24,
Bug,STEVE-59,13430868,Missing AL headers,,sebb,Major,Open,,27/Feb/22 14:56,27/Feb/22 14:56,
Bug,STEVE-58,13430867,License for jQuery,,sebb,Major,Open,,27/Feb/22 14:45,27/Feb/22 14:45,
Bug,STEVE-57,13430520,Inconsistent email validation,,sebb,Major,Open,,24/Feb/22 22:28,24/Feb/22 22:32,
Bug,STEVE-56,13430306,Drag-drop defaults to bottom of list even if dropped on top,,sebb,Major,Open,,23/Feb/22 22:52,23/Feb/22 22:52,
Bug,STEVE-47,13071485,Docker build fails,,sebb,Major,Open,,12/May/17 09:16,20/Sep/19 07:58,
Improvement,STEVE-5,12784993,Have link for contributor tips point to somewhere meaningful,,pierresmits,Major,Open,,23/Mar/15 21:19,20/Sep/19 05:17,
Bug,STEVE-54,13227881,circular dependencies in setup.py: cannot import name election,,nealmcb,Major,Open,,13/Apr/19 17:55,13/Apr/19 18:17,
Bug,STEVE-52,13146847,[PATCH] stv.run_vote() returns unusable values in edge cases,,brettcs,Major,Open,,21/Mar/18 14:07,21/Mar/18 14:09,
Bug,STEVE-51,13146843,[PATCH] Files backend API implementation is out-of-date,,brettcs,Major,Open,,21/Mar/18 14:03,21/Mar/18 14:05,
Bug,STEVE-30,12937904,Error running setup.py,,sebb,Major,Open,,09/Feb/16 16:01,21/Mar/18 13:48,
Bug,STEVE-33,12937951,setup.py: #!/usr/bin/env/python => #!/usr/bin/env python,,sebb,Major,Open,,09/Feb/16 18:24,21/Mar/18 13:41,
Improvement,STEVE-49,13145888,Credentials need to be explained and log-out needs to be explored,,clr,Major,Open,,16/Mar/18 22:51,16/Mar/18 23:12,
Bug,STEVE-48,13075132,Election open to manipulation by vote monitors,,niq,Major,Open,,26/May/17 09:39,26/May/17 09:39,
Bug,STEVE-46,13071480,Missing Wiki / broken link,,sebb,Major,Open,,12/May/17 08:57,12/May/17 08:57,
Improvement,STEVE-39,12953038,Ability to navigate between ballots,,johndament,Major,Open,,24/Mar/16 00:12,01/Apr/17 13:11,
Improvement,STEVE-17,12785537,Improve JIRA project description,,pierresmits,Major,Closed,Not A Problem,25/Mar/15 14:46,01/Apr/17 11:14,
Improvement,STEVE-4,12784992,Enhance support page to reflect available archives,pierresmits,pierresmits,Major,Closed,Fixed,23/Mar/15 21:13,01/Apr/17 11:10,
