Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,STORM-3876,13472120,,Cannot Compile from Master,,jolanimo,Blocker,Open,,18/Jul/22 16:53,18/Oct/22 16:48,
Question,STORM-3881,13482507,,How to dynamically update variable information in memory after the cluster starts storm,,zfy68,Blocker,Open,,21/Sep/22 06:25,21/Sep/22 06:25,
Bug,STORM-3816,13421734,,Unrecognized VM option 'PrintGCDateStamps',,jondoe1337,Blocker,Closed,Fixed,10/Jan/22 14:35,21/Apr/22 07:17,
Bug,STORM-3686,13321009,,o.a.s.t.s.AbstractNonblockingServer$FrameBuffer pool-14-thread-10 [ERROR] Unexpected throwable while invoking! java.lang.NullPointerException: null,,sauravsuman689,Blocker,Open,,05/Aug/20 04:24,20/Apr/22 14:49,
Bug,STORM-3819,13423663,,Travis CI fails due to missing python3.6 packages,,rzo1,Blocker,Resolved,Fixed,20/Jan/22 07:20,24/Feb/22 17:17,
Question,STORM-3770,13377628,,Workaround for Issue STORM-3677 (assignment was null) in version 2.2.0,,nikhilonly13@gmail.com,Blocker,Open,,10/May/21 12:44,10/May/21 12:44,
New Feature,STORM-3726,13347040,,JCQueue::overflowQ can use an highly concurrent variant of JCTools,,nigrofranz,Blocker,Open,,20/Dec/20 17:58,20/Dec/20 17:58,
Bug,STORM-3582,13285281,,Kryo errors when using custom serialization,,jnioche,Blocker,Resolved,Duplicate,14/Feb/20 09:10,04/Jun/20 17:16,
Bug,STORM-3561,13276829,,java.lang.RuntimeException: java.io.UTFDataFormatException,,Ryanx,Blocker,Open,,30/Dec/19 08:19,01/Apr/20 15:54,
Bug,STORM-3610,13294438,,CLONE - Topology runtime exception - Error on initialization,,arzeena,Blocker,Closed,Duplicate,27/Mar/20 11:37,27/Mar/20 11:37,
Bug,STORM-2995,13144940,,Topology runtime exception - Error on initialization,,zhipcui,Blocker,Open,,14/Mar/18 05:58,27/Mar/20 11:37,
Bug,STORM-3560,13276827,,Worker Process 2d4d998d-4a8c-43ca-aafd-19808c63e4da exited with code: 139,,Ryanx,Blocker,Open,,30/Dec/19 08:12,30/Dec/19 08:23,
Bug,STORM-3485,13251049,,VersionInfoMojo fails to run when the sources are built outside the Git repo,srdo,srdo,Blocker,Closed,Fixed,15/Aug/19 15:58,16/Aug/19 15:44,
Bug,STORM-3467,13245853,,Version 1.2.3 missing from download page,,sebb,Blocker,Resolved,Fixed,18/Jul/19 18:37,19/Jul/19 16:47,
Bug,STORM-3364,13224650,,Data is emitted by the first bolt but it is not recieved by the second and Storm indicates neither a data loss nor timeout failure.,srdo,mahaRb,Blocker,Resolved,Not A Bug,28/Mar/19 17:20,01/Jun/19 08:41,
Bug,STORM-3381,13228572,,Upgrading to Zookeeper 3.4.14 added an LGPL dependency,srdo,srdo,Blocker,Resolved,Fixed,17/Apr/19 10:49,30/Apr/19 15:28,
Bug,STORM-3352,13220116,,Use Netty BOM to lock all Netty artifacts to same version,srdo,srdo,Blocker,Resolved,Fixed,07/Mar/19 07:46,16/Mar/19 03:24,
Bug,STORM-3345,13218174,,AbstractNonblockingServer$FrameBuffer pool-14-thread-163 [ERROR] Unexpected throwable while invoking!,,sitha,Blocker,Open,,26/Feb/19 21:16,13/Mar/19 17:16,
Improvement,STORM-3256,13191633,,"If all thread counts exceed 32767, the system will generate errors",,bbwolfcool,Blocker,Open,,15/Oct/18 15:34,06/Jan/19 15:55,
Bug,STORM-3276,13194461,,Can't run Flux with Storm 2.0.0,revans2,jnioche,Blocker,Resolved,Fixed,26/Oct/18 16:46,21/Dec/18 18:50,
Bug,STORM-3288,13198959,,Extracting jar dirs with resources in them are corrupted,revans2,revans2,Blocker,Resolved,Fixed,16/Nov/18 16:15,24/Nov/18 14:03,
Bug,STORM-3238,13188379,,The result of log search for topology doesn't show in UI page,dagit,kabhwan,Blocker,Resolved,Fixed,30/Sep/18 07:40,08/Oct/18 19:50,
Bug,STORM-3239,13188380,,Worker profile actions don't work,gmenon,kabhwan,Blocker,Resolved,Fixed,30/Sep/18 07:52,08/Oct/18 19:49,
Bug,STORM-3245,13189537,,Log viewer cleanup failes if multiple empty worker-artifact dirs,revans2,revans2,Blocker,Resolved,Fixed,04/Oct/18 19:15,08/Oct/18 19:49,
Task,STORM-3199,13179422,,"Metrics-ganglia depends on an LGPL library, so we shouldn't depend on it",srdo,srdo,Blocker,Resolved,Fixed,16/Aug/18 18:00,10/Sep/18 16:18,
Question,STORM-3145,13170733,,UNCOMMITTED_EARLIEST and UNCOMMITTED_LATEST doesn't work as expected,,prakashnm,Blocker,Closed,Won't Fix,08/Jul/18 18:18,13/Aug/18 18:39,
Bug,STORM-3183,13177043,,"Topology Visualization is broken: shows components at most, but no more information",gmenon,kabhwan,Blocker,Resolved,Fixed,06/Aug/18 07:47,11/Aug/18 11:57,
Bug,STORM-3182,13177041,,Owner summary page in non-secured cluster shows 500 server error because of NullPointerException,gmenon,kabhwan,Blocker,Resolved,Fixed,06/Aug/18 07:36,10/Aug/18 10:33,
Bug,STORM-3181,13177036,,Topology stats doesn't show complete latency even for topology which ack is enabled,gmenon,kabhwan,Blocker,Resolved,Fixed,06/Aug/18 07:00,10/Aug/18 10:33,
Bug,STORM-3180,13177023,,Total executors in Cluster Summary in main UI page is not exposed even a topology is running,kabhwan,kabhwan,Blocker,Resolved,Fixed,06/Aug/18 05:39,10/Aug/18 10:31,
Bug,STORM-3179,13177020,,No data is available for Nimbus Summary in main UI page even Nimbus is running,gmenon,kabhwan,Blocker,Resolved,Fixed,06/Aug/18 05:30,10/Aug/18 10:31,
Task,STORM-2953,13139146,,Remove storm-kafka in 2.0.0,srdo,srdo,Blocker,Resolved,Fixed,16/Feb/18 20:39,19/Jul/18 03:36,
Bug,STORM-3148,13171821,,StormServerPipelineFactory can deserialize messages incorrectly,revans2,revans2,Blocker,Resolved,Fixed,12/Jul/18 20:04,13/Jul/18 23:04,
Bug,STORM-3046,13155646,,Getting a NPE leading worker to die when starting a topology.,srdo,kush.kh,Blocker,Resolved,Fixed,27/Apr/18 07:32,13/Jul/18 02:15,
Bug,STORM-3146,13171108,,dependencies conflict,,andy09,Blocker,Open,,10/Jul/18 10:27,12/Jul/18 11:19,
Bug,STORM-2978,13141072,,"The fix for STORM-2706 is broken, and adds a transitive dependency on Zookeeper 3.5.3-beta for projects that depend on e.g. storm-kafka",srdo,srdo,Blocker,Resolved,Fixed,26/Feb/18 23:12,04/Jul/18 18:16,
Bug,STORM-3081,13161061,,Storm kafka client not consuming messages properly,,kush.kh,Blocker,Open,,22/May/18 13:18,25/Jun/18 01:19,
Task,STORM-2882,13128391,,Relocate dependencies on storm-client (and more),revans2,kabhwan,Blocker,Resolved,Fixed,04/Jan/18 02:12,07/Jun/18 15:55,
Bug,STORM-1516,12935922,,Topology workers are not getting killed when a topology is killed.,satish.duggana,satish.duggana,Blocker,Resolved,Fixed,02/Feb/16 10:21,17/May/18 09:39,
Task,STORM-2908,13133230,,Document Metrics V2 for 2.0.0,agresch,kabhwan,Blocker,Resolved,Fixed,24/Jan/18 00:30,13/Apr/18 17:23,
Improvement,STORM-2909,13133231,,New Metrics Reporting API - for 2.0.0,agresch,ptgoetz,Blocker,Resolved,Fixed,24/Jan/18 00:34,10/Apr/18 10:00,
Bug,STORM-2957,13139249,,Offsets are not committed when no ackers set (ackers=0) and KafkaSpout stops polling messages once it reaches the max uncommitted offsets ,,ivarnasi,Blocker,Closed,Fixed,17/Feb/18 16:19,20/Feb/18 21:00,
Task,STORM-2936,13136439,,Overwrite storm-kafka-client 1.x-branch into 1.1.x-branch,kabhwan,kabhwan,Blocker,Resolved,Fixed,06/Feb/18 01:27,14/Feb/18 06:31,
Task,STORM-2937,13136440,,Overwrite storm-kafka-client 1.x-branch into 1.0.x-branch,erikdw,kabhwan,Blocker,Resolved,Fixed,06/Feb/18 01:29,14/Feb/18 06:31,
Bug,STORM-617,12765209,,In Storm secure mode re-deploying trident topology causes zookeeper ACL issue,sriharsha,sriharsha,Blocker,Resolved,Won't Fix,06/Jan/15 21:10,14/Feb/18 04:39,
Bug,STORM-1621,12949234,,[Storm][DRPC] Request failed after 60 seconds,,raksmey99@gmail.com,Blocker,Resolved,Won't Fix,11/Mar/16 16:54,14/Feb/18 04:37,
Bug,STORM-2436,13059972,,Custom Log4j2 appender not working with storm,,nis3000,Blocker,Resolved,Won't Fix,29/Mar/17 09:07,14/Feb/18 04:33,
Bug,STORM-2943,13136958,,Binary distribution includes storm-kafka-monitor source/javadoc in toollib directory,ptgoetz,avermeerbergen,Blocker,Resolved,Duplicate,07/Feb/18 20:38,07/Feb/18 20:41,
Bug,STORM-2913,13134157,,"STORM-2844 made autocommit and at-most-once storm-kafka-client spouts log warnings on every emit, because those modes don't commit the right metadata to Kafka",srdo,srdo,Blocker,Resolved,Fixed,27/Jan/18 00:31,06/Feb/18 04:51,
Bug,STORM-2918,13135208,,Upgrade Netty version,dbist13,dbist13,Blocker,Resolved,Fixed,31/Jan/18 20:03,02/Feb/18 04:40,
Bug,STORM-2912,13133597,,Tick tuple is being shared without resetting start time and incur side-effect to break metrics,kabhwan,kabhwan,Blocker,Resolved,Fixed,25/Jan/18 06:10,27/Jan/18 21:13,
Task,STORM-2904,13132576,,Document Metrics V2,ptgoetz,kabhwan,Blocker,Resolved,Fixed,22/Jan/18 04:50,24/Jan/18 00:31,
Bug,STORM-2875,13127833,,Hadoop-auth dependency in storm-core results in exception,,durgesh-w,Blocker,Open,,31/Dec/17 22:10,03/Jan/18 14:34,
Bug,STORM-2826,13119496,,KafkaSpoutConfig.builder doesn't set key/value deserializer properties in storm-kafka-client,srdo,srdo,Blocker,Resolved,Fixed,19/Nov/17 15:41,16/Dec/17 00:03,
Bug,STORM-2825,13119472,,"storm-kafka-client configuration fails with a ClassCastException if ""enable.auto.commit"" is present in the consumer config map, and the value is a string",srdo,srdo,Blocker,Resolved,Fixed,19/Nov/17 09:20,21/Nov/17 19:07,
Bug,STORM-2809,13117727,,Integration test is failing consistently and topologies sometimes fail to start workers,revans2,srdo,Blocker,Resolved,Fixed,11/Nov/17 11:59,14/Nov/17 21:54,
Bug,STORM-2768,13106404,,Sorry I broke the build,revans2,revans2,Blocker,Closed,Invalid,02/Oct/17 13:33,02/Oct/17 13:34,
Bug,STORM-1725,12961740,,Kafka Spout New Consumer API - KafkaSpoutRetryExponentialBackoff method should use HashMap instead of TreeMap not to throw Exception,hmclouro,hmclouro,Blocker,Resolved,Fixed,22/Apr/16 17:03,12/Jul/17 06:39,
Bug,STORM-1737,12963358,,storm-kafka-client has compilation errors with Apache Kafka 0.10,hmclouro,sriharsha,Blocker,Resolved,Fixed,28/Apr/16 00:13,12/Jul/17 06:30,
Bug,STORM-2599,13082315,,"BasicContainer.getWildcardDir tries to resolve the wildcard character with Paths.get, which prevents workers from booting on Windows",srdo,srdo,Blocker,Resolved,Fixed,24/Jun/17 14:43,03/Jul/17 15:03,
Bug,STORM-2526,13073887,,I broke the UI (and changed generated code),revans2,revans2,Blocker,Resolved,Fixed,22/May/17 14:42,23/May/17 15:38,
Bug,STORM-2388,13046904,,JoinBolt breaks compilation against JDK 7,kabhwan,kabhwan,Blocker,Resolved,Fixed,28/Feb/17 09:08,22/Mar/17 09:19,
Bug,STORM-2420,13056730,,1.x branch does not compile,revans2,revans2,Blocker,Resolved,Fixed,16/Mar/17 17:12,22/Mar/17 08:09,
Bug,STORM-2407,13050174,,KafkaTridentSpoutOpaque Doesn't Poll Data From All Topic-Partitions When Parallelism Hint Not a Multiple Total Topic-Partitions,hmclouro,hmclouro,Blocker,Resolved,Fixed,10/Mar/17 23:40,20/Mar/17 22:22,
Bug,STORM-2403,13049649,,Fix KafkaBolt test failure: tick tuple should not be acked,kabhwan,kabhwan,Blocker,Resolved,Fixed,09/Mar/17 16:12,13/Mar/17 08:15,
Bug,STORM-2385,13046715,,pacemaker_state_factory.clj does not compile on branch-1.0.x,knusbaum,revans2,Blocker,Resolved,Fixed,27/Feb/17 18:52,06/Mar/17 12:41,
Bug,STORM-2389,13047378,,Event Logger bolt is instantiated even if topology.eventlogger.executors=0,kabhwan,roshan_naik,Blocker,Resolved,Fixed,01/Mar/17 17:01,04/Mar/17 02:32,
Bug,STORM-2374,13045297,,Storm Kafka Client Func Interface Must be Serializable,hmclouro,hmclouro,Blocker,Resolved,Fixed,22/Feb/17 16:52,24/Feb/17 18:25,
Bug,STORM-351,12721040,,multilang python process fall into endless loop,dashengju,dashengju,Blocker,Resolved,Fixed,13/Jun/14 06:03,24/Feb/17 07:17,
