Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,SYNAPSE-1101,13196094,,Self Signed certificate expired ,isudana,vanjikumaran@gmail.com,Blocker,Resolved,Fixed,04/Nov/18 10:00,10/Mar/19 17:57,
Task,SYNAPSE-1090,13031357,,Update NOTICE for 3.0.0 release,isudana,isudana,Blocker,Resolved,Fixed,31/Dec/16 01:37,31/Dec/16 03:58,
Task,SYNAPSE-1072,13030806,,Update installation Guide,raviu,isudana,Blocker,Resolved,Done,28/Dec/16 01:42,28/Dec/16 08:06,
Task,SYNAPSE-1071,13030732,,"Update ""Upgrading"" page in documentation",raviu,isudana,Blocker,Resolved,Done,27/Dec/16 17:17,28/Dec/16 07:56,
Bug,SYNAPSE-338,12397148,,Failover load balancing is not working,asankha,kalani,Blocker,Resolved,Fixed,30/May/08 08:35,27/Dec/16 16:47,
Bug,SYNAPSE-324,12396607,,Unable to assign policies for Proxy services that are defined in the Integrated registry,ruwan,evanthika,Blocker,Closed,Fixed,22/May/08 09:04,27/Dec/16 16:46,
Bug,SYNAPSE-146,12380394,,Incorrect xsd file generated,upul,jrockit2004,Blocker,Resolved,Fixed,14/Oct/07 00:11,27/Dec/16 16:46,
Bug,SYNAPSE-323,12396491,,Script mediator includes are not being dynamically loaded,ruwan,ruwan,Blocker,Resolved,Fixed,21/May/08 12:39,27/Dec/16 16:46,
Bug,SYNAPSE-1014,12972137,,"NPE in DefaultNHttpClientConnection consumeInput, when invoking a proxy concurrently",isudana,bsendruan,Blocker,Resolved,Fixed,23/May/16 17:55,27/Dec/16 13:35,
Bug,SYNAPSE-1064,13030535,,NullPointerException exception occurred while testing the JMS to HTTP scenarios  with the high load,isudana,prabathariyarathna,Blocker,Resolved,Duplicate,26/Dec/16 05:15,27/Dec/16 10:08,
Bug,SYNAPSE-901,12601229,,Concurrency issue at Clone Mediator,isudana,malith,Blocker,Resolved,Fixed,02/Aug/12 15:06,02/Oct/16 14:24,
Bug,SYNAPSE-851,12546079,,VFS proxy generates the response.xml with empty content (Synapse-2.2.0-Snapshot trunk),isudana,ratha,Blocker,Resolved,Fixed,12/Mar/12 10:50,01/Oct/16 06:17,
Bug,SYNAPSE-974,12666462,,Mail transport sample 256 configurations are not valid.,isudana,chanakaudaya,Blocker,Resolved,Fixed,31/Aug/13 13:57,10/Sep/16 18:52,
Bug,SYNAPSE-854,12546531,,Mail proxy sample broken ,isudana,sagara,Blocker,Resolved,Duplicate,15/Mar/12 06:02,10/Sep/16 17:27,
Bug,SYNAPSE-1015,12972143,,Message building fails at high concurrency when the outsequence is content aware ,raviu,bsendruan,Blocker,Resolved,Fixed,23/May/16 18:27,09/Sep/16 13:59,
Bug,SYNAPSE-1026,12973767,,Access logs no longer working ,raviu,raviu,Blocker,Resolved,Fixed,29/May/16 05:26,28/Aug/16 20:55,
Improvement,SYNAPSE-923,12632850,,FORCE_HTTP_CONTENT_LENGTH /COPY_CONTENT_LENGTH_FROM_INCOMING Has been broken in PT,hiranya,dushan@wso2.com,Blocker,Resolved,Fixed,18/Feb/13 15:41,28/Aug/16 19:58,
Bug,SYNAPSE-992,12740056,,Adding the default Content-Type when there is no body in the response,hiranya,vanjikumaran@gmail.com,Blocker,Resolved,Fixed,09/Sep/14 05:49,28/Jun/16 23:42,
Task,SYNAPSE-993,12742646,,Use Svnpubsub for Site and Dists,raviu,hiranya,Blocker,Resolved,Done,19/Sep/14 04:57,25/Jun/16 05:38,
