Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,WHIMSY-357,13373243,Foundation Website has moved to Git,,wave,Blocker,Closed,Fixed,17/Apr/21 19:23,06/Dec/22 09:42,
Task,WHIMSY-362,13378169,Error while trying to publish draft minutes,,mattsicker,Blocker,Resolved,Fixed,12/May/21 19:24,12/May/21 22:38,
Bug,WHIMSY-335,13317443,SecurityError: Insecure operation - directory? in ccla.json.rb,clr,mattsicker,Blocker,Resolved,Fixed,17/Jul/20 16:21,17/Jul/20 16:43,
Bug,WHIMSY-292,13257462,Exception thrown in post meeting action submit form,,mattsicker,Blocker,Resolved,Fixed,18/Sep/19 18:51,23/Sep/19 16:36,
Bug,WHIMSY-394,13501170,Whimsy sends mailing list subscription confirmation notifications to the entire list,,mdrob,Critical,Resolved,Information Provided,11/Nov/22 22:14,15/Nov/22 11:49,
Bug,WHIMSY-334,13315188,Pressing up arrow in software grant textarea changes the current page,clr,mattsicker,Critical,Closed,Fixed,06/Jul/20 16:14,15/Aug/20 00:14,
Bug,WHIMSY-331,13310765,Roster tool broken - Insecure operation - spawn,,rubys,Critical,Resolved,Fixed,10/Jun/20 22:38,10/Jun/20 23:05,
Bug,WHIMSY-260,13232733,Cannot see prior comments on PMR reports,,wohali,Critical,Closed,Abandoned,10/May/19 19:51,26/Sep/19 09:45,
Bug,WHIMSY-180,13134840,500 Internal Server Error on Roster,,rkanter,Critical,Resolved,Fixed,30/Jan/18 18:07,30/Jan/18 19:11,
Bug,WHIMSY-165,13124933,Problems with flush_weak_refs,,sebb,Critical,Resolved,Fixed,14/Dec/17 11:40,14/Dec/17 12:03,
Bug,WHIMSY-64,12985088,Moderator list - 500 Server Error,,shazron,Critical,Resolved,Fixed,29/Jun/16 18:06,06/Jul/16 22:39,
Wish,WHIMSY-393,13499163,Cannot login to create a form for new account request,,qichfan,Major,Resolved,Fixed,08/Nov/22 03:02,08/Nov/22 18:24,
Task,WHIMSY-386,13437889,public_ldap_committees is redundant,,sebb,Major,Open,,05/Apr/22 14:08,11/Aug/22 07:39,
Bug,WHIMSY-385,13435398,agenda unit tests don't work on node.js 15+,rubys,sebb,Major,Resolved,Fixed,23/Mar/22 16:34,14/Apr/22 19:56,
Improvement,WHIMSY-382,13432197,Allow Secretary deleted/processed workbench emails to be recovered,,sebb,Major,Open,,05/Mar/22 23:57,05/Mar/22 23:57,
New Feature,WHIMSY-380,13429560,Update icla filed with reasons not to request an account,clr,clr,Major,Open,,20/Feb/22 20:17,21/Feb/22 15:45,
New Feature,WHIMSY-379,13428449,More buttons are needed for common mistakes in ICLA filing,clr,clr,Major,Resolved,Fixed,15/Feb/22 00:38,21/Feb/22 15:45,
Bug,WHIMSY-375,13425387,Members Meeting page is not showing the correct information,,striker,Major,Closed,Fixed,28/Jan/22 11:40,09/Feb/22 23:46,
Task,WHIMSY-378,13427462,Minotaur has been retired,,sebb,Major,Closed,Fixed,09/Feb/22 11:16,09/Feb/22 23:10,
Improvement,WHIMSY-376,13425656,Members meeting proxy form should allow roles,,sebb,Major,Open,,30/Jan/22 13:41,30/Jan/22 13:41,
Bug,WHIMSY-374,13416408,"Board agenda ""add item: retire project"" allows creating without a title",,clr,Major,Open,,09/Dec/21 23:40,09/Dec/21 23:40,
