Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,WICKET-6870,13359702,,Wicket complains about component failing to render,svenmeier,vrozkovec,Blocker,Resolved,Duplicate,19/Feb/21 21:23,19/Feb/21 23:21,
Bug,WICKET-6819,13324107,,DataTable Places toolbars outside of the table,svenmeier,cedric.pemberton@gmail.colm,Blocker,Resolved,Invalid,22/Aug/20 19:50,22/Aug/20 22:44,
Bug,WICKET-6528,13136264,,Component part of Page check in AjaxRequestHandler breaks applications,dashorst,dashorst,Blocker,Resolved,Fixed,05/Feb/18 12:40,26/May/18 12:03,
Bug,WICKET-6540,13140544,,"When form.setDefaultButton(button) is called, the form is not displayed",svenmeier,francois,Blocker,Resolved,Fixed,23/Feb/18 16:37,23/Feb/18 17:29,
Bug,WICKET-6525,13135845,,SubmitLink.onSubmit not invoked when using GET-method,svenmeier,papegaaij,Blocker,Resolved,Fixed,02/Feb/18 19:08,22/Feb/18 21:48,
Bug,WICKET-6529,13136268,,Feedback from onSubmit not rendered on stateless pages,svenmeier,papegaaij,Blocker,Resolved,Fixed,05/Feb/18 12:54,06/Feb/18 12:48,
Bug,WICKET-6009,12906989,,Massive creation of dynamic classes causes OutOfMemory (PermGen),,dannyc,Blocker,Resolved,Duplicate,22/Oct/15 06:56,22/Oct/15 07:04,
Sub-task,WICKET-5765,12755519,12495770,Integrate latest news posts from current site into github wicket-site,,golfman,Blocker,Closed,Done,14/Nov/14 23:22,04/Dec/14 09:06,
Sub-task,WICKET-5767,12755664,12495770,"Decide which Github repo should be the ""official"" one",,golfman,Blocker,Resolved,Done,16/Nov/14 14:53,19/Nov/14 20:24,
Bug,WICKET-5736,12751019,,Atmosphere Eventbus throws Concurrent Modification Exception,papegaaij,dke,Blocker,Resolved,Fixed,28/Oct/14 07:54,28/Oct/14 09:56,
Bug,WICKET-3697,12506716,,NOTICE File contains wrong notices for 1.5,,dashorst,Blocker,Closed,Fixed,10/May/11 13:42,17/Dec/13 19:17,
Bug,WICKET-5324,12665028,,"HTML5 ""required"" attributes on required fields break 'setDefaultFormProcessing(false)'",,jonas,Blocker,Resolved,Duplicate,22/Aug/13 11:32,02/Sep/13 10:03,
Bug,WICKET-5264,12655983,,CDI Injection no longer working on anonymous classes,papegaaij,papegaaij,Blocker,Resolved,Fixed,03/Jul/13 08:06,10/Jul/13 10:37,
Bug,WICKET-606,12370628,,"AbstractTextComponent#setConvertEmptyInputStringToNull(true) does not work with IObjectClassAwareModels (affects TextField, etc.)",almaw,almaw,Blocker,Closed,Fixed,31/May/07 18:34,02/May/13 02:29,
Task,WICKET-180,12359260,,Fix all legal issues for 1.3,,frankbille,Blocker,Closed,Fixed,22/Dec/06 07:09,02/May/13 02:29,
Bug,WICKET-523,12368462,,internet explorer complains about secure and nonsecure content inside a page delivered by https,,pete,Blocker,Resolved,Fixed,02/May/07 13:21,05/Apr/13 16:52,
Bug,WICKET-4991,12628195,,Wicket.Ajax: An error occurred while executing Ajax request:ReferenceError: element is not defined ,,thyzz,Blocker,Resolved,Not A Problem,18/Jan/13 11:55,18/Jan/13 12:23,
Bug,WICKET-4805,12610549,,Clicking on link giving error:ERROR org.apache.wicket.RequestCycle unable to find component with path searchForm on stateless page,,anjusharma,Blocker,Resolved,Cannot Reproduce,05/Oct/12 11:59,09/Oct/12 12:12,
Bug,WICKET-4651,12598242,,Null BroadCaster in EventBus,papegaaij,pausb,Blocker,Resolved,Fixed,10/Jul/12 18:35,12/Jul/12 10:17,
Bug,WICKET-4400,12541884,,form parameters which should be submitted using POST are added to url after first display of feedback messages ,ivaynberg,pete,Blocker,Resolved,Fixed,08/Feb/12 22:04,10/Feb/12 01:34,
Sub-task,WICKET-4043,12522716,12520570,This is still not fixed in 1.5.0 and I could not reopen this issue,,francisdb,Blocker,Closed,Not A Problem,12/Sep/11 10:00,12/Sep/11 10:31,
Bug,WICKET-3995,12520086,,Unable to find component with id,,nannou9,Blocker,Resolved,Not A Problem,25/Aug/11 10:12,25/Aug/11 10:26,
Bug,WICKET-3346,12495877,,Wicket examples still show a Graduated logo,pete,dashorst,Blocker,Closed,Fixed,18/Jan/11 10:15,27/Jan/11 00:27,
Bug,WICKET-524,12368507,,ClassCastException in WebRequestCodingStrategy,ehillenius,atberman,Blocker,Resolved,Fixed,02/May/07 22:20,22/Sep/10 09:23,
Bug,WICKET-2687,12445904,,In wicket-extensions the TabbedPanel is not compatible with wicket 1.4.5 because org.apache.wicket.markup.html.list.LoopItem does no more exist,,mohamed.a,Blocker,Closed,Invalid,19/Jan/10 09:25,19/Jan/10 11:02,
Sub-task,WICKET-1624,12395871,12395941,ServletWebRequest.getRelativePathPrefixToContextRoot() double decodes servlet path,jcompagner,donohoedigital,Blocker,Resolved,Fixed,13/May/08 00:03,01/Feb/09 19:09,
Bug,WICKET-1304,12387119,,Form processing workflow is broken for FormComponentPanels,,ivaynberg,Blocker,Resolved,Fixed,25/Jan/08 04:55,16/Sep/08 20:32,
Bug,WICKET-1793,12402734,,Problem with submit,knopp,eduardo_gambogi,Blocker,Resolved,Invalid,20/Aug/08 18:37,07/Sep/08 06:15,
Bug,WICKET-1809,12403357,,wicket does not compile for 1.3.x because of method usage > jdk 1.4,ivaynberg,pete,Blocker,Closed,Fixed,29/Aug/08 09:58,29/Aug/08 16:48,
Bug,WICKET-1635,12396035,,"Stripping javascript comments and whitespace breaks application when using prototype library
",knopp,memeplex,Blocker,Resolved,Fixed,14/May/08 16:16,25/May/08 17:36,
Bug,WICKET-987,12378614,,Stripping javascript comments and whitespace breaks application when using prototype library,knopp,wireframe,Blocker,Closed,Fixed,19/Sep/07 02:56,14/May/08 19:41,
Bug,WICKET-1482,12393156,,The CheckBox control does not work into the TabbedPanel control.,,fallout,Blocker,Closed,Won't Fix,04/Apr/08 19:35,06/Apr/08 09:48,
Bug,WICKET-1209,12384123,,WicketSessionFilter doesn't clean up the session thread local,knopp,knopp,Blocker,Resolved,Fixed,07/Dec/07 00:40,08/Dec/07 11:39,
Bug,WICKET-943,12377811,,java.lang.NullPointerException at wicket.markup.html.list.ListView.renderItem(ListView.java:676),jcompagner,01sas,Blocker,Closed,Fixed,08/Sep/07 06:34,29/Oct/07 20:35,
Bug,WICKET-558,12369157,,New attach->beforeRender refactor breaks ajax updating of list views,jcompagner,jonathan.locke,Blocker,Closed,Fixed,12/May/07 06:57,28/May/07 12:31,
Sub-task,WICKET-448,12366763,12359260,Resolve license issue for wicket-ajax-debug-drag.js,knopp,dashorst,Blocker,Closed,Fixed,07/Apr/07 11:25,14/May/07 19:09,
Sub-task,WICKET-232,12361115,12359260,Put NOTICE and LICENSE in META-INF in all jar files,frankbille,frankbille,Blocker,Closed,Fixed,23/Jan/07 20:02,14/May/07 19:08,
Bug,WICKET-387,12364915,,[PATCH] ajax Wicket.form.serialize has been broken ,,vincent.demay@anyware-tech.com,Blocker,Resolved,Fixed,14/Mar/07 14:02,31/Mar/07 06:42,
Bug,WICKET-304,12363263,,AnnotSpringInjector corrupted class file in 1.2.5 release.,,wlfshmn,Blocker,Resolved,Won't Fix,20/Feb/07 19:20,29/Mar/07 19:56,
Bug,WICKET-434,12366134,,ComponentTag.getAttributes()Lwicket/util/value/ValueMap broke,,behlma,Blocker,Closed,Fixed,29/Mar/07 15:09,29/Mar/07 16:46,
Bug,WICKET-237,12361307,,"Constructor change, Component#add",jcompagner,flaviusb,Blocker,Closed,Won't Fix,26/Jan/07 06:33,08/Mar/07 04:58,
Sub-task,WICKET-181,12359261,12359260,Ensure we have the CLA's we need,upayavira,frankbille,Blocker,Resolved,Fixed,22/Dec/06 07:13,07/Mar/07 21:32,
Bug,WICKET-216,12360725,,ajax requests increment page version,jcompagner,wireframe,Blocker,Closed,Fixed,18/Jan/07 02:33,30/Jan/07 09:56,
Bug,WICKET-230,12360962,,[Patch] AuthenticatedWebSession subclass can not be instanciate via newSession method,,vincent.demay@anyware-tech.com,Blocker,Closed,Duplicate,21/Jan/07 21:51,21/Jan/07 23:06,
Bug,WICKET-8,12353347,,deadlock contention for sessions,jcompagner,almaw,Blocker,Resolved,Fixed,17/Oct/06 05:30,18/Oct/06 21:27,
Bug,WICKET-6988,13448981,,String.format used in JS generation leads to errors,solomax,solomax,Critical,Resolved,Fixed,08/Jun/22 10:50,09/Jun/22 07:52,
Bug,WICKET-6986,13447532,,Printing of PDF's does not work in Firefox,,tilmanmueller,Critical,Open,,30/May/22 13:37,01/Jun/22 09:07,
Improvement,WICKET-6978,13442692,,CLONE - web-socket examples are broken in master (wicket-10.x),,Rickybobbi,Critical,Resolved,Not A Problem,01/May/22 15:25,03/May/22 06:48,
Improvement,WICKET-6956,13426798,,web-socket examples are broken in master (wicket-10.x),,reiern70,Critical,Open,,06/Feb/22 15:42,01/May/22 15:25,
Bug,WICKET-6841,13335507,,Evaluation order of dependent JS in Ajax request,svenmeier,roncruz,Critical,Resolved,Fixed,14/Oct/20 23:18,16/Oct/20 20:47,
Bug,WICKET-6809,13320497,,wicket-core-8.9.0.jar not closed when Application is undeployed from an application server,svenmeier,bht,Critical,Resolved,Won't Fix,01/Aug/20 11:09,05/Aug/20 04:00,
Bug,WICKET-6603,13193778,,WicketTester.destroy sometimes hangs,solomax,solomax,Critical,Resolved,Fixed,24/Oct/18 07:48,30/Oct/18 12:58,
Bug,WICKET-6551,13153947,,LazyInitProxyFactory doesn't work correctly at Weblogic,mgrigorov,tomask79,Critical,Resolved,Fixed,20/Apr/18 06:44,26/May/18 12:21,
Bug,WICKET-6549,13152762,,Log4j JDBCAppender makes apache wicket form submit to fail,,babkrish,Critical,Resolved,Cannot Reproduce,16/Apr/18 16:08,19/Apr/18 05:40,
Bug,WICKET-6545,13147721,,Argument 'markup' may not be null.,svenmeier,KAHA,Critical,Resolved,Fixed,24/Mar/18 15:56,28/Mar/18 15:14,
Bug,WICKET-6465,13100715,,PageStore not cleared at session end,svenmeier,frantam,Critical,Closed,Fixed,08/Sep/17 08:30,03/Oct/17 16:44,
Bug,WICKET-6462,13099593,,"When an Ajax Button is submitted, AjaxFormSubmitBehavior # onSubmit is called twice",bitstorm,francois,Critical,Resolved,Fixed,04/Sep/17 11:52,22/Sep/17 17:22,
Bug,WICKET-6457,13098286,,PageStore not cleared at session end,papegaaij,papegaaij,Critical,Resolved,Fixed,29/Aug/17 14:23,08/Sep/17 08:30,
Bug,WICKET-6415,13084473,,new Components added in AjaxRequest break with no Page found error,,kbachl,Critical,Resolved,Not A Problem,04/Jul/17 09:27,10/Jul/17 04:31,
Improvement,WICKET-5805,12765563,,Non blocking page serialization (fixme: session leak),,mmakundi,Critical,Resolved,Won't Fix,08/Jan/15 07:21,15/Apr/17 06:01,
Bug,WICKET-6329,13046849,,org.json migration issue,mgrigorov,mfursov,Critical,Resolved,Fixed,28/Feb/17 03:18,06/Mar/17 20:46,
Bug,WICKET-5978,12861258,,LazyInitProxyFactory fills permgen space,svenmeier,svenmeier,Critical,Resolved,Fixed,02/Sep/15 09:03,01/Nov/15 09:16,
Bug,WICKET-5927,12839081,,Velocity remote code execution,mgrigorov,s.michel,Critical,Resolved,Fixed,19/Jun/15 09:28,05/Jul/15 20:19,
Task,WICKET-5732,12749541,,Improve component queuing and auto component,bitstorm,bitstorm,Critical,Resolved,Implemented,21/Oct/14 16:51,08/Nov/14 15:43,
Bug,WICKET-5473,12689333,,Wicket does not handle non in-memory Httpsessions correctly,mgrigorov,laeubi,Critical,Resolved,Fixed,16/Jan/14 19:35,30/Jan/14 08:43,
New Feature,WICKET-983,12378481,,Merge the portlet support branch into the trunk,ate,ate,Critical,Resolved,Fixed,17/Sep/07 20:34,17/Dec/13 19:17,
Bug,WICKET-4387,12541245,,StringIndexOutOfBoundsException when forwarding requests,mgrigorov,yossis,Critical,Resolved,Fixed,05/Feb/12 11:48,24/May/13 14:55,
Sub-task,WICKET-87,12356043,12355371,Rewrite src/main/java/wicket/protocol/http/ClientProperties.java,frankbille,frankbille,Critical,Closed,Fixed,17/Nov/06 21:14,02/May/13 02:29,
Bug,WICKET-156,12358198,,FeedbackPanel is not updated when using AjaxSubmitButton and/or AjaxFormValidatingBehavior,ivaynberg,tit0u,Critical,Resolved,Fixed,10/Dec/06 00:46,02/May/13 02:29,
Bug,WICKET-3377,12496523,,"newPageMap at Session delete the default pageMap when excess Pagemap, and unneded pageMap are created for popupSettings with window name.",pedrosans,gelrad,Critical,Resolved,Duplicate,24/Jan/11 11:36,02/May/13 02:28,
Bug,WICKET-5140,12641820,,InterceptData never gets cleared from session after continueToOriginalDestination is called and another page is requested afterwards,mgrigorov,forchel,Critical,Resolved,Fixed,10/Apr/13 12:08,26/Apr/13 15:06,
Bug,WICKET-5015,12629983,,Ajax doesn't work anymore in Chrome 24.0,,zala,Critical,Resolved,Not A Problem,30/Jan/13 19:55,31/Jan/13 13:53,
Bug,WICKET-4789,12609377,,URL rendering regression,svenmeier,cleiter,Critical,Resolved,Fixed,27/Sep/12 10:13,03/Oct/12 10:30,
Bug,WICKET-4747,12606034,,WicketFilter#setFilterPath is broken,,cleiter,Critical,Resolved,Duplicate,04/Sep/12 07:16,04/Sep/12 07:30,
Bug,WICKET-4693,12601288,,ComponentFeedbackPanel with Form filter and FormComponentPanel exhibits strange behavior,,blahspam,Critical,Resolved,Not A Problem,02/Aug/12 23:52,06/Aug/12 15:27,
Bug,WICKET-4572,12558070,,DiskDataStore returns the wrong page when the page disk space is full ,mgrigorov,mgrigorov,Critical,Resolved,Fixed,25/May/12 09:44,28/May/12 09:50,
Bug,WICKET-4571,12558053,,UrlRenderer renders invalid full URLs with CryptoMapper,,davesman,Critical,Resolved,Duplicate,25/May/12 08:02,25/May/12 10:31,
Bug,WICKET-4476,12548185,,Inline Enclosure generates not unique markup ids,,osiefart,Critical,Resolved,Cannot Reproduce,26/Mar/12 20:53,02/Apr/12 09:45,
Bug,WICKET-4411,12542639,,replaceOuterHtmlSafari not working properly in some cases,,pmaks,Critical,Resolved,Not A Problem,15/Feb/12 05:23,20/Feb/12 13:23,
Bug,WICKET-4405,12542287,,Multi byte characters are not decoded in AutoCompleteTextField,svenmeier,tank,Critical,Resolved,Fixed,12/Feb/12 12:47,13/Feb/12 15:20,
Bug,WICKET-4134,12527280,,Localizer.getCacheKey() generating redundant keys for same values causing memory leak.,ivaynberg,nepoez,Critical,Resolved,Fixed,15/Oct/11 04:17,18/Oct/11 08:00,
Bug,WICKET-4078,12524338,,WebApplication.newSession() being called for almost all requests within 1 actual session,ivaynberg,nepoez,Critical,Resolved,Invalid,22/Sep/11 20:55,30/Sep/11 04:54,
