Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,YETUS-1202,13484664,,plug-ins cannot use filefilter to build lists of files,aw,aw,Blocker,Resolved,Fixed,05/Oct/22 23:14,13/Oct/22 17:48,
Improvement,YETUS-1188,13446187,,docker client 20.10.16 needs build --load,aw,aw,Blocker,Resolved,Not A Problem,21/May/22 17:52,21/May/22 20:04,
Task,YETUS-1132,13409231,,EOL JDK8 Support,aw,aw,Blocker,Resolved,Fixed,30/Oct/21 05:27,03/May/22 19:01,
Bug,YETUS-1159,13439700,,fixes for CVE-2022-24765 ,aw,aw,Blocker,Resolved,Fixed,14/Apr/22 17:42,21/Apr/22 18:14,
Bug,YETUS-1155,13425698,,mvn site:site fails,omalley,aw,Blocker,Resolved,Fixed,31/Jan/22 05:53,21/Apr/22 17:42,
Task,YETUS-1153,13419304,,IBM's detect-secrets annoyingly checks for updated versions,aw,aw,Blocker,Resolved,Fixed,24/Dec/21 03:18,01/Jan/22 23:19,
Bug,YETUS-1148,13414183,,releasedocmaker ranged versions do not work,aw,aw,Blocker,Resolved,Fixed,28/Nov/21 19:20,08/Dec/21 15:23,
Bug,YETUS-1104,13361888,,checkmake failing to build,aw,aw,Blocker,Resolved,Fixed,02/Mar/21 15:03,04/Mar/21 05:49,
Bug,YETUS-1099,13354648,,shelldocs --lint option fails,aajisaka,aajisaka,Blocker,Resolved,Fixed,26/Jan/21 11:18,20/Feb/21 08:43,
New Feature,YETUS-452,13000345,,"Remove python2; rewrite Python bits for python3",aw,ajayyadava,Blocker,Resolved,Fixed,26/Aug/16 11:36,26/Jan/21 11:28,
Bug,YETUS-1094,13343532,,Load the personality file before loading plugins,aajisaka,aajisaka,Blocker,Resolved,Won't Fix,01/Dec/20 11:55,02/Dec/20 02:54,
Improvement,YETUS-1033,13335961,,Move homebrew tap into it's own repository,aw,aw,Blocker,Resolved,Fixed,18/Oct/20 20:20,04/Nov/20 05:39,
Bug,YETUS-1026,13335338,,precommit docs lost utilities,aw,aw,Blocker,Resolved,Fixed,14/Oct/20 03:46,19/Oct/20 15:02,
Bug,YETUS-1027,13335655,,checkmake output is incorrect,aw,aw,Blocker,Resolved,Fixed,15/Oct/20 18:20,17/Oct/20 05:00,
Bug,YETUS-1020,13334212,,golangci-lint is crashing,aw,aw,Blocker,Resolved,Fixed,07/Oct/20 14:51,09/Oct/20 14:10,
Bug,YETUS-998,13328921,,Post vote table changes glitches,aw,aw,Blocker,Resolved,Fixed,23/Sep/20 05:47,30/Sep/20 14:58,
Bug,YETUS-991,13327537,,Downgrade pylint to 2.5.3,aw,aw,Blocker,Resolved,Fixed,14/Sep/20 22:45,25/Sep/20 15:34,
Bug,YETUS-985,13326968,,binaries are not marked for execution in maven artifacts,aw,aw,Blocker,Resolved,Fixed,10/Sep/20 22:22,13/Sep/20 19:27,
Bug,YETUS-962,13296749,,markdownlint is smashing lines together,aw,aw,Blocker,Resolved,Fixed,07/Apr/20 06:33,10/Apr/20 16:18,
Bug,YETUS-936,13285526,,test-patch.sh does not do gradle,aw,pierresmits,Blocker,Resolved,Fixed,15/Feb/20 21:30,06/Apr/20 15:24,
Bug,YETUS-942,13286523,,yetus-dl for specific versions is broken,aw,aw,Blocker,Resolved,Fixed,20/Feb/20 17:03,03/Apr/20 17:16,
New Feature,YETUS-954,13292802,,Re-instate github token support,aw,aw,Blocker,Resolved,Fixed,19/Mar/20 23:37,23/Mar/20 03:52,
Bug,YETUS-949,13287564,,remove empty filenames in find_changed_files,aw,aw,Blocker,Resolved,Fixed,25/Feb/20 17:59,05/Mar/20 14:19,
Bug,YETUS-907,13252028,,Building website in the project provided container fails.,busbey,busbey,Blocker,Resolved,Fixed,21/Aug/19 06:45,23/Aug/19 13:41,
Bug,YETUS-904,13251088,,junit report doesn't work properly under --docker,aw,aw,Blocker,Resolved,Fixed,15/Aug/19 19:32,21/Aug/19 05:30,
Bug,YETUS-882,13233268,,command line patch files do not work in docker mode,aw,aw,Blocker,Resolved,Fixed,14/May/19 15:35,17/May/19 14:27,
Bug,YETUS-867,13230954,,Circle CI's master failing pull,aw,aw,Blocker,Resolved,Fixed,30/Apr/19 16:50,02/May/19 17:39,
Bug,YETUS-809,13219335,,findbugs isn't finding bugs in qbt-mode,aw,aw,Blocker,Resolved,Fixed,04/Mar/19 17:05,19/Apr/19 20:52,
Improvement,YETUS-834,13224945,,update the doap to point to the new source repo,,aw,Blocker,Resolved,Cannot Reproduce,30/Mar/19 02:57,05/Apr/19 00:42,
Bug,YETUS-823,13223003,,releasedocmaker-jar-with-dependencies is missing dependencies,aw,stack,Blocker,Resolved,Fixed,21/Mar/19 06:27,03/Apr/19 18:07,
Bug,YETUS-814,13219764,,docker hub builds are out of sync,aw,aw,Blocker,Resolved,Fixed,06/Mar/19 01:22,15/Mar/19 16:53,
New Feature,YETUS-780,13210191,,mvn site breaks when maven-built versions are added to the pom,aw,aw,Blocker,Resolved,Fixed,17/Jan/19 15:42,27/Feb/19 02:59,
New Feature,YETUS-474,13027199,,Option to releasedocmaker to write empty files when no JIRA issues match,aw,busbey,Blocker,Resolved,Fixed,10/Dec/16 15:21,26/Feb/19 03:10,
Bug,YETUS-786,13211442,,JENKINS_URL is not always populated in a pipeline docker agent,aw,aw,Blocker,Resolved,Fixed,24/Jan/19 03:18,06/Feb/19 22:52,
Bug,YETUS-789,13213392,,bugsystem_linecomments_trigger breaks if prevnum or linenum isn't numeric,aw,aw,Blocker,Resolved,Fixed,01/Feb/19 19:39,02/Feb/19 17:42,
Bug,YETUS-783,13210399,,download links for 0.8.0 vs 0.9.0 are different,aw,aw,Blocker,Resolved,Fixed,18/Jan/19 14:46,19/Jan/19 00:09,
Bug,YETUS-770,13208815,,"yetus-maven-plugin build helper adds source files, not dirs",aw,aw,Blocker,Resolved,Fixed,10/Jan/19 15:49,10/Jan/19 16:36,
Bug,YETUS-765,13207956,,test-patch generating linecomments errors,aw,aw,Blocker,Resolved,Fixed,07/Jan/19 07:18,09/Jan/19 23:36,
Bug,YETUS-764,13207856,,test-patch running in a pipeline isn't getting killed,aw,aw,Blocker,Resolved,Fixed,06/Jan/19 02:06,09/Jan/19 23:36,
Bug,YETUS-757,13207704,,Jenkinsfile isn't defaulting to docker mode on,aw,aw,Blocker,Resolved,Fixed,04/Jan/19 15:39,08/Jan/19 22:05,
Bug,YETUS-755,13207420,,bundler is breaking dockerfile building,aw,aw,Blocker,Resolved,Fixed,03/Jan/19 08:07,04/Jan/19 01:26,
Bug,YETUS-756,13207421,,bundler is breaking dockerfile building,,aw,Blocker,Resolved,Duplicate,03/Jan/19 08:08,03/Jan/19 08:09,
Bug,YETUS-739,13205027,,yetus' mvn site fails when run with built-in dockerifle,aw,aw,Blocker,Resolved,Fixed,18/Dec/18 02:42,23/Dec/18 17:47,
Bug,YETUS-729,13201676,,in-progress docs post-mavenization are broken,aw,aw,Blocker,Resolved,Fixed,30/Nov/18 17:18,10/Dec/18 17:14,
Bug,YETUS-719,13198707,,github basic authentication is broken,aw,aw,Blocker,Resolved,Fixed,15/Nov/18 18:53,10/Dec/18 06:59,
Bug,YETUS-715,13197680,,yetus always needs mvninstall from root,aw,aw,Blocker,Resolved,Fixed,12/Nov/18 00:29,15/Nov/18 04:06,
Bug,YETUS-700,13188395,,BUILD_URL is incorrect for --jenkins?,,aw,Blocker,Resolved,Invalid,30/Sep/18 13:50,30/Sep/18 14:41,
Improvement,YETUS-618,13142652,,Update release process to replace md5 with  sha512,aajisaka,aw,Blocker,Resolved,Fixed,05/Mar/18 20:13,22/Aug/18 23:28,
Bug,YETUS-657,13178143,,volumes on non-existent files creates a directory,aw,aw,Blocker,Resolved,Fixed,09/Aug/18 22:26,20/Aug/18 04:54,
Bug,YETUS-144,12908623,,mvn install usually required on mvn builds,aw,aw,Blocker,Resolved,Fixed,28/Oct/15 16:41,18/Aug/18 19:02,
Bug,YETUS-171,12911571,,patches that don't apply are not getting reported back to JIRA,aw,aw,Blocker,Resolved,Fixed,09/Nov/15 16:20,02/Aug/18 16:31,
Bug,YETUS-647,13175420,,ssh-based git repos do not work correctly under docker,aw,aw,Blocker,Resolved,Fixed,29/Jul/18 19:48,02/Aug/18 16:12,
Improvement,YETUS-602,13134244,,Add Sizzle to LICENSE,aw,aw,Blocker,Resolved,Fixed,27/Jan/18 20:53,27/Jul/18 17:33,
Improvement,YETUS-580,13116182,,build a wrapper around docker in jenkins mode,aw,aw,Blocker,Resolved,Fixed,04/Nov/17 17:40,19/Jul/18 21:38,
Bug,YETUS-609,13134523,,releasedocmaker indexer uses wrong filename,aw,aw,Blocker,Resolved,Fixed,29/Jan/18 18:25,14/Jul/18 00:10,
Bug,YETUS-622,13150255,,docker-cleanup removes non-Yetus docker images even if not in sentinel mode,sekikn,sekikn,Blocker,Resolved,Fixed,05/Apr/18 09:58,06/Apr/18 20:29,
Bug,YETUS-598,13130963,,jira_locate_patch does not work after the update of ASF JIRA,aajisaka,aajisaka,Blocker,Resolved,Fixed,15/Jan/18 08:54,18/Jan/18 16:32,
Improvement,YETUS-594,13123945,,Fix up the jenkins precommit script,aw,aw,Blocker,Resolved,Fixed,10/Dec/17 00:19,18/Jan/18 16:03,
Bug,YETUS-599,13131242,,Patch that previously built successfully fails on docker build,,snemeth,Blocker,Resolved,Not A Problem,16/Jan/18 14:00,17/Jan/18 11:34,
Bug,YETUS-581,13116312,,bash 3 throws syntax errors on coproc statements,aw,aw,Blocker,Resolved,Fixed,06/Nov/17 05:46,13/Nov/17 00:33,
Bug,YETUS-544,13098467,,Parameters on the shebang line aren't portable,aw,aw,Blocker,Resolved,Fixed,30/Aug/17 05:34,27/Oct/17 04:48,
