hash,authors,committer,changes_FileNum,changed_files,message,bug_id
259d05439619d7c3aa9b028b49a561af41c2e163,bodewig,bodewig,3,"['NOTICE', 'test/java/org/apache/ivy/core/settings/OnlineXmlSettingsParserTest.java', 'test/java/org/apache/ivy/osgi/updatesite/UpdateSiteLoaderTest.java']",switch to https,
cd9296a409e3a4ccc7c8a532a56f2d2570b39493,jaikiran,jaikiran,1,['asciidoc/release-notes.adoc'],add contributor of IVY-1632 to contributors list,
a2701d733a57f28bd4b1e0111c61b659efef6444,jaikiran,web-flow,2,"['asciidoc/release-notes.adoc', 'src/java/org/apache/ivy/util/url/BasicURLHandler.java']","Merge pull request #96 from bernolanger/master

IVY-1632: Use valid value for HTTP header ""Accept"".",
1fe3c3cff6bc8b2801354d6e2a605948d2b9cb67,jaikiran,jaikiran,1,['test/java/org/apache/ivy/util/url/ArtifactoryListingTest.java'],repo.jfrog.org is no longer available,
17a0d80da3f3ca228a2665297d2b515677218c26,bernolanger,bernolanger,2,"['asciidoc/release-notes.adoc', 'src/java/org/apache/ivy/util/url/BasicURLHandler.java']","IVY-1632: Use valid value for HTTP header ""Accept"".

The default accept header of Java isn't valid as described at
https://bugs.openjdk.java.net/browse/JDK-8163921

Therefore set an accept header that accepts simply anything in the
ivy:retrieve Ant task.",IVY-1632
c14e2ba5a7ab5fcd8d195566db2c98660778bd40,maartenc,web-flow,5,"['asciidoc/release-notes.adoc', 'src/java/org/apache/ivy/ant/EmptyFileSet.java', 'src/java/org/apache/ivy/ant/IvyCacheFileset.java', 'src/java/org/apache/ivy/ant/IvyRetrieve.java', 'test/java/org/apache/ivy/ant/IvyRetrieveTest.java']","Merge pull request #95 from maartenc/IvyRetrieveEmptySet

IVY-1631: ivy:retrieve Ant task and empty FileSet bug",
017043623166ef230344036b4eacd5999cd5e9cb,maartenc,maartenc,1,['test/java/org/apache/ivy/ant/IvyRetrieveTest.java'],Extra test to check that the created path is also empty,
17f272782618066b672977266d19aa8c71d26e09,maartenc,maartenc,1,['test/java/org/apache/ivy/ant/IvyRetrieveTest.java'],Extra test to check that the created path is also empty,
0864db0364aaf07509762d04f56ef6f8a8d478a3,maartenc,maartenc,1,['src/java/org/apache/ivy/ant/IvyRetrieve.java'],set the project a bit sooner so it can be used within the other methods,
f760b390e5ec5db756003e2c3382584ceb16f556,maartenc,maartenc,5,"['asciidoc/release-notes.adoc', 'src/java/org/apache/ivy/ant/EmptyFileSet.java', 'src/java/org/apache/ivy/ant/IvyCacheFileset.java', 'src/java/org/apache/ivy/ant/IvyRetrieve.java', 'test/java/org/apache/ivy/ant/IvyRetrieveTest.java']","IVY-1631: when the ivy:retrieve Ant task retrieves the jars to a non-empty directory, but the retrieve task itself didn't retrieve any files, the created fileset was not empty but contained the existing files in that directory.",IVY-1631
8e2bdfb302f1e3e6e20fc727e1853c5edabdf7d4,jaikiran,jaikiran,4,"['asciidoc/release-notes.adoc', 'src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java', 'test/java/org/apache/ivy/core/resolve/ResolveTest.java', 'test/repositories/ivysettings-caches-use-origin.xml']","IVY-1616 Properly parse the artifact origin location, if the location is a file: URI",IVY-1616
424fa89419147f50a41b4bdc665d8ea92b5da516,arcticgeek,jaikiran,3,"['asciidoc/release-notes.adoc', 'src/java/org/apache/ivy/Main.java', 'test/java/org/apache/ivy/MainTest.java']","IVY-1615 implement retrieval of ivysettings from url in standalone.

Closes #91 pull request at github.com/apache/ant-ivy repo",IVY-1615
ac9af265f9c8ea8bd5034155dd444980c44f72c3,jaikiran,jaikiran,1,['asciidoc/release-notes.adoc'],Update release notes,
