hash,authors,committer,changes_FileNum,changed_files,message,bug_id
e2d59b29dc6e81992ad373b4fef08b5003dccca6,milindmantri,web-flow,1,['doc/content/en/docs/++version++/Specification/_index.md'],Improve formatting of Avro types and JSON code (#1934),
ef1e5394e6f5c06ac3a68800d6dc9d00ceee9c9a,dependabot[bot],web-flow,1,['lang/java/pom.xml'],"Bump zstd-jni from 1.5.2-4 to 1.5.2-5 in /lang/java (#1930)

Bumps [zstd-jni](https://github.com/luben/zstd-jni) from 1.5.2-4 to 1.5.2-5.
- [Release notes](https://github.com/luben/zstd-jni/releases)
- [Commits](https://github.com/luben/zstd-jni/commits/c1.5.2-5)

---
updated-dependencies:
- dependency-name: com.github.luben:zstd-jni
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>
Co-authored-by: Martin Grigorov <martin-g@users.noreply.github.com>",
fdc73684d90a6e126971dbf94799fa9993e42363,dependabot[bot],web-flow,1,['lang/java/pom.xml'],"Bump protobuf-java from 3.21.7 to 3.21.8 in /lang/java (#1927)

Bumps [protobuf-java](https://github.com/protocolbuffers/protobuf) from 3.21.7 to 3.21.8.
- [Release notes](https://github.com/protocolbuffers/protobuf/releases)
- [Changelog](https://github.com/protocolbuffers/protobuf/blob/main/generate_changelog.py)
- [Commits](https://github.com/protocolbuffers/protobuf/compare/v3.21.7...v3.21.8)

---
updated-dependencies:
- dependency-name: com.google.protobuf:protobuf-java
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
a99da1cc92a2379abb2661df85c58903a7a86826,dependabot[bot],web-flow,1,['lang/java/maven-plugin/pom.xml'],"Bump plexus-utils from 3.4.2 to 3.5.0 in /lang/java (#1928)

Bumps [plexus-utils](https://github.com/codehaus-plexus/plexus-utils) from 3.4.2 to 3.5.0.
- [Release notes](https://github.com/codehaus-plexus/plexus-utils/releases)
- [Commits](https://github.com/codehaus-plexus/plexus-utils/compare/plexus-utils-3.4.2...plexus-utils-3.5.0)

---
updated-dependencies:
- dependency-name: org.codehaus.plexus:plexus-utils
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
6e1d87e5b72fa5479adea68c76cec810e6ac9c0a,dependabot[bot],web-flow,1,['lang/java/pom.xml'],"Bump mockito-core from 4.8.0 to 4.8.1 in /lang/java (#1929)

Bumps [mockito-core](https://github.com/mockito/mockito) from 4.8.0 to 4.8.1.
- [Release notes](https://github.com/mockito/mockito/releases)
- [Commits](https://github.com/mockito/mockito/compare/v4.8.0...v4.8.1)

---
updated-dependencies:
- dependency-name: org.mockito:mockito-core
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
8daf14945329aee9d02a4148188fa7149ed244ef,dependabot[bot],web-flow,1,['lang/java/pom.xml'],"Bump grpc.version from 1.50.0 to 1.50.2 in /lang/java (#1931)

Bumps `grpc.version` from 1.50.0 to 1.50.2.

Updates `grpc-core` from 1.50.0 to 1.50.2
- [Release notes](https://github.com/grpc/grpc-java/releases)
- [Commits](https://github.com/grpc/grpc-java/compare/v1.50.0...v1.50.2)

Updates `grpc-stub` from 1.50.0 to 1.50.2
- [Release notes](https://github.com/grpc/grpc-java/releases)
- [Commits](https://github.com/grpc/grpc-java/compare/v1.50.0...v1.50.2)

Updates `grpc-netty` from 1.50.0 to 1.50.2
- [Release notes](https://github.com/grpc/grpc-java/releases)
- [Commits](https://github.com/grpc/grpc-java/compare/v1.50.0...v1.50.2)

---
updated-dependencies:
- dependency-name: io.grpc:grpc-core
  dependency-type: direct:production
  update-type: version-update:semver-patch
- dependency-name: io.grpc:grpc-stub
  dependency-type: direct:production
  update-type: version-update:semver-patch
- dependency-name: io.grpc:grpc-netty
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
d4f527a8ba8b57188cc68d34181741bd6ae7cda0,dependabot[bot],web-flow,4,"['lang/rust/Cargo.lock', 'lang/rust/avro/Cargo.toml', 'lang/rust/avro_derive/Cargo.toml', 'lang/rust/wasm-demo/Cargo.toml']","Bump serde from 1.0.145 to 1.0.147 in /lang/rust (#1926)

Bumps [serde](https://github.com/serde-rs/serde) from 1.0.145 to 1.0.147.
- [Release notes](https://github.com/serde-rs/serde/releases)
- [Commits](https://github.com/serde-rs/serde/compare/v1.0.145...v1.0.147)

---
updated-dependencies:
- dependency-name: serde
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
c1e57e5bbcf1a8de26a594e6ce74f44ed1f37a18,dependabot[bot],web-flow,2,"['lang/rust/Cargo.lock', 'lang/rust/avro_derive/Cargo.toml']","Bump syn from 1.0.102 to 1.0.103 in /lang/rust (#1925)

Bumps [syn](https://github.com/dtolnay/syn) from 1.0.102 to 1.0.103.
- [Release notes](https://github.com/dtolnay/syn/releases)
- [Commits](https://github.com/dtolnay/syn/compare/1.0.102...1.0.103)

---
updated-dependencies:
- dependency-name: syn
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
4ed213c631caeddd686c1ddd65cc1451a8935542,dependabot[bot],web-flow,2,"['lang/rust/Cargo.lock', 'lang/rust/avro/Cargo.toml']","Bump anyhow from 1.0.65 to 1.0.66 in /lang/rust (#1924)

Bumps [anyhow](https://github.com/dtolnay/anyhow) from 1.0.65 to 1.0.66.
- [Release notes](https://github.com/dtolnay/anyhow/releases)
- [Commits](https://github.com/dtolnay/anyhow/compare/1.0.65...1.0.66)

---
updated-dependencies:
- dependency-name: anyhow
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
016323828f147f185d03f50d2223a2f50bfafce1,jmccl,web-flow,2,"['lang/c++/CMakeLists.txt', 'lang/c++/impl/avrogencpp.cc']","AVRO-3650: [C++] Fix build on Manjaro (#1920)

* AVRO-3610: Compile with C++14 to avoid boost warning

* AVRO-3610: Fix list of C++ reserved words

* AVRO-3610: Go to C++17 to resolve boost compatibility issue

Co-authored-by: jmccl <jmccl@users.noreply.github.com>",AVRO-3650
