hash,authors,committer,changes_FileNum,changed_files,message,bug_id
af902f49e7d0759e0d85c1759b5dcdbdae71453c,yamasakisua,web-flow,1,['provisioner/docker/config_rockylinux-8.yaml'],BIGTOP-3858 Invalid repository URL is set in rockylinux8 config (#1047),BIGTOP-3858
d5d28bee28f89948158c4f4d2db82d9121a9c90c,timyuer,web-flow,1,['bigtop-packages/src/common/bigtop-select/distro-select'],BIGTOP-3851: Fix fail to start Namenode because of bigtop-select (#1042),BIGTOP-3851
cb24e6a1e021e51fea1ee6b684a0b69b9cfc7192,timyuer,web-flow,5,"['bigtop-packages/src/common/bigtop-select/conf-select', 'bigtop-packages/src/common/bigtop-select/distro-select', 'bigtop-packages/src/common/bigtop-select/install_select.sh', 'bigtop-packages/src/rpm/bigtop-select/SPECS/bigtop-select.spec', 'packages.gradle']",BIGTOP-3847: Set bigtop-select to be consistent with -PparentDir (#1038),BIGTOP-3847
7954fe09782932c73c26aed7961ebf18216c5a2f,timyuer,web-flow,2,"['bigtop-packages/src/common/bigtop-select/install_select.sh', 'bigtop-packages/src/rpm/bigtop-select/SPECS/bigtop-select.spec']",BIGTOP-3845: Add the command to create the /usr/bigtop folder in the bigtop-select rpm package (#1035),BIGTOP-3845
59bc68901462a36ca74932ec60db15abf04896f5,iwasakims,web-flow,2,"['bigtop-packages/src/common/hadoop/install_hadoop.sh', 'bigtop-packages/src/deb/hadoop/rules']",BIGTOP-3842. Fix failure of deb packaging of Hadoop. (#1034),BIGTOP-3842
e492f58ab0b7dabdf69cf277f878a41a43930340,kevinw66,web-flow,3,"['bigtop-packages/src/common/bigtop-select/distro-select', 'bigtop-packages/src/common/bigtop-select/install_select.sh', 'bigtop-packages/src/rpm/bigtop-select/SPECS/bigtop-select.spec']",BIGTOP-3839: Rename bin file bigtop-select to distro-select on rpm package (#1032),BIGTOP-3839
6af10a5e5c575c2c58f82160c27b027bd9f5eaa6,guyuqi,web-flow,3,"['bigtop-packages/src/common/ambari/do-component-build', 'bigtop-packages/src/common/ambari/patch11-ambari-metrics-mpack.diff', 'bigtop-packages/src/common/ambari/patch5-refine-AMBARI-25599-for-Hadoop-3.4.diff']","BIGTOP-3800: Add extra Ambari-metrics RPMs packages in Ambari build for Mpack (#1010)

Ambari Metrics System: (AMS) collects, aggregates, and serves Hadoop
and system metrics in Ambari-managed clusters.
In Bigtop, we just offer Ambari-Server and Ambari-agent RPMs package,
no Ambari Metrics RPMs there.
Ambari Metrics, to be the sub-module of Ambari,
we could add extra Ambari-metrics RPMs packages in Ambari build for Mpack Ambari-metrics.
Ambari DO NOT support debian deployment in current version(2.7.5).
We just add RPMs support in Bigtop 3.2 release.

Change-Id: Ibca6f8d3a1727d5fc3b0e34846d08b06b9d94d5b
Signed-off-by: Yuqi Gu <yuqi.gu@arm.com>",BIGTOP-3800
2cf22746873665d7f9721f7b76caf898c837750e,kevinw66,web-flow,2,"['bigtop-packages/src/common/tez/install_tez.sh', 'bigtop-packages/src/rpm/tez/SPECS/tez.spec']","BIGTOP-3826: Support parent directory configuration for Tez rpm build script (#1023)

* BIGTOP-3826: Support parent directory configuration for Tez rpm build script

* use space instead of tab",BIGTOP-3826
9b21061d24e9640bc982131e0caa1f449c14cd27,sekikn,web-flow,6,"['bigtop-packages/src/common/ranger/do-component-build', 'bigtop-packages/src/common/ranger/install_ranger.sh', 'bigtop-packages/src/common/ranger/patch1-RANGER-3459.diff', 'bigtop-packages/src/common/ranger/patch1-RANGER-3818.diff', 'bigtop-packages/src/rpm/ranger/SPECS/ranger.spec', 'bigtop.bom']",BIGTOP-3820. Upgrade Ranger to 2.3.0. (#1020),BIGTOP-3820
64de225d7e54e5a69835feac416ade49db577c3e,kevinw66,web-flow,1,['bigtop-packages/src/common/solr/install_solr.sh'],BIGTOP-3825: remove debug messages on Solr build script (#1027),BIGTOP-3825
