hash,authors,committer,changes_FileNum,changed_files,message,bug_id
c7aefd8477f51bdd6b55799dfca5a35f96aa8983,jeanouii,jeanouii,7,"['bundle/pom.xml', 'bval-extras/pom.xml', 'bval-jsr/pom.xml', 'bval-perf/pom.xml', 'bval-tck-jakarta/pom.xml', 'bval-tck/pom.xml', 'pom.xml']",[maven-release-plugin] prepare for next development iteration,
dd883365a6d22eb4aeed1475b122e40144a6dd1b,jeanouii,jeanouii,7,"['bundle/pom.xml', 'bval-extras/pom.xml', 'bval-jsr/pom.xml', 'bval-perf/pom.xml', 'bval-tck-jakarta/pom.xml', 'bval-tck/pom.xml', 'pom.xml']",[maven-release-plugin] prepare release 2.0.6,
d9a6831f262000f11bb69cb06bf384128766ea1f,jeanouii,jeanouii,1,['pom.xml'],Fix typo in location for the SCM,
b14eb8ddd3a24febf5d7bf012eeda3d4caf87fd1,jeanouii,jeanouii,1,['pom.xml'],Update the scm location to use gitbox because previous domain has been discontinued,
757e7420bb841074edf54046e3d0a2cdf10a8767,jeanouii,jeanouii,1,['pom.xml'],Small fixes on the javadoc plugin for the release,
b9e220e0d7abfbe61048bcc8bb7f97ed68d03506,jeanouii,jeanouii,1,['bval-tck-jakarta/pom.xml'],Using OpenWebBeans 2.0.27 for the release which should be enough,
77ac22bfa25a72c1fea1b03f4a27438450ad80a0,jeanouii,web-flow,13,"['bval-jsr/src/main/java/org/apache/bval/jsr/job/ValidateParameters.java', 'bval-tck-jakarta/pom.xml', 'bval-tck-jakarta/src/main/java/org/apache/bval/arquillian/BValArquillianExtension.java', 'bval-tck-jakarta/src/main/java/org/apache/bval/arquillian/EJBEnricher.java', 'bval-tck-jakarta/src/main/java/org/apache/bval/arquillian/LogTckFormatter.java', 'bval-tck-jakarta/src/main/java/org/apache/bval/arquillian/jndi/BValJndiFactory.java', 'bval-tck-jakarta/src/main/resources/META-INF/services/org.jboss.arquillian.core.spi.LoadableExtension', 'bval-tck-jakarta/src/main/resources/jndi.properties', 'bval-tck-jakarta/src/test/beanvalidation-tck-tests-suite.xml', 'bval-tck-jakarta/src/test/resources/arquillian.xml', 'bval-tck-jakarta/src/test/resources/logging.properties', 'bval-tck-jakarta/work-tests-suite.xml', 'pom.xml']","Merge pull request #10 from apache/tck-jakarta

BVAL-218 BVAL-217 TCK GenericAndCrossParameterConstraintTest",
079aa79b6f2a5077b802f2d080b2ee1a28abce1f,rmannibucau,rmannibucau,2,"['bval-jsr/src/main/java/org/apache/bval/jsr/job/ValidateParameters.java', 'bval-tck-jakarta/work-tests-suite.xml']",don't clone parameter values when validating parameters,
1b72e835e332b5a1483742b1a8f0fe759cd881ed,rmannibucau,rmannibucau,2,"['bval-tck-jakarta/pom.xml', 'bval-tck-jakarta/work-tests-suite.xml']",fix testenricher cdi setup,
c7e057b860d0419cb78134f5aac34fee8d0f851b,jeanouii,jeanouii,12,"['bval-tck-jakarta/pom.xml', 'bval-tck-jakarta/src/main/java/org/apache/bval/arquillian/BValArquillianExtension.java', 'bval-tck-jakarta/src/main/java/org/apache/bval/arquillian/EJBEnricher.java', 'bval-tck-jakarta/src/main/java/org/apache/bval/arquillian/LogTckFormatter.java', 'bval-tck-jakarta/src/main/java/org/apache/bval/arquillian/jndi/BValJndiFactory.java', 'bval-tck-jakarta/src/main/resources/META-INF/services/org.jboss.arquillian.core.spi.LoadableExtension', 'bval-tck-jakarta/src/main/resources/jndi.properties', 'bval-tck-jakarta/src/test/beanvalidation-tck-tests-suite.xml', 'bval-tck-jakarta/src/test/resources/arquillian.xml', 'bval-tck-jakarta/src/test/resources/logging.properties', 'bval-tck-jakarta/work-tests-suite.xml', 'pom.xml']",Add Jakarta TCK,
46f8f0a6b5ccf0d228f38d275428bae13ff2ef73,jeanouii,jeanouii,3,"['bval-jsr/src/main/java/org/apache/bval/jsr/xml/SchemaManager.java', 'bval-jsr/src/test/java/org/apache/bval/jsr/xml/ValidationParserTest.java', 'bval-jsr/src/test/resources/sample-validation3.xml']",BVAL-216 Fix XML Filter to override XML namespace during descriptors parsing,BVAL-216
