hash,authors,committer,changes_FileNum,changed_files,message,bug_id
c945b7f49b99538748c871557f6ac80957be2b6e,HanumathRao,zabetak,7,"['core/src/main/java/org/apache/calcite/plan/RelOptRules.java', 'core/src/main/java/org/apache/calcite/rel/rules/PruneEmptyRules.java', 'core/src/test/java/org/apache/calcite/sql/test/SqlAdvisorTest.java', 'core/src/test/java/org/apache/calcite/test/RelOptRulesTest.java', 'core/src/test/resources/org/apache/calcite/test/RelOptRulesTest.xml', 'testkit/src/main/java/org/apache/calcite/test/catalog/MockCatalogReader.java', 'testkit/src/main/java/org/apache/calcite/test/catalog/MockCatalogReaderSimple.java']","[CALCITE-5314] Prune empty parts of a query by exploiting stats/metadata

Close apache/calcite#2935",CALCITE-5314
f0c6cd5a52cfd954dd89fe7a2a422fe6e60ed28e,asolimando,asolimando,14,"['core/src/test/java/org/apache/calcite/sql/test/SqlPrettyWriterTest.java', 'core/src/test/java/org/apache/calcite/test/HepPlannerTest.java', 'core/src/test/java/org/apache/calcite/test/RelOptRulesTest.java', 'core/src/test/java/org/apache/calcite/test/RuleMatchVisualizerTest.java', 'core/src/test/java/org/apache/calcite/test/SqlHintsConverterTest.java', 'core/src/test/java/org/apache/calcite/test/SqlToRelConverterTest.java', 'core/src/test/java/org/apache/calcite/test/TopDownOptTest.java', 'core/src/test/java/org/apache/calcite/test/TypeCoercionConverterTest.java', 'core/src/test/resources/org/apache/calcite/test/HepPlannerTest.xml', 'core/src/test/resources/org/apache/calcite/test/RelOptRulesTest.xml', 'core/src/test/resources/org/apache/calcite/test/SqlHintsConverterTest.xml', 'core/src/test/resources/org/apache/calcite/test/SqlToRelConverterTest.xml', 'core/src/test/resources/org/apache/calcite/test/TypeCoercionConverterTest.xml', 'testkit/src/main/java/org/apache/calcite/test/DiffRepository.java']","[CALCITE-5340] Tests should fail when actual and expected XML reference files are not identical

File check added to the following test suites:
- HepPlannerTest
- RelOptRulesTest
- RuleMatchVisualizerTest
- SqlHintsConverterTest
- SqlToRelConverterTest
- SqlPrettyWriterTest
- TypeCoercionConverterTest
- TopDownOptTest

Updated XML test reference files:
- HepPlannerTest.xml
- RelOptRulesTest.xml
- SqlHintsConverterTest.xml
- SqlToRelConverterTest.xml
- TypeCoercionConverterTest.xml",CALCITE-5340
15720124f7638d57dc5bf59c4520cb406e1112ae,F21,F21,7,"['.github/workflows/buildcache.yml', '.github/workflows/gradle-wrapper-validation.yml', '.github/workflows/main.yml', '.travis.yml', 'README.md', 'appveyor.yml', 'site/develop/index.md']","[CALCITE-5344] Migrate Travis CI and AppVeyor configuration to Github Actions

The ASF is discontinuing Travis CI for testing, and it will no longer be
available after 31 December 2022.",CALCITE-5344
1e3c5213c15a0b4ef480c830bb52fddc725907c4,snuyanzin,julianhyde,5,"['build.gradle.kts', 'gradle/wrapper/gradle-wrapper.jar', 'gradle/wrapper/gradle-wrapper.properties', 'gradlew', 'site/_docs/howto.md']","[CALCITE-5197] Bump gradle to 7.4.2

Add a Gradle task to automatically update the checksum in
the Gradle Wrapper.

In HOWTO guide, add a section 'How to ugrade Gradle and the
Gradle Wrapper', and update the Gradle version.

Close apache/calcite#2841",CALCITE-5197
defea67b80fe432c5a8f776718169a3595b222a8,l4wei,libenchao,5,"['core/src/main/java/org/apache/calcite/sql/SqlKind.java', 'core/src/main/java/org/apache/calcite/sql/SqlWith.java', 'core/src/main/java/org/apache/calcite/sql/SqlWriter.java', 'core/src/main/java/org/apache/calcite/sql/pretty/SqlPrettyWriter.java', 'testkit/src/main/java/org/apache/calcite/sql/parser/SqlParserTest.java']","[CALCITE-5299] JDBC adapter sometimes adds unnecessary parentheses around SELECT in WITH body

Remove SET_QUERY from SqlKind#EXPRESSION.

This closes #2938",CALCITE-5299
5d771d8c6d706fda2f6a36332717c64adc657f38,JiajunBernoulli,asolimando,3,"['testkit/src/main/java/org/apache/calcite/test/RelOptTestBase.java', 'testkit/src/main/java/org/apache/calcite/test/SqlToRelTestBase.java', 'testkit/src/main/java/org/apache/calcite/test/SqlValidatorTestCase.java']",[MINOR][JAVADOC] Add default catalog link to test fixtures,
040e85a9219a65122f6ae5ecd8f988afe29e5180,abhishek-das-gupta,libenchao,3,"['core/src/main/java/org/apache/calcite/rex/RexBuilder.java', 'core/src/test/java/org/apache/calcite/rel/rel2sql/RelToSqlConverterTest.java', 'core/src/test/java/org/apache/calcite/rex/RexBuilderTest.java']","[CALCITE-4632] SARG datatype should be less restictive than any of the input types

RexBuilder#makeIn and RexBuilder#makeBetween uses first operand's type as Sarg's type before, now will use least restrictive type for all operands.

This closes #2853",CALCITE-4632
2feb16aee9f2710bd361a787a80e1cd74cf759bb,Aitozi,asolimando,2,"['core/src/main/java/org/apache/calcite/plan/RelOptRuleCall.java', 'core/src/test/java/org/apache/calcite/test/SqlHintsConverterTest.java']",[CALCITE-5264] HintStrategy rule exclusion does not match innermost rels,CALCITE-5264
21110741ff104cb019b0f9de034845bf47ca8717,snuyanzin,julianhyde,5,"['core/src/main/java/org/apache/calcite/rel/metadata/janino/CacheGeneratorUtil.java', 'core/src/main/java/org/apache/calcite/schema/impl/ReflectiveFunctionBase.java', 'core/src/main/java/org/apache/calcite/sql/pretty/SqlPrettyWriter.java', 'core/src/test/java/org/apache/calcite/test/SqlTestGen.java', 'testkit/src/main/java/org/apache/calcite/test/CalciteAssert.java']","[CALCITE-5339] Use Method#getParameterCount rather than Method#getParameterTypes to get length

The issue with Method#getParameters is that each time it
creates a new array by calling clone. It does not make sense
for the cases when only knowledge about number of parameters
is required.

Close apache/calcite#2943",CALCITE-5339
27592e55764a0c3ef394a3c6a7ac45e28ca69604,julianhyde,julianhyde,6,"['core/src/main/java/org/apache/calcite/runtime/SqlFunctions.java', 'core/src/main/java/org/apache/calcite/util/BuiltInMethod.java', 'core/src/main/java/org/apache/calcite/util/TimeString.java', 'core/src/main/java/org/apache/calcite/util/TimeWithTimeZoneString.java', 'core/src/main/java/org/apache/calcite/util/TimestampString.java', 'core/src/main/java/org/apache/calcite/util/TimestampWithTimeZoneString.java']","[CALCITE-5338] In Avatica's DateTimeUtils, replace floorDiv and floorMod with equivalents in java.lang.Math",CALCITE-5338
