hash,authors,committer,changes_FileNum,changed_files,message,bug_id
c6be38f4db1e7f8864371816843987e906419d0a,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
81f4048f49784118ab1b96162fc7695ab77ca16e,garydgregory,web-flow,2,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml']","Merge pull request #58 from apache/dependabot/github_actions/actions/checkout-3.1.0

Bump actions/checkout from 3.0.2 to 3.1.0",
fba3c97a3026b58611f5197ac40bdd17eaf10747,garydgregory,web-flow,2,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml']","Merge pull request #59 from apache/dependabot/github_actions/actions/cache-3.0.11

Bump actions/cache from 3.0.8 to 3.0.11",
526fb345a51c7107eeb2f3b2ee61f2a03d1d2a68,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #60 from apache/dependabot/maven/com.github.spotbugs-spotbugs-maven-plugin-4.7.2.1

Bump spotbugs-maven-plugin from 4.2.0 to 4.7.2.1",
27bb93129e60ef4726b11851f3b1e638fea8faa3,dependabot[bot],web-flow,1,['pom.xml'],"Bump spotbugs-maven-plugin from 4.2.0 to 4.7.2.1

Bumps [spotbugs-maven-plugin](https://github.com/spotbugs/spotbugs-maven-plugin) from 4.2.0 to 4.7.2.1.
- [Release notes](https://github.com/spotbugs/spotbugs-maven-plugin/releases)
- [Commits](https://github.com/spotbugs/spotbugs-maven-plugin/compare/spotbugs-maven-plugin-4.2.0...spotbugs-maven-plugin-4.7.2.1)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
d71527ea826bde774df8b3763dc4efb73527a6fc,dependabot[bot],web-flow,2,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml']","Bump actions/cache from 3.0.8 to 3.0.11

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.8 to 3.0.11.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.8...v3.0.11)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
e2e1b2cf66119c2a75587dca171555957044e69e,dependabot[bot],web-flow,2,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml']","Bump actions/checkout from 3.0.2 to 3.1.0

Bumps [actions/checkout](https://github.com/actions/checkout) from 3.0.2 to 3.1.0.
- [Release notes](https://github.com/actions/checkout/releases)
- [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/checkout/compare/v3.0.2...v3.1.0)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
459db43022704961c4dcd2fae5b4bd60a4e1918f,sebbASF,sebbASF,2,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
34973abf2c797ad47d1c800b0545858527a8b225,garydgregory,garydgregory,8,"['pom.xml', 'src/test/java/org/apache/bsf/AbstractBSFEngineTest.java', 'src/test/java/org/apache/bsf/BSFEngineTestCase.java', 'src/test/java/org/apache/bsf/BSFTest.java', 'src/test/java/org/apache/bsf/engines/JaclTest.java', 'src/test/java/org/apache/bsf/engines/JavascriptTest.java', 'src/test/java/org/apache/bsf/engines/JythonTest.java', 'src/test/java/org/apache/bsf/engines/NetrexxTest_IGNORE.java']",Disable Jacl tests on Java 11,
60f56287a9622c509bb92989296f23e67adf3d12,garydgregory,garydgregory,57,"['.github/workflows/maven.yml', 'pom.xml', 'samples/scriptedui/ui.jacl', 'samples/xsl/TableFiller.jrexx', 'src/changes/changes.xml', 'src/main/java/org/apache/bsf/BSFDeclaredBean.java', 'src/main/java/org/apache/bsf/BSFEngine.java', 'src/main/java/org/apache/bsf/BSFException.java', 'src/main/java/org/apache/bsf/BSFManager.java', 'src/main/java/org/apache/bsf/BSF_Log.java', 'src/main/java/org/apache/bsf/BSF_LogFactory.java', 'src/main/java/org/apache/bsf/Main.java', 'src/main/java/org/apache/bsf/engines/jacl/JaclEngine.java', 'src/main/java/org/apache/bsf/engines/java/JavaEngine.java', 'src/main/java/org/apache/bsf/engines/javaclass/JavaClassEngine.java', 'src/main/java/org/apache/bsf/engines/javascript/JavaScriptEngine.java', 'src/main/java/org/apache/bsf/engines/jython/JythonEngine.java', 'src/main/java/org/apache/bsf/engines/netrexx/NetRexxEngine.java', 'src/main/java/org/apache/bsf/engines/xslt/XSLTEngine.java', 'src/main/java/org/apache/bsf/util/BSFClassLoader.java', 'src/main/java/org/apache/bsf/util/BSFEngineImpl.java', 'src/main/java/org/apache/bsf/util/BSFEventProcessor.java', 'src/main/java/org/apache/bsf/util/BSFEventProcessorReturningEventInfos.java', 'src/main/java/org/apache/bsf/util/BSFFunctions.java', 'src/main/java/org/apache/bsf/util/Bean.java', 'src/main/java/org/apache/bsf/util/CodeBuffer.java', 'src/main/java/org/apache/bsf/util/EngineUtils.java', 'src/main/java/org/apache/bsf/util/IOUtils.java', 'src/main/java/org/apache/bsf/util/IndentWriter.java', 'src/main/java/org/apache/bsf/util/JavaUtils.java', 'src/main/java/org/apache/bsf/util/MethodUtils.java', 'src/main/java/org/apache/bsf/util/ObjInfo.java', 'src/main/java/org/apache/bsf/util/ObjectRegistry.java', 'src/main/java/org/apache/bsf/util/ReflectionUtils.java', 'src/main/java/org/apache/bsf/util/ScriptSymbolTable.java', 'src/main/java/org/apache/bsf/util/StringUtils.java', 'src/main/java/org/apache/bsf/util/cf/CFDriver.java', 'src/main/java/org/apache/bsf/util/cf/CodeFormatter.java', 'src/main/java/org/apache/bsf/util/event/EventAdapter.java', 'src/main/java/org/apache/bsf/util/event/EventAdapterImpl.java', 'src/main/java/org/apache/bsf/util/event/EventAdapterRegistry.java', 'src/main/java/org/apache/bsf/util/event/EventProcessor.java', 'src/main/java/org/apache/bsf/util/event/generator/AdapterClassLoader.java', 'src/main/java/org/apache/bsf/util/event/generator/ByteUtility.java', 'src/main/java/org/apache/bsf/util/event/generator/Bytecode.java', 'src/main/java/org/apache/bsf/util/type/TypeConvertor.java', 'src/main/java/org/apache/bsf/util/type/TypeConvertorRegistry.java', 'src/test/java/org/apache/bsf/BSFEngineTestTmpl.java', 'src/test/java/org/apache/bsf/BSFTest.java', 'src/test/java/org/apache/bsf/engines/JaclTest.java', 'src/test/java/org/apache/bsf/engines/JavascriptTest.java', 'src/test/java/org/apache/bsf/engines/JythonTest.java', 'src/test/java/org/apache/bsf/engines/NetrexxTest_IGNORE.java', 'src/test/java/org/apache/bsf/util/EngineUtilsTest.java', 'src/test/java/org/apache/bsf/util/IOUtilsTest.java', 'src/test/java/org/apache/bsf/util/StringUtilsTest.java', 'src/test/java/org/apache/bsf/util/TestBean.java']",Normalize line endings to Unix style,
