hash,authors,committer,changes_FileNum,changed_files,message,bug_id
68a1ae5123b7323bfbe3196127784af6ccd1bc78,sebbASF,sebbASF,1,['.github/workflows/maven.yml'],Don't persist credentials unnecessarily,
8235f83d85037ddba6cdd52316f144b189283c20,garydgregory,garydgregory,1,['.github/workflows/maven.yml'],GitHub Actions build: no top level permission defined,
472ffb3fff3f2fc919c00ccf858b139a690d7f24,garydgregory,garydgregory,1,['.github/workflows/maven.yml'],Bump actions/setup-java from 3 to 3.5.1,
325ba05f1851423ffae06bacd150e8c20da53f22,,,2,"['.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/checkout from 3 to 3.0.2.,
b5a968f123ff4eaddb7d10b8cad7d58abaed7b37,,,15,"['api/src/main/java/org/apache/commons/chain2/CatalogFactory.java', 'api/src/main/java/org/apache/commons/chain2/Processing.java', 'base/src/main/java/org/apache/commons/chain2/base/DispatchCommand.java', 'base/src/main/java/org/apache/commons/chain2/base/DispatchLookupCommand.java', 'base/src/main/java/org/apache/commons/chain2/base/LookupCommand.java', 'base/src/main/java/org/apache/commons/chain2/impl/CatalogBase.java', 'web/src/main/java/org/apache/commons/chain2/web/ChainResources.java', 'web/src/main/java/org/apache/commons/chain2/web/WebContext.java', 'web/src/main/java/org/apache/commons/chain2/web/faces/FacesWebContext.java', 'web/src/main/java/org/apache/commons/chain2/web/portlet/PortletWebContext.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/PathInfoMapper.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/RequestParameterMapper.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletCookieMap.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletPathMapper.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletWebContext.java']",Use standard Javadoc @since tag format,
79a87c836bcaf52f8edc93cb55201ac942bc4225,,,1,['base/src/test/java/org/apache/commons/chain2/impl/CatalogFactoryBaseTestCase.java'],Remove Subversion key substitution noise,
0568dd5407c6474347676e35eae4ce4fae906898,,,2,"['.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 2.1.4 to 3.0.3,
5b384a805f41a092ca5d7a085e5b7a6caa56f2a6,,,2,"['.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/checkout 2.3.4 to 3,
5bc36c8c82f342d5efdd47e0ca2c5db3da17db0a,,,2,"['.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/setup-java from 2 to 3,
bb20f27eecefac09bc549af6d6fea54e8e633ff2,,,93,"['api/src/main/java/org/apache/commons/chain2/Catalog.java', 'api/src/main/java/org/apache/commons/chain2/Chain.java', 'api/src/main/java/org/apache/commons/chain2/ChainException.java', 'api/src/main/java/org/apache/commons/chain2/ChainExecutor.java', 'api/src/main/java/org/apache/commons/chain2/Chains.java', 'api/src/main/java/org/apache/commons/chain2/Command.java', 'api/src/main/java/org/apache/commons/chain2/CommandSetter.java', 'api/src/main/java/org/apache/commons/chain2/Context.java', 'api/src/main/java/org/apache/commons/chain2/Filter.java', 'api/src/main/java/org/apache/commons/chain2/NameSetter.java', 'api/src/main/java/org/apache/commons/chain2/NamedCommandSetter.java', 'api/src/main/java/org/apache/commons/chain2/ToExecutorCommandSetter.java', 'apps/example1/src/main/java/org/apache/commons/chain2/apps/example/CountCommand.java', 'apps/example1/src/main/java/org/apache/commons/chain2/apps/example/ForwardCommand.java', 'apps/example2/src/main/java/org/apache/commons/chain2/apps/example/CountCommand.java', 'apps/example2/src/main/java/org/apache/commons/chain2/apps/example/ExampleServlet.java', 'apps/example2/src/main/java/org/apache/commons/chain2/apps/example/ForwardCommand.java', 'base/src/main/java/org/apache/commons/chain2/base/CopyCommand.java', 'base/src/main/java/org/apache/commons/chain2/base/DispatchCommand.java', 'base/src/main/java/org/apache/commons/chain2/base/DispatchException.java', 'base/src/main/java/org/apache/commons/chain2/base/DispatchLookupCommand.java', 'base/src/main/java/org/apache/commons/chain2/base/LookupCommand.java', 'base/src/main/java/org/apache/commons/chain2/base/OverrideCommand.java', 'base/src/main/java/org/apache/commons/chain2/base/RemoveCommand.java', 'base/src/main/java/org/apache/commons/chain2/impl/CatalogBase.java', 'base/src/main/java/org/apache/commons/chain2/impl/CatalogFactoryBase.java', 'base/src/main/java/org/apache/commons/chain2/impl/ChainBase.java', 'base/src/main/java/org/apache/commons/chain2/impl/ContextBase.java', 'base/src/main/java/org/apache/commons/chain2/impl/ContextMap.java', 'base/src/test/java/org/apache/commons/chain2/base/CopyCommandTestCase.java', 'base/src/test/java/org/apache/commons/chain2/base/DispatchLookupCommandTestCase.java', 'base/src/test/java/org/apache/commons/chain2/base/LookupCommandTestCase.java', 'base/src/test/java/org/apache/commons/chain2/base/OverrideCommandTestCase.java', 'base/src/test/java/org/apache/commons/chain2/impl/CatalogBaseTestCase.java', 'base/src/test/java/org/apache/commons/chain2/impl/ChainBaseTestCase.java', 'base/src/test/java/org/apache/commons/chain2/impl/ContextBaseTestCase.java', 'base/src/test/java/org/apache/commons/chain2/impl/FluentInterfacesTestCase.java', 'base/src/test/java/org/apache/commons/chain2/impl/TestContext.java', 'base/src/test/java/org/apache/commons/chain2/impl/TestContextTestCase.java', 'configuration/api/src/main/java/org/apache/commons/chain2/config/ChainConfigurationException.java', 'configuration/api/src/main/java/org/apache/commons/chain2/config/ConfigParser.java', 'configuration/xml/src/test/java/org/apache/commons/chain2/config/xml/XmlConfigParserTestCase.java', 'test-utils/src/main/java/org/apache/commons/chain2/testutils/AddingCommand.java', 'test-utils/src/main/java/org/apache/commons/chain2/testutils/DelegatingCommand.java', 'test-utils/src/main/java/org/apache/commons/chain2/testutils/DelegatingFilter.java', 'test-utils/src/main/java/org/apache/commons/chain2/testutils/ExceptionCommand.java', 'test-utils/src/main/java/org/apache/commons/chain2/testutils/ExceptionFilter.java', 'test-utils/src/main/java/org/apache/commons/chain2/testutils/HasCommandCount.java', 'test-utils/src/main/java/org/apache/commons/chain2/testutils/HasLog.java', 'test-utils/src/main/java/org/apache/commons/chain2/testutils/NonDelegatingCommand.java', 'test-utils/src/main/java/org/apache/commons/chain2/testutils/NonDelegatingFilter.java', 'test-utils/src/test/java/org/apache/commons/chain2/testutils/HasCommandCountTestCase.java', 'test-utils/src/test/java/org/apache/commons/chain2/testutils/HasLogTestCase.java', 'test-utils/src/test/java/org/apache/commons/chain2/testutils/NonDelegatingCommandTestCase.java', 'test-utils/src/test/java/org/apache/commons/chain2/testutils/TestCatalog.java', 'test-utils/src/test/java/org/apache/commons/chain2/testutils/TestContext.java', 'web/src/main/java/org/apache/commons/chain2/web/AbstractGetLocaleCommand.java', 'web/src/main/java/org/apache/commons/chain2/web/AbstractSetLocaleCommand.java', 'web/src/main/java/org/apache/commons/chain2/web/ChainListener.java', 'web/src/main/java/org/apache/commons/chain2/web/ChainResources.java', 'web/src/main/java/org/apache/commons/chain2/web/ChainServlet.java', 'web/src/main/java/org/apache/commons/chain2/web/MapEntry.java', 'web/src/main/java/org/apache/commons/chain2/web/WebContext.java', 'web/src/main/java/org/apache/commons/chain2/web/WebContextBase.java', 'web/src/main/java/org/apache/commons/chain2/web/faces/FacesGetLocaleCommand.java', 'web/src/main/java/org/apache/commons/chain2/web/faces/FacesSetLocaleCommand.java', 'web/src/main/java/org/apache/commons/chain2/web/faces/FacesWebContext.java', 'web/src/main/java/org/apache/commons/chain2/web/portlet/PortletApplicationScopeMap.java', 'web/src/main/java/org/apache/commons/chain2/web/portlet/PortletGetLocaleCommand.java', 'web/src/main/java/org/apache/commons/chain2/web/portlet/PortletInitParamMap.java', 'web/src/main/java/org/apache/commons/chain2/web/portlet/PortletParamMap.java', 'web/src/main/java/org/apache/commons/chain2/web/portlet/PortletParamValuesMap.java', 'web/src/main/java/org/apache/commons/chain2/web/portlet/PortletRequestScopeMap.java', 'web/src/main/java/org/apache/commons/chain2/web/portlet/PortletSessionScopeMap.java', 'web/src/main/java/org/apache/commons/chain2/web/portlet/PortletSetLocaleCommand.java', 'web/src/main/java/org/apache/commons/chain2/web/portlet/PortletWebContext.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ChainProcessor.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/PathInfoMapper.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/RequestParameterMapper.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletApplicationScopeMap.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletCookieMap.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletGetLocaleCommand.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletHeaderMap.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletHeaderValuesMap.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletInitParamMap.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletParamMap.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletParamValuesMap.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletPathMapper.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletRequestScopeMap.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletSessionScopeMap.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletSetLocaleCommand.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletWebContext.java', 'web/src/main/java/org/apache/commons/chain2/web/servlet/ServletWebContextBase.java']","Delete ""@version $Id$"" from Subversion days.",
