hash,authors,committer,changes_FileNum,changed_files,message,bug_id
2b436447fe3f162fb2d10e066a3cfa9f0fde6c8e,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
65ff324cfe784604686b34cd30480d986e81a91e,garydgregory,garydgregory,1,['RELEASE-NOTES.txt'],Fix spelling,
d44f75c6ebdaf4cf0a6a43d8a0b481718e3ea072,garydgregory,garydgregory,2,"['pom.xml', 'src/changes/changes.xml']",Bump Java from 7 to 8,
4076cc43d1e7ca6cf54f1971e727cf00b1e9af63,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump actions/setup-java from 3.5.1 to 3.6.0 #136,
d6c08aa76289153ff644d1caf0551d5af8617151,dependabot[bot],web-flow,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/setup-java from 3.5.1 to 3.6.0 (#136)

Bumps [actions/setup-java](https://github.com/actions/setup-java) from 3.5.1 to 3.6.0.
- [Release notes](https://github.com/actions/setup-java/releases)
- [Commits](https://github.com/actions/setup-java/compare/v3.5.1...v3.6.0)

---
updated-dependencies:
- dependency-name: actions/setup-java
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
2dea650e5093d96f4cba0701793b161b7eb315b8,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump spotbugs from 4.7.2 to 4.7.3 #138,
504193ccedda32c3b0ef6fc10b2d0f25b4e84225,dependabot[bot],web-flow,1,['pom.xml'],"Bump spotbugs from 4.7.2 to 4.7.3 (#138)

Bumps [spotbugs](https://github.com/spotbugs/spotbugs) from 4.7.2 to 4.7.3.
- [Release notes](https://github.com/spotbugs/spotbugs/releases)
- [Changelog](https://github.com/spotbugs/spotbugs/blob/master/CHANGELOG.md)
- [Commits](https://github.com/spotbugs/spotbugs/compare/4.7.2...4.7.3)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
177854151984ea6919ba0aaa644c0e2d040500f9,dependabot[bot],web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/cache from 3.0.10 to 3.0.11 (#134)

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.10 to 3.0.11.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.10...v3.0.11)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
3e0b37e61fbc1274e9cef935d8b0277119f042d8,dependabot[bot],web-flow,1,['pom.xml'],"Bump spotbugs-maven-plugin from 4.7.2.0 to 4.7.2.1 (#135)

Bumps [spotbugs-maven-plugin](https://github.com/spotbugs/spotbugs-maven-plugin) from 4.7.2.0 to 4.7.2.1.
- [Release notes](https://github.com/spotbugs/spotbugs-maven-plugin/releases)
- [Commits](https://github.com/spotbugs/spotbugs-maven-plugin/compare/spotbugs-maven-plugin-4.7.2.0...spotbugs-maven-plugin-4.7.2.1)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
34bda1a6a4e8b39d50f7a77c04fe42a843506207,sebbASF,sebbASF,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
