hash,authors,committer,changes_FileNum,changed_files,message,bug_id
a8688157322ea0a8a9c45df51acf8c679a9557e1,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
dca05e593e4fe6c5546f37994f818ab8a15d1380,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump easymock from 4.3 to 5.0.0 #352,
96fde9937103e5830cc4d54bcb279e38516dc1ea,dependabot[bot],web-flow,1,['pom.xml'],"Bump easymock from 4.3 to 5.0.0 (#352)

Bumps [easymock](https://github.com/easymock/easymock) from 4.3 to 5.0.0.
- [Release notes](https://github.com/easymock/easymock/releases)
- [Changelog](https://github.com/easymock/easymock/blob/master/ReleaseNotes.md)
- [Commits](https://github.com/easymock/easymock/compare/easymock-4.3...easymock-5.0.0)

---
updated-dependencies:
- dependency-name: org.easymock:easymock
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
ccc57821e971efb3809cfae5816418627becffc2,dependabot[bot],kinow,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/setup-java from 3.5.1 to 3.6.0

Bumps [actions/setup-java](https://github.com/actions/setup-java) from 3.5.1 to 3.6.0.
- [Release notes](https://github.com/actions/setup-java/releases)
- [Commits](https://github.com/actions/setup-java/compare/v3.5.1...v3.6.0)

---
updated-dependencies:
- dependency-name: actions/setup-java
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
304a1bf3f37abb1740e5a1a378b69aa8bd70acfe,kinow,kinow,3,"['src/changes/changes.xml', 'src/main/java/org/apache/commons/collections4/ListUtils.java', 'src/test/java/org/apache/commons/collections4/ListUtilsTest.java']","Merge branch 'pr-340'

This closes #340",
8c91a515467826ab1b75b516cea7c6a3303e590d,kinow,kinow,1,['src/changes/changes.xml'],[COLLECTIONS-814] Add change log,COLLECTIONS-814
17bed2b5551c6489264d47e1009f45c27236f71c,angusdev,kinow,2,"['src/main/java/org/apache/commons/collections4/ListUtils.java', 'src/test/java/org/apache/commons/collections4/ListUtilsTest.java']","[COLLECTIONS-814] CollectionUtils.removeAll() not throwing proper NullPointerException(NPE) if the first parameter is empty

Add null check",COLLECTIONS-814
06cc4554b52af26bdcb2a2e43bb6022452db87ff,kinow,kinow,19,"['NOTICE.txt', 'pom.xml', 'src/changes/changes.xml', 'src/changes/release-notes.vm', 'src/main/java/org/apache/commons/collections4/ListUtils.java', 'src/main/java/org/apache/commons/collections4/Trie.java', 'src/main/java/org/apache/commons/collections4/map/AbstractReferenceMap.java', 'src/main/java/org/apache/commons/collections4/map/ReferenceMap.java', 'src/main/java/org/apache/commons/collections4/sequence/SequencesComparator.java', 'src/main/java/org/apache/commons/collections4/sequence/package-info.java', 'src/main/java/org/apache/commons/collections4/trie/PatriciaTrie.java', 'src/site/xdoc/building.xml', 'src/site/xdoc/compatibility.xml', 'src/site/xdoc/index.xml', 'src/site/xdoc/issue-tracking.xml', 'src/site/xdoc/mail-lists.xml', 'src/site/xdoc/pick.xml', 'src/site/xdoc/security-reports.xml', 'src/test/java/org/apache/commons/collections4/map/AbstractMapTest.java']","Merge branch 'pr-325'

This closes #325",
463d2cc57bf3377c9b654607ceadc48f010aeb0d,kinow,kinow,1,['src/changes/changes.xml'],[COLLECTIONS-835] Add change log and credit,COLLECTIONS-835
297f7af4af21da68285238169f319475d7b6f425,marcwrobel,kinow,18,"['NOTICE.txt', 'pom.xml', 'src/changes/release-notes.vm', 'src/main/java/org/apache/commons/collections4/ListUtils.java', 'src/main/java/org/apache/commons/collections4/Trie.java', 'src/main/java/org/apache/commons/collections4/map/AbstractReferenceMap.java', 'src/main/java/org/apache/commons/collections4/map/ReferenceMap.java', 'src/main/java/org/apache/commons/collections4/sequence/SequencesComparator.java', 'src/main/java/org/apache/commons/collections4/sequence/package-info.java', 'src/main/java/org/apache/commons/collections4/trie/PatriciaTrie.java', 'src/site/xdoc/building.xml', 'src/site/xdoc/compatibility.xml', 'src/site/xdoc/index.xml', 'src/site/xdoc/issue-tracking.xml', 'src/site/xdoc/mail-lists.xml', 'src/site/xdoc/pick.xml', 'src/site/xdoc/security-reports.xml', 'src/test/java/org/apache/commons/collections4/map/AbstractMapTest.java']","[COLLECTIONS-835] Fix links in javadoc and documentations

- fix broken links,
- use direct links instead of redirects,
- use HTTPS where possible.",COLLECTIONS-835
