hash,authors,committer,changes_FileNum,changed_files,message,bug_id
0cb796559cd279922412ff33ce88154f1e5e23aa,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
7440afc484fe53edfa79f27be485aca39c31e2d8,dependabot[bot],kinow,2,"['pom.xml', 'src/changes/changes.xml']","Bump zstd-jni from 1.5.2-4 to 1.5.2-5

Bumps [zstd-jni](https://github.com/luben/zstd-jni) from 1.5.2-4 to 1.5.2-5.
- [Release notes](https://github.com/luben/zstd-jni/releases)
- [Commits](https://github.com/luben/zstd-jni/commits/c1.5.2-5)

---
updated-dependencies:
- dependency-name: com.github.luben:zstd-jni
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
d7cc20d10099b79553481b1786c1be542b2cda63,dependabot[bot],kinow,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/setup-java from 3.5.1 to 3.6.0

Bumps [actions/setup-java](https://github.com/actions/setup-java) from 3.5.1 to 3.6.0.
- [Release notes](https://github.com/actions/setup-java/releases)
- [Commits](https://github.com/actions/setup-java/compare/v3.5.1...v3.6.0)

---
updated-dependencies:
- dependency-name: actions/setup-java
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
910bfc05f7ca693f87166ca376980107d13fa2b5,dependabot[bot],kinow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/cache from 3.0.10 to 3.0.11

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.10 to 3.0.11.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.10...v3.0.11)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
20863c61d7d5cce9653e23830eb4c76dcd141bb4,garydgregory,garydgregory,2,"['src/site/site.xml', 'src/site/xdoc/security.xml']",Rename page,
53ab7905fca6a89c1deb483a30e4dad1b2fa07f0,garydgregory,garydgregory,1,['src/site/xdoc/security-reports.xml'],Rename author,
110d662240be0f0dcc448a672768f2edd543557b,garydgregory,garydgregory,1,['src/site/site.xml'],Rename page,
e50246522bba13aa105f4f8219686b729c42ee3c,sebbASF,sebbASF,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
9c2bff594d2a7a21f56c545060e1ca8563484007,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Set to level permissions to 'read',
ad1437d9f41f59eec5ce5358a7fec586d361a7e6,dependabot[bot],kinow,4,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']","Bump actions/cache from 3.0.8 to 3.0.10

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.8 to 3.0.10.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.8...v3.0.10)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
