hash,authors,committer,changes_FileNum,changed_files,message,bug_id
22b5c3cd0723da71e676389233e11572af182310,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
4fce0e5a5884d78d20a5372fab008c93a89bc357,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump actions/setup-java from 3.5.1 to 3.6.0 #190,
a3bcde7351121f27688abc6cb6996d6ed20759da,dependabot[bot],web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/setup-java from 3.5.1 to 3.6.0 (#190)

Bumps [actions/setup-java](https://github.com/actions/setup-java) from 3.5.1 to 3.6.0.
- [Release notes](https://github.com/actions/setup-java/releases)
- [Commits](https://github.com/actions/setup-java/compare/v3.5.1...v3.6.0)

---
updated-dependencies:
- dependency-name: actions/setup-java
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
755f7586c5f4a136df26d3505b90482d00770d6a,dependabot[bot],web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/cache from 3.0.9 to 3.0.11 (#188)

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.9 to 3.0.11.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.9...v3.0.11)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
584c53d6f62f0b8ed1be93902fd282e5dd05efe5,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump actions/checkout from 3.0.2 to 3.1.0 #187,
92a814b4265378fd4e306f944124360e47fb7a58,dependabot[bot],web-flow,4,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml', '.github/workflows/scorecards-analysis.yml']","Bump actions/checkout from 3.0.2 to 3.1.0 (#187)

Bumps [actions/checkout](https://github.com/actions/checkout) from 3.0.2 to 3.1.0.
- [Release notes](https://github.com/actions/checkout/releases)
- [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/checkout/compare/v3.0.2...93ea575cb5d8a053eaa0ac8fa3b40d7e05a33cc8)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
89facea41c36857fecfbb3911c33b4c32f2bb2bd,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump spotbugs-maven-plugin from 4.7.2.0 to 4.7.2.1 #189,
979f772099c94022e0332221544a6eaa49f18e31,dependabot[bot],web-flow,1,['pom.xml'],"Bump spotbugs-maven-plugin from 4.7.2.0 to 4.7.2.1 (#189)

Bumps [spotbugs-maven-plugin](https://github.com/spotbugs/spotbugs-maven-plugin) from 4.7.2.0 to 4.7.2.1.
- [Release notes](https://github.com/spotbugs/spotbugs-maven-plugin/releases)
- [Commits](https://github.com/spotbugs/spotbugs-maven-plugin/compare/spotbugs-maven-plugin-4.7.2.0...spotbugs-maven-plugin-4.7.2.1)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
3925b4650ff1c594c616ff99d43fce743016aeed,sebbASF,sebbASF,4,"['.github/workflows/adhoctest.yml', '.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
485541c0c7056938653342a679b14d310b7590fa,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Set to level permissions to 'read',
40fa73cefd59c0d123e9f215a4aacd15406e4bf0,garydgregory,garydgregory,1,['.github/workflows/maven.yml'],GitHub Actions build: no top level permission defined,
7a4d71599cbebe710f3fa14a22da2e057d011582,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/crypto/utils/ReflectionUtils.java'],Use Java 8 API,
77f106816f3540c5c1ab556205b34aff561809f2,garydgregory,garydgregory,5,"['.github/workflows/adhoctest.yml', '.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/setup-java from 3 to 3.5.1,
c774449fff948cfcb925312914385071cfd75780,garydgregory,garydgregory,1,['src/changes/changes.xml'],Move an entry,
b3467e22806e7ce5a77d348be033b7d2953df061,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump actions/cache from 3.0.8 to 3.0.9 #184,
99e5889d2051ed972c9b64ee8fe0738b7cca9154,dependabot[bot],web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/cache from 3.0.8 to 3.0.9 (#184)

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.8 to 3.0.9.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.8...v3.0.9)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
8a147a38cc5a892d0461935219cd060417e79e59,garydgregory,garydgregory,2,"['pom.xml', 'src/changes/changes.xml']",Bump japicmp-maven-plugin from 0.15.7 to 0.16.0,
01b5700cf9bcb8db043eb68cd7a7009161c97191,garydgregory,garydgregory,1,['pom.xml'],"Drop Clirr property since commons-parent has replaced Clirr with
JApiCmp.",
f67d9b5e760d12e02697afb2b73efd42898261f3,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump commons-parent from 53 to 54 #182,
6d67a8b50e58b3addbbbd5b0ec151384248bfc2f,dependabot[bot],web-flow,1,['pom.xml'],"Bump commons-parent from 53 to 54 (#182)

Bumps [commons-parent](https://github.com/apache/commons-parent) from 53 to 54.
- [Release notes](https://github.com/apache/commons-parent/releases)
- [Changelog](https://github.com/apache/commons-parent/blob/master/RELEASE-NOTES.txt)
- [Commits](https://github.com/apache/commons-parent/commits)

---
updated-dependencies:
- dependency-name: org.apache.commons:commons-parent
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
c45ea912a4bb04711e4a6cb1305ae296cd5aca6a,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump junit-bom from 5.9.0 to 5.9.1 #183,
bcfd8b8b78600080580c11c0f43f42459f61557e,dependabot[bot],web-flow,1,['pom.xml'],"Bump junit-bom from 5.9.0 to 5.9.1 (#183)

Bumps [junit-bom](https://github.com/junit-team/junit5) from 5.9.0 to 5.9.1.
- [Release notes](https://github.com/junit-team/junit5/releases)
- [Commits](https://github.com/junit-team/junit5/compare/r5.9.0...r5.9.1)

---
updated-dependencies:
- dependency-name: org.junit:junit-bom
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
8731712e2bdff76cb1cb913f8153e3cb2ec15d5f,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Use GitHub cache for CodeQL,
3640ed31604a76ee6389d0ce3b04341093b7567f,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Add same scorecards-analysis.yml as Apache Log4j (except for branches),
552ce85a591831c7c55f28d698cda79c728c035c,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump maven-pmd-plugin from 3.18.0 to 3.19.0 #178,
