hash,authors,committer,changes_FileNum,changed_files,message,bug_id
236b0f4f84f1629df4bd68540cc9597fb8583aa4,garydgregory,garydgregory,1,['src/test/java/org/apache/commons/csv/CSVParserTest.java'],"Add @SuppressWarnings(""resource"") in test as narrowly as possible",
dab9420315345a4018ce2c4c8e96d4a7a2368e29,garydgregory,web-flow,1,['src/changes/changes.xml'],"CSVParser: Identify duplicates in null, empty and blank header names #279",
5a7b030537ac799c0a16e23336731d0fd49ae1f9,garydgregory,web-flow,3,"['src/main/java/org/apache/commons/csv/CSVFormat.java', 'src/main/java/org/apache/commons/csv/CSVParser.java', 'src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java']","Merge pull request #279 from aherbert/csvparser-duplicate-missing-headers

CSVParser: Identify duplicates in null, empty and blank header names (WIP)",
69aa686187379af315bec1ca067f1b558f06ccf6,aherbert,aherbert,3,"['src/main/java/org/apache/commons/csv/CSVFormat.java', 'src/main/java/org/apache/commons/csv/CSVParser.java', 'src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java']","CSV-264: CSVParser identifies null, empty or blank headers as 'missing'

Duplicate missing header names are handled consistently between
CSVFormat and CSVParser.

Document that the ignore header case flag is for parser behaviour.

Update CSVDuplicateHeaderTest to add the ignore header case flag to
tests. Add test cases with case insensitive duplicates.",CSV-264
8ad07df0d453a8066c708a0ff0edce1fdcd474cc,garydgregory,garydgregory,4,"['src/test/java/org/apache/commons/csv/CSVParserTest.java', 'src/test/java/org/apache/commons/csv/CSVPrinterTest.java', 'src/test/java/org/apache/commons/csv/issues/JiraCsv264Test.java', 'src/test/java/org/apache/commons/csv/issues/JiraCsv290Test.java']",Use try-with-resources,
5d494a6fd61cadd0e8ce1ab476fa54ff2ac1f679,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Match comment to pinned commit,
cafb4d2f43105cfc2322760e17aeb340ac4a6086,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Update for Scorecards 2,
bd48a767cd23f070ee5bd7ff147a90e63af1caed,aherbert,aherbert,2,"['src/main/java/org/apache/commons/csv/CSVFormat.java', 'src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java']","CSVFormat: Sanitise empty headers to the empty string """"

Add more tests for duplicate headers including null header names.",
481d8b1ff30706b5d6db8706a754beda81d38f92,garydgregory,web-flow,1,['.github/workflows/scorecards-analysis.yml'],Update comment to match PR bump to 2.0.6,
1b4e3af81aacc6a897bd4875d2deeb7858635dd4,garydgregory,web-flow,1,['.github/workflows/scorecards-analysis.yml'],"Merge pull request #277 from apache/dependabot/github_actions/ossf/scorecard-action-2.0.6

Bump ossf/scorecard-action from 1.1.2 to 2.0.6",
