hash,authors,committer,changes_FileNum,changed_files,message,bug_id
e0e05e09619b895e0892546f275aae7d98682862,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
18958729f562bd4cb61c6755e1eaf919ba21335c,garydgregory,web-flow,1,['src/changes/changes.xml'],"Bump dependencies

Bump spotbugs-maven-plugin from 4.7.2.0 to 4.7.2.1 #61
Bump actions/cache from 3.0.8 to 3.0.11 #60
Bump actions/checkout from 3.0.2 to 3.1.0 #59",
627aad654ab04713b49bffa50e53a9b127fb6884,dependabot[bot],web-flow,4,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml', '.github/workflows/scorecards-analysis.yml']","Bump actions/checkout from 3.0.2 to 3.1.0 (#59)

Bumps [actions/checkout](https://github.com/actions/checkout) from 3.0.2 to 3.1.0.
- [Release notes](https://github.com/actions/checkout/releases)
- [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/checkout/compare/v3.0.2...v3.1.0)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
9eda37d6ddf4efeed54d6ae59c6ea95329499713,dependabot[bot],web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/cache from 3.0.8 to 3.0.11 (#60)

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.8 to 3.0.11.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.8...v3.0.11)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
6b2b00c8f31170dd8ed3aa5e1c53e5cf68063d25,dependabot[bot],web-flow,1,['pom.xml'],"Bump spotbugs-maven-plugin from 4.7.2.0 to 4.7.2.1 (#61)

Bumps [spotbugs-maven-plugin](https://github.com/spotbugs/spotbugs-maven-plugin) from 4.7.2.0 to 4.7.2.1.
- [Release notes](https://github.com/spotbugs/spotbugs-maven-plugin/releases)
- [Commits](https://github.com/spotbugs/spotbugs-maven-plugin/compare/spotbugs-maven-plugin-4.7.2.0...spotbugs-maven-plugin-4.7.2.1)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
5615de7bec6691fd0fbb50771b8eb8f2a30e9056,markt-asf,markt-asf,10,"['RELEASE-NOTES.txt', 'pom.xml', 'src/changes/changes.xml', 'src/native/unix/man/jsvc.1.xml', 'src/native/windows/apps/prunmgr/prunmgr.h', 'src/native/windows/apps/prunmgr/prunmgr.rc', 'src/native/windows/apps/prunsrv/prunsrv.h', 'src/native/windows/apps/prunsrv/prunsrv.rc', 'src/samples/SimpleApplication.sh', 'src/site/xdoc/binaries.xml']",Update version to 1.3.3 for next development cycle,
1e40b6f7a677fa318ae20c4ede954165a2ad7df0,sebbASF,sebbASF,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
2ceabc652ece42840f095e661df24e8be3c7ceda,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Set to level permissions to 'read',
0f9cc136f713993e732e0284f2d54d602801a674,garydgregory,garydgregory,1,['.github/workflows/maven.yml'],GitHub Actions build: no top level permission defined,
fcff4c4b90acb0aa828cb5f74bb38a71b1d65807,markt-asf,markt-asf,1,['pom.xml'],Fix indent,
84bc287d50768f516c53a0d6d7cdb1093addb58f,markt-asf,markt-asf,1,['pom.xml'],Ensure binary distributions are published to Maven Central,
d5a0a25ca51b28df7c2dd5716f04fb09fe9e812a,markt-asf,markt-asf,1,['README.md'],Update after re-generating,
95592dab106f9e1b9fec18c22d0407ae6318cda8,markt-asf,markt-asf,1,['README.md'],Consistent line-endings,
599db0a2ffaa5babb7a0abe24f003dc05950dce5,markt-asf,markt-asf,1,['src/changes/changes.xml'],"Fix line-endings, remove tabs, remove trailing spaces",
afbb0c11f24673493b39089357c147dcbef6473e,markt-asf,markt-asf,2,"['src/changes/changes.xml', 'src/native/unix/man/jsvc.1.xml']",Add estimated release date for 1.3.2,
43c2932fae24e4647715c649c64375de661f0289,markt-asf,markt-asf,2,"['src/changes/changes.xml', 'src/native/windows/src/javajni.c']","Fix DAEMON-448 - Fix crash and log an error when no JVM is configured

https://issues.apache.org/jira/browse/DAEMON-448",
0ae51240c0be1ea257094bcedd3b4815f18d4c7b,markt-asf,markt-asf,1,['src/changes/changes.xml'],Fix typos,
6a43213ca73949a6e16e95b91f16032a1a2e6d21,markt-asf,markt-asf,5,"['src/changes/changes.xml', 'src/native/windows/apps/prunmgr/prunmgr.c', 'src/native/windows/apps/prunsrv/prunsrv.c', 'src/native/windows/include/service.h', 'src/native/windows/src/service.c']","Fix DAEMON-446 - Don't ignore DependsOn when updating the service

https://issues.apache.org/jira/browse/DAEMON-446",
4e306820ccb900fa6b608b512b62075935cbb4d1,markt-asf,markt-asf,1,['src/native/windows/src/service.c'],Fix typos in log messages,
cf46116cd601b91413f6b3ea64837d0710983157,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/setup-java from 3 to 3.5.1,
f170a87154cd7eba705cb5733fa83a9f5260894d,garydgregory,garydgregory,2,"['pom.xml', 'src/changes/changes.xml']",Bump JUnit 4 to 5 vintage,
7e6c0e3dab2144f067eef7933603114305cc7c3f,garydgregory,garydgregory,2,"['pom.xml', 'src/changes/changes.xml']",Bump japicmp-maven-plugin from 0.15.4 to 0.16.0,
fb660bed6e30f6adc0bf75e139fba3e0a849b3f2,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump commons-parent from 53 to 54 #55,
e14696d6b86d75caab2924eba5606cca4ea44804,dependabot[bot],web-flow,1,['pom.xml'],"Bump commons-parent from 53 to 54 (#55)

Bumps [commons-parent](https://github.com/apache/commons-parent) from 53 to 54.
- [Release notes](https://github.com/apache/commons-parent/releases)
- [Changelog](https://github.com/apache/commons-parent/blob/master/RELEASE-NOTES.txt)
- [Commits](https://github.com/apache/commons-parent/commits)

---
updated-dependencies:
- dependency-name: org.apache.commons:commons-parent
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
4f680a4f316c47f5d461ddf08495cbc548135318,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump spotbugs-maven-plugin from 4.7.1.1 to 4.7.2.0 #53,
24d15d3fd34bd5f7e7554f2d1c44eb27b2a3a846,dependabot[bot],web-flow,1,['pom.xml'],"Bump spotbugs-maven-plugin from 4.7.1.1 to 4.7.2.0 (#53)

Bumps [spotbugs-maven-plugin](https://github.com/spotbugs/spotbugs-maven-plugin) from 4.7.1.1 to 4.7.2.0.
- [Release notes](https://github.com/spotbugs/spotbugs-maven-plugin/releases)
- [Commits](https://github.com/spotbugs/spotbugs-maven-plugin/compare/spotbugs-maven-plugin-4.7.1.1...spotbugs-maven-plugin-4.7.2.0)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
c48e005420b65fcdf6461b08adbde4d16194615a,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Use GitHub cache for CodeQL,
cc2e151ef520c95aa89a0fabe3186797ca607475,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Add same scorecards-analysis.yml as Apache Log4j (except for branches),
342fa341f11a96cc06f73c522fa90aa6d01f4db4,garydgregory,garydgregory,4,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/checkout from 3 to 3.0.2.,
9bc9977fe316f790836ed11593807504204664b4,garydgregory,garydgregory,1,['README.md'],"Use GAV coordinates Maven Central coordinates to make sure to pick up
the latest",
ff3a1cd6cc5d9c86cf058ba1c5e742dd5781c40d,garydgregory,garydgregory,1,['CONTRIBUTING.md'],Refer to master branch only and drop reference to trunk branch name,
b498c0aaf8eb02d9886e20c0e79fba7e3c5d97b7,garydgregory,garydgregory,2,"['pom.xml', 'src/changes/changes.xml']",Bump jacoco-maven-plugin from 0.8.7 to 0.8.8.,
bea65b78c51f5b5dfa0b26dbc240a564ffe22f7c,garydgregory,garydgregory,2,"['README.md', 'src/site/resources/profile.jacoco']","Add profile.jacoco

Update code coverage badge and link",
8df155eae51e8e5689248de09f1f10a0dac4507f,garydgregory,garydgregory,1,['README.md'],Add CodeQL badge,
909d024742e244819502068567b0500b401095a3,garydgregory,garydgregory,1,['README.md'],Update README to use the default Maven goal,
aa6729361fc8f166354783f3414f2db697259117,garydgregory,garydgregory,2,"['pom.xml', 'src/main/java/org/apache/commons/daemon/support/DaemonLoader.java']","Add pmd:check to Maven default goal

Use PMD convention to call exception variable ""ignored""",
748e8178c2cf225a0ba7b1bbbaf54ebe8cf51df7,garydgregory,garydgregory,1,['pom.xml'],Add pmd:cpd-check to Maven default goal,
fe0046121bbc688c18c27ec5dec79ce602595865,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 3.0.7 to 3.0.8,
921408749608b8540c4828d126073e0ce474348f,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 3.0.6 to 3.0.7,
3d00dd58d1a156af3f8df28056fb9c63c407bca0,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 3.0.5 to 3.0.6,
193a8b848ff10eef76673019556de03d026c6b97,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump spotbugs-maven-plugin from 4.7.1.0 to 4.7.1.1 #52,
5825b13ff144f1928c8baf444036c8428fc8b69b,dependabot[bot],web-flow,1,['pom.xml'],"Bump spotbugs-maven-plugin from 4.7.1.0 to 4.7.1.1 (#52)

Bumps [spotbugs-maven-plugin](https://github.com/spotbugs/spotbugs-maven-plugin) from 4.7.1.0 to 4.7.1.1.
- [Release notes](https://github.com/spotbugs/spotbugs-maven-plugin/releases)
- [Commits](https://github.com/spotbugs/spotbugs-maven-plugin/compare/spotbugs-maven-plugin-4.7.1.0...spotbugs-maven-plugin-4.7.1.1)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
4935d5f80e63456d120c4e4e85085f7fd09e4679,garydgregory,garydgregory,1,['.github/workflows/coverage.yml'],Update GitHub builds to use Temurin,
1915f64b120b5bc12b9b4e66d81f2eee51399da2,garydgregory,garydgregory,1,['.github/workflows/coverage.yml'],Bump actions/cache 3.0.4 to 3.0.5,
05fafd74ac4646394c1a94ea8b8afc5ad8d8b257,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump spotbugs-maven-plugin from 4.6.0.0 to 4.7.1.0 #48.,
