hash,authors,committer,changes_FileNum,changed_files,message,bug_id
8471c148799a0be5f4de22d15d5006023a96ec3c,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
f81064e7e98da4fd3db280b02888af27656dfe72,garydgregory,garydgregory,1,['src/test/java/org/apache/commons/dbutils/DbUtilsTest.java'],Spelling,
2b0fffc064928f02eb0ac886200ebb5835483cc0,sebbASF,sebbASF,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
8b3a774844ebce4e750ee06f0396d70fa2ef2767,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Set to level permissions to 'read',
72e1df5b30249cdd1b0bb19807248d419a546ef4,garydgregory,garydgregory,1,['src/changes/changes.xml'],Fix spelling,
b8b9f1e3a0a982fc90a36c71a371fcbb624537e9,garydgregory,garydgregory,1,['.github/workflows/maven.yml'],GitHub Actions build: no top level permission defined,
9fd789735694f54aa30649c610c03beb5a3361be,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/setup-java from 3 to 3.5.1,
ca7a64e3a3e5c71647a130ac93252ea99a9e77f8,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump actions/cache from 3.0.8 to 3.0.9 #141,
a9c0a96a04aac46f01eecd9dba895df2ad82f422,dependabot[bot],web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/cache from 3.0.8 to 3.0.9 (#141)

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.8 to 3.0.9.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.8...v3.0.9)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
05bcc4bf6e38e73b9224261a5b1aa0544ad9b0b8,garydgregory,garydgregory,2,"['pom.xml', 'src/changes/changes.xml']",Bump JUnit 4 to 5 vintage,
a3a4d41dc21a7088c6b997a639f7b50136525917,garydgregory,garydgregory,2,"['pom.xml', 'src/changes/changes.xml']",Bump japicmp-maven-plugin from 0.15.2 to 0.16.0,
61feae558f12e3a437e2ee11b379a302c5a95729,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump commons-parent from 53 to 54 #139,
