hash,authors,committer,changes_FileNum,changed_files,message,bug_id
0d265f6e0c8d7267b9276e310f5be551d1ad0d7b,sebbASF,sebbASF,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
d2ae492e81b10745f13d04fd74f0f88e1e432385,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Set to level permissions to 'read',
1ee57dcb175ea0dd0df184992582954c62a47223,garydgregory,garydgregory,1,['.github/workflows/maven.yml'],GitHub Actions build: no top level permission defined,
ac47216f59344ef992a9f5dc9098ddc5d280ab5b,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/setup-java from 3 to 3.5.1,
3fabb487a7f6e8a82b9fcac0432c9d2ef4b9fef4,,,1,['.github/workflows/codeql-analysis.yml'],Use GitHub cache for CodeQL,
f6023b30d573de9c2543962e7233401afd67367b,,,1,['.github/workflows/scorecards-analysis.yml'],Add same scorecards-analysis.yml as Apache Log4j (except for branches),
e5b2c94492d2bd83edef0adeb504416aa96c603a,,,4,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/checkout from 3 to 3.0.2.,
999e65f1e92a3dfbb50afa707e9b0187e1440dc0,,,3,"['core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java', 'core/src/main/java/org/apache/commons/digester3/NodeCreateRule.java', 'core/src/main/java/org/apache/commons/digester3/Rule.java']",Use standard Javadoc @since tag format,
9b66903faa3eb334b0b65398bb17aa2ad84fc8f2,,,27,"['core/src/main/java/org/apache/commons/digester3/RecordedInvocation.java', 'core/src/test/java/org/apache/commons/digester3/CallMethodRuleTestCase.java', 'core/src/test/java/org/apache/commons/digester3/DTDValidationTestCase.java', 'core/src/test/java/org/apache/commons/digester3/DigesterTestCase.java', 'core/src/test/java/org/apache/commons/digester3/ExtendedBaseRulesTestCase.java', 'core/src/test/java/org/apache/commons/digester3/NamedBean.java', 'core/src/test/java/org/apache/commons/digester3/NodeCreateRuleTestCase.java', 'core/src/test/java/org/apache/commons/digester3/ObjectCreationFactoryTestImpl.java', 'core/src/test/java/org/apache/commons/digester3/ObjectParamRuleTestCase.java', 'core/src/test/java/org/apache/commons/digester3/OtherTestObjectCreationFactory.java', 'core/src/test/java/org/apache/commons/digester3/ParamBean.java', 'core/src/test/java/org/apache/commons/digester3/PrimitiveBean.java', 'core/src/test/java/org/apache/commons/digester3/RegexRulesTestCase.java', 'core/src/test/java/org/apache/commons/digester3/RuleTestCase.java', 'core/src/test/java/org/apache/commons/digester3/RulesBaseTestCase.java', 'core/src/test/java/org/apache/commons/digester3/TestBean.java', 'core/src/test/java/org/apache/commons/digester3/TestEntityResolution.java', 'core/src/test/java/org/apache/commons/digester3/TestFactoryCreate.java', 'core/src/test/java/org/apache/commons/digester3/TestRule.java', 'core/src/test/java/org/apache/commons/digester3/TestRuleSet.java', 'core/src/test/java/org/apache/commons/digester3/WithDefaultsRulesWrapperTestCase.java', 'core/src/test/java/org/apache/commons/digester3/plugins/Utils.java', 'core/src/test/java/org/apache/commons/digester3/substitution/VariableExpansionTestCase.java', 'core/src/test/java/org/apache/commons/digester3/xmlrules/CallParamTestObject.java', 'core/src/test/java/org/apache/commons/digester3/xmlrules/DigesterRulesSourceTestImpl.java', 'core/src/test/java/org/apache/commons/digester3/xmlrules/ObjectTestImpl.java', 'core/src/test/java/org/apache/commons/digester3/xmlrules/ThrowExceptionCreationFactory.java']",We don't use author tags,
717a953621492ddd1124d1e002aafbbb1da0ea38,,,1,['core/src/test/java/org/apache/commons/digester3/substitution/CompoundSubstitutorTestCase.java'],Javadoc @see tags do not need to use a FQCN for classes in java.lang,
