hash,authors,committer,changes_FileNum,changed_files,message,bug_id
881928e718612c8825b2b998a478976af77f3f8e,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
efc83fc71be9db5a99144df86c6abf4db3bd26dd,sebbASF,sebbASF,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
41e22d305459eb0fb61c4d9c198c0c954a0dcc19,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Set to level permissions to 'read',
8c0dc8232023afdc3a2449580b108e7f28dd216d,garydgregory,garydgregory,1,['.github/workflows/maven.yml'],GitHub Actions build: no top level permission defined,
71c0e2570061801a62f9471dc97f053493b1afea,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/setup-java from 3 to 3.5.1,
346eb0d07ac42ce2f4d1d87a0e49c485d2f20751,garydgregory,garydgregory,1,['README.md'],Replace Travis-CI badge with GitHub Actions CI,
725becea9e4d907eeae2b4da05f65dffcecc3e78,garydgregory,garydgregory,3,"['conf/spotbugs-exclude-filter.xml', 'pom.xml', 'src/changes/changes.xml']","Bump spotbugs-maven-plugin from 4.2.2 to 4.7.2

- Bump spotbugs from 4.2.2 to 4.7.2
- TODO Can any of these be done without breaking binary compatibility
-- EI_EXPOSE_REP
-- EI_EXPOSE_REP2",
30f92c03b1a955b11938c8af938e5b21fb264a17,garydgregory,garydgregory,1,['pom.xml'],Update property names for SpotBugs,
5e24787799f27a4fc5dd0e43c11f1b15b6f1e23e,garydgregory,garydgregory,1,['pom.xml'],"Drop FindBugs, SpotBugs is already there",
5420eb80a7d36af2193cb519a3b42766f46f551b,garydgregory,garydgregory,1,['pom.xml'],"Drop FindBugs property, it is no longer used.",
8a2d4ac4bb514f1b6b13dbd48ee9ba24a8a74d15,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Use GitHub cache for CodeQL,
01d9f811244a729e65b07bf9f535e1e72554218e,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Add same scorecards-analysis.yml as Apache Log4j (except for branches),
b166b2c2696c60f51f98bf1608588f5f0fc7273b,garydgregory,garydgregory,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Bump actions/checkout from 3 to 3.0.2.,
78c531213baa5c93d4190c7d698c75470b3b85b2,garydgregory,garydgregory,1,['src/changes/changes.xml'],Bump actions/checkout from 3 to 3.0.2.,
ae5c17640274bde23147a3e5a664629a1d03b76d,garydgregory,garydgregory,1,['README.md'],"Use GAV coordinates Maven Central coordinates to make sure to pick up
the latest",
f679511dae2e89607ee6e6a45d1bdd32736012ca,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/mail/EmailUtils.java'],Update provenance as comment.,
2a477dc3f46620dfbe3307840f216b316fc8eb1f,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/mail/Email.java'],Javadoc @link tags do not need to use a FQCN for classes in java.lang,
d1902a2fb26699f1fe66f44f57e18e3d696f5621,garydgregory,garydgregory,1,['README.txt'],Drop README.txt in favor of README.md,
161a9b4fb24d6729a51a422efdba05185e72d87e,garydgregory,garydgregory,1,['README.md'],Add CodeQL badge,
377ad81f17405f4801abdb6b3d623e0ffe456312,garydgregory,garydgregory,1,['README.md'],Update README to use the default Maven goal,
2cd43fdce1c63cd47ada2e5adfbb92d9417c51b7,garydgregory,garydgregory,1,['pom.xml'],Add pmd:cpd-check to Maven default goal,
eb2971ec17d772303651e5fb576e96798363f9ce,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 3.0.7 to 3.0.8,
5b4a4f3f446639a6cc3b6a909e904f70c3cc7ecc,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 3.0.6 to 3.0.7,
0ce63c50fa3f10616d45f1904c004ee028dc0563,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 3.0.5 to 3.0.6,
02ba4b84b9a81c4b61274663e0bab29385980dbd,garydgregory,garydgregory,1,['.github/workflows/coverage.yml'],Update GitHub builds to use Temurin,
45ab4497904bf6b3721e23c15d27284d2f2deb62,garydgregory,garydgregory,1,['.github/workflows/coverage.yml'],Bump actions/cache 3.0.4 to 3.0.5,
7cebf83df07e1656bfa7a2509d050ba7ffdf59a5,garydgregory,garydgregory,2,"['.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache 3.0.4 to 3.0.5,
26e2eb56e5422d9167662e5bdd3f4edfc7aeb30e,garydgregory,garydgregory,1,['conf/findbugs-exclude-filter.xml'],Add missing namespace and XSD to SpotBugs filter file.,
d7939bdf4d5f44dd9b1eab07c93d8a95915d5007,garydgregory,garydgregory,1,['conf/findbugs-exclude-filter.xml'],Add missing namespace and XSD to SpotBugs filter file.,
7b896feb5f6fc96ccb0f5dc30ad2369f6f5b36d7,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/mail/Email.java'],Javadoc,
e93e4e81652b8d30854815023ad9cf91e28ce230,garydgregory,garydgregory,4,"['src/main/java/org/apache/commons/mail/Email.java', 'src/main/java/org/apache/commons/mail/MultiPartEmail.java', 'src/main/java/org/apache/commons/mail/resolver/DataSourceClassPathResolver.java', 'src/main/java/org/apache/commons/mail/util/MimeMessageParser.java']",Use try-with-resources,
29cce9a570322340d97cd95dd95d8a8e9d19057c,garydgregory,garydgregory,2,"['src/main/java/org/apache/commons/mail/resolver/DataSourceClassPathResolver.java', 'src/main/java/org/apache/commons/mail/util/MimeMessageUtils.java']",Use try-with-resources,
0460ed411a47835be29d6cc5711f4847d624aae9,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/mail/util/MimeMessageParser.java'],Use try-with-resources,
bdb1d181220e3c842b10ad443975d5908dc70c90,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/mail/util/MimeMessageUtils.java'],Javadoc,
49cd5312805c7d7410a6ac8b79ea0e4ab9629dc3,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/mail/util/MimeMessageParser.java'],Use try-with-resources,
f76f06cf29c794e90e476c3ea12950b96e56b195,garydgregory,garydgregory,1,['src/test/java/org/apache/commons/mail/ImageHtmlEmailTest.java'],Use try-with-resources,
855dcf0f09ab07fbdf67d7e471432a8b89eecb72,garydgregory,garydgregory,2,"['pom.xml', 'src/main/java/org/apache/commons/mail/EmailUtils.java']",Add PMD check and remove unnecessary parentheses,
0f4aadfbff57c8b7a0d4ce1577bcadbe8a5f1435,garydgregory,garydgregory,2,"['src/main/java/org/apache/commons/mail/EmailUtils.java', 'src/main/java/org/apache/commons/mail/resolver/DataSourceClassPathResolver.java']",Reduce else depth,
45a2669f3360e6313849c3203941caa6c7542c19,garydgregory,garydgregory,5,"['src/main/java/org/apache/commons/mail/Email.java', 'src/main/java/org/apache/commons/mail/EmailUtils.java', 'src/main/java/org/apache/commons/mail/HtmlEmail.java', 'src/main/java/org/apache/commons/mail/util/MimeMessageParser.java', 'src/test/java/org/apache/commons/mail/AbstractEmailTest.java']",Use diamonds and StringBuilder.,
2ef0e79c7010d78e34c5ea6a4f8c9add489e6819,garydgregory,garydgregory,1,['pom.xml'],Fix description,
03234c469e19787c46008e20ec75a2a93abf3b36,garydgregory,garydgregory,2,"['pom.xml', 'src/changes/changes.xml']",Bump jacoco from 0.8.7 to 0.8.8,
7d6578348ce2dabbb9b9700927fc32479630094b,garydgregory,garydgregory,1,['src/changes/changes.xml'],De-duplicate entries,De-
3334b59af9c89bce4295290f37c3daeb0e731a69,garydgregory,garydgregory,2,"['pom.xml', 'src/changes/changes.xml']",Add Maven plugin JapiCmp and remove Clirr.,
cb60a9906c61015f6ff2c309da4b67ed33961d49,garydgregory,garydgregory,1,['.github/workflows/coverage.yml'],Add coverage.yml,
b40abebdd5de8517b365a9da673cffed8fbee86d,garydgregory,garydgregory,2,"['.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 3.0.3 to 3.0.4,
40a30d2ad4abded723e4251ffbc91781d63abb4d,garydgregory,garydgregory,1,['src/changes/changes.xml'],Organize,
35c09a2440994ec151c0574561a9a39f689ea12c,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump github/codeql-action from 1 to 2 #75,
