hash,authors,committer,changes_FileNum,changed_files,message,bug_id
f8db06bab1fb4c8ed051dda047a18b0d5402d9f5,aherbert,aherbert,10,"['commons-geometry-core/README.md', 'commons-geometry-enclosing/README.md', 'commons-geometry-euclidean/README.md', 'commons-geometry-examples/README.md', 'commons-geometry-examples/examples-jmh/README.md', 'commons-geometry-examples/examples-tutorials/README.md', 'commons-geometry-hull/README.md', 'commons-geometry-io-core/README.md', 'commons-geometry-io-euclidean/README.md', 'commons-geometry-spherical/README.md']",Use mvn for README contributing build goal,
99fc305f647b037dda18b73055d90acf4b9386d5,aherbert,aherbert,6,"['README.md', 'commons-geometry-core/README.md', 'commons-geometry-enclosing/README.md', 'commons-geometry-euclidean/README.md', 'commons-geometry-hull/README.md', 'commons-geometry-spherical/README.md']",Fix readme generation command,
7a3104627ea47a0801799218ac4cb342c943381d,aherbert,aherbert,2,"['commons-geometry-core/src/main/java/org/apache/commons/geometry/core/internal/PointMapAsSetAdapter.java', 'commons-geometry-enclosing/src/test/java/org/apache/commons/geometry/enclosing/euclidean/threed/WelzlEncloser3DTest.java']",Use diamond operator,
f08e9815312773d07ec329e8e79944131fb71bb3,aherbert,aherbert,1,['pom.xml'],"Change commons.jacoco.haltOnFailure to true

Coverage checks pass so this flag can be enabled.",
c2ac6b75aeebf480fb6b60559fff1d3e73d1ed88,aherbert,aherbert,1,['pom.xml'],Reuse commons.numbers.version for javadoc links,
62107856eea1f8ab4d34260580bbc683e803343c,aherbert,aherbert,1,['pom.xml'],Reorder properties to match commons RNG parent.,
876a82564b23170f34a9752c68099bcc9aec88f2,aherbert,aherbert,1,['pom.xml'],Update japicmp 0.15.4 to CP 0.16.0,
8a2763f9bdc25c9470c2fcf40dca49bbaf6c3b46,aherbert,aherbert,1,['pom.xml'],Update spotbugs 4.3.0 to CP 4.7.2.0,
dafe4ec03ba2918ad82034dbe6d4adcae1abcddb,aherbert,aherbert,1,['pom.xml'],"Update PMD version to commons parent

plugin 3.14.0 -> 3.19.0
pmd-impl 6.40.0 -> 6.49.0",
f4f7184c9793fe98659ef5ac3e84de0301632c31,aherbert,aherbert,1,['pom.xml'],"Drop checkstyle 3.1.2 for 3.2.0 in commons parent

Update checkstyle dependency 9.1 for 9.3 in commons parent

Remove checkstyle excludes for generated code. This is configured in the
JMH module.",
94b34ffb83779d77988ec4393d01545ca1d31f9e,aherbert,aherbert,1,['pom.xml'],Drop antrun 1.8 for 3.1.0 in commons parent,
2e3550cf7a45b3a203a86c73b669e842efbcd0d7,aherbert,aherbert,1,['pom.xml'],Drop junit 5.8.1 for 5.9.0 in commons parent,
0366294127ea0fb757e52d39b3f511ff75e74f96,aherbert,aherbert,1,['pom.xml'],"Update to commons-parent 54

Disable CycloneDX as config is incorrect for multi-module builds.

Override ciManagement section from the parent.

Set commons.release.isDistModule to false in the parent.

Add rat exclusion for .gitattributes.",
66c7fd774566bea69b7c6aba29c3e8bff98f710b,aherbert,aherbert,1,['pom.xml'],Use plugin executions for pmd and spotbugs,
11ba17a928a1b51d2fc82c46a644858e6de5ffad,aherbert,aherbert,9,"['commons-geometry-enclosing/src/test/java/org/apache/commons/geometry/enclosing/euclidean/threed/SphereGeneratorTest.java', 'commons-geometry-enclosing/src/test/java/org/apache/commons/geometry/enclosing/euclidean/threed/WelzlEncloser3DTest.java', 'commons-geometry-enclosing/src/test/java/org/apache/commons/geometry/enclosing/euclidean/twod/DiskGeneratorTest.java', 'commons-geometry-enclosing/src/test/java/org/apache/commons/geometry/enclosing/euclidean/twod/WelzlEncloser2DTest.java', 'commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/Vector3DTest.java', 'commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/rotation/QuaternionRotationTest.java', 'commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/shape/SphereTest.java', 'commons-geometry-examples/examples-jmh/src/main/java/org/apache/commons/geometry/examples/jmh/euclidean/Bounds3DPerformance.java', 'commons-geometry-hull/src/test/java/org/apache/commons/geometry/hull/euclidean/twod/ConvexHullGenerator2DAbstractTest.java']","Update tests using fixed seeds for Commons RNG

Note: Commons RNG 1.5 changed the seed expansion routines thus fixed
seeds will create a different RNG state.

Corrects failing tests:
- Vector3DTest.testCrossProduct_accuracy
- Vector3DTest.testDotProduct_accuracy

Other classes have been updated to changed low quality generators for
XO_SHI_RO_256_PP. This is 4-equidistributed (suitable for 3D coordinate
generation) and passes Test U01 BigCrush.",
992bec36a765f74a167811a319d8083ba67a5d0d,aherbert,aherbert,1,['pom.xml'],"Update commons RNG 1.4 to 1.5

Use RNG BOM for dependency management.",
33d05f3a7596ee092e16ec3cf7a94c871ebf9279,aherbert,aherbert,9,"['commons-geometry-core/pom.xml', 'commons-geometry-enclosing/pom.xml', 'commons-geometry-euclidean/pom.xml', 'commons-geometry-examples/pom.xml', 'commons-geometry-hull/pom.xml', 'commons-geometry-io-core/pom.xml', 'commons-geometry-io-euclidean/pom.xml', 'commons-geometry-spherical/pom.xml', 'pom.xml']","Update changes report configuration to allow component reports

Remove configuration that is a duplicate of commons-parent.

Correct issueManagement URL.",
175908d152b240bb30db932af947f35cd2f6d37c,sebbASF,sebbASF,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
4c47a49415f8a8fdb633fc613ab0932b2dad67d1,garydgregory,garydgregory,1,['README.md'],Update README to use the default Maven goal,
a66f8da1c938b24a0deaefe9f36688d7740a1ae1,aherbert,aherbert,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Migrate workflows from adopt to temurin,
a1a597d5adddc9e8e71a9b7557a067aebd756871,aherbert,aherbert,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Use GitHub Actions setup-java Maven cache property,
6cf8c65865b0731beb1b12d5e15894ced4924d77,aherbert,aherbert,1,['pom.xml'],Remove travis profile,
f2398d64347e3c1897b81f6c9963d942ef16f2ed,aherbert,aherbert,8,"['commons-geometry-core/README.md', 'commons-geometry-enclosing/README.md', 'commons-geometry-euclidean/README.md', 'commons-geometry-hull/README.md', 'commons-geometry-spherical/README.md', 'src/site/xdoc/download_geometry.xml', 'src/site/xdoc/issue-tracking.xml', 'src/site/xdoc/mail-lists.xml']",Introduce end-of-line normalization,
9369ed423cbedfb784c45628b0776caddf2f44c2,aherbert,aherbert,1,['.gitattributes'],Add gitattributes to normalise text file line feed,
3432617aeadd275589202fd489747b37a44f0a87,aherbert,aherbert,1,['.travis.yml'],Disable Travis CI,
a8bf934ee8673591153c4295967a83f03e5d7194,aherbert,aherbert,11,"['README.md', 'commons-geometry-core/README.md', 'commons-geometry-enclosing/README.md', 'commons-geometry-euclidean/README.md', 'commons-geometry-examples/README.md', 'commons-geometry-examples/examples-jmh/README.md', 'commons-geometry-examples/examples-tutorials/README.md', 'commons-geometry-hull/README.md', 'commons-geometry-io-core/README.md', 'commons-geometry-io-euclidean/README.md', 'commons-geometry-spherical/README.md']","Update README badges

coveralls to codecov
travis to GH actions",
9fca239a7c15c07c881ab2bf9d7ceccfde7d5972,aherbert,aherbert,1,['.github/workflows/maven.yml'],"Use a single build goal

This allows the examples modules to use the dependency artifacts from
the build and not the local repository.",
eff7d8bbf8f800ce773ace72f63a40d0c20e432a,aherbert,aherbert,1,['.github/workflows/maven.yml'],Use default goal for examples,
fe873926daffa5a751966b2e5aff10aac06f1fe7,aherbert,aherbert,1,['commons-geometry-examples/examples-jmh/pom.xml'],"Skip select plugins in JMH module

Skip PMD and SpotBugs

Skip JMH generated files from checkstyle and javadoc",
4b8976ff4b28fe115ed28ad84033ff339a5edcc9,aherbert,aherbert,1,['.github/workflows/coverage.yml'],Files entry must be on a single line,
c162059d153c86bd47f7b13219eed4723b403cb2,aherbert,aherbert,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Add GH actions workflows,
3f20d5e4e242530eb02b00b9f1fd963e682fc01e,darkma773r,darkma773r,1,['src/changes/changes.xml'],updating changes.xml,
