hash,authors,committer,changes_FileNum,changed_files,message,bug_id
bd384d9c44eb1ffc86cce9e05326038a3c03fabe,dependabot[bot],kinow,1,['.github/workflows/scorecards-analysis.yml'],"Bump actions/upload-artifact from 3.1.0 to 3.1.1

Bumps [actions/upload-artifact](https://github.com/actions/upload-artifact) from 3.1.0 to 3.1.1.
- [Release notes](https://github.com/actions/upload-artifact/releases)
- [Commits](https://github.com/actions/upload-artifact/compare/3cea5372237819ed00197afe530f5a7ea3e805c8...83fd05a356d7e2593de66fc9913b3002723633cb)

---
updated-dependencies:
- dependency-name: actions/upload-artifact
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
87d0fbe6734d918c7275d43a74f4426ed257f66a,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
244e2feb79a96da4340eab084370d2910eafde1a,dependabot[bot],kinow,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/setup-java from 3.5.1 to 3.6.0

Bumps [actions/setup-java](https://github.com/actions/setup-java) from 3.5.1 to 3.6.0.
- [Release notes](https://github.com/actions/setup-java/releases)
- [Commits](https://github.com/actions/setup-java/compare/v3.5.1...v3.6.0)

---
updated-dependencies:
- dependency-name: actions/setup-java
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
8e10e4a542d4dd8d700b69a4c9931f2ec6e1cde2,dependabot[bot],kinow,2,"['pom.xml', 'src/changes/changes.xml']","Bump spotbugs from 4.7.2 to 4.7.3

Bumps [spotbugs](https://github.com/spotbugs/spotbugs) from 4.7.2 to 4.7.3.
- [Release notes](https://github.com/spotbugs/spotbugs/releases)
- [Changelog](https://github.com/spotbugs/spotbugs/blob/master/CHANGELOG.md)
- [Commits](https://github.com/spotbugs/spotbugs/compare/4.7.2...4.7.3)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
a1fdb45a421b6c3e35949f11d87e55758337ba58,dependabot[bot],kinow,2,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml']","Bump actions/cache from 3.0.10 to 3.0.11

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.10 to 3.0.11.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.10...v3.0.11)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
fe30ecf798430235b968ae5bc1bd734946176f9d,dependabot[bot],kinow,2,"['pom.xml', 'src/changes/changes.xml']","Bump spotbugs-maven-plugin from 4.7.2.0 to 4.7.2.1

Bumps [spotbugs-maven-plugin](https://github.com/spotbugs/spotbugs-maven-plugin) from 4.7.2.0 to 4.7.2.1.
- [Release notes](https://github.com/spotbugs/spotbugs-maven-plugin/releases)
- [Commits](https://github.com/spotbugs/spotbugs-maven-plugin/compare/spotbugs-maven-plugin-4.7.2.0...spotbugs-maven-plugin-4.7.2.1)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
e2482ceb38766ac392630678f34b08c39510dc9a,sebbASF,sebbASF,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
7f9a833c568215c4d0b39d27eddc4f43b7ee2bcd,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Set to level permissions to 'read',
466ff5689c36a4f20c244a9f0136fefc9f4dec32,garydgregory,garydgregory,20,"['.github/workflows/maven.yml', 'src/main/java/org/apache/commons/imaging/common/ByteConversions.java', 'src/main/java/org/apache/commons/imaging/formats/dcx/DcxImageParser.java', 'src/main/java/org/apache/commons/imaging/formats/gif/GifImageParser.java', 'src/main/java/org/apache/commons/imaging/formats/icns/IcnsImageParser.java', 'src/main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java', 'src/main/java/org/apache/commons/imaging/formats/jpeg/decoder/JpegDecoder.java', 'src/main/java/org/apache/commons/imaging/formats/pcx/PcxImageParser.java', 'src/main/java/org/apache/commons/imaging/formats/png/chunks/PngChunkPlte.java', 'src/main/java/org/apache/commons/imaging/formats/psd/dataparsers/DataParserIndexed.java', 'src/main/java/org/apache/commons/imaging/formats/tiff/TiffField.java', 'src/main/java/org/apache/commons/imaging/formats/tiff/TiffReader.java', 'src/main/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeDouble.java', 'src/main/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeFloat.java', 'src/main/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeRational.java', 'src/main/java/org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterPalette.java', 'src/main/java/org/apache/commons/imaging/formats/tiff/write/ImageDataOffsets.java', 'src/main/java/org/apache/commons/imaging/formats/tiff/write/TiffImageWriterBase.java', 'src/main/java/org/apache/commons/imaging/formats/tiff/write/TiffOutputDirectory.java', 'src/main/java/org/apache/commons/imaging/palette/ColorSpaceSubset.java']",Use Java 8 APIs,
c5e72cbba2acdcce2387dbdde2dd0aac216d77d7,dependabot[bot],kinow,4,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']","Bump actions/checkout from 3.0.2 to 3.1.0

Bumps [actions/checkout](https://github.com/actions/checkout) from 3.0.2 to 3.1.0.
- [Release notes](https://github.com/actions/checkout/releases)
- [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/checkout/compare/v3.0.2...v3.1.0)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
