hash,authors,committer,changes_FileNum,changed_files,message,bug_id
c374cb1a9e923c121f2a4e169265bc4fb7f2c4d4,garydgregory,garydgregory,1,['SECURITY.md'],Update a GitHub code of conduct and add security page.,
9f2625d5b64da6b838cd6a090e3b63de2ed07992,garydgregory,garydgregory,1,['CODE_OF_CONDUCT.md'],Add GitHub code of conduct page that points to the Apache page.,
4006b2c36ccd5aac05f844f4b86895370afa36af,garydgregory,garydgregory,54,"['compilers/eclipse/src/main/java/org/apache/commons/jci2/compilers/EclipseCompilationProblem.java', 'compilers/eclipse/src/main/java/org/apache/commons/jci2/compilers/EclipseJavaCompiler.java', 'compilers/eclipse/src/main/java/org/apache/commons/jci2/compilers/EclipseJavaCompilerSettings.java', 'compilers/groovy/src/main/java/org/apache/commons/jci2/compilers/GroovyCompilationProblem.java', 'compilers/groovy/src/main/java/org/apache/commons/jci2/compilers/GroovyJavaCompiler.java', 'compilers/groovy/src/main/java/org/apache/commons/jci2/compilers/GroovyJavaCompilerSettings.java', 'compilers/groovy/src/test/java/org/apache/commons/jci2/compilers/GroovyJavaCompilerTestCase.java', 'compilers/janino/src/main/java/org/apache/commons/jci2/compilers/JaninoCompilationProblem.java', 'compilers/janino/src/main/java/org/apache/commons/jci2/compilers/JaninoJavaCompiler.java', 'compilers/janino/src/main/java/org/apache/commons/jci2/compilers/JaninoJavaCompilerSettings.java', 'compilers/janino/src/test/java/org/apache/commons/jci2/compilers/JaninoJavaCompilerTestCase.java', 'compilers/jsr199/src/main/java/org/apache/commons/jci2/compilers/Jsr199JavaCompiler.java', 'compilers/rhino/src/main/java/org/apache/commons/jci2/compilers/RhinoCompilationProblem.java', 'compilers/rhino/src/main/java/org/apache/commons/jci2/compilers/RhinoJavaCompiler.java', 'compilers/rhino/src/test/java/org/apache/commons/jci2/compilers/RhinoJavaCompilerTestCase.java', 'core/src/main/java/org/apache/commons/jci2/ReloadingClassLoader.java', 'core/src/main/java/org/apache/commons/jci2/compilers/AbstractJavaCompiler.java', 'core/src/main/java/org/apache/commons/jci2/compilers/CompilationResult.java', 'core/src/main/java/org/apache/commons/jci2/compilers/JavaCompiler.java', 'core/src/main/java/org/apache/commons/jci2/compilers/JavaCompilerFactory.java', 'core/src/main/java/org/apache/commons/jci2/compilers/JavaCompilerSettings.java', 'core/src/main/java/org/apache/commons/jci2/listeners/CompilingListener.java', 'core/src/main/java/org/apache/commons/jci2/listeners/FileChangeListener.java', 'core/src/main/java/org/apache/commons/jci2/listeners/ReloadNotificationListener.java', 'core/src/main/java/org/apache/commons/jci2/listeners/ReloadingListener.java', 'core/src/main/java/org/apache/commons/jci2/problems/CompilationProblem.java', 'core/src/main/java/org/apache/commons/jci2/problems/CompilationProblemHandler.java', 'core/src/main/java/org/apache/commons/jci2/readers/FileResourceReader.java', 'core/src/main/java/org/apache/commons/jci2/readers/MemoryResourceReader.java', 'core/src/main/java/org/apache/commons/jci2/readers/ResourceReader.java', 'core/src/main/java/org/apache/commons/jci2/stores/FileResourceStore.java', 'core/src/main/java/org/apache/commons/jci2/stores/MemoryResourceStore.java', 'core/src/main/java/org/apache/commons/jci2/stores/ResourceStore.java', 'core/src/main/java/org/apache/commons/jci2/stores/ResourceStoreClassLoader.java', 'core/src/main/java/org/apache/commons/jci2/stores/Transactional.java', 'core/src/main/java/org/apache/commons/jci2/stores/TransactionalResourceStore.java', 'core/src/main/java/org/apache/commons/jci2/utils/ConversionUtils.java', 'core/src/test/java/org/apache/commons/jci2/AbstractTestCase.java', 'core/src/test/java/org/apache/commons/jci2/CompilingClassLoaderTestCase.java', 'core/src/test/java/org/apache/commons/jci2/ReloadingClassLoaderRemoveTestCase.java', 'core/src/test/java/org/apache/commons/jci2/ReloadingClassLoaderTestCase.java', 'core/src/test/java/org/apache/commons/jci2/compilers/AbstractCompilerTestCase.java', 'core/src/test/java/org/apache/commons/jci2/readers/ResourceReaderTestCase.java', 'core/src/test/java/org/apache/commons/jci2/stores/ResourceStoreTestCase.java', 'examples/src/main/java/org/apache/commons/jci2/examples/commandline/CommandlineCompiler.java', 'examples/src/main/java/org/apache/commons/jci2/examples/configuration/ConfigurationReloading.java', 'examples/src/main/java/org/apache/commons/jci2/examples/serverpages/JspGenerator.java', 'examples/src/main/java/org/apache/commons/jci2/examples/serverpages/ServerPageServlet.java', 'fam/src/main/java/org/apache/commons/jci2/listeners/AbstractFilesystemAlterationListener.java', 'fam/src/main/java/org/apache/commons/jci2/monitor/FilesystemAlterationListener.java', 'fam/src/main/java/org/apache/commons/jci2/monitor/FilesystemAlterationMonitor.java', 'fam/src/main/java/org/apache/commons/jci2/monitor/FilesystemAlterationObserver.java', 'fam/src/main/java/org/apache/commons/jci2/monitor/FilesystemAlterationObserverImpl.java', 'fam/src/test/java/org/apache/commons/jci2/monitor/FilesystemAlterationMonitorTestCase.java']",Remove trailing whitepsace.,
3709e5882b631db58a55e5d321ae300e60314360,garydgregory,garydgregory,2,"['examples/src/main/java/org/apache/commons/jci2/examples/configuration/ConfigurationReloading.java', 'examples/src/main/java/org/apache/commons/jci2/examples/serverpages/ServerPageServlet.java']",Add missing '@Override' annotations.,
f7e1ae732f0c3e24ba3f023bba412e39582f1969,garydgregory,garydgregory,31,"['compilers/eclipse/src/main/java/org/apache/commons/jci2/compilers/EclipseJavaCompiler.java', 'compilers/eclipse/src/test/java/org/apache/commons/jci2/compilers/EclipseJavaCompilerTestCase.java', 'compilers/groovy/src/main/java/org/apache/commons/jci2/compilers/GroovyCompilationProblem.java', 'compilers/groovy/src/main/java/org/apache/commons/jci2/compilers/GroovyJavaCompiler.java', 'compilers/janino/src/main/java/org/apache/commons/jci2/compilers/JaninoJavaCompiler.java', 'compilers/jsr199/src/main/java/org/apache/commons/jci2/compilers/Jsr199JavaCompiler.java', 'compilers/rhino/src/main/java/org/apache/commons/jci2/compilers/RhinoJavaCompiler.java', 'core/src/main/java/org/apache/commons/jci2/ReloadingClassLoader.java', 'core/src/main/java/org/apache/commons/jci2/compilers/CompilationResult.java', 'core/src/main/java/org/apache/commons/jci2/compilers/JavaCompilerFactory.java', 'core/src/main/java/org/apache/commons/jci2/listeners/CompilingListener.java', 'core/src/main/java/org/apache/commons/jci2/listeners/ReloadingListener.java', 'core/src/main/java/org/apache/commons/jci2/readers/FileResourceReader.java', 'core/src/main/java/org/apache/commons/jci2/stores/FileResourceStore.java', 'core/src/main/java/org/apache/commons/jci2/stores/MemoryResourceStore.java', 'core/src/main/java/org/apache/commons/jci2/stores/ResourceStoreClassLoader.java', 'core/src/test/java/org/apache/commons/jci2/CompilingClassLoaderTestCase.java', 'core/src/test/java/org/apache/commons/jci2/ReloadingClassLoaderRemoveTestCase.java', 'core/src/test/java/org/apache/commons/jci2/classes/ExtendedDump.java', 'core/src/test/java/org/apache/commons/jci2/classes/SimpleDump.java', 'core/src/test/java/org/apache/commons/jci2/compilers/AbstractCompilerTestCase.java', 'examples/src/main/java/org/apache/commons/jci2/examples/commandline/CommandlineCompiler.java', 'examples/src/main/java/org/apache/commons/jci2/examples/configuration/ConfigurationReloading.java', 'examples/src/main/java/org/apache/commons/jci2/examples/configuration/Something.java', 'examples/src/main/java/org/apache/commons/jci2/examples/serverpages/JspGenerator.java', 'examples/src/main/java/org/apache/commons/jci2/examples/serverpages/JspReader.java', 'examples/src/main/java/org/apache/commons/jci2/examples/serverpages/ServerPageServlet.java', 'fam/src/main/java/org/apache/commons/jci2/listeners/AbstractFilesystemAlterationListener.java', 'fam/src/main/java/org/apache/commons/jci2/monitor/FilesystemAlterationMonitor.java', 'fam/src/main/java/org/apache/commons/jci2/monitor/FilesystemAlterationObserverImpl.java', 'fam/src/test/java/org/apache/commons/jci2/monitor/FilesystemAlterationMonitorTestCase.java']",Use for-each. Use final.,
b8bb2bea44b269927950ec9a3177f55a833b61ad,garydgregory,garydgregory,1,['.gitignore'],Ignore Eclipse files.,
bf152f19ba8096b4526013fe40b4ef9ab766f184,sebbASF,web-flow,1,['pom.xml'],SCM: SVN => Git,
c426704366820b1448b1ae65174e81f4fb145961,chtompki,chtompki,1,['pom.xml'],"(chore) adding commons.module.name to pom

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/jci/trunk@1797044 13f79535-47bb-0310-9956-ffa450edef68",
4ca5c8ce2665028f2f4aa61ed03441d8bfe18780,garydgregory,garydgregory,1,['NOTICE.txt'],"Update copyright for 2016 in NOTICE.txt

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/jci/trunk@1725433 13f79535-47bb-0310-9956-ffa450edef68",
8fa3e6583355a4a6ee220d5fa8644ea70614089d,sebbASF,sebbASF,1,['doap_jci.rdf'],"Collect the DOAPs

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/jci/trunk@1718920 13f79535-47bb-0310-9956-ffa450edef68",
