hash,authors,committer,changes_FileNum,changed_files,message,bug_id
ef04302547556147b6360cd909b82f2597973cac,tvand,web-flow,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Merge pull request #117 from apache/dependabot/github_actions/actions/setup-java-3.6.0

Bump actions/setup-java from 3.5.1 to 3.6.0",
cde4438cbff26ede3366eee1ccaab0d4be676930,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
aa45d2ef0fec02d7d33b58fabe2eddd6a3e76ac7,garydgregory,garydgregory,1,['commons-jcs-jcache/src/main/java/org/apache/commons/jcs3/jcache/cdi/CDIJCacheHelper.java'],Fix spelling in a comment,
ba93df39b2ca3cd3a4badfb75585cc7b7ed45cd9,dependabot[bot],web-flow,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/setup-java from 3.5.1 to 3.6.0

Bumps [actions/setup-java](https://github.com/actions/setup-java) from 3.5.1 to 3.6.0.
- [Release notes](https://github.com/actions/setup-java/releases)
- [Commits](https://github.com/actions/setup-java/compare/v3.5.1...v3.6.0)

---
updated-dependencies:
- dependency-name: actions/setup-java
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
f6c27f4ecf0e95b6abb222dee73b2ff210cf7028,tvand,web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Merge pull request #115 from apache/dependabot/github_actions/actions/cache-3.0.11

Bump actions/cache from 3.0.10 to 3.0.11",
a42e9dd9f46324b33a8b5cee7c176f3ceb4d08c7,dependabot[bot],web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/cache from 3.0.10 to 3.0.11

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.10 to 3.0.11.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.10...v3.0.11)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
3d356ee93ba87d00c004b68309e9ee7ee83b6bae,tvand,web-flow,4,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml', '.github/workflows/scorecards-analysis.yml']","Merge pull request #114 from apache/dependabot/github_actions/actions/checkout-3.1.0

Bump actions/checkout from 3.0.2 to 3.1.0",
a73e9ce84187727f4290c9d5ed1555df59d5a04c,tvand,web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Merge pull request #113 from apache/dependabot/github_actions/actions/cache-3.0.10

Bump actions/cache from 3.0.9 to 3.0.10",
7d46d32f95c75b1a65b839f996a4b5d3ace26dba,dependabot[bot],web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/cache from 3.0.9 to 3.0.10

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.9 to 3.0.10.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.9...v3.0.10)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
5758ac4a34eebb46e0acfe30de2484f274a37054,dependabot[bot],web-flow,4,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml', '.github/workflows/scorecards-analysis.yml']","Bump actions/checkout from 3.0.2 to 3.1.0

Bumps [actions/checkout](https://github.com/actions/checkout) from 3.0.2 to 3.1.0.
- [Release notes](https://github.com/actions/checkout/releases)
- [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/checkout/compare/v3.0.2...93ea575cb5d8a053eaa0ac8fa3b40d7e05a33cc8)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
