hash,authors,committer,changes_FileNum,changed_files,message,bug_id
c856da16abef4465ba5a3196eba9f60b1a7c70e6,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
43171795dc353204c77073d32fa3c62545c59702,henrib,web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml', '.github/workflows/scorecards-analysis.yml']","Merge pull request #127 from apache/dependabot/github_actions/actions/checkout-3.1.0

Bump actions/checkout from 3.0.2 to 3.1.0",
98bc16b1327613f8acd058a31c71fc01cc052071,henrib,web-flow,2,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml']","Merge pull request #129 from apache/dependabot/github_actions/actions/cache-3.0.11

Bump actions/cache from 3.0.9 to 3.0.11",
5863f016ed350572db565adee06c4ceefca30efc,henrib,web-flow,1,['.github/workflows/maven.yml'],"Merge pull request #130 from apache/dependabot/github_actions/actions/setup-java-3.6.0

Bump actions/setup-java from 3.5.1 to 3.6.0",
e78eddc2a5e23a4a0d91f882dd45194ae388191f,dependabot[bot],web-flow,1,['.github/workflows/maven.yml'],"Bump actions/setup-java from 3.5.1 to 3.6.0

Bumps [actions/setup-java](https://github.com/actions/setup-java) from 3.5.1 to 3.6.0.
- [Release notes](https://github.com/actions/setup-java/releases)
- [Commits](https://github.com/actions/setup-java/compare/v3.5.1...v3.6.0)

---
updated-dependencies:
- dependency-name: actions/setup-java
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
e6b072b6b267d5647e645f69b065e22723ace8ae,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/jexl3/parser/ParseException.java'],Fix Javadoc typo,
ce287776805e90eeed5cd22d5676c2f0f7bb6657,dependabot[bot],web-flow,2,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml']","Bump actions/cache from 3.0.9 to 3.0.11

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.9 to 3.0.11.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.9...v3.0.11)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
004ea46842fcaef95a7bd2df1071ef35385f0e76,dependabot[bot],web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml', '.github/workflows/scorecards-analysis.yml']","Bump actions/checkout from 3.0.2 to 3.1.0

Bumps [actions/checkout](https://github.com/actions/checkout) from 3.0.2 to 3.1.0.
- [Release notes](https://github.com/actions/checkout/releases)
- [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/checkout/compare/v3.0.2...93ea575cb5d8a053eaa0ac8fa3b40d7e05a33cc8)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
4d9ecb63fdfe485d3232aee9ed396d0d4f465092,sebbASF,sebbASF,2,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
a018c4da89f2c8caa3b82a20cd00016d8acccc7c,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Set to level permissions to 'read',
ecd8e744270e3dc755c50ad85394440e53367b13,garydgregory,garydgregory,1,['src/main/config/clirr-ignored.xml'],Fix spelling,
738d017cd4d90c7d4e96f3322edbcd816c0d1e05,garydgregory,garydgregory,1,['.github/workflows/maven.yml'],GitHub Actions build: no top level permission defined,
5712064012488b585e6f21246bd1312b9469bd70,garydgregory,garydgregory,2,"['.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/setup-java from 3 to 3.5.1,
0b1f27c31fc581080b575c01e8b9a06f5f13d8b1,henrib,web-flow,1,['pom.xml'],"Merge pull request #122 from apache/dependabot/maven/com.puppycrawl.tools-checkstyle-10.3.4

Bump checkstyle from 10.3.3 to 10.3.4",
a8e998abded0993db4114ebcb506732a6323875b,henrib,web-flow,2,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml']","Merge pull request #124 from apache/dependabot/github_actions/actions/cache-3.0.9

Bump actions/cache from 3.0.8 to 3.0.9",
ce95b28c9e9ed9727e150b03d5b6b4c30c724c9f,dependabot[bot],web-flow,2,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml']","Bump actions/cache from 3.0.8 to 3.0.9

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.8 to 3.0.9.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.8...v3.0.9)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
3e7b8fc07c1a9f77770690962148d8b85edd524e,dependabot[bot],web-flow,1,['pom.xml'],"Bump checkstyle from 10.3.3 to 10.3.4

Bumps [checkstyle](https://github.com/checkstyle/checkstyle) from 10.3.3 to 10.3.4.
- [Release notes](https://github.com/checkstyle/checkstyle/releases)
- [Commits](https://github.com/checkstyle/checkstyle/compare/checkstyle-10.3.3...checkstyle-10.3.4)

---
updated-dependencies:
- dependency-name: com.puppycrawl.tools:checkstyle
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
dbda39ef90d52b1aba8416e71c6ea53ec0894359,garydgregory,garydgregory,1,['README.md'],Replace Travis-CI badge with GitHub Actions CI,
13836e43ad043eaf15f122924e70235a69116cb9,henrib,henrib,1,['src/site/xdoc/reference/syntax.xml'],JEXL: fix syntax documentation mistakes;,
71bf55c6d8b8611e6772d7b72f1f580051aed4d1,garydgregory,garydgregory,2,"['pom.xml', 'src/changes/changes.xml']",Bump junit from 4.13.2 to 5.9.1 Vintage,
