hash,authors,committer,changes_FileNum,changed_files,message,bug_id
0659831ad49a41244337eb9c60e6b6fe921756c2,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/lang3/function/MethodInvokers.java'],Javadoc,
b4ef49575135b6d87b0249fcdd23ab0d0404dbe0,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
8bdbf102fd8e7e1336ca278f24cd536616ed42a0,garydgregory,web-flow,1,['src/changes/changes.xml'],Update changes.xml,
a1e911a935aaf510c0faf4b3db28884eaef2eb5c,arturobernalg,web-flow,4,"['src/main/java/org/apache/commons/lang3/ClassUtils.java', 'src/main/java/org/apache/commons/lang3/DoubleRange.java', 'src/main/java/org/apache/commons/lang3/IntegerRange.java', 'src/main/java/org/apache/commons/lang3/LongRange.java']",Fix simple broken javadoc. (#981),
1c1e482e5ac55110229693d9624932b63b26377c,dependabot[bot],kinow,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/setup-java from 3.5.1 to 3.6.0

Bumps [actions/setup-java](https://github.com/actions/setup-java) from 3.5.1 to 3.6.0.
- [Release notes](https://github.com/actions/setup-java/releases)
- [Commits](https://github.com/actions/setup-java/compare/v3.5.1...v3.6.0)

---
updated-dependencies:
- dependency-name: actions/setup-java
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
28fd691ebcf575b06344d17c9d17c0811865f3fd,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump easymock from 4.3 to 5.0.0 #972,
690d4974fa37d9b626c631e1bd7306c6edeb6c42,dependabot[bot],web-flow,1,['pom.xml'],"Bump easymock from 4.3 to 5.0.0 (#972)

Bumps [easymock](https://github.com/easymock/easymock) from 4.3 to 5.0.0.
- [Release notes](https://github.com/easymock/easymock/releases)
- [Changelog](https://github.com/easymock/easymock/blob/master/ReleaseNotes.md)
- [Commits](https://github.com/easymock/easymock/compare/easymock-4.3...easymock-5.0.0)

---
updated-dependencies:
- dependency-name: org.easymock:easymock
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
bbd2521c04c0fc0c3e6765fd86714d4e72bf992d,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump spotbugs from 4.7.2 to 4.7.3 #973,
6d704df054db461ee35e0424aff870354fe0d2ac,dependabot[bot],web-flow,1,['pom.xml'],"Bump spotbugs from 4.7.2 to 4.7.3 (#973)

Bumps [spotbugs](https://github.com/spotbugs/spotbugs) from 4.7.2 to 4.7.3.
- [Release notes](https://github.com/spotbugs/spotbugs/releases)
- [Changelog](https://github.com/spotbugs/spotbugs/blob/master/CHANGELOG.md)
- [Commits](https://github.com/spotbugs/spotbugs/compare/4.7.2...4.7.3)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
57ddce119516f451168f4489f55f399fd9309b53,garydgregory,garydgregory,11,"['src/changes/changes.xml', 'src/main/java/org/apache/commons/lang3/DoubleRange.java', 'src/main/java/org/apache/commons/lang3/IntegerRange.java', 'src/main/java/org/apache/commons/lang3/LongRange.java', 'src/main/java/org/apache/commons/lang3/NumberRange.java', 'src/main/java/org/apache/commons/lang3/Range.java', 'src/main/java/org/apache/commons/lang3/time/DurationUtils.java', 'src/test/java/org/apache/commons/lang3/DoubleRangeTest.java', 'src/test/java/org/apache/commons/lang3/IntegerRangeTest.java', 'src/test/java/org/apache/commons/lang3/LongRangeTest.java', 'src/test/java/org/apache/commons/lang3/RangeTest.java']","Add NumberRange, DoubleRange, IntegerRange, LongRange.

Fix changes.xml",
6c3ffa44ffa31c256bbc73dd28d858c309fffda5,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/lang3/Range.java'],Javadoc,
a21fd72f85aa17524e5d130653b65d3e8ae9cdd1,garydgregory,garydgregory,1,['src/test/java/org/apache/commons/lang3/RangeTest.java'],Javadoc,
c0f527e50990258d8f51c097346ae347779180b7,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/lang3/math/NumberUtils.java'],Remove paren noise,
5f1d7055ec165f1e398a6d863da773f903a8531e,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/lang3/text/StrTokenizer.java'],Reuse own API,
273a6bd20e2daddd0772a2961c86f56838b6a01a,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/lang3/RegExUtils.java'],Fix format typos,
9aba7b45832d73271edf00a5f2a97a78476e3a7d,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/lang3/text/StrMatcher.java'],Reuse own API,
0f7db25d6043de5b67731c9b9aaf0bf022a10dae,garydgregory,web-flow,1,['README.md'],Fix up case and remove test repo,
d16a1b49c240f1b4441b4e0a0171ac17de8b3ca5,garydgregory,web-flow,1,['README.md'],Formatting,
08b89adf280cb0d9c3c3fd16654fa85339aa48f5,garydgregory,web-flow,1,['README.md'],Link to other Apache Commons components,
12e8a4550b8943276b04971cab3f17ed913ebf1d,garydgregory,web-flow,1,['README.md'],Simply use a MD link instead of a footnote,
48d9b3b3ee00c66d907d33f72615b0980727b7c9,garydgregory,web-flow,1,['README.md'],Add Apache Commons Slack Channel,
c5917dc0300e175ed3bec5f797d778a0d74bbe03,dependabot[bot],web-flow,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/cache from 3.0.10 to 3.0.11 (#970)

Bumps [actions/cache](https://github.com/actions/cache) from 3.0.10 to 3.0.11.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/v3.0.10...v3.0.11)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
211df1033e743043b59366e26421e3219211515e,dependabot[bot],web-flow,1,['pom.xml'],"Bump spotbugs-maven-plugin from 4.7.2.0 to 4.7.2.1 (#971)

Bumps [spotbugs-maven-plugin](https://github.com/spotbugs/spotbugs-maven-plugin) from 4.7.2.0 to 4.7.2.1.
- [Release notes](https://github.com/spotbugs/spotbugs-maven-plugin/releases)
- [Commits](https://github.com/spotbugs/spotbugs-maven-plugin/compare/spotbugs-maven-plugin-4.7.2.0...spotbugs-maven-plugin-4.7.2.1)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
c35c745f92e5778ec09c37b5ae50e500874375a5,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/lang3/text/StrBuilder.java'],Reuse own API,
2ffa1171944fd082bd6a424a9c231743f876d11b,garydgregory,garydgregory,1,['src/test/java/org/apache/commons/lang3/function/Objects.java'],Format tweaks,
10db68e492fdadb69f3c02fbb8f88660e22739ef,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/lang3/mutable/MutableObject.java'],Use JRE API,
d4c311d255ad50353dc56fb2cd01ca68e15a3df1,garydgregory,garydgregory,1,['src/changes/changes.xml'],Merge branch 'master' of https://gitbox.apache.org/repos/asf/commons-lang.git,
2bd8c66a16162c3dfb2b65e261b426eb4efc55c0,garydgregory,garydgregory,1,['src/test/java/org/apache/commons/lang3/ObjectUtilsTest.java'],Sort members,
4a3b2f23bf8b3fb85c4b7e05113131f51b9ba649,garydgregory,web-flow,1,['src/changes/changes.xml'],Add gets the current day of year. #968,
b6253688d3cd7d4d8c2ba14c2150bc446f0aa6a6,garydgregory,garydgregory,2,"['src/main/java/org/apache/commons/lang3/time/CalendarUtils.java', 'src/test/java/org/apache/commons/lang3/time/CalendarUtilsTest.java']",Merge branch 'master' of https://gitbox.apache.org/repos/asf/commons-lang.git,
59d201f7be16f724e52023330258f44876e545a2,arturobernalg,web-flow,2,"['src/main/java/org/apache/commons/lang3/time/CalendarUtils.java', 'src/test/java/org/apache/commons/lang3/time/CalendarUtilsTest.java']",Add gets the current day of year. (#968),
ca3574f08bc258f82c5f5d72b580452b53fd2672,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/lang3/ObjectUtils.java'],Sort members,
ff733d9d9bb03ce840200aa213b7bdfc5755777d,arturobernalg,web-flow,3,"['src/main/java/org/apache/commons/lang3/Functions.java', 'src/main/java/org/apache/commons/lang3/text/StrBuilder.java', 'src/main/java/org/apache/commons/lang3/time/FastDateParser.java']",Make a non-access modifier local variables. (#966),
b6d39a4257c46672e915098a156f63cd0a713a72,sebbASF,sebbASF,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
e588f51b699cd5cf0bf9d67b380fa75c9659f2a7,garydgregory,web-flow,1,['src/changes/changes.xml'],Simplify expression (length is never < 0) #962,
a3a93d53a53c4fc418d50b5fac6dfc08f44b116a,arturobernalg,web-flow,1,['src/main/java/org/apache/commons/lang3/CharSequenceUtils.java'],No need conditions. Never is < 0 (#962),
912682d0bb972f5dc07fadbbac5518d45706ab32,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Set to level permissions to 'read',
