hash,authors,committer,changes_FileNum,changed_files,message,bug_id
da2caee5d76d58b0f40c14ad1624186e3df4eb2d,garydgregory,garydgregory,1,['pom.xml'],Match PMD target JDK configuration to actual configuration,
434abf7006d237359c83a3624bd91fc2479d84ea,garydgregory,garydgregory,1,['pom.xml'],Pick up SpotBugs from parent POM,
6e80d7e1086a66b39267f1567a3daa180804451c,garydgregory,garydgregory,1,['pom.xml'],Replace Clirr with JApiCmp in default build,
e4728b91b0827ef0e8b94d0e0387ddf1e41f8071,garydgregory,garydgregory,3,"['build-testing.xml', 'build.properties.sample', 'build.xml']",Drop unsupported Ant build,
a04f2dd8b4010a56d7ab76d933aba378a874738a,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
10377b63fa91680f42fb1b0b909bfd965f41ddfa,garydgregory,garydgregory,1,['src/test/java/org/apache/commons/logging/LoadTestCase.java'],Fix spelling,
b83b31411ab336d8d2e30884b0442e003cdf2e72,garydgregory,garydgregory,1,['src/test/java/org/apache/commons/logging/LoadTestCase.java'],Spelling,
5783d0eb176d357ceaa3dc0baf3d8f7e677f49e9,kinow,web-flow,2,"['pom.xml', 'src/changes/changes.xml']","Merge pull request #112 from apache/dependabot/maven/com.github.spotbugs-spotbugs-maven-plugin-4.7.2.1

Bump spotbugs-maven-plugin from 4.7.2.0 to 4.7.2.1",
b136ad3c5df292affb52e78fd14fe8a9f1bf37f5,dependabot[bot],kinow,2,"['pom.xml', 'src/changes/changes.xml']","Bump spotbugs-maven-plugin from 4.7.2.0 to 4.7.2.1

Bumps [spotbugs-maven-plugin](https://github.com/spotbugs/spotbugs-maven-plugin) from 4.7.2.0 to 4.7.2.1.
- [Release notes](https://github.com/spotbugs/spotbugs-maven-plugin/releases)
- [Commits](https://github.com/spotbugs/spotbugs-maven-plugin/compare/spotbugs-maven-plugin-4.7.2.0...spotbugs-maven-plugin-4.7.2.1)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
5872998cbb4a2ec41ee25351dfc66550411a2202,kinow,web-flow,2,"['pom.xml', 'src/changes/changes.xml']","Merge pull request #115 from apache/dependabot/maven/com.github.spotbugs-spotbugs-4.7.3

Bump spotbugs from 4.7.2 to 4.7.3",
