hash,authors,committer,changes_FileNum,changed_files,message,bug_id
b4a10be610013bf830efb5523409f1e362fb156e,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
86ff4bae9c0121c7661c353058080158a079f4ed,sebbASF,sebbASF,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
e92dc0a9e31a7ab1291cd4b6276d9cab368b0a7b,,,1,['.github/workflows/codeql-analysis.yml'],Use GitHub cache for CodeQL,
3a1286e104eab5da53172777d24b4179b90b68c4,,,32,"['src/main/java/org/apache/commons/ognl/ASTCtor.java', 'src/main/java/org/apache/commons/ognl/ASTSequence.java', 'src/main/java/org/apache/commons/ognl/SimpleNode.java', 'src/test/java/org/apache/commons/ognl/test/ClassMethodTest.java', 'src/test/java/org/apache/commons/ognl/test/ConstantTest.java', 'src/test/java/org/apache/commons/ognl/test/ConstantTreeTest.java', 'src/test/java/org/apache/commons/ognl/test/ContextVariableTest.java', 'src/test/java/org/apache/commons/ognl/test/GenericsTest.java', 'src/test/java/org/apache/commons/ognl/test/IndexAccessTest.java', 'src/test/java/org/apache/commons/ognl/test/IndexedPropertyTest.java', 'src/test/java/org/apache/commons/ognl/test/InterfaceInheritanceTest.java', 'src/test/java/org/apache/commons/ognl/test/LambdaExpressionTest.java', 'src/test/java/org/apache/commons/ognl/test/MapCreationTest.java', 'src/test/java/org/apache/commons/ognl/test/MethodTest.java', 'src/test/java/org/apache/commons/ognl/test/MethodWithConversionTest.java', 'src/test/java/org/apache/commons/ognl/test/NestedMethodTest.java', 'src/test/java/org/apache/commons/ognl/test/NullHandlerTest.java', 'src/test/java/org/apache/commons/ognl/test/NullStringCatenationTest.java', 'src/test/java/org/apache/commons/ognl/test/NumericConversionTest.java', 'src/test/java/org/apache/commons/ognl/test/ObjectIndexedPropertyTest.java', 'src/test/java/org/apache/commons/ognl/test/OperatorTest.java', 'src/test/java/org/apache/commons/ognl/test/PrimitiveNullHandlingTest.java', 'src/test/java/org/apache/commons/ognl/test/PrivateAccessorTest.java', 'src/test/java/org/apache/commons/ognl/test/ProjectionSelectionTest.java', 'src/test/java/org/apache/commons/ognl/test/PropertyArithmeticAndLogicalOperatorsTest.java', 'src/test/java/org/apache/commons/ognl/test/PropertyNotFoundTest.java', 'src/test/java/org/apache/commons/ognl/test/PropertyTest.java', 'src/test/java/org/apache/commons/ognl/test/QuotingTest.java', 'src/test/java/org/apache/commons/ognl/test/SetterTest.java', 'src/test/java/org/apache/commons/ognl/test/ShortCircuitingExpressionTest.java', 'src/test/java/org/apache/commons/ognl/test/SimpleNavigationChainTreeTest.java', 'src/test/java/org/apache/commons/ognl/test/SimplePropertyTreeTest.java']",Use Java 5 for each loop,
0a2f19d40994574cff26b022a660ab055f1412e1,,,1,['.github/workflows/scorecards-analysis.yml'],Add same scorecards-analysis.yml as Apache Log4j (except for branches),
f561dabe7389ed2b228e2c352d825124326cb2ea,,,4,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/checkout from 3 to 3.0.2.,
56fe6c4d8b3c5acfb9764eeb7f626b1c02883d31,,,1,['README.md'],"Use GAV coordinates Maven Central coordinates to make sure to pick up
the latest",
dae75d86114db06535a7796791fd7b56577f0300,,,232,"['src/benchmarks/java/org/apache/commons/ognl/performance/PerformanceCommonsOgnlTest.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/PerformanceOldOgnlTest.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/invocation/CompilerInvocation.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/invocation/FieldInvocation.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/invocation/FindParameterTypesInvocation.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/invocation/GetConstructorsInvocation.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/invocation/GetDeclaredMethodsInvocation.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/invocation/GetMethodsInvocation.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/invocation/InvokeMethodInvocation.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/invocation/MethodParameterTypesInvocation.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/invocation/PermissionInvocation.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/invocation/PrimitiveDefaultInvocation.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/invocation/RepeatableInvocation.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/runtime/CommonsRuntimeWrapper.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/runtime/OldOgnlRuntimeWrapper.java', 'src/benchmarks/java/org/apache/commons/ognl/performance/runtime/RuntimeWrapper.java', 'src/main/java/org/apache/commons/ognl/ASTAdd.java', 'src/main/java/org/apache/commons/ognl/ASTAnd.java', 'src/main/java/org/apache/commons/ognl/ASTAssign.java', 'src/main/java/org/apache/commons/ognl/ASTBitAnd.java', 'src/main/java/org/apache/commons/ognl/ASTBitNegate.java', 'src/main/java/org/apache/commons/ognl/ASTBitOr.java', 'src/main/java/org/apache/commons/ognl/ASTChain.java', 'src/main/java/org/apache/commons/ognl/ASTConst.java', 'src/main/java/org/apache/commons/ognl/ASTCtor.java', 'src/main/java/org/apache/commons/ognl/ASTDivide.java', 'src/main/java/org/apache/commons/ognl/ASTEq.java', 'src/main/java/org/apache/commons/ognl/ASTEval.java', 'src/main/java/org/apache/commons/ognl/ASTGreater.java', 'src/main/java/org/apache/commons/ognl/ASTGreaterEq.java', 'src/main/java/org/apache/commons/ognl/ASTIn.java', 'src/main/java/org/apache/commons/ognl/ASTInstanceof.java', 'src/main/java/org/apache/commons/ognl/ASTKeyValue.java', 'src/main/java/org/apache/commons/ognl/ASTLess.java', 'src/main/java/org/apache/commons/ognl/ASTLessEq.java', 'src/main/java/org/apache/commons/ognl/ASTList.java', 'src/main/java/org/apache/commons/ognl/ASTMap.java', 'src/main/java/org/apache/commons/ognl/ASTMethod.java', 'src/main/java/org/apache/commons/ognl/ASTMethodUtil.java', 'src/main/java/org/apache/commons/ognl/ASTMultiply.java', 'src/main/java/org/apache/commons/ognl/ASTNegate.java', 'src/main/java/org/apache/commons/ognl/ASTNot.java', 'src/main/java/org/apache/commons/ognl/ASTNotEq.java', 'src/main/java/org/apache/commons/ognl/ASTNotIn.java', 'src/main/java/org/apache/commons/ognl/ASTOr.java', 'src/main/java/org/apache/commons/ognl/ASTProject.java', 'src/main/java/org/apache/commons/ognl/ASTProperty.java', 'src/main/java/org/apache/commons/ognl/ASTRemainder.java', 'src/main/java/org/apache/commons/ognl/ASTRootVarRef.java', 'src/main/java/org/apache/commons/ognl/ASTSelect.java', 'src/main/java/org/apache/commons/ognl/ASTSelectFirst.java', 'src/main/java/org/apache/commons/ognl/ASTSelectLast.java', 'src/main/java/org/apache/commons/ognl/ASTSequence.java', 'src/main/java/org/apache/commons/ognl/ASTShiftLeft.java', 'src/main/java/org/apache/commons/ognl/ASTShiftRight.java', 'src/main/java/org/apache/commons/ognl/ASTStaticField.java', 'src/main/java/org/apache/commons/ognl/ASTStaticMethod.java', 'src/main/java/org/apache/commons/ognl/ASTSubtract.java', 'src/main/java/org/apache/commons/ognl/ASTTest.java', 'src/main/java/org/apache/commons/ognl/ASTThisVarRef.java', 'src/main/java/org/apache/commons/ognl/ASTUnsignedShiftRight.java', 'src/main/java/org/apache/commons/ognl/ASTVarRef.java', 'src/main/java/org/apache/commons/ognl/ASTXor.java', 'src/main/java/org/apache/commons/ognl/JJTOgnlParserState.java', 'src/main/java/org/apache/commons/ognl/MapPropertyAccessor.java', 'src/main/java/org/apache/commons/ognl/OgnlParserTreeConstants.java', 'src/main/java/org/apache/commons/ognl/OgnlRuntime.java', 'src/main/java/org/apache/commons/ognl/internal/Cache.java', 'src/main/java/org/apache/commons/ognl/internal/CacheException.java', 'src/main/java/org/apache/commons/ognl/internal/ClassCache.java', 'src/main/java/org/apache/commons/ognl/internal/ClassCacheHandler.java', 'src/main/java/org/apache/commons/ognl/internal/ClassCacheImpl.java', 'src/main/java/org/apache/commons/ognl/internal/ConcurrentHashMapCache.java', 'src/main/java/org/apache/commons/ognl/internal/ConcurrentHashMapCacheFactory.java', 'src/main/java/org/apache/commons/ognl/internal/ConcurrentHashMapClassCache.java', 'src/main/java/org/apache/commons/ognl/internal/Entry.java', 'src/main/java/org/apache/commons/ognl/internal/HashMapCache.java', 'src/main/java/org/apache/commons/ognl/internal/HashMapCacheFactory.java', 'src/main/java/org/apache/commons/ognl/internal/HashMapClassCache.java', 'src/main/java/org/apache/commons/ognl/internal/ReentrantReadWriteLockCache.java', 'src/main/java/org/apache/commons/ognl/internal/ReentrantReadWriteLockCacheFactory.java', 'src/main/java/org/apache/commons/ognl/internal/ReentrantReadWriteLockClassCache.java', 'src/main/java/org/apache/commons/ognl/internal/entry/CacheEntry.java', 'src/main/java/org/apache/commons/ognl/internal/entry/CacheEntryFactory.java', 'src/main/java/org/apache/commons/ognl/internal/entry/ClassCacheEntryFactory.java', 'src/main/java/org/apache/commons/ognl/internal/entry/DeclaredMethodCacheEntry.java', 'src/main/java/org/apache/commons/ognl/internal/entry/DeclaredMethodCacheEntryFactory.java', 'src/main/java/org/apache/commons/ognl/internal/entry/GenericMethodParameterTypeCacheEntry.java', 'src/main/java/org/apache/commons/ognl/internal/entry/GenericMethodParameterTypeFactory.java', 'src/main/java/org/apache/commons/ognl/internal/entry/MethodAccessCacheEntryFactory.java', 'src/main/java/org/apache/commons/ognl/internal/entry/MethodAccessEntryValue.java', 'src/main/java/org/apache/commons/ognl/internal/entry/MethodCacheEntry.java', 'src/main/java/org/apache/commons/ognl/internal/entry/MethodCacheEntryFactory.java', 'src/main/java/org/apache/commons/ognl/internal/entry/MethodPermCacheEntryFactory.java', 'src/main/java/org/apache/commons/ognl/internal/entry/ParametrizedCacheEntryFactory.java', 'src/main/java/org/apache/commons/ognl/internal/entry/PermissionCacheEntry.java', 'src/main/java/org/apache/commons/ognl/internal/entry/PermissionCacheEntryFactory.java', 'src/main/java/org/apache/commons/ognl/internal/entry/PropertyDescriptorCacheEntryFactory.java', 'src/main/java/org/apache/commons/ognl/package-info.java', 'src/test/java/org/apache/commons/ognl/InExpressionTest.java', 'src/test/java/org/apache/commons/ognl/TestOgnlException.java', 'src/test/java/org/apache/commons/ognl/TestOgnlRuntime.java', 'src/test/java/org/apache/commons/ognl/internal/ConcurrentHashMapCacheTest.java', 'src/test/java/org/apache/commons/ognl/internal/ConstructorCacheTest.java', 'src/test/java/org/apache/commons/ognl/internal/DeclaredMethodCacheTest.java', 'src/test/java/org/apache/commons/ognl/internal/FieldCacheTest.java', 'src/test/java/org/apache/commons/ognl/internal/GenericMethodParameterTypeCacheTest.java', 'src/test/java/org/apache/commons/ognl/internal/MethodAccessCacheTest.java', 'src/test/java/org/apache/commons/ognl/internal/MethodPermCacheTest.java', 'src/test/java/org/apache/commons/ognl/internal/PermissionCacheTest.java', 'src/test/java/org/apache/commons/ognl/internal/PropertyDescriptorCacheTest.java', 'src/test/java/org/apache/commons/ognl/test/ASTChainTest.java', 'src/test/java/org/apache/commons/ognl/test/ASTMethodTest.java', 'src/test/java/org/apache/commons/ognl/test/ASTPropertyTest.java', 'src/test/java/org/apache/commons/ognl/test/ArithmeticAndLogicalOperatorsTest.java', 'src/test/java/org/apache/commons/ognl/test/ArrayCreationTest.java', 'src/test/java/org/apache/commons/ognl/test/ArrayElementsTest.java', 'src/test/java/org/apache/commons/ognl/test/ClassMethodTest.java', 'src/test/java/org/apache/commons/ognl/test/CollectionDirectPropertyTest.java', 'src/test/java/org/apache/commons/ognl/test/CompilingPropertyAccessor.java', 'src/test/java/org/apache/commons/ognl/test/ConstantTest.java', 'src/test/java/org/apache/commons/ognl/test/ConstantTreeTest.java', 'src/test/java/org/apache/commons/ognl/test/ContextVariableTest.java', 'src/test/java/org/apache/commons/ognl/test/CorrectedObjectNullHandler.java', 'src/test/java/org/apache/commons/ognl/test/GenericsTest.java', 'src/test/java/org/apache/commons/ognl/test/IndexAccessTest.java', 'src/test/java/org/apache/commons/ognl/test/IndexedPropertyTest.java', 'src/test/java/org/apache/commons/ognl/test/InheritedMethodsTest.java', 'src/test/java/org/apache/commons/ognl/test/InterfaceInheritanceTest.java', 'src/test/java/org/apache/commons/ognl/test/LambdaExpressionTest.java', 'src/test/java/org/apache/commons/ognl/test/MapCreationTest.java', 'src/test/java/org/apache/commons/ognl/test/MemberAccessTest.java', 'src/test/java/org/apache/commons/ognl/test/MethodTest.java', 'src/test/java/org/apache/commons/ognl/test/MethodWithConversionTest.java', 'src/test/java/org/apache/commons/ognl/test/NestedMethodTest.java', 'src/test/java/org/apache/commons/ognl/test/NullHandlerTest.java', 'src/test/java/org/apache/commons/ognl/test/NullStringCatenationTest.java', 'src/test/java/org/apache/commons/ognl/test/NumberFormatExceptionTest.java', 'src/test/java/org/apache/commons/ognl/test/NumericConversionTest.java', 'src/test/java/org/apache/commons/ognl/test/ObjectIndexedPropertyTest.java', 'src/test/java/org/apache/commons/ognl/test/ObjectIndexedTest.java', 'src/test/java/org/apache/commons/ognl/test/OgnlTestCase.java', 'src/test/java/org/apache/commons/ognl/test/OperatorTest.java', 'src/test/java/org/apache/commons/ognl/test/Performance.java', 'src/test/java/org/apache/commons/ognl/test/PrimitiveArrayTest.java', 'src/test/java/org/apache/commons/ognl/test/PrimitiveNullHandlingTest.java', 'src/test/java/org/apache/commons/ognl/test/PrivateAccessorTest.java', 'src/test/java/org/apache/commons/ognl/test/PrivateMemberTest.java', 'src/test/java/org/apache/commons/ognl/test/ProjectionSelectionTest.java', 'src/test/java/org/apache/commons/ognl/test/PropertyArithmeticAndLogicalOperatorsTest.java', 'src/test/java/org/apache/commons/ognl/test/PropertyNotFoundTest.java', 'src/test/java/org/apache/commons/ognl/test/PropertySetterTest.java', 'src/test/java/org/apache/commons/ognl/test/PropertyTest.java', 'src/test/java/org/apache/commons/ognl/test/ProtectedInnerClassTest.java', 'src/test/java/org/apache/commons/ognl/test/QuotingTest.java', 'src/test/java/org/apache/commons/ognl/test/SetterTest.java', 'src/test/java/org/apache/commons/ognl/test/SetterWithConversionTest.java', 'src/test/java/org/apache/commons/ognl/test/ShortCircuitingExpressionTest.java', 'src/test/java/org/apache/commons/ognl/test/SimpleNavigationChainTreeTest.java', 'src/test/java/org/apache/commons/ognl/test/SimplePropertyTreeTest.java', 'src/test/java/org/apache/commons/ognl/test/StaticsAndConstructorsTest.java', 'src/test/java/org/apache/commons/ognl/test/accessors/ListPropertyAccessorTest.java', 'src/test/java/org/apache/commons/ognl/test/enhance/TestExpressionCompiler.java', 'src/test/java/org/apache/commons/ognl/test/objects/BaseBean.java', 'src/test/java/org/apache/commons/ognl/test/objects/BaseGeneric.java', 'src/test/java/org/apache/commons/ognl/test/objects/BaseIndexed.java', 'src/test/java/org/apache/commons/ognl/test/objects/BaseObjectIndexed.java', 'src/test/java/org/apache/commons/ognl/test/objects/BaseSyntheticObject.java', 'src/test/java/org/apache/commons/ognl/test/objects/Bean1.java', 'src/test/java/org/apache/commons/ognl/test/objects/Bean2.java', 'src/test/java/org/apache/commons/ognl/test/objects/Bean3.java', 'src/test/java/org/apache/commons/ognl/test/objects/BeanProvider.java', 'src/test/java/org/apache/commons/ognl/test/objects/BeanProviderAccessor.java', 'src/test/java/org/apache/commons/ognl/test/objects/BeanProviderImpl.java', 'src/test/java/org/apache/commons/ognl/test/objects/Component.java', 'src/test/java/org/apache/commons/ognl/test/objects/ComponentImpl.java', 'src/test/java/org/apache/commons/ognl/test/objects/ComponentSubclass.java', 'src/test/java/org/apache/commons/ognl/test/objects/Copy.java', 'src/test/java/org/apache/commons/ognl/test/objects/CorrectedObject.java', 'src/test/java/org/apache/commons/ognl/test/objects/Cracker.java', 'src/test/java/org/apache/commons/ognl/test/objects/Entry.java', 'src/test/java/org/apache/commons/ognl/test/objects/EvenOdd.java', 'src/test/java/org/apache/commons/ognl/test/objects/FirstBean.java', 'src/test/java/org/apache/commons/ognl/test/objects/FormComponentImpl.java', 'src/test/java/org/apache/commons/ognl/test/objects/FormImpl.java', 'src/test/java/org/apache/commons/ognl/test/objects/GameGeneric.java', 'src/test/java/org/apache/commons/ognl/test/objects/GameGenericObject.java', 'src/test/java/org/apache/commons/ognl/test/objects/GenericCracker.java', 'src/test/java/org/apache/commons/ognl/test/objects/GenericObject.java', 'src/test/java/org/apache/commons/ognl/test/objects/GenericRoot.java', 'src/test/java/org/apache/commons/ognl/test/objects/GenericService.java', 'src/test/java/org/apache/commons/ognl/test/objects/GenericServiceImpl.java', 'src/test/java/org/apache/commons/ognl/test/objects/GetterMethods.java', 'src/test/java/org/apache/commons/ognl/test/objects/IComponent.java', 'src/test/java/org/apache/commons/ognl/test/objects/IContentProvider.java', 'src/test/java/org/apache/commons/ognl/test/objects/IForm.java', 'src/test/java/org/apache/commons/ognl/test/objects/IFormComponent.java', 'src/test/java/org/apache/commons/ognl/test/objects/ITreeContentProvider.java', 'src/test/java/org/apache/commons/ognl/test/objects/Indexed.java', 'src/test/java/org/apache/commons/ognl/test/objects/IndexedMapObject.java', 'src/test/java/org/apache/commons/ognl/test/objects/IndexedSetObject.java', 'src/test/java/org/apache/commons/ognl/test/objects/Inherited.java', 'src/test/java/org/apache/commons/ognl/test/objects/ListSource.java', 'src/test/java/org/apache/commons/ognl/test/objects/ListSourceImpl.java', 'src/test/java/org/apache/commons/ognl/test/objects/MenuItem.java', 'src/test/java/org/apache/commons/ognl/test/objects/Messages.java', 'src/test/java/org/apache/commons/ognl/test/objects/Model.java', 'src/test/java/org/apache/commons/ognl/test/objects/MyMap.java', 'src/test/java/org/apache/commons/ognl/test/objects/MyMapImpl.java', 'src/test/java/org/apache/commons/ognl/test/objects/ObjectIndexed.java', 'src/test/java/org/apache/commons/ognl/test/objects/OtherObjectIndexed.java', 'src/test/java/org/apache/commons/ognl/test/objects/PersonGenericObject.java', 'src/test/java/org/apache/commons/ognl/test/objects/PropertyHolder.java', 'src/test/java/org/apache/commons/ognl/test/objects/Root.java', 'src/test/java/org/apache/commons/ognl/test/objects/SearchCriteria.java', 'src/test/java/org/apache/commons/ognl/test/objects/SearchTab.java', 'src/test/java/org/apache/commons/ognl/test/objects/SecondBean.java', 'src/test/java/org/apache/commons/ognl/test/objects/SetterReturns.java', 'src/test/java/org/apache/commons/ognl/test/objects/Simple.java', 'src/test/java/org/apache/commons/ognl/test/objects/SimpleEnum.java', 'src/test/java/org/apache/commons/ognl/test/objects/SimpleNumeric.java', 'src/test/java/org/apache/commons/ognl/test/objects/SubclassSyntheticObject.java', 'src/test/java/org/apache/commons/ognl/test/objects/TestClass.java', 'src/test/java/org/apache/commons/ognl/test/objects/TestImpl.java', 'src/test/java/org/apache/commons/ognl/test/objects/TestInherited1.java', 'src/test/java/org/apache/commons/ognl/test/objects/TestInherited2.java', 'src/test/java/org/apache/commons/ognl/test/objects/TestModel.java', 'src/test/java/org/apache/commons/ognl/test/objects/TreeContentProvider.java', 'src/test/java/org/apache/commons/ognl/test/objects/Two.java', 'src/test/java/org/apache/commons/ognl/test/util/ContextClassLoader.java', 'src/test/java/org/apache/commons/ognl/test/util/EnhancedClassLoader.java', 'src/test/java/org/apache/commons/ognl/test/util/NameFactory.java']","Remove Subversion key substitution noise ""$Id$""",
1d2048db25b79b3f53b969f5b3971e0d7c17d797,,,10,"['src/main/java/org/apache/commons/ognl/enhance/ContextClassLoader.java', 'src/main/java/org/apache/commons/ognl/enhance/EnhancedClassLoader.java', 'src/main/java/org/apache/commons/ognl/enhance/ExpressionAccessor.java', 'src/main/java/org/apache/commons/ognl/enhance/ExpressionCompiler.java', 'src/main/java/org/apache/commons/ognl/enhance/LocalReference.java', 'src/main/java/org/apache/commons/ognl/enhance/LocalReferenceImpl.java', 'src/main/java/org/apache/commons/ognl/enhance/OgnlExpressionCompiler.java', 'src/main/java/org/apache/commons/ognl/enhance/OrderedReturn.java', 'src/main/java/org/apache/commons/ognl/enhance/UnsupportedCompilationException.java', 'src/main/java/org/apache/commons/ognl/enhance/package-info.java']",Move Apache license header to the top of the file,
6bc0e3f8be55731fbf3cb3c79bc3db10fac24faf,,,2,"['src/main/java/org/apache/commons/ognl/ASTAnd.java', 'src/test/java/org/apache/commons/ognl/test/objects/Bean3.java']",Javadoc @see tags do not need to use a FQCN for classes in java.lang,
