hash,authors,committer,changes_FileNum,changed_files,message,bug_id
9a2af4f63c0cc778cced175242d0fd54a20b6cd4,garydgregory,garydgregory,2,"['CODE_OF_CONDUCT.md', 'SECURITY.md']",Add a GitHub code of conduct and security page.,
82bfe8b4700ef6d4b8a29fe808b1e4aa18cc4c59,garydgregory,garydgregory,1,['.gitignore'],Git ignore Eclipse files and folders and then some,
f120e2971a890154a4de509001325b91b44fad18,sebbASF,sebbASF,1,['pom.xml'],Fix old codehaus issue link,
4a937712e20b7a4115dbcb6b85d1a31ced628aac,sebbASF,web-flow,1,['pom.xml'],SCM: SVN => Git,
838024d7d8193d181506568fec9e681b6e11e59a,chtompki,chtompki,1,['pom.xml'],"(chore) adding commons.module.name and updating commons.componentid in pom

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1797511 13f79535-47bb-0310-9956-ffa450edef68",
b606336e946a3d52436a2329738ce7471173c045,garydgregory,garydgregory,1,['NOTICE.txt'],"Update copyright for 2016 in NOTICE.txt

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1725442 13f79535-47bb-0310-9956-ffa450edef68",
c47b98998d4adfed0d46b622ed405e0823a6ee27,sebbASF,sebbASF,1,['doap_proxy.rdf'],"Collect the DOAPs

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1718920 13f79535-47bb-0310-9956-ffa450edef68",
94142733163f2f5d146b1573e84390434c5931e9,sebbASF,sebbASF,1,['pom.xml'],"Fix up URLs

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1619123 13f79535-47bb-0310-9956-ffa450edef68",
74c7a81153a6a118de31e02ae71a92aa02c879e3,mbenson,mbenson,9,"['asm/pom.xml', 'build-tools/pom.xml', 'cglib/pom.xml', 'core/pom.xml', 'dist/pom.xml', 'javassist/pom.xml', 'jdk/pom.xml', 'pom.xml', 'test/pom.xml']","[maven-release-plugin] prepare for next development iteration

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585561 13f79535-47bb-0310-9956-ffa450edef68",
7f610898c31a0ea763f42fad85d51e7fc3cdfee4,mbenson,mbenson,9,"['asm/pom.xml', 'build-tools/pom.xml', 'cglib/pom.xml', 'core/pom.xml', 'dist/pom.xml', 'javassist/pom.xml', 'jdk/pom.xml', 'pom.xml', 'test/pom.xml']","[maven-release-plugin] prepare release 2.0_RC1

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585559 13f79535-47bb-0310-9956-ffa450edef68",
2ec724a66d4975407631afb159149add1c92d240,mbenson,mbenson,2,"['pom.xml', 'src/site/xdoc/download_proxy.xml']","versions

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585558 13f79535-47bb-0310-9956-ffa450edef68",
ec9e3b37621bcc5c41c2aeebe6c3d54e569ed05d,mbenson,mbenson,9,"['asm/pom.xml', 'build-tools/pom.xml', 'cglib/pom.xml', 'core/pom.xml', 'dist/pom.xml', 'javassist/pom.xml', 'jdk/pom.xml', 'pom.xml', 'test/pom.xml']","[maven-release-plugin] rollback the release of 1.0_RC1

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585554 13f79535-47bb-0310-9956-ffa450edef68",
97648fdb9331f5333e38d8f5e5cc7575fcdf009b,mbenson,mbenson,9,"['asm/pom.xml', 'build-tools/pom.xml', 'cglib/pom.xml', 'core/pom.xml', 'dist/pom.xml', 'javassist/pom.xml', 'jdk/pom.xml', 'pom.xml', 'test/pom.xml']","[maven-release-plugin] prepare for next development iteration

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585553 13f79535-47bb-0310-9956-ffa450edef68",
0b3ad1746c5e1774c0446d31d76406da72da5938,mbenson,mbenson,9,"['asm/pom.xml', 'build-tools/pom.xml', 'cglib/pom.xml', 'core/pom.xml', 'dist/pom.xml', 'javassist/pom.xml', 'jdk/pom.xml', 'pom.xml', 'test/pom.xml']","[maven-release-plugin] prepare release 1.0_RC1

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585551 13f79535-47bb-0310-9956-ffa450edef68",
87992d6cbb94d9628f9dd8235d6fbb102fd1a617,mbenson,mbenson,1,['RELEASE-NOTES.txt'],"generate 2.0 release notes

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585527 13f79535-47bb-0310-9956-ffa450edef68",
fe254ef47ccbc74df15f8a08ebd627d6eac55e36,mbenson,mbenson,2,"['src/changes/changes.xml', 'src/changes/release-notes.vm']","changes

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585525 13f79535-47bb-0310-9956-ffa450edef68",
b4ca4e39a0d4d3c8f971447f2d8ebc777da823d5,mbenson,mbenson,3,"['core/src/main/java/org/apache/commons/proxy2/interceptor/matcher/argument/ArgumentMatcherUtils.java', 'core/src/main/java/org/apache/commons/proxy2/serialization/package-info.java', 'jdk/src/main/java/org/apache/commons/proxy2/jdk/JdkProxyFactory.java']","cleanup

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585512 13f79535-47bb-0310-9956-ffa450edef68",
ab396e46a52bae3ebc78164c4ac61094734e67c9,mbenson,mbenson,2,"['pom.xml', 'src/site/markdown/index.md.vm']","fix release info and pull from pom to site

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585508 13f79535-47bb-0310-9956-ffa450edef68",
6d6e7b6e58b676042099e2af06d4d1c01780c208,mbenson,mbenson,1,['src/site/markdown/index.md.vm'],"enable filtering

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585504 13f79535-47bb-0310-9956-ffa450edef68",
26656f32a578b773c965db061b8c519d6f6d3708,mbenson,mbenson,1,['src/site/markdown/index.md'],"document serialization and stubbing

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585503 13f79535-47bb-0310-9956-ffa450edef68",
2251996dc770b14db67d2252f544bef8dece2ebb,mbenson,mbenson,1,['core/src/main/java/org/apache/commons/proxy2/serialization/package-info.java'],"missing parens

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585317 13f79535-47bb-0310-9956-ffa450edef68",
9e84781cd699c6e9f0458f3bce779cc22d7f13f6,mbenson,mbenson,1,['core/src/main/java/org/apache/commons/proxy2/serialization/package-info.java'],"move quote

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1585316 13f79535-47bb-0310-9956-ffa450edef68",
8b2e32604e350125099ba77e40d1a94b9b418811,mbenson,mbenson,1,['core/src/main/java/org/apache/commons/proxy2/ProxyUtils.java'],"join two static init blocks; remove unnecessary checks on method identity (name/args are enough to identify a method)

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1582776 13f79535-47bb-0310-9956-ffa450edef68",
60174eac520739786b8e3541c6cf2fd34520d139,mbenson,mbenson,1,['core/src/main/java/org/apache/commons/proxy2/impl/MethodSignature.java'],"correct @since tag

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1582773 13f79535-47bb-0310-9956-ffa450edef68",
56a8554f78c172682c99e444bcda7343f72038e1,sebbASF,sebbASF,1,['core/src/main/java/org/apache/commons/proxy2/stub/BaseAnnotationTrainer.java'],"Missing inline explanation

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1582732 13f79535-47bb-0310-9956-ffa450edef68",
0d65ab79f62280302413ee3a52fce6d279cd8488,sebbASF,sebbASF,1,['core/src/main/java/org/apache/commons/proxy2/Interceptor.java'],"Eol-style

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1582566 13f79535-47bb-0310-9956-ffa450edef68",Eol-
fcc851645ab8342c35f75cdd176e26465da7e581,sebbASF,sebbASF,0,[],"Eol style

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/proxy/trunk@1582565 13f79535-47bb-0310-9956-ffa450edef68",
