hash,authors,committer,changes_FileNum,changed_files,message,bug_id
c10a5fee91874f75e62f1cfc3ad97c70af48b94a,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
d7c6d4faf3cec730aba724c2f198831e96a48712,sebbASF,sebbASF,2,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
954a75c19f9fe2a5e85a7cc4705923c1f039b4b2,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Set to level permissions to 'read',
0782bc22991703e74ac08fb969f7315d0845d1fc,garydgregory,garydgregory,1,['.github/workflows/maven.yml'],GitHub Actions build: no top level permission defined,
7c30682d47c046bee77223f5937069552a588990,garydgregory,garydgregory,2,"['.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/setup-java from 3 to 3.5.1,
155584eb3efb2dc326c0882348915613674742f7,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump maven-checkstyle-plugin from 3.0.0 to 3.2.0 #89,
917418c21e421a6157d590e9a00f64ecfa19fd01,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #89 from apache/dependabot/maven/org.apache.maven.plugins-maven-checkstyle-plugin-3.2.0

Bump maven-checkstyle-plugin from 3.0.0 to 3.2.0",
16b3cdef39fea42723f8a440f5b24a869cbfcaf2,garydgregory,garydgregory,1,['README.md'],Remove coveralls link.,
80e2b152bd81068aa1948e391750d8a25179df53,garydgregory,garydgregory,1,['README.md'],Typo,
fd429e447ff958739ada44d50a570c045c423bc5,garydgregory,garydgregory,1,['README.md'],Replace Travis-CI badge with GitHub Actions CI,
c94c0c5ea104ca196db17af98ea890680b0e39f9,garydgregory,garydgregory,2,"['pom.xml', 'src/changes/changes.xml']",Bump japicmp-maven-plugin from 0.15.7 to 0.16.0,
7d0659e9f53f86ab6e87986c266d939be3e519e8,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Use GitHub cache for CodeQL,
ec196719c4294a649643eaa134da718ca3654ea7,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Add same scorecards-analysis.yml as Apache Log4j (except for branches),
d1d15f00cc6d67b5d337fbdf1ab35d9a62738b2b,garydgregory,web-flow,1,['.github/workflows/codeql-analysis.yml'],"Merge pull request #85 from apache/dependabot/github_actions/github/codeql-action-2

Bump github/codeql-action from 1 to 2",
a0bf28456e80dd985833c29b8429013c3df7b362,dependabot[bot],web-flow,1,['.github/workflows/codeql-analysis.yml'],"Bump github/codeql-action from 1 to 2

Bumps [github/codeql-action](https://github.com/github/codeql-action) from 1 to 2.
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/v1...v2)

---
updated-dependencies:
- dependency-name: github/codeql-action
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",
16f34bd5ec1e02118bebe13d3b616dd47255682a,garydgregory,garydgregory,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/checkout from 3 to 3.0.2.,
