hash,authors,committer,changes_FileNum,changed_files,message,bug_id
ae2be2bed36621f7455af3a2c7cdda1ae9d0cd70,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
609c9f6833054473a75294449c0111039cba8f79,garydgregory,garydgregory,1,['src/changes/changes.xml'],Fix spelling,
43d598a804f079122cb157d3c1adac1316b2d730,sebbASF,sebbASF,3,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
44f40009b7f4f04961e492486c05c186f6d41f1d,garydgregory,garydgregory,1,['.github/workflows/codeql-analysis.yml'],Set to level permissions to 'read',
2a687532d0615581b3e1852237537d7f8b1bf979,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/scxml2/NotificationRegistry.java'],Fix spelling,
f346d64e5a3d9895f2e0f6907e4d7e2101f84d56,garydgregory,garydgregory,1,['.github/workflows/maven.yml'],GitHub Actions build: no top level permission defined,
9db21b2090917113b2c4dacfa2bc250cfdb2e69e,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/setup-java from 3 to 3.5.1,
0408c42eabf4fd60d23b1022cd0cb3306a71aa74,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump commons-parent from 53 to 54 #72,
a6a2e0cfb9c5fad90639cfa1ed96c5adfd0efcf9,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #72 from apache/dependabot/maven/org.apache.commons-commons-parent-54

Bump commons-parent from 53 to 54",
67b809833432ca2636d10043e0731bead29bd6da,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump groovy from 3.0.12 to 3.0.13 #67,
d1d033edbf2543a6d9e2ba55cdb1379ad3c09f28,dependabot[bot],web-flow,1,['pom.xml'],"Bump commons-parent from 53 to 54

Bumps [commons-parent](https://github.com/apache/commons-parent) from 53 to 54.
- [Release notes](https://github.com/apache/commons-parent/releases)
- [Changelog](https://github.com/apache/commons-parent/blob/master/RELEASE-NOTES.txt)
- [Commits](https://github.com/apache/commons-parent/commits)

---
updated-dependencies:
- dependency-name: org.apache.commons:commons-parent
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",
96720f971d5255f3d97452419b500f010829ffff,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #67 from apache/dependabot/maven/org.codehaus.groovy-groovy-3.0.13

Bump groovy from 3.0.12 to 3.0.13",
cc7e4b56e402573078222858cae171c695227a2f,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump Saxon-HE from 11.3 to 11.4 #64,
36221f0a612ac4f0c4799b394d154cfdb60b6ba1,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #64 from apache/dependabot/maven/net.sf.saxon-Saxon-HE-11.4

Bump Saxon-HE from 11.3 to 11.4",
664890bf45a4013dbb1c57a0a704bcadf0a3b030,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump junit-jupiter-engine from 5.8.2 to 5.9.1 #68,
3145c145f99276f5fa90dd2e6833f4c67a5f8725,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #68 from apache/dependabot/maven/org.junit.jupiter-junit-jupiter-engine-5.9.1

Bump junit-jupiter-engine from 5.8.2 to 5.9.1",
7fd46444ead4353f2f1d78eccf2b4dcd67f4cb94,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump junit-jupiter-api from 5.8.2 to 5.9.1 #70,
526adf5a544b0099aba8799a66737553f2470d37,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #70 from apache/dependabot/maven/org.junit.jupiter-junit-jupiter-api-5.9.1

Bump junit-jupiter-api from 5.8.2 to 5.9.1",
f7cbbeecbd24d6c8ef723d6049e98763fdc05008,dependabot[bot],web-flow,1,['pom.xml'],"Bump junit-jupiter-api from 5.8.2 to 5.9.1

Bumps [junit-jupiter-api](https://github.com/junit-team/junit5) from 5.8.2 to 5.9.1.
- [Release notes](https://github.com/junit-team/junit5/releases)
- [Commits](https://github.com/junit-team/junit5/compare/r5.8.2...r5.9.1)

---
updated-dependencies:
- dependency-name: org.junit.jupiter:junit-jupiter-api
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
2690fb50587a88310113c004f9fdb0cda704ceaa,dependabot[bot],web-flow,1,['pom.xml'],"Bump junit-jupiter-engine from 5.8.2 to 5.9.1

Bumps [junit-jupiter-engine](https://github.com/junit-team/junit5) from 5.8.2 to 5.9.1.
- [Release notes](https://github.com/junit-team/junit5/releases)
- [Commits](https://github.com/junit-team/junit5/compare/r5.8.2...r5.9.1)

---
updated-dependencies:
- dependency-name: org.junit.jupiter:junit-jupiter-engine
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
1f5989032aec1b0a41c491426bddd9564891da9d,dependabot[bot],web-flow,1,['pom.xml'],"Bump groovy from 3.0.12 to 3.0.13

Bumps [groovy](https://github.com/apache/groovy) from 3.0.12 to 3.0.13.
- [Release notes](https://github.com/apache/groovy/releases)
- [Commits](https://github.com/apache/groovy/commits)

---
updated-dependencies:
- dependency-name: org.codehaus.groovy:groovy
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
cf1750da59d3a9cd0688cb3781302944f4d40667,dependabot[bot],web-flow,1,['pom.xml'],"Bump Saxon-HE from 11.3 to 11.4

Bumps Saxon-HE from 11.3 to 11.4.

---
updated-dependencies:
- dependency-name: net.sf.saxon:Saxon-HE
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
42c4fee803d7a8ae61c7df0fafa0a50633791f56,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump exec-maven-plugin from 3.0.0 to 3.1.0 #63,
8fac41ef71d52bbf0a36881618e8a0e720dd716e,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #63 from apache/dependabot/maven/org.codehaus.mojo-exec-maven-plugin-3.1.0

Bump exec-maven-plugin from 3.0.0 to 3.1.0",
d94bdc724f04e52319a7c865352d1c712b86f1ed,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump groovy from 3.0.10 to 3.0.12 #62,
8324e962e0e184ea05af85eca22183325756ef70,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #62 from apache/dependabot/maven/org.codehaus.groovy-groovy-3.0.12

Bump groovy from 3.0.10 to 3.0.12",
b8afcdf4f5596c9649f0f15e2b2f7c7c64c9254c,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump maven-antrun-plugin from 3.0.0 to 3.1.0 #51,
5d9ec1dc7eb38fdca2c7c347e88be5d026fb2295,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #51 from apache/dependabot/maven/org.apache.maven.plugins-maven-antrun-plugin-3.1.0

Bump maven-antrun-plugin from 3.0.0 to 3.1.0",
eb14fbb7703afe2baa66cd0d98f90a19a590b52a,garydgregory,web-flow,1,['src/changes/changes.xml'],Merge entries,
2fda74243d62bf14b08eae2dfe3741bb72616156,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump nashorn-core from 15.3 to 15.4 #52,
b224a8d585fd5cb9a646c71d1fb74feeb2796c43,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #52 from apache/dependabot/maven/org.openjdk.nashorn-nashorn-core-15.4

Bump nashorn-core from 15.3 to 15.4",
0a9cb25a14c78c1bdd811cbc843991a69514bc39,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump jackson-core from 2.13.2 to 2.13.4 #59,
0220dd693be994a3877bf6f823aa5dd09f319b9a,dependabot[bot],web-flow,1,['pom.xml'],"Bump exec-maven-plugin from 3.0.0 to 3.1.0

Bumps [exec-maven-plugin](https://github.com/mojohaus/exec-maven-plugin) from 3.0.0 to 3.1.0.
- [Release notes](https://github.com/mojohaus/exec-maven-plugin/releases)
- [Commits](https://github.com/mojohaus/exec-maven-plugin/compare/exec-maven-plugin-3.0.0...exec-maven-plugin-3.1.0)

---
updated-dependencies:
- dependency-name: org.codehaus.mojo:exec-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
c0cc4198710269eb03bd13cb0354ff8c4a4f984a,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #59 from apache/dependabot/maven/com.fasterxml.jackson.core-jackson-core-2.13.4

Bump jackson-core from 2.13.2 to 2.13.4",
d0b9a29c5db315522096e2e6f022c8977dd7295f,dependabot[bot],web-flow,1,['pom.xml'],"Bump groovy from 3.0.10 to 3.0.12

Bumps [groovy](https://github.com/apache/groovy) from 3.0.10 to 3.0.12.
- [Release notes](https://github.com/apache/groovy/releases)
- [Commits](https://github.com/apache/groovy/commits)

---
updated-dependencies:
- dependency-name: org.codehaus.groovy:groovy
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
5c3c305b2df0431239c7ab705fa393dfe3d79e45,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump jackson-databind from 2.13.2.2 to 2.13.4 #60,
d9029b131e97a0238573c52cf368a03d0561f6b5,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #60 from apache/dependabot/maven/com.fasterxml.jackson.core-jackson-databind-2.13.4

Bump jackson-databind from 2.13.2.2 to 2.13.4",
7124badc882792cbf1791dbf6fca1e4a6f957ed7,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Add same scorecards-analysis.yml as Apache Log4j (except for branches),
b80a4fff4e7f2b258f52b68e0aa1a580e85a74ac,garydgregory,web-flow,1,['.github/workflows/codeql-analysis.yml'],"Merge pull request #53 from apache/dependabot/github_actions/github/codeql-action-2

Bump github/codeql-action from 1 to 2",
a5c20444bd4773be7a64a2596391e64b033bc8d1,dependabot[bot],web-flow,1,['.github/workflows/codeql-analysis.yml'],"Bump github/codeql-action from 1 to 2

Bumps [github/codeql-action](https://github.com/github/codeql-action) from 1 to 2.
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/v1...v2)

---
updated-dependencies:
- dependency-name: github/codeql-action
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",
11344d8fe85c652c707f54fb8f284d3b2d696104,garydgregory,garydgregory,4,"['.github/workflows/codeql-analysis.yml', '.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/checkout from 3 to 3.0.2.,
eb87e3b42d9024fd761fba9b472ba7d600e65af9,dependabot[bot],web-flow,1,['pom.xml'],"Bump jackson-databind from 2.13.2.2 to 2.13.4

Bumps [jackson-databind](https://github.com/FasterXML/jackson) from 2.13.2.2 to 2.13.4.
- [Release notes](https://github.com/FasterXML/jackson/releases)
- [Commits](https://github.com/FasterXML/jackson/commits)

---
updated-dependencies:
- dependency-name: com.fasterxml.jackson.core:jackson-databind
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
f9aea698bdabc096d8e94ae0c2d38da0fb033661,dependabot[bot],web-flow,1,['pom.xml'],"Bump jackson-core from 2.13.2 to 2.13.4

Bumps [jackson-core](https://github.com/FasterXML/jackson-core) from 2.13.2 to 2.13.4.
- [Release notes](https://github.com/FasterXML/jackson-core/releases)
- [Commits](https://github.com/FasterXML/jackson-core/compare/jackson-core-2.13.2...jackson-core-2.13.4)

---
updated-dependencies:
- dependency-name: com.fasterxml.jackson.core:jackson-core
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
c7d17845d6ffde45c6b147da9c36fc838ea505c1,garydgregory,garydgregory,6,"['src/main/java/org/apache/commons/scxml2/SCXMLExpressionException.java', 'src/main/java/org/apache/commons/scxml2/TriggerEvent.java', 'src/main/java/org/apache/commons/scxml2/env/SimpleContext.java', 'src/main/java/org/apache/commons/scxml2/env/URLResolver.java', 'src/main/java/org/apache/commons/scxml2/invoke/InvokerException.java', 'src/main/java/org/apache/commons/scxml2/model/ModelException.java']",Javadoc @see tags do not need to use a FQCN for classes in java.lang,
921580459e849efc76679858998fc9c2f97af4da,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 3.0.7 to 3.0.8,
280a9fdc1eb7d8f7404c2c4d042218c00d07c08c,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 3.0.6 to 3.0.7,
b4992f1da19a06e0cfc5e9933e922a4c1b97a08c,garydgregory,garydgregory,3,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 3.0.5 to 3.0.6,
dad751ee5476fb9be27a4ddd84dd695c20bb4a67,garydgregory,garydgregory,1,['.github/workflows/coverage.yml'],Update GitHub builds to use Temurin,
c55919315b9c229fd139ac451c3bd8b0dd8c6421,garydgregory,garydgregory,1,['.github/workflows/coverage.yml'],Bump actions/cache 3.0.4 to 3.0.5,
5e629bbfe4ffe165fbf9616e27d81ec1538e1bdb,garydgregory,garydgregory,2,"['.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache 3.0.4 to 3.0.5,
d400f6da1a4d8c19f51e4d22d4ca86c092f27ff4,garydgregory,garydgregory,1,['.github/workflows/coverage.yml'],Add coverage.yml,
9676537751bceac812a3858beeb405b3ece4f20a,garydgregory,garydgregory,2,"['.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 3.0.3 to 3.0.4,
96d3f5cf11f36c6c598c753803fa3ac123b3aae6,garydgregory,garydgregory,2,"['.github/workflows/maven.yml', 'src/changes/changes.xml']",Bump actions/cache from 3.0.2 to 3.0.3,
c2e8a3f2be7c34a7adbf286afa143394bda8dba5,garydgregory,garydgregory,1,['src/main/java/org/apache/commons/scxml2/test/StandaloneUtils.java'],Javadoc: Don't use FQCN in throws clause.,
69ea479d7579bf66f8e2ed744f568001f5ab85b2,dependabot[bot],web-flow,1,['pom.xml'],"Bump nashorn-core from 15.3 to 15.4

Bumps [nashorn-core](https://github.com/openjdk/nashorn) from 15.3 to 15.4.
- [Release notes](https://github.com/openjdk/nashorn/releases)
- [Changelog](https://github.com/openjdk/nashorn/blob/main/CHANGELOG.md)
- [Commits](https://github.com/openjdk/nashorn/commits)

---
updated-dependencies:
- dependency-name: org.openjdk.nashorn:nashorn-core
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
f34ca09461f6c75f783485424e046fe59219e730,dependabot[bot],web-flow,1,['pom.xml'],"Bump maven-antrun-plugin from 3.0.0 to 3.1.0

Bumps [maven-antrun-plugin](https://github.com/apache/maven-antrun-plugin) from 3.0.0 to 3.1.0.
- [Release notes](https://github.com/apache/maven-antrun-plugin/releases)
- [Commits](https://github.com/apache/maven-antrun-plugin/compare/maven-antrun-plugin-3.0.0...maven-antrun-plugin-3.1.0)

---
updated-dependencies:
- dependency-name: org.apache.maven.plugins:maven-antrun-plugin
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
3591c521709d637c88e180d175a0829a5baa6577,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump actions/setup-java from 2 to 3 #49,
1c7e1e3b8a1190b1a463b8a90e1f426aa92928ca,garydgregory,web-flow,1,['.github/workflows/maven.yml'],"Merge pull request #49 from apache/dependabot/github_actions/actions/setup-java-3

Bump actions/setup-java from 2 to 3",
84df781ad7186d4b4988a7e67be87e08368491ab,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump actions/cache from 3.0.1 to 3.0.2 #50,
f914eaa62e6bc98b9d2d2b725a36012580043a4b,garydgregory,web-flow,1,['.github/workflows/maven.yml'],"Merge pull request #50 from apache/dependabot/github_actions/actions/cache-3.0.2

Bump actions/cache from 3.0.1 to 3.0.2",
9045b7c848c9c5421f390751889a52a926a23e6a,garydgregory,web-flow,1,['src/changes/changes.xml'],End sentence with a period.,
41ecd0aded77a213b021933af9c1265da29d92fe,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump commons-parent from 52 to 53 #48,
86ed128c1edc325e5570613f3fdfc472850fcfc4,garydgregory,web-flow,1,['pom.xml'],"Merge pull request #48 from apache/dependabot/maven/org.apache.commons-commons-parent-53

Bump commons-parent from 52 to 53",
